Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1150.00,1150.00,1120.00,1120.00,4079800,1120.00
2017-01-31,1150.00,1150.00,1085.00,1150.00,5026500,1150.00
2017-01-30,1110.00,1115.00,1095.00,1115.00,19718900,1115.00
2017-01-27,1120.00,1135.00,1100.00,1110.00,3458400,1110.00
2017-01-26,1080.00,1135.00,1065.00,1115.00,5688300,1115.00
2017-01-25,1095.00,1095.00,1075.00,1080.00,3487100,1080.00
2017-01-24,1115.00,1120.00,1075.00,1090.00,7386600,1090.00
2017-01-23,1125.00,1130.00,1105.00,1115.00,4239100,1115.00
2017-01-20,1160.00,1165.00,1125.00,1125.00,5721000,1125.00
2017-01-19,1155.00,1180.00,1150.00,1160.00,11048100,1160.00
2017-01-18,1145.00,1180.00,1140.00,1150.00,13998700,1150.00
2017-01-17,1125.00,1160.00,1125.00,1145.00,9466300,1145.00
2017-01-16,1125.00,1140.00,1100.00,1125.00,2835200,1125.00
2017-01-13,1145.00,1145.00,1105.00,1125.00,6965900,1125.00
2017-01-12,1155.00,1170.00,1130.00,1130.00,7559000,1130.00
2017-01-11,1160.00,1190.00,1150.00,1155.00,8314000,1155.00
2017-01-10,1155.00,1165.00,1140.00,1160.00,6189000,1160.00
2017-01-09,1180.00,1200.00,1155.00,1155.00,10302200,1155.00
2017-01-06,1140.00,1185.00,1140.00,1180.00,21629200,1180.00
2017-01-05,1085.00,1170.00,1085.00,1140.00,33281700,1140.00
2017-01-04,1055.00,1100.00,1055.00,1085.00,10421500,1085.00
2017-01-03,1070.00,1080.00,1040.00,1055.00,4314000,1055.00
2017-01-02,1070.00,1070.00,1070.00,1070.00,000,1070.00
2016-12-30,1050.00,1070.00,1035.00,1070.00,5883300,1070.00
2016-12-29,1080.00,1085.00,1045.00,1045.00,9833900,1045.00
2016-12-28,1065.00,1120.00,1065.00,1080.00,14452400,1080.00
2016-12-27,1015.00,1080.00,1015.00,1060.00,8972000,1060.00
2016-12-26,1010.00,1010.00,1010.00,1010.00,000,1010.00
2016-12-23,1015.00,1050.00,980.00,1010.00,9836800,1010.00
2016-12-22,1030.00,1110.00,1000.00,1015.00,24231100,1015.00
2016-12-21,1030.00,1045.00,1005.00,1010.00,5250200,1010.00
2016-12-20,1060.00,1060.00,1020.00,1030.00,3605300,1030.00
2016-12-19,1090.00,1090.00,1055.00,1060.00,4250000,1060.00
2016-12-16,1105.00,1125.00,1075.00,1085.00,15309100,1085.00
2016-12-15,1120.00,1130.00,1090.00,1105.00,5446100,1105.00
2016-12-14,1120.00,1180.00,1115.00,1120.00,13258700,1120.00
2016-12-13,1155.00,1170.00,1115.00,1130.00,10771800,1130.00
2016-12-12,1155.00,1155.00,1155.00,1155.00,000,1155.00
2016-12-09,1145.00,1200.00,1115.00,1155.00,21170600,1155.00
2016-12-08,1205.00,1260.00,1140.00,1140.00,42615500,1140.00
2016-12-07,1100.00,1225.00,1100.00,1190.00,99315700,1190.00
2016-12-06,960.00,1185.00,960.00,1095.00,147212100,1095.00
2016-12-05,980.00,990.00,950.00,955.00,9703200,955.00
2016-12-02,995.00,1000.00,960.00,975.00,16251900,975.00
2016-12-01,1005.00,1025.00,990.00,995.00,15605300,995.00
2016-11-30,1045.00,1045.00,1000.00,1005.00,10765400,1005.00
2016-11-29,1020.00,1095.00,1020.00,1035.00,6426200,1035.00
2016-11-28,1035.00,1040.00,1020.00,1020.00,1513000,1020.00
2016-11-25,1055.00,1060.00,1025.00,1035.00,4578800,1035.00
2016-11-24,1100.00,1100.00,1030.00,1035.00,1971100,1035.00
2016-11-23,1105.00,1140.00,1085.00,1085.00,1189400,1085.00
2016-11-22,1060.00,1125.00,1055.00,1105.00,2731200,1105.00
2016-11-21,1060.00,1075.00,1045.00,1060.00,2591000,1060.00
2016-11-18,1090.00,1090.00,1060.00,1060.00,1604000,1060.00
2016-11-17,1095.00,1120.00,1080.00,1090.00,1933700,1090.00
2016-11-16,1035.00,1090.00,1035.00,1085.00,5002900,1085.00
2016-11-15,1130.00,1145.00,1030.00,1035.00,4906100,1035.00
2016-11-14,1125.00,1160.00,1070.00,1130.00,6512400,1130.00
2016-11-11,1200.00,1225.00,1120.00,1125.00,9756000,1125.00
2016-11-10,1200.00,1235.00,1200.00,1215.00,3091600,1215.00
2016-11-09,1235.00,1245.00,1170.00,1195.00,5974900,1195.00
2016-11-08,1265.00,1275.00,1225.00,1235.00,4808700,1235.00
2016-11-07,1220.00,1280.00,1215.00,1260.00,4785500,1260.00
2016-11-04,1205.00,1235.00,1205.00,1220.00,4048900,1220.00
2016-11-03,1235.00,1235.00,1200.00,1205.00,3870700,1205.00
2016-11-02,1235.00,1255.00,1220.00,1235.00,4354400,1235.00
2016-11-01,1250.00,1275.00,1215.00,1225.00,11727800,1225.00
2016-10-31,1305.00,1315.00,1240.00,1250.00,7956300,1250.00
2016-10-28,1310.00,1315.00,1300.00,1305.00,2274000,1305.00
2016-10-27,1315.00,1330.00,1300.00,1310.00,4088600,1310.00
2016-10-26,1350.00,1365.00,1310.00,1315.00,6958300,1315.00
2016-10-25,1315.00,1380.00,1310.00,1350.00,16227900,1350.00
2016-10-24,1275.00,1320.00,1275.00,1310.00,7205300,1310.00
2016-10-21,1260.00,1330.00,1260.00,1275.00,2404100,1275.00
2016-10-20,1305.00,1320.00,1275.00,1285.00,5786500,1285.00
2016-10-19,1265.00,1300.00,1255.00,1300.00,12236500,1300.00
2016-10-18,1290.00,1310.00,1255.00,1265.00,11995900,1265.00
2016-10-17,1315.00,1345.00,1285.00,1295.00,12664100,1295.00
2016-10-14,1300.00,1330.00,1285.00,1305.00,9889500,1305.00
2016-10-13,1240.00,1360.00,1235.00,1290.00,34871000,1290.00
2016-10-12,1305.00,1305.00,1245.00,1245.00,19657200,1245.00
2016-10-11,1380.00,1400.00,1280.00,1305.00,21073800,1305.00
2016-10-10,1400.00,1425.00,1370.00,1380.00,3606700,1380.00
2016-10-07,1390.00,1430.00,1365.00,1400.00,5920500,1400.00
2016-10-06,1425.00,1450.00,1375.00,1385.00,11200500,1385.00
2016-10-05,1460.00,1475.00,1415.00,1425.00,5027300,1425.00
2016-10-04,1475.00,1485.00,1445.00,1460.00,4683000,1460.00
2016-10-03,1505.00,1520.00,1470.00,1475.00,7411400,1475.00
2016-09-30,1545.00,1555.00,1500.00,1500.00,6045700,1500.00
2016-09-29,1520.00,1590.00,1520.00,1545.00,20776800,1545.00
2016-09-28,1495.00,1540.00,1495.00,1520.00,6996600,1520.00
2016-09-27,1480.00,1510.00,1410.00,1495.00,7764900,1495.00
2016-09-26,1490.00,1515.00,1440.00,1480.00,4157000,1480.00
2016-09-23,1490.00,1525.00,1475.00,1490.00,3129400,1490.00
2016-09-22,1515.00,1530.00,1495.00,1510.00,5208400,1510.00
2016-09-21,1530.00,1540.00,1495.00,1515.00,6591000,1515.00
2016-09-20,1525.00,1545.00,1515.00,1530.00,7508200,1530.00
2016-09-19,1515.00,1545.00,1510.00,1525.00,10190800,1525.00
2016-09-16,1470.00,1525.00,1470.00,1515.00,16853600,1515.00
2016-09-15,1455.00,1490.00,1425.00,1470.00,7713500,1470.00
2016-09-14,1405.00,1455.00,1355.00,1455.00,13306900,1455.00
2016-09-13,1440.00,1445.00,1400.00,1405.00,6319000,1405.00
2016-09-12,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-09,1440.00,1470.00,1435.00,1440.00,10150000,1440.00
2016-09-08,1490.00,1500.00,1440.00,1440.00,11296500,1440.00
2016-09-07,1400.00,1490.00,1395.00,1490.00,20870200,1490.00
2016-09-06,1465.00,1470.00,1395.00,1400.00,8387400,1400.00
2016-09-05,1495.00,1515.00,1460.00,1465.00,3978900,1465.00
2016-09-02,1450.00,1495.00,1420.00,1480.00,10739900,1480.00
2016-09-01,1510.00,1530.00,1450.00,1450.00,11205800,1450.00
2016-08-31,1435.00,1520.00,1430.00,1510.00,31372800,1510.00
2016-08-30,1415.00,1435.00,1310.00,1430.00,29706500,1430.00
2016-08-29,1500.00,1500.00,1395.00,1400.00,19724400,1400.00
2016-08-26,1510.00,1535.00,1465.00,1480.00,9612500,1480.00
2016-08-25,1515.00,1540.00,1510.00,1510.00,3749900,1510.00
2016-08-24,1495.00,1570.00,1470.00,1515.00,18726500,1515.00
2016-08-23,1515.00,1535.00,1470.00,1495.00,6977900,1495.00
2016-08-22,1575.00,1595.00,1515.00,1515.00,13653600,1515.00
2016-08-19,1585.00,1625.00,1575.00,1575.00,6731300,1575.00
2016-08-18,1630.00,1635.00,1580.00,1585.00,9304500,1585.00
2016-08-17,1620.00,1620.00,1620.00,1620.00,000,1620.00
2016-08-16,1600.00,1655.00,1580.00,1620.00,15478100,1620.00
2016-08-15,1620.00,1655.00,1560.00,1600.00,9652800,1600.00
2016-08-12,1645.00,1690.00,1600.00,1610.00,10652900,1610.00
2016-08-11,1705.00,1710.00,1635.00,1645.00,12168400,1645.00
2016-08-10,1535.00,1755.00,1535.00,1690.00,63806700,1690.00
2016-08-09,1540.00,1550.00,1520.00,1535.00,6687300,1535.00
2016-08-08,1510.00,1555.00,1465.00,1535.00,9330200,1535.00
2016-08-05,1560.00,1570.00,1485.00,1505.00,12404100,1505.00
2016-08-04,1560.00,1600.00,1550.00,1560.00,6130900,1560.00
2016-08-03,1535.00,1600.00,1525.00,1565.00,14038300,1565.00
2016-08-02,1590.00,1595.00,1530.00,1535.00,18249000,1535.00
2016-08-01,1615.00,1650.00,1555.00,1590.00,13519900,1590.00
2016-07-29,1570.00,1645.00,1570.00,1615.00,18357600,1615.00
2016-07-28,1540.00,1620.00,1525.00,1570.00,25981500,1570.00
2016-07-27,1475.00,1565.00,1475.00,1540.00,15744200,1540.00
2016-07-26,1450.00,1490.00,1415.00,1470.00,19602100,1470.00
2016-07-25,1490.00,1585.00,1435.00,1450.00,29362700,1450.00
2016-07-22,1330.00,1525.00,1330.00,1490.00,57923700,1490.00
2016-07-21,1250.00,1360.00,1250.00,1330.00,32007700,1330.00
2016-07-20,1220.00,1265.00,1215.00,1250.00,16305600,1250.00
2016-07-19,1170.00,1230.00,1160.00,1220.00,19758400,1220.00
2016-07-18,1150.00,1175.00,1150.00,1170.00,5110900,1170.00
2016-07-15,1170.00,1215.00,1145.00,1150.00,19317100,1150.00
2016-07-14,1120.00,1200.00,1120.00,1170.00,26904000,1170.00
2016-07-13,1110.00,1130.00,1060.00,1110.00,22964300,1110.00
