Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,114.00,117.00,114.00,116.00,954500,116.00
2017-01-31,114.00,118.00,114.00,114.00,2585400,114.00
2017-01-30,115.00,117.00,114.00,114.00,997300,114.00
2017-01-27,117.00,118.00,115.00,115.00,2780900,115.00
2017-01-26,116.00,119.00,115.00,116.00,2189600,116.00
2017-01-25,117.00,119.00,115.00,116.00,2127700,116.00
2017-01-24,119.00,120.00,116.00,117.00,4404700,117.00
2017-01-23,118.00,121.00,116.00,118.00,4679500,118.00
2017-01-20,122.00,123.00,117.00,118.00,7177000,118.00
2017-01-19,119.00,128.00,119.00,122.00,14940000,122.00
2017-01-18,116.00,121.00,116.00,118.00,6884100,118.00
2017-01-17,117.00,122.00,116.00,116.00,2649100,116.00
2017-01-16,117.00,121.00,116.00,117.00,5179200,117.00
2017-01-13,118.00,122.00,116.00,117.00,4055800,117.00
2017-01-12,118.00,120.00,117.00,118.00,1770400,118.00
2017-01-11,119.00,122.00,117.00,118.00,4365300,118.00
2017-01-10,116.00,122.00,114.00,119.00,15336000,119.00
2017-01-09,117.00,118.00,115.00,116.00,2212900,116.00
2017-01-06,115.00,119.00,114.00,117.00,2084000,117.00
2017-01-05,114.00,119.00,114.00,115.00,2348900,115.00
2017-01-04,113.00,119.00,113.00,115.00,4366700,115.00
2017-01-03,112.00,116.00,112.00,113.00,628800,113.00
2017-01-02,113.00,113.00,113.00,113.00,000,113.00
2016-12-30,116.00,118.00,112.00,113.00,1096200,113.00
2016-12-29,116.00,119.00,114.00,115.00,1845900,115.00
2016-12-28,115.00,117.00,114.00,116.00,1952000,116.00
2016-12-27,120.00,120.00,114.00,114.00,3981500,114.00
2016-12-26,118.00,118.00,118.00,118.00,000,118.00
2016-12-23,123.00,126.00,118.00,118.00,4866400,118.00
2016-12-22,116.00,135.00,116.00,121.00,29998500,121.00
2016-12-21,116.00,120.00,116.00,116.00,2224100,116.00
2016-12-20,115.00,129.00,114.00,116.00,13965000,116.00
2016-12-19,113.00,119.00,113.00,115.00,4332100,115.00
2016-12-16,117.00,121.00,114.00,114.00,4211900,114.00
2016-12-15,116.00,128.00,115.00,117.00,14400500,117.00
2016-12-14,116.00,120.00,114.00,116.00,4431600,116.00
2016-12-13,116.00,117.00,113.00,116.00,543800,116.00
2016-12-12,116.00,116.00,116.00,116.00,000,116.00
2016-12-09,117.00,122.00,115.00,116.00,3110800,116.00
2016-12-08,118.00,119.00,115.00,117.00,837600,117.00
2016-12-07,117.00,122.00,115.00,118.00,2378200,118.00
2016-12-06,122.00,129.00,117.00,117.00,3187200,117.00
2016-12-05,115.00,125.00,115.00,120.00,7103100,120.00
2016-12-02,112.00,116.00,112.00,114.00,1163300,114.00
2016-12-01,113.00,117.00,110.00,112.00,2407500,112.00
2016-11-30,116.00,118.00,112.00,113.00,2726500,113.00
2016-11-29,112.00,123.00,111.00,115.00,5437900,115.00
2016-11-28,116.00,122.00,111.00,114.00,4723400,114.00
2016-11-25,128.00,130.00,115.00,116.00,6289000,116.00
2016-11-24,135.00,152.00,116.00,125.00,61460100,125.00
2016-11-23,97.00,128.00,95.00,128.00,25358900,128.00
2016-11-22,95.00,97.00,93.00,95.00,807900,95.00
2016-11-21,92.00,98.00,92.00,94.00,902700,94.00
2016-11-18,92.00,92.00,89.00,92.00,1513100,92.00
2016-11-17,92.00,95.00,90.00,92.00,419400,92.00
2016-11-16,89.00,94.00,87.00,92.00,1251800,92.00
2016-11-15,98.00,100.00,88.00,89.00,1867900,89.00
2016-11-14,101.00,101.00,93.00,97.00,766000,97.00
2016-11-11,103.00,105.00,99.00,100.00,3160100,100.00
2016-11-10,103.00,108.00,102.00,103.00,2200300,103.00
2016-11-09,104.00,104.00,100.00,101.00,1023700,101.00
2016-11-08,108.00,108.00,103.00,103.00,1581900,103.00
2016-11-07,105.00,110.00,104.00,104.00,733700,104.00
2016-11-04,103.00,108.00,100.00,105.00,1674300,105.00
2016-11-03,109.00,109.00,103.00,103.00,3850900,103.00
2016-11-02,112.00,113.00,106.00,109.00,2778300,109.00
2016-11-01,113.00,116.00,112.00,112.00,1798600,112.00
2016-10-31,115.00,118.00,113.00,113.00,1958400,113.00
2016-10-28,112.00,120.00,112.00,113.00,3251500,113.00
2016-10-27,117.00,118.00,110.00,112.00,2497600,112.00
2016-10-26,124.00,125.00,117.00,117.00,4152500,117.00
2016-10-25,117.00,126.00,113.00,124.00,9535900,124.00
2016-10-24,113.00,125.00,112.00,117.00,8701400,117.00
2016-10-21,114.00,117.00,112.00,113.00,1321400,113.00
2016-10-20,116.00,117.00,112.00,112.00,2414300,112.00
2016-10-19,118.00,118.00,115.00,117.00,1370600,117.00
2016-10-18,119.00,119.00,116.00,118.00,1794400,118.00
2016-10-17,119.00,121.00,119.00,119.00,1159800,119.00
2016-10-14,121.00,122.00,118.00,119.00,597300,119.00
2016-10-13,121.00,125.00,118.00,118.00,2356900,118.00
2016-10-12,121.00,126.00,120.00,121.00,1442800,121.00
2016-10-11,119.00,131.00,117.00,120.00,10162800,120.00
2016-10-10,119.00,125.00,119.00,119.00,2404300,119.00
2016-10-07,122.00,123.00,119.00,119.00,1273700,119.00
2016-10-06,124.00,124.00,121.00,123.00,1181500,123.00
2016-10-05,128.00,130.00,123.00,123.00,3582300,123.00
2016-10-04,127.00,132.00,124.00,127.00,2697200,127.00
2016-10-03,123.00,134.00,123.00,127.00,9110400,127.00
2016-09-30,121.00,131.00,121.00,122.00,11269400,122.00
2016-09-29,122.00,129.00,119.00,121.00,6935900,121.00
2016-09-28,122.00,125.00,118.00,120.00,2277400,120.00
2016-09-27,119.00,122.00,116.00,121.00,1620200,121.00
2016-09-26,123.00,126.00,119.00,119.00,2127700,119.00
2016-09-23,122.00,130.00,120.00,122.00,6433500,122.00
2016-09-22,133.00,140.00,123.00,123.00,14851500,123.00
2016-09-21,112.00,135.00,112.00,133.00,24487300,133.00
2016-09-20,111.00,117.00,111.00,111.00,3628300,111.00
2016-09-19,117.00,119.00,114.00,115.00,3424200,115.00
2016-09-16,116.00,126.00,112.00,116.00,8328700,116.00
2016-09-15,119.00,125.00,115.00,116.00,4129300,116.00
2016-09-14,130.00,130.00,110.00,116.00,4708900,116.00
2016-09-13,130.00,135.00,119.00,120.00,14328800,120.00
2016-09-12,132.00,132.00,132.00,132.00,000,132.00
2016-09-09,147.00,149.00,132.00,132.00,5930000,132.00
2016-09-08,146.00,154.00,135.00,146.00,25138000,146.00
2016-09-07,115.00,147.00,113.00,142.00,35808700,142.00
2016-09-06,127.00,129.00,124.00,124.00,3591800,124.00
2016-09-05,153.00,172.00,137.00,137.00,15176400,137.00
2016-09-02,128.00,160.00,126.00,152.00,40066000,152.00
2016-09-01,94.00,126.00,94.00,125.00,47366900,125.00
2016-08-31,88.00,100.00,88.00,94.00,12484800,94.00
2016-08-30,90.00,94.00,87.00,87.00,3902000,87.00
2016-08-29,91.00,93.00,88.00,91.00,2159800,91.00
2016-08-26,89.00,95.00,88.00,90.00,5298900,90.00
2016-08-25,101.00,102.00,90.00,90.00,8965500,90.00
2016-08-24,81.00,104.00,81.00,100.00,39969100,100.00
2016-08-23,81.00,82.00,79.00,80.00,160800,80.00
2016-08-22,80.00,82.00,80.00,81.00,473900,81.00
2016-08-19,80.00,82.00,79.00,81.00,198200,81.00
2016-08-18,79.00,83.00,79.00,80.00,2908000,80.00
2016-08-17,79.00,79.00,79.00,79.00,000,79.00
2016-08-16,79.00,80.00,78.00,79.00,140300,79.00
2016-08-15,79.00,80.00,77.00,79.00,2875800,79.00
2016-08-12,77.00,81.00,77.00,78.00,1491400,78.00
2016-08-11,78.00,85.00,76.00,78.00,3789400,78.00
2016-08-10,74.00,81.00,74.00,78.00,4259200,78.00
2016-08-09,79.00,80.00,75.00,76.00,1803000,76.00
2016-08-08,73.00,84.00,73.00,78.00,9787000,78.00
2016-08-05,73.00,75.00,72.00,74.00,653800,74.00
2016-08-04,73.00,78.00,72.00,73.00,3170200,73.00
2016-08-03,71.00,73.00,69.00,71.00,2486800,71.00
2016-08-02,68.00,71.00,68.00,69.00,1461500,69.00
2016-08-01,71.00,73.00,68.00,69.00,3558500,69.00
2016-07-29,70.00,73.00,69.00,71.00,1105100,71.00
2016-07-28,76.00,83.00,71.00,71.00,6597400,71.00
