Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,147.00,147.00,145.00,146.00,12700,146.00
2017-01-31,147.00,147.00,147.00,147.00,2000,147.00
2017-01-30,148.00,148.00,138.00,148.00,16200,148.00
2017-01-27,148.00,148.00,148.00,148.00,2100,148.00
2017-01-26,145.00,150.00,136.00,143.00,20600,143.00
2017-01-25,150.00,150.00,145.00,145.00,12100,145.00
2017-01-24,170.00,170.00,145.00,145.00,92600,145.00
2017-01-23,145.00,180.00,145.00,180.00,30000,180.00
2017-01-20,145.00,159.00,140.00,145.00,29700,145.00
2017-01-19,154.00,154.00,138.00,154.00,29100,154.00
2017-01-18,180.00,180.00,130.00,145.00,64077200,145.00
2017-01-17,149.00,180.00,149.00,180.00,1000,180.00
2017-01-16,150.00,150.00,120.00,149.00,2800,149.00
2017-01-13,150.00,150.00,150.00,150.00,2000,150.00
2017-01-12,150.00,150.00,148.00,148.00,3700,148.00
2017-01-11,150.00,150.00,150.00,150.00,2000,150.00
2017-01-10,130.00,150.00,130.00,150.00,56400,150.00
2017-01-09,145.00,145.00,125.00,130.00,900,130.00
2017-01-06,130.00,164.00,122.00,145.00,66500,145.00
2017-01-05,140.00,140.00,122.00,122.00,300,122.00
2017-01-04,150.00,150.00,150.00,150.00,000,150.00
2017-01-03,128.00,150.00,128.00,150.00,3300,150.00
2017-01-02,127.00,127.00,127.00,127.00,000,127.00
2016-12-30,135.00,150.00,126.00,127.00,4000,127.00
2016-12-29,136.00,136.00,136.00,136.00,100,136.00
2016-12-28,150.00,150.00,150.00,150.00,000,150.00
2016-12-27,139.00,150.00,139.00,150.00,1200,150.00
2016-12-26,154.00,154.00,154.00,154.00,000,154.00
2016-12-23,154.00,154.00,154.00,154.00,1100,154.00
2016-12-22,144.00,150.00,139.00,150.00,1600,150.00
2016-12-21,148.00,165.00,138.00,154.00,12400,154.00
2016-12-20,150.00,150.00,135.00,148.00,83600,148.00
2016-12-19,121.00,150.00,121.00,150.00,107900,150.00
2016-12-16,144.00,144.00,131.00,131.00,26600,131.00
2016-12-15,140.00,148.00,140.00,144.00,11200,144.00
2016-12-14,145.00,146.00,140.00,140.00,2700,140.00
2016-12-13,148.00,148.00,140.00,145.00,11000,145.00
2016-12-12,148.00,148.00,148.00,148.00,000,148.00
2016-12-09,140.00,150.00,140.00,148.00,13400,148.00
2016-12-08,131.00,150.00,131.00,148.00,6400,148.00
2016-12-07,147.00,147.00,141.00,141.00,1200,141.00
2016-12-06,145.00,154.00,145.00,154.00,3100,154.00
2016-12-05,154.00,154.00,154.00,154.00,000,154.00
2016-12-02,154.00,154.00,154.00,154.00,000,154.00
2016-12-01,154.00,154.00,154.00,154.00,000,154.00
2016-11-30,154.00,154.00,154.00,154.00,3000,154.00
2016-11-29,154.00,154.00,144.00,154.00,2300,154.00
2016-11-28,155.00,155.00,140.00,155.00,3900,155.00
2016-11-25,140.00,155.00,140.00,155.00,17600,155.00
2016-11-24,131.00,155.00,131.00,140.00,11100,140.00
2016-11-23,140.00,140.00,140.00,140.00,2000,140.00
2016-11-22,131.00,155.00,131.00,154.00,3600,154.00
2016-11-21,149.00,155.00,138.00,138.00,17200,138.00
2016-11-18,130.00,155.00,128.00,149.00,6400,149.00
2016-11-17,132.00,155.00,130.00,130.00,23200,130.00
2016-11-16,152.00,152.00,142.00,142.00,300,142.00
2016-11-15,157.00,157.00,136.00,152.00,8700,152.00
2016-11-14,153.00,153.00,147.00,147.00,10800,147.00
2016-11-11,159.00,163.00,144.00,163.00,4100,163.00
2016-11-10,144.00,159.00,140.00,159.00,141300,159.00
2016-11-09,147.00,154.00,147.00,154.00,1170000,154.00
2016-11-08,140.00,146.00,140.00,146.00,525800,146.00
2016-11-07,140.00,140.00,140.00,140.00,000,140.00
