Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,138.00,156.00,134.00,148.00,1500,148.00
2017-01-31,138.00,142.00,128.00,138.00,1428070900,138.00
2017-01-30,134.00,149.00,134.00,140.00,1678343600,140.00
2017-01-27,121.00,141.00,119.00,134.00,2724958200,134.00
2017-01-26,101.00,125.00,100.00,122.00,1800,122.00
2017-01-25,96.00,107.00,94.00,101.00,1709216000,101.00
2017-01-24,91.00,95.00,90.00,94.00,562921400,94.00
2017-01-23,89.00,97.00,86.00,90.00,1937717200,90.00
2017-01-20,79.00,94.00,76.00,89.00,2549857600,89.00
2017-01-19,80.00,80.00,76.00,78.00,214139800,78.00
2017-01-18,80.00,83.00,78.00,79.00,362362400,79.00
2017-01-17,77.00,82.00,77.00,80.00,571369500,80.00
2017-01-16,76.00,80.00,76.00,77.00,318352300,77.00
2017-01-13,75.00,77.00,74.00,76.00,214003500,76.00
2017-01-12,82.00,86.00,75.00,75.00,840964900,75.00
2017-01-11,80.00,86.00,80.00,82.00,785308500,82.00
2017-01-10,85.00,87.00,78.00,80.00,812660500,80.00
2017-01-09,70.00,88.00,70.00,85.00,900,85.00
2017-01-06,69.00,73.00,67.00,70.00,468123700,70.00
2017-01-05,64.00,71.00,63.00,68.00,417703900,68.00
2017-01-04,65.00,67.00,64.00,64.00,68415500,64.00
2017-01-03,67.00,67.00,64.00,65.00,38908800,65.00
2017-01-02,67.00,67.00,67.00,67.00,000,67.00
2016-12-30,67.00,68.00,64.00,67.00,125394500,67.00
2016-12-29,68.00,71.00,66.00,67.00,352240400,67.00
2016-12-28,60.00,69.00,59.00,68.00,375552000,68.00
2016-12-27,57.00,63.00,57.00,59.00,141202600,59.00
2016-12-26,57.00,57.00,57.00,57.00,000,57.00
2016-12-23,57.00,60.00,56.00,57.00,74986400,57.00
2016-12-22,61.00,62.00,57.00,57.00,76861500,57.00
2016-12-21,65.00,67.00,60.00,60.00,166807100,60.00
2016-12-20,59.00,71.00,55.00,65.00,478201300,65.00
2016-12-19,64.00,66.00,58.00,59.00,112832900,59.00
2016-12-16,64.00,65.00,62.00,63.00,50571900,63.00
2016-12-15,64.00,67.00,62.00,64.00,65900000,64.00
2016-12-14,68.00,69.00,64.00,64.00,105431100,64.00
2016-12-13,70.00,70.00,67.00,68.00,84208700,68.00
2016-12-12,70.00,70.00,70.00,70.00,000,70.00
2016-12-09,70.00,72.00,70.00,70.00,43836200,70.00
2016-12-08,72.00,72.00,69.00,70.00,82576200,70.00
2016-12-07,71.00,74.00,70.00,71.00,130601600,71.00
2016-12-06,76.00,76.00,73.00,73.00,100456500,73.00
2016-12-05,72.00,77.00,71.00,74.00,200960500,74.00
2016-12-02,71.00,74.00,71.00,72.00,63310000,72.00
2016-12-01,71.00,76.00,71.00,72.00,188069100,72.00
2016-11-30,75.00,76.00,70.00,71.00,299300700,71.00
2016-11-29,77.00,80.00,73.00,74.00,432125800,74.00
2016-11-28,72.00,79.00,71.00,74.00,362097600,74.00
2016-11-25,75.00,76.00,71.00,72.00,95923800,72.00
2016-11-24,79.00,80.00,73.00,74.00,306550300,74.00
2016-11-23,81.00,81.00,75.00,76.00,224321800,76.00
2016-11-22,82.00,85.00,78.00,79.00,866102300,79.00
2016-11-21,60.00,80.00,59.00,80.00,1057000000,80.00
2016-11-18,67.00,67.00,59.00,60.00,293699800,60.00
2016-11-17,69.00,71.00,65.00,65.00,257766200,65.00
2016-11-16,67.00,73.00,66.00,70.00,256033500,70.00
2016-11-15,73.00,76.00,67.00,67.00,298308800,67.00
2016-11-14,80.00,80.00,73.00,74.00,287171000,74.00
2016-11-11,85.00,85.00,78.00,80.00,466150700,80.00
2016-11-10,85.00,89.00,83.00,85.00,779795900,85.00
2016-11-09,81.00,85.00,77.00,83.00,735090400,83.00
2016-11-08,82.00,89.00,77.00,80.00,1323544800,80.00
2016-11-07,72.00,83.00,72.00,81.00,882342200,81.00
2016-11-04,70.00,75.00,68.00,72.00,325347900,72.00
2016-11-03,77.00,79.00,70.00,70.00,335408700,70.00
2016-11-02,80.00,83.00,75.00,77.00,702583000,77.00
2016-11-01,81.00,85.00,75.00,79.00,683494700,79.00
2016-10-31,73.00,88.00,72.00,81.00,1685777600,81.00
2016-10-28,82.00,89.00,75.00,75.00,1280763200,75.00
2016-10-27,95.00,109.00,83.00,83.00,3937782800,83.00
2016-10-26,73.00,95.00,71.00,92.00,6000339200,92.00
2016-10-25,63.00,76.00,60.00,72.00,3150682800,72.00
2016-10-24,55.00,61.00,54.00,60.00,764036300,60.00
2016-10-21,60.00,62.00,55.00,55.00,775927600,55.00
2016-10-20,66.00,78.00,57.00,60.00,3856261600,60.00
2016-10-19,50.00,65.00,50.00,63.00,2628990400,63.00
2016-10-18,50.00,50.00,50.00,50.00,330600,50.00
2016-10-17,50.00,50.00,50.00,50.00,353700,50.00
2016-10-14,50.00,50.00,50.00,50.00,637300,50.00
2016-10-13,50.00,50.00,50.00,50.00,741400,50.00
2016-10-12,50.00,50.00,50.00,50.00,500000,50.00
2016-10-11,50.00,51.00,50.00,50.00,28988900,50.00
2016-10-10,50.00,51.00,50.00,50.00,188765500,50.00
2016-10-07,50.00,50.00,50.00,50.00,6006400,50.00
2016-10-06,50.00,51.00,50.00,50.00,117871200,50.00
