Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,3880.00,3910.00,3860.00,3860.00,6921500,3860.00
2017-01-31,3850.00,3920.00,3850.00,3850.00,10424500,3850.00
2017-01-30,3950.00,3990.00,3900.00,3900.00,3004800,3900.00
2017-01-27,3960.00,4000.00,3910.00,3920.00,8172800,3920.00
2017-01-26,3990.00,4000.00,3950.00,3990.00,8512000,3990.00
2017-01-25,3970.00,4000.00,3910.00,3990.00,10704100,3990.00
2017-01-24,3900.00,3970.00,3890.00,3950.00,13410000,3950.00
2017-01-23,3850.00,3890.00,3820.00,3860.00,7415700,3860.00
2017-01-20,3880.00,3880.00,3810.00,3830.00,11092500,3830.00
2017-01-19,3910.00,3920.00,3870.00,3870.00,9493100,3870.00
2017-01-18,3910.00,3930.00,3880.00,3880.00,10927200,3880.00
2017-01-17,3950.00,3960.00,3900.00,3920.00,5648000,3920.00
2017-01-16,3940.00,3970.00,3910.00,3950.00,9850600,3950.00
2017-01-13,3930.00,3960.00,3900.00,3900.00,13045700,3900.00
2017-01-12,3950.00,3970.00,3900.00,3900.00,6781000,3900.00
2017-01-11,3950.00,3980.00,3930.00,3950.00,5260000,3950.00
2017-01-10,4000.00,4000.00,3910.00,3950.00,12053600,3950.00
2017-01-09,4020.00,4020.00,3970.00,3970.00,9341100,3970.00
2017-01-06,3960.00,4020.00,3940.00,4000.00,14160000,4000.00
2017-01-05,3890.00,3980.00,3880.00,3980.00,14560900,3980.00
2017-01-04,3810.00,3940.00,3750.00,3920.00,19132400,3920.00
2017-01-03,3830.00,3860.00,3800.00,3800.00,4789100,3800.00
2017-01-02,3830.00,3830.00,3830.00,3830.00,000,3830.00
2016-12-30,3920.00,3960.00,3830.00,3830.00,10748700,3830.00
2016-12-29,3870.00,4000.00,3870.00,3920.00,16518600,3920.00
2016-12-28,3880.00,3970.00,3850.00,3930.00,15696200,3930.00
2016-12-27,3640.00,3840.00,3640.00,3800.00,13883400,3800.00
2016-12-26,3640.00,3640.00,3640.00,3640.00,000,3640.00
2016-12-23,3640.00,3700.00,3630.00,3640.00,13007700,3640.00
2016-12-22,3800.00,3820.00,3620.00,3630.00,19748400,3630.00
2016-12-21,3920.00,3920.00,3740.00,3740.00,17404400,3740.00
2016-12-20,3930.00,3980.00,3870.00,3930.00,6439900,3930.00
2016-12-19,3920.00,3980.00,3920.00,3920.00,7367700,3920.00
2016-12-16,3990.00,4030.00,3960.00,4000.00,12809300,4000.00
2016-12-15,3950.00,4050.00,3920.00,4000.00,18740500,4000.00
2016-12-14,3930.00,3980.00,3930.00,3950.00,7392800,3950.00
2016-12-13,3930.00,3980.00,3920.00,3980.00,5817100,3980.00
2016-12-12,3980.00,3980.00,3980.00,3980.00,000,3980.00
2016-12-09,3980.00,4000.00,3950.00,3980.00,10321700,3980.00
2016-12-08,3960.00,3980.00,3880.00,3980.00,17075300,3980.00
2016-12-07,3940.00,3950.00,3850.00,3950.00,9607300,3950.00
2016-12-06,3960.00,3970.00,3880.00,3920.00,5064500,3920.00
2016-12-05,3880.00,3960.00,3880.00,3950.00,12902500,3950.00
2016-12-02,3860.00,3900.00,3820.00,3880.00,9820200,3880.00
2016-12-01,3800.00,3850.00,3790.00,3840.00,8771300,3840.00
2016-11-30,3830.00,3880.00,3790.00,3800.00,55368600,3800.00
2016-11-29,3850.00,3900.00,3830.00,3830.00,10005200,3830.00
2016-11-28,3830.00,3910.00,3830.00,3870.00,7482100,3870.00
2016-11-25,3800.00,3930.00,3800.00,3910.00,15293600,3910.00
2016-11-24,3850.00,3920.00,3800.00,3840.00,8973200,3840.00
2016-11-23,3900.00,3930.00,3860.00,3930.00,17973500,3930.00
2016-11-22,3780.00,3990.00,3760.00,3990.00,32032300,3990.00
2016-11-21,3800.00,3800.00,3740.00,3780.00,32690900,3780.00
2016-11-18,3780.00,3800.00,3730.00,3800.00,11139900,3800.00
2016-11-17,3730.00,3810.00,3730.00,3780.00,14786800,3780.00
2016-11-16,3820.00,3830.00,3730.00,3760.00,31187000,3760.00
2016-11-15,3820.00,3870.00,3720.00,3800.00,21719700,3800.00
2016-11-14,3800.00,3860.00,3680.00,3850.00,22101300,3850.00
2016-11-11,3970.00,3990.00,3820.00,3820.00,35950100,3820.00
2016-11-10,4040.00,4080.00,4000.00,4000.00,12544600,4000.00
2016-11-09,4100.00,4100.00,3930.00,4040.00,9961100,4040.00
2016-11-08,4020.00,4100.00,4010.00,4070.00,19696500,4070.00
2016-11-07,3970.00,4020.00,3890.00,3980.00,18248600,3980.00
2016-11-04,3930.00,3940.00,3890.00,3940.00,8376100,3940.00
2016-11-03,3970.00,3990.00,3900.00,3900.00,12610100,3900.00
2016-11-02,3990.00,4000.00,3950.00,4000.00,6661800,4000.00
2016-11-01,3990.00,4000.00,3930.00,3990.00,9717600,3990.00
2016-10-31,4000.00,4040.00,3950.00,3950.00,14008700,3950.00
2016-10-28,4020.00,4020.00,3980.00,3990.00,3666700,3990.00
2016-10-27,3990.00,4020.00,3960.00,3980.00,12773300,3980.00
2016-10-26,4000.00,4050.00,3990.00,3990.00,7909800,3990.00
2016-10-25,4090.00,4110.00,4010.00,4010.00,11502700,4010.00
