Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1780.00,1780.00,1780.00,1780.00,171800,1780.00
2017-01-31,1780.00,1780.00,1780.00,1780.00,201300,1780.00
2017-01-30,1780.00,1780.00,1780.00,1780.00,188800,1780.00
2017-01-27,1780.00,1780.00,1780.00,1780.00,174800,1780.00
2017-01-26,1780.00,1780.00,1780.00,1780.00,168900,1780.00
2017-01-25,1780.00,1780.00,1780.00,1780.00,152700,1780.00
2017-01-24,1780.00,1780.00,1780.00,1780.00,171500,1780.00
2017-01-23,1780.00,1780.00,1770.00,1780.00,195600,1780.00
2017-01-20,1780.00,1780.00,1780.00,1780.00,164900,1780.00
2017-01-19,1780.00,1780.00,1780.00,1780.00,161200,1780.00
2017-01-18,1770.00,1780.00,1750.00,1780.00,164400,1780.00
2017-01-17,1780.00,1780.00,1770.00,1770.00,79500,1770.00
2017-01-16,1780.00,1780.00,1780.00,1780.00,154000,1780.00
2017-01-13,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-01-12,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-01-11,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-01-10,1780.00,1780.00,1780.00,1780.00,42400,1780.00
2017-01-09,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-01-06,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-01-05,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-01-04,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-01-03,1780.00,1780.00,1780.00,1780.00,76000,1780.00
2017-01-02,1780.00,1780.00,1780.00,1780.00,000,1780.00
2016-12-30,1780.00,1780.00,1780.00,1780.00,173100,1780.00
2016-12-29,1780.00,1780.00,1780.00,1780.00,28300,1780.00
2016-12-28,1770.00,1780.00,1770.00,1780.00,160000,1780.00
2016-12-27,1760.00,1770.00,1750.00,1770.00,138000,1770.00
2016-12-26,1770.00,1770.00,1770.00,1770.00,000,1770.00
2016-12-23,1780.00,1780.00,1770.00,1770.00,114100,1770.00
2016-12-22,1770.00,1780.00,1700.00,1770.00,113700,1770.00
2016-12-21,1770.00,1780.00,1770.00,1770.00,111600,1770.00
2016-12-20,1770.00,1780.00,1770.00,1770.00,122600,1770.00
2016-12-19,1780.00,1780.00,1760.00,1770.00,159800,1770.00
2016-12-16,1800.00,1800.00,1770.00,1780.00,174300,1780.00
2016-12-15,1870.00,1870.00,1790.00,1800.00,135400,1800.00
2016-12-14,1910.00,1920.00,1870.00,1870.00,182900,1870.00
2016-12-13,1990.00,2000.00,1900.00,1900.00,218800,1900.00
2016-12-12,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-09,2050.00,2050.00,1990.00,1990.00,98000,1990.00
2016-12-08,2060.00,2070.00,2050.00,2060.00,109500,2060.00
2016-12-07,2130.00,2130.00,2060.00,2060.00,121200,2060.00
2016-12-06,2140.00,2160.00,2130.00,2130.00,160000,2130.00
2016-12-05,2150.00,2150.00,2140.00,2140.00,94400,2140.00
2016-12-02,2170.00,2170.00,2150.00,2150.00,172700,2150.00
2016-12-01,2160.00,2190.00,2160.00,2170.00,150600,2170.00
2016-11-30,2170.00,2180.00,2160.00,2160.00,141100,2160.00
2016-11-29,2150.00,2180.00,2150.00,2160.00,165200,2160.00
2016-11-28,2160.00,2160.00,2150.00,2150.00,110400,2150.00
2016-11-25,2160.00,2170.00,2160.00,2160.00,128000,2160.00
2016-11-24,2210.00,2210.00,2160.00,2160.00,151400,2160.00
2016-11-23,2210.00,2220.00,2200.00,2210.00,166900,2210.00
2016-11-22,2190.00,2210.00,2190.00,2210.00,105100,2210.00
2016-11-21,2190.00,2200.00,2180.00,2190.00,172500,2190.00
2016-11-18,2200.00,2210.00,2180.00,2190.00,179100,2190.00
2016-11-17,2330.00,2330.00,2200.00,2200.00,102200,2200.00
2016-11-16,2360.00,2360.00,2330.00,2330.00,97000,2330.00
2016-11-15,2380.00,2400.00,2350.00,2360.00,111000,2360.00
2016-11-14,2380.00,2380.00,2370.00,2370.00,139900,2370.00
2016-11-11,2460.00,2460.00,2380.00,2380.00,103900,2380.00
2016-11-10,2450.00,2470.00,2450.00,2470.00,106800,2470.00
2016-11-09,2530.00,2540.00,2440.00,2450.00,140100,2450.00
2016-11-08,2520.00,2540.00,2520.00,2530.00,120200,2530.00
2016-11-07,2530.00,2540.00,2510.00,2510.00,148200,2510.00
2016-11-04,2550.00,2550.00,2530.00,2530.00,115000,2530.00
2016-11-03,2590.00,2590.00,2540.00,2550.00,85500,2550.00
2016-11-02,2600.00,2620.00,2590.00,2590.00,116600,2590.00
2016-11-01,2650.00,2660.00,2600.00,2600.00,143300,2600.00
2016-10-31,2640.00,2670.00,2640.00,2650.00,126400,2650.00
2016-10-28,2670.00,2670.00,2640.00,2640.00,70200,2640.00
2016-10-27,2700.00,2730.00,2670.00,2670.00,141300,2670.00
2016-10-26,2730.00,2730.00,2690.00,2700.00,78900,2700.00
2016-10-25,2750.00,2750.00,2710.00,2740.00,110800,2740.00
