Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,464.00,464.00,464.00,464.00,000,464.00
2017-01-31,464.00,464.00,464.00,464.00,55000,464.00
2017-01-30,466.00,466.00,464.00,464.00,10100,464.00
2017-01-27,466.00,468.00,466.00,466.00,1000,466.00
2017-01-26,466.00,466.00,466.00,466.00,1500,466.00
2017-01-25,468.00,468.00,466.00,466.00,28600,466.00
2017-01-24,468.00,468.00,468.00,468.00,400,468.00
2017-01-23,470.00,470.00,468.00,468.00,9500,468.00
2017-01-20,470.00,472.00,470.00,470.00,38100,470.00
2017-01-19,478.00,478.00,470.00,470.00,53800,470.00
2017-01-18,480.00,480.00,480.00,480.00,8500,480.00
2017-01-17,482.00,482.00,480.00,480.00,17100,480.00
2017-01-16,482.00,482.00,480.00,482.00,19600,482.00
2017-01-13,482.00,482.00,482.00,482.00,2800,482.00
2017-01-12,476.00,480.00,474.00,480.00,30600,480.00
2017-01-11,478.00,478.00,476.00,476.00,6200,476.00
2017-01-10,478.00,478.00,478.00,478.00,000,478.00
2017-01-09,480.00,480.00,478.00,478.00,10100,478.00
2017-01-06,480.00,480.00,478.00,480.00,20700,480.00
2017-01-05,480.00,482.00,478.00,482.00,33600,482.00
2017-01-04,484.00,484.00,480.00,480.00,24400,480.00
2017-01-03,476.00,490.00,476.00,484.00,114500,484.00
2017-01-02,476.00,476.00,476.00,476.00,000,476.00
2016-12-30,460.00,478.00,460.00,476.00,183900,476.00
2016-12-29,460.00,460.00,458.00,458.00,19400,458.00
2016-12-28,460.00,460.00,460.00,460.00,5000,460.00
2016-12-27,460.00,462.00,460.00,460.00,178800,460.00
2016-12-26,460.00,460.00,460.00,460.00,000,460.00
2016-12-23,456.00,460.00,450.00,460.00,1171900,460.00
2016-12-22,458.00,460.00,454.00,458.00,23900,458.00
2016-12-21,462.00,462.00,458.00,460.00,29600,460.00
2016-12-20,470.00,470.00,462.00,462.00,59700,462.00
2016-12-19,470.00,470.00,458.00,470.00,129900,470.00
2016-12-16,474.00,476.00,460.00,472.00,317400,472.00
2016-12-15,476.00,500.00,458.00,474.00,612800,474.00
2016-12-14,452.00,510.00,452.00,474.00,1918900,474.00
2016-12-13,402.00,458.00,402.00,450.00,1474300,450.00
2016-12-12,402.00,402.00,402.00,402.00,000,402.00
2016-12-09,330.00,402.00,328.00,402.00,4092400,402.00
2016-12-08,296.00,346.00,296.00,328.00,4739600,328.00
2016-12-07,296.00,302.00,294.00,294.00,193600,294.00
2016-12-06,298.00,300.00,296.00,300.00,188700,300.00
2016-12-05,300.00,300.00,300.00,300.00,83800,300.00
2016-12-02,298.00,308.00,298.00,304.00,741700,304.00
2016-12-01,300.00,310.00,292.00,300.00,512900,300.00
2016-11-30,288.00,310.00,286.00,300.00,3311700,300.00
2016-11-29,290.00,290.00,280.00,286.00,289600,286.00
2016-11-28,280.00,298.00,280.00,290.00,1418100,290.00
2016-11-25,278.00,280.00,278.00,280.00,104000,280.00
2016-11-24,288.00,288.00,278.00,278.00,31700,278.00
