Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,50.00,52.00,50.00,50.00,162023400,50.00
2017-01-31,50.00,50.00,50.00,50.00,168100,50.00
2017-01-30,50.00,50.00,50.00,50.00,560200,50.00
2017-01-27,50.00,50.00,50.00,50.00,2698000,50.00
2017-01-26,50.00,50.00,50.00,50.00,33550900,50.00
2017-01-25,50.00,50.00,50.00,50.00,10041500,50.00
2017-01-24,50.00,50.00,50.00,50.00,131700,50.00
2017-01-23,50.00,50.00,50.00,50.00,600,50.00
2017-01-20,50.00,50.00,50.00,50.00,16000,50.00
2017-01-19,50.00,50.00,50.00,50.00,100,50.00
2017-01-18,50.00,50.00,50.00,50.00,700,50.00
2017-01-17,50.00,50.00,50.00,50.00,2031400,50.00
2017-01-16,50.00,50.00,50.00,50.00,300,50.00
2017-01-13,50.00,50.00,50.00,50.00,300,50.00
2017-01-12,50.00,50.00,50.00,50.00,200,50.00
2017-01-11,50.00,50.00,50.00,50.00,600,50.00
2017-01-10,50.00,50.00,50.00,50.00,500,50.00
2017-01-09,50.00,50.00,50.00,50.00,700,50.00
2017-01-06,50.00,50.00,50.00,50.00,1500,50.00
2017-01-05,50.00,50.00,50.00,50.00,600,50.00
2017-01-04,50.00,50.00,50.00,50.00,100100,50.00
2017-01-03,50.00,50.00,50.00,50.00,300,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,800,50.00
2016-12-29,50.00,50.00,50.00,50.00,60500,50.00
2016-12-28,50.00,50.00,50.00,50.00,500,50.00
2016-12-27,50.00,50.00,50.00,50.00,200,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,600,50.00
2016-12-22,50.00,50.00,50.00,50.00,400,50.00
2016-12-21,50.00,50.00,50.00,50.00,52300,50.00
2016-12-20,50.00,50.00,50.00,50.00,2174700,50.00
2016-12-19,50.00,50.00,50.00,50.00,1700,50.00
2016-12-16,50.00,50.00,50.00,50.00,700,50.00
2016-12-15,50.00,50.00,50.00,50.00,700,50.00
2016-12-14,50.00,50.00,50.00,50.00,800,50.00
