Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,745.00,760.00,740.00,755.00,3911000,755.00
2017-01-31,745.00,750.00,740.00,745.00,2627100,745.00
2017-01-30,745.00,745.00,740.00,740.00,1026800,740.00
2017-01-27,745.00,750.00,740.00,745.00,4368800,745.00
2017-01-26,745.00,755.00,740.00,745.00,4076000,745.00
2017-01-25,760.00,760.00,740.00,745.00,4968700,745.00
2017-01-24,730.00,755.00,725.00,755.00,12172700,755.00
2017-01-23,735.00,740.00,720.00,725.00,6960800,725.00
2017-01-20,745.00,755.00,735.00,735.00,15983300,735.00
2017-01-19,745.00,750.00,735.00,745.00,7457900,745.00
2017-01-18,745.00,760.00,740.00,740.00,14958900,740.00
2017-01-17,750.00,770.00,735.00,745.00,25021700,745.00
2017-01-16,755.00,760.00,745.00,750.00,4151900,750.00
2017-01-13,760.00,765.00,740.00,755.00,9848500,755.00
2017-01-12,765.00,775.00,755.00,755.00,10758100,755.00
2017-01-11,765.00,775.00,760.00,765.00,12515500,765.00
2017-01-10,785.00,795.00,765.00,765.00,13941700,765.00
2017-01-09,795.00,795.00,785.00,785.00,1565700,785.00
2017-01-06,800.00,800.00,785.00,795.00,2208600,795.00
2017-01-05,805.00,810.00,785.00,795.00,2313800,795.00
2017-01-04,810.00,810.00,780.00,800.00,6997800,800.00
2017-01-03,835.00,835.00,795.00,810.00,10432600,810.00
2017-01-02,835.00,835.00,835.00,835.00,000,835.00
2016-12-30,810.00,835.00,810.00,835.00,11144400,835.00
2016-12-29,810.00,825.00,795.00,810.00,1825700,810.00
2016-12-28,770.00,810.00,770.00,810.00,2811300,810.00
2016-12-27,760.00,785.00,755.00,765.00,1588500,765.00
2016-12-26,760.00,760.00,760.00,760.00,000,760.00
2016-12-23,790.00,800.00,760.00,760.00,1850700,760.00
2016-12-22,820.00,820.00,785.00,785.00,1772000,785.00
2016-12-21,805.00,820.00,805.00,810.00,855500,810.00
2016-12-20,840.00,840.00,805.00,805.00,1213100,805.00
2016-12-19,870.00,870.00,830.00,840.00,12147000,840.00
2016-12-16,810.00,870.00,810.00,870.00,3998900,870.00
2016-12-15,835.00,845.00,805.00,810.00,1621600,810.00
2016-12-14,825.00,845.00,825.00,830.00,2032100,830.00
2016-12-13,845.00,855.00,825.00,825.00,1862700,825.00
2016-12-12,845.00,845.00,845.00,845.00,000,845.00
2016-12-09,850.00,860.00,840.00,845.00,2466900,845.00
2016-12-08,870.00,875.00,845.00,850.00,2057100,850.00
2016-12-07,865.00,880.00,850.00,860.00,868300,860.00
2016-12-06,880.00,890.00,870.00,870.00,185400,870.00
2016-12-05,875.00,890.00,875.00,885.00,1193200,885.00
2016-12-02,895.00,905.00,880.00,880.00,1258000,880.00
2016-12-01,865.00,890.00,865.00,890.00,5102800,890.00
2016-11-30,885.00,890.00,860.00,865.00,8878000,865.00
2016-11-29,845.00,875.00,835.00,875.00,574600,875.00
2016-11-28,835.00,845.00,830.00,845.00,119600,845.00
2016-11-25,840.00,845.00,830.00,835.00,401600,835.00
2016-11-24,870.00,870.00,820.00,835.00,1724000,835.00
2016-11-23,870.00,870.00,840.00,870.00,1142100,870.00
2016-11-22,845.00,875.00,845.00,870.00,4294400,870.00
2016-11-21,850.00,850.00,830.00,835.00,1084900,835.00
2016-11-18,840.00,855.00,815.00,850.00,8360600,850.00
2016-11-17,850.00,855.00,830.00,850.00,3737200,850.00
2016-11-16,775.00,850.00,775.00,850.00,7115400,850.00
2016-11-15,810.00,810.00,755.00,775.00,3052900,775.00
2016-11-14,825.00,840.00,780.00,805.00,3465800,805.00
2016-11-11,855.00,855.00,810.00,825.00,5577800,825.00
2016-11-10,860.00,870.00,850.00,855.00,3346300,855.00
2016-11-09,865.00,875.00,850.00,860.00,2425300,860.00
2016-11-08,875.00,885.00,865.00,865.00,3429800,865.00
