Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,202.00,210.00,202.00,206.00,144000,206.00
2017-01-31,202.00,208.00,202.00,202.00,117000,202.00
2017-01-30,206.00,210.00,206.00,206.00,265300,206.00
2017-01-27,206.00,206.00,206.00,206.00,000,206.00
2017-01-26,214.00,214.00,204.00,206.00,9900,206.00
2017-01-25,206.00,216.00,202.00,216.00,27100,216.00
2017-01-24,214.00,214.00,206.00,206.00,15300,206.00
2017-01-23,204.00,216.00,204.00,216.00,5000,216.00
2017-01-20,204.00,214.00,204.00,204.00,25600,204.00
2017-01-19,214.00,214.00,214.00,214.00,000,214.00
2017-01-18,214.00,216.00,208.00,214.00,17100,214.00
2017-01-17,216.00,216.00,204.00,214.00,34200,214.00
2017-01-16,208.00,218.00,202.00,216.00,61600,216.00
2017-01-13,206.00,220.00,202.00,208.00,284700,208.00
2017-01-12,206.00,218.00,206.00,216.00,3300,216.00
2017-01-11,204.00,220.00,204.00,206.00,5000,206.00
2017-01-10,202.00,210.00,202.00,204.00,297600,204.00
2017-01-09,202.00,208.00,202.00,202.00,43400,202.00
2017-01-06,204.00,210.00,202.00,202.00,294700,202.00
2017-01-05,197.00,210.00,197.00,208.00,353200,208.00
2017-01-04,206.00,210.00,194.00,196.00,547800,196.00
2017-01-03,242.00,242.00,199.00,206.00,758600,206.00
2017-01-02,244.00,244.00,244.00,244.00,000,244.00
2016-12-30,270.00,270.00,244.00,244.00,1274800,244.00
2016-12-29,278.00,298.00,270.00,270.00,8160800,270.00
2016-12-28,260.00,298.00,260.00,298.00,1643100,298.00
2016-12-27,250.00,274.00,250.00,252.00,1885600,252.00
2016-12-26,260.00,260.00,260.00,260.00,000,260.00
2016-12-23,258.00,260.00,258.00,260.00,170100,260.00
2016-12-22,254.00,254.00,250.00,254.00,3110000,254.00
2016-12-21,254.00,260.00,248.00,254.00,2126000,254.00
2016-12-20,252.00,258.00,252.00,254.00,44800,254.00
2016-12-19,266.00,268.00,250.00,252.00,1050800,252.00
2016-12-16,258.00,262.00,258.00,262.00,68700,262.00
2016-12-15,256.00,260.00,256.00,258.00,52000,258.00
2016-12-14,266.00,266.00,248.00,252.00,3428400,252.00
2016-12-13,256.00,268.00,256.00,256.00,258200,256.00
