Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,260.00,260.00,260.00,260.00,000,260.00
2017-01-31,260.00,260.00,260.00,260.00,000,260.00
2017-01-30,260.00,260.00,260.00,260.00,000,260.00
2017-01-27,260.00,260.00,260.00,260.00,000,260.00
2017-01-26,260.00,260.00,260.00,260.00,000,260.00
2017-01-25,260.00,260.00,260.00,260.00,000,260.00
2017-01-24,260.00,260.00,260.00,260.00,000,260.00
2017-01-23,260.00,260.00,260.00,260.00,000,260.00
2017-01-20,260.00,260.00,260.00,260.00,000,260.00
2017-01-19,260.00,260.00,260.00,260.00,000,260.00
2017-01-18,260.00,260.00,260.00,260.00,000,260.00
2017-01-17,260.00,260.00,260.00,260.00,000,260.00
2017-01-16,260.00,260.00,260.00,260.00,000,260.00
2017-01-13,260.00,260.00,260.00,260.00,000,260.00
2017-01-12,260.00,260.00,260.00,260.00,000,260.00
2017-01-11,260.00,260.00,260.00,260.00,000,260.00
2017-01-10,260.00,260.00,260.00,260.00,000,260.00
2017-01-09,260.00,260.00,260.00,260.00,000,260.00
2017-01-06,260.00,260.00,260.00,260.00,000,260.00
2017-01-05,260.00,260.00,260.00,260.00,000,260.00
2017-01-04,260.00,260.00,260.00,260.00,000,260.00
2017-01-03,260.00,260.00,260.00,260.00,000,260.00
2017-01-02,260.00,260.00,260.00,260.00,000,260.00
2016-12-30,260.00,260.00,260.00,260.00,000,260.00
2016-12-29,260.00,260.00,260.00,260.00,000,260.00
2016-12-28,260.00,260.00,260.00,260.00,000,260.00
2016-12-27,260.00,260.00,260.00,260.00,000,260.00
2016-12-26,260.00,260.00,260.00,260.00,000,260.00
2016-12-23,260.00,260.00,260.00,260.00,000,260.00
2016-12-22,260.00,260.00,260.00,260.00,000,260.00
2016-12-21,260.00,260.00,260.00,260.00,000,260.00
2016-12-20,260.00,260.00,260.00,260.00,000,260.00
2016-12-19,260.00,260.00,260.00,260.00,000,260.00
2016-12-16,260.00,260.00,260.00,260.00,000,260.00
2016-12-15,260.00,260.00,260.00,260.00,000,260.00
2016-12-14,260.00,260.00,260.00,260.00,000,260.00
2016-12-13,260.00,260.00,260.00,260.00,000,260.00
2016-12-12,260.00,260.00,260.00,260.00,000,260.00
2016-12-09,260.00,260.00,260.00,260.00,000,260.00
2016-12-08,260.00,260.00,260.00,260.00,000,260.00
2016-12-07,260.00,260.00,260.00,260.00,000,260.00
2016-12-06,260.00,260.00,260.00,260.00,000,260.00
2016-12-05,260.00,260.00,260.00,260.00,000,260.00
2016-12-02,260.00,260.00,260.00,260.00,000,260.00
2016-12-01,260.00,260.00,260.00,260.00,000,260.00
2016-11-30,260.00,260.00,260.00,260.00,000,260.00
2016-11-29,260.00,260.00,260.00,260.00,000,260.00
2016-11-28,260.00,260.00,260.00,260.00,000,260.00
2016-11-25,260.00,260.00,260.00,260.00,000,260.00
2016-11-24,260.00,260.00,260.00,260.00,000,260.00
2016-11-23,260.00,260.00,260.00,260.00,000,260.00
2016-11-22,260.00,260.00,260.00,260.00,000,260.00
2016-11-21,260.00,260.00,260.00,260.00,000,260.00
2016-11-18,260.00,260.00,260.00,260.00,000,260.00
2016-11-17,260.00,260.00,260.00,260.00,000,260.00
2016-11-16,260.00,260.00,260.00,260.00,000,260.00
2016-11-15,260.00,260.00,260.00,260.00,000,260.00
2016-11-14,260.00,260.00,260.00,260.00,000,260.00
2016-11-11,260.00,260.00,260.00,260.00,000,260.00
2016-11-10,260.00,260.00,260.00,260.00,000,260.00
2016-11-09,260.00,260.00,260.00,260.00,000,260.00
2016-11-08,260.00,260.00,260.00,260.00,000,260.00
2016-11-07,260.00,260.00,260.00,260.00,000,260.00
2016-11-04,260.00,260.00,260.00,260.00,000,260.00
2016-11-03,260.00,260.00,260.00,260.00,000,260.00
2016-11-02,260.00,260.00,260.00,260.00,000,260.00
2016-11-01,260.00,260.00,260.00,260.00,000,260.00
2016-10-31,260.00,260.00,260.00,260.00,000,260.00
2016-10-28,260.00,260.00,260.00,260.00,000,260.00
2016-10-27,260.00,260.00,260.00,260.00,000,260.00
2016-10-26,260.00,260.00,260.00,260.00,000,260.00
2016-10-25,260.00,260.00,260.00,260.00,000,260.00
2016-10-24,260.00,260.00,260.00,260.00,000,260.00
2016-10-21,260.00,260.00,260.00,260.00,000,260.00
2016-10-20,260.00,260.00,260.00,260.00,000,260.00
2016-10-19,260.00,260.00,260.00,260.00,000,260.00
2016-10-18,260.00,260.00,260.00,260.00,000,260.00
2016-10-17,260.00,260.00,260.00,260.00,000,260.00
2016-10-14,260.00,260.00,260.00,260.00,000,260.00
2016-10-13,260.00,260.00,260.00,260.00,000,260.00
2016-10-12,260.00,260.00,260.00,260.00,000,260.00
2016-10-11,260.00,260.00,260.00,260.00,000,260.00
2016-10-10,260.00,260.00,260.00,260.00,000,260.00
2016-10-07,260.00,260.00,260.00,260.00,000,260.00
2016-10-06,260.00,260.00,260.00,260.00,000,260.00
2016-10-05,260.00,260.00,260.00,260.00,000,260.00
2016-10-04,260.00,260.00,260.00,260.00,000,260.00
2016-10-03,260.00,260.00,260.00,260.00,000,260.00
2016-09-30,260.00,260.00,260.00,260.00,000,260.00
2016-09-29,260.00,260.00,260.00,260.00,000,260.00
2016-09-28,260.00,260.00,260.00,260.00,000,260.00
2016-09-27,260.00,260.00,260.00,260.00,000,260.00
2016-09-26,260.00,260.00,260.00,260.00,000,260.00
2016-09-23,260.00,260.00,260.00,260.00,000,260.00
2016-09-22,260.00,260.00,260.00,260.00,000,260.00
