Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,22075.00,22700.00,22075.00,22300.00,3418700,22300.00
2017-01-31,21850.00,22625.00,21850.00,21850.00,2047000,21850.00
2017-01-30,22975.00,22975.00,22350.00,22375.00,893700,22375.00
2017-01-27,22975.00,22975.00,22275.00,22600.00,1268400,22600.00
2017-01-26,22800.00,22975.00,22675.00,22900.00,3925700,22900.00
2017-01-25,22800.00,22900.00,22475.00,22625.00,3654400,22625.00
2017-01-24,22200.00,22850.00,22125.00,22800.00,7806300,22800.00
2017-01-23,22200.00,22200.00,21500.00,21975.00,2533500,21975.00
2017-01-20,21700.00,22250.00,21500.00,22000.00,2241000,22000.00
2017-01-19,21700.00,21775.00,21675.00,21775.00,4317400,21775.00
2017-01-18,21650.00,21700.00,21575.00,21700.00,1549500,21700.00
2017-01-17,21400.00,21600.00,21375.00,21400.00,698200,21400.00
2017-01-16,21525.00,21975.00,21525.00,21550.00,1287400,21550.00
2017-01-13,21500.00,22100.00,21325.00,21925.00,4668300,21925.00
2017-01-12,21700.00,21700.00,21225.00,21225.00,2319300,21225.00
2017-01-11,22000.00,22000.00,21600.00,21800.00,1592100,21800.00
2017-01-10,21500.00,22025.00,21400.00,21950.00,2445700,21950.00
2017-01-09,22200.00,22200.00,21700.00,21900.00,2823600,21900.00
2017-01-06,21800.00,22125.00,21600.00,21700.00,1652600,21700.00
2017-01-05,20900.00,22075.00,20900.00,21975.00,3816300,21975.00
2017-01-04,21025.00,21425.00,20900.00,21400.00,2615000,21400.00
2017-01-03,21200.00,21200.00,20575.00,21000.00,2865600,21000.00
2017-01-02,21250.00,21250.00,21250.00,21250.00,000,21250.00
2016-12-30,20900.00,21450.00,20850.00,21250.00,2367800,21250.00
2016-12-29,20400.00,21000.00,20400.00,20950.00,3132200,20950.00
2016-12-28,20500.00,20775.00,20300.00,20775.00,3281000,20775.00
2016-12-27,20000.00,20275.00,19725.00,20050.00,3204300,20050.00
2016-12-26,19675.00,19675.00,19675.00,19675.00,000,19675.00
2016-12-23,19200.00,20125.00,19200.00,19675.00,4281600,19675.00
2016-12-22,20500.00,20550.00,19200.00,19525.00,6621900,19525.00
2016-12-21,21100.00,21150.00,20150.00,20150.00,3157200,20150.00
2016-12-20,21050.00,21250.00,20625.00,20700.00,4705100,20700.00
2016-12-19,21775.00,21875.00,21050.00,21100.00,4682900,21100.00
2016-12-16,22475.00,22675.00,21975.00,21975.00,5354100,21975.00
2016-12-15,22300.00,22825.00,22200.00,22550.00,4199800,22550.00
2016-12-14,22475.00,22550.00,22325.00,22325.00,4165300,22325.00
2016-12-13,22900.00,23075.00,22000.00,22475.00,4546800,22475.00
2016-12-12,22800.00,22800.00,22800.00,22800.00,000,22800.00
2016-12-09,22400.00,23000.00,22400.00,22800.00,4589200,22800.00
2016-12-08,22700.00,22850.00,22125.00,22600.00,4820200,22600.00
2016-12-07,23250.00,23300.00,22700.00,23025.00,4396100,23025.00
2016-12-06,23950.00,23950.00,23025.00,23250.00,1721200,23250.00
2016-12-05,23200.00,23850.00,23000.00,23500.00,6191600,23500.00
2016-12-02,23000.00,23000.00,22725.00,22975.00,6316900,22975.00
2016-12-01,21700.00,22475.00,21625.00,22250.00,4093600,22250.00
2016-11-30,22000.00,22000.00,21000.00,21000.00,6929400,21000.00
2016-11-29,21250.00,21950.00,21250.00,21775.00,5601000,21775.00
2016-11-28,22025.00,22025.00,21500.00,21500.00,3123900,21500.00
2016-11-25,22000.00,22000.00,21550.00,21900.00,2495500,21900.00
2016-11-24,21200.00,22100.00,21200.00,21475.00,3273300,21475.00
2016-11-23,21475.00,22100.00,21475.00,21900.00,5493100,21900.00
2016-11-22,20525.00,21600.00,20525.00,21425.00,3974100,21425.00
2016-11-21,20600.00,20975.00,20600.00,20775.00,5622300,20775.00
2016-11-18,21975.00,21975.00,20750.00,21300.00,3428600,21300.00
2016-11-17,22500.00,22700.00,21775.00,21900.00,3230000,21900.00
2016-11-16,21000.00,23500.00,20825.00,22900.00,6311700,22900.00
2016-11-15,21200.00,21550.00,20500.00,20700.00,7197400,20700.00
2016-11-14,23425.00,23425.00,21800.00,21800.00,6734500,21800.00
2016-11-11,23000.00,23975.00,22175.00,22850.00,11258900,22850.00
2016-11-10,23000.00,23900.00,23000.00,23275.00,8925900,23275.00
2016-11-09,22500.00,23425.00,21725.00,22725.00,5434900,22725.00
2016-11-08,22500.00,23150.00,22500.00,22950.00,7703000,22950.00
2016-11-07,22000.00,22425.00,21875.00,22275.00,4633800,22275.00
2016-11-04,21000.00,22000.00,21000.00,21850.00,6006400,21850.00
2016-11-03,22175.00,22175.00,20925.00,21850.00,7575200,21850.00
2016-11-02,22500.00,22700.00,21950.00,22275.00,6523900,22275.00
2016-11-01,21300.00,22300.00,21200.00,22275.00,6410900,22275.00
2016-10-31,21100.00,21675.00,21100.00,21625.00,3462400,21625.00
2016-10-28,21300.00,21450.00,20925.00,21100.00,2700600,21100.00
2016-10-27,21300.00,21600.00,21150.00,21550.00,5064400,21550.00
2016-10-26,20625.00,21150.00,20500.00,21150.00,2873600,21150.00
2016-10-25,20325.00,20850.00,20325.00,20750.00,3679300,20750.00
2016-10-24,20450.00,20500.00,20100.00,20325.00,4215200,20325.00
2016-10-21,20200.00,20625.00,20100.00,20200.00,6854500,20200.00
2016-10-20,19900.00,20225.00,19900.00,20050.00,3372300,20050.00
2016-10-19,19825.00,20350.00,19625.00,20100.00,6230100,20100.00
2016-10-18,19500.00,19975.00,19500.00,19800.00,6748200,19800.00
2016-10-17,19000.00,19850.00,18700.00,19800.00,9210300,19800.00
2016-10-14,19450.00,19500.00,18550.00,19200.00,5687000,19200.00
2016-10-13,19400.00,19700.00,19350.00,19400.00,5019500,19400.00
2016-10-12,19100.00,19525.00,18925.00,19100.00,4795000,19100.00
2016-10-11,18850.00,19475.00,18850.00,19450.00,4828500,19450.00
2016-10-10,19250.00,19250.00,18700.00,18850.00,2239300,18850.00
2016-10-07,19300.00,19450.00,19150.00,19450.00,2772300,19450.00
2016-10-06,18800.00,19325.00,18700.00,19300.00,8690600,19300.00
2016-10-05,18600.00,18825.00,18350.00,18700.00,5204100,18700.00
2016-10-04,18325.00,18600.00,18225.00,18450.00,3257800,18450.00
2016-10-03,18000.00,18475.00,17850.00,18350.00,4803100,18350.00
2016-09-30,18025.00,18250.00,17550.00,17700.00,5666100,17700.00
2016-09-29,18300.00,18625.00,18075.00,18500.00,3619400,18500.00
2016-09-28,18050.00,18475.00,17950.00,18250.00,6342300,18107.00
2016-09-27,17000.00,18125.00,16900.00,18100.00,6356300,17958.175
2016-09-26,17700.00,17700.00,17050.00,17200.00,4624000,17065.227
2016-09-23,17925.00,18000.00,17450.00,17925.00,3289500,17784.546
2016-09-22,17600.00,18250.00,17600.00,17975.00,5770900,17834.155
2016-09-21,17400.00,17750.00,17300.00,17600.00,1685900,17462.093
2016-09-20,17800.00,17800.00,17400.00,17675.00,3596300,17536.505
2016-09-19,17825.00,17900.00,17600.00,17825.00,1175800,17685.33
2016-09-16,17600.00,17850.00,17300.00,17850.00,4510100,17710.134
2016-09-15,16600.00,17575.00,16525.00,17500.00,4923200,17362.877
2016-09-14,17300.00,17300.00,16700.00,16825.00,2732900,16693.166
2016-09-13,17750.00,17750.00,17325.00,17450.00,2666100,17313.268
2016-09-12,17500.00,17500.00,17500.00,17500.00,000,17362.877
2016-09-09,18050.00,18150.00,17500.00,17500.00,2586600,17362.877
2016-09-08,18600.00,18700.00,18000.00,18000.00,3614200,17858.959
2016-09-07,19200.00,19250.00,18625.00,18700.00,4517200,18553.474
2016-09-06,18425.00,19250.00,18200.00,19250.00,2622700,19099.164
2016-09-05,18900.00,19125.00,18400.00,18525.00,1289700,18379.845
2016-09-02,19150.00,19150.00,18600.00,19100.00,1603300,18950.34
2016-09-01,18750.00,19150.00,18150.00,18800.00,4120900,18652.69
2016-08-31,18900.00,18950.00,18500.00,18750.00,5756800,18603.082
2016-08-30,17650.00,18700.00,17650.00,18700.00,9489400,18553.474
2016-08-29,17925.00,17925.00,17550.00,17600.00,2796400,17462.093
2016-08-26,18000.00,18000.00,17625.00,17700.00,1539500,17561.309
2016-08-25,17725.00,18000.00,17475.00,18000.00,3347500,17858.959
2016-08-24,17200.00,17775.00,17200.00,17775.00,1537700,17635.722
2016-08-23,17275.00,17500.00,17250.00,17500.00,2768000,17362.877
2016-08-22,17050.00,17475.00,16850.00,17275.00,3376200,17139.64
2016-08-19,17650.00,17775.00,16675.00,16800.00,6661500,16668.361
2016-08-18,18000.00,18250.00,17500.00,17500.00,6212700,17362.877
2016-08-17,17750.00,17750.00,17750.00,17750.00,000,17610.918
