Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,790.00,800.00,785.00,800.00,853200,800.00
2017-01-31,790.00,795.00,785.00,790.00,206500,790.00
2017-01-30,805.00,805.00,785.00,790.00,545800,790.00
2017-01-27,795.00,805.00,785.00,805.00,200800,805.00
2017-01-26,800.00,800.00,785.00,795.00,88600,795.00
2017-01-25,800.00,810.00,785.00,805.00,60800,805.00
2017-01-24,785.00,795.00,785.00,795.00,743100,795.00
2017-01-23,800.00,800.00,785.00,785.00,1501500,785.00
2017-01-20,790.00,805.00,785.00,800.00,236500,800.00
2017-01-19,805.00,810.00,795.00,805.00,45500,805.00
2017-01-18,795.00,815.00,790.00,790.00,217700,790.00
2017-01-17,795.00,830.00,790.00,795.00,518300,795.00
2017-01-16,800.00,820.00,790.00,795.00,685100,795.00
2017-01-13,795.00,810.00,785.00,800.00,1510600,800.00
2017-01-12,800.00,805.00,795.00,800.00,364700,800.00
2017-01-11,820.00,820.00,800.00,800.00,1107900,800.00
2017-01-10,815.00,820.00,800.00,820.00,4638800,820.00
2017-01-09,820.00,820.00,800.00,815.00,153200,815.00
2017-01-06,800.00,820.00,790.00,820.00,186700,820.00
2017-01-05,800.00,820.00,800.00,800.00,2210200,800.00
2017-01-04,810.00,810.00,795.00,800.00,250100,800.00
2017-01-03,795.00,815.00,795.00,810.00,59600,810.00
2017-01-02,820.00,820.00,820.00,820.00,000,820.00
2016-12-30,795.00,820.00,795.00,820.00,167000,820.00
2016-12-29,820.00,820.00,815.00,815.00,83000,815.00
2016-12-28,795.00,820.00,795.00,820.00,23800,820.00
2016-12-27,800.00,810.00,760.00,800.00,2473200,800.00
2016-12-26,820.00,820.00,820.00,820.00,000,820.00
2016-12-23,780.00,820.00,770.00,820.00,46300,820.00
2016-12-22,790.00,830.00,790.00,825.00,86800,825.00
2016-12-21,820.00,830.00,795.00,825.00,274000,825.00
2016-12-20,830.00,835.00,800.00,820.00,981100,820.00
2016-12-19,830.00,830.00,830.00,830.00,435600,830.00
2016-12-16,840.00,840.00,830.00,830.00,1300400,830.00
2016-12-15,835.00,840.00,810.00,840.00,1068600,840.00
2016-12-14,850.00,850.00,825.00,850.00,996500,850.00
2016-12-13,840.00,865.00,835.00,850.00,440500,850.00
2016-12-12,840.00,840.00,840.00,840.00,000,840.00
2016-12-09,850.00,850.00,835.00,840.00,29500,840.00
2016-12-08,825.00,845.00,820.00,830.00,245500,830.00
2016-12-07,820.00,825.00,820.00,825.00,175000,825.00
2016-12-06,810.00,825.00,810.00,820.00,2284900,820.00
2016-12-05,810.00,850.00,810.00,810.00,143500,810.00
2016-12-02,820.00,820.00,790.00,810.00,39200,810.00
2016-12-01,815.00,820.00,785.00,820.00,269500,820.00
2016-11-30,815.00,820.00,810.00,815.00,53800,815.00
2016-11-29,810.00,820.00,775.00,815.00,821600,815.00
2016-11-28,760.00,810.00,760.00,810.00,3661800,810.00
2016-11-25,755.00,770.00,750.00,760.00,257600,760.00
2016-11-24,755.00,765.00,750.00,760.00,341800,760.00
2016-11-23,760.00,775.00,755.00,760.00,231600,760.00
2016-11-22,745.00,760.00,740.00,760.00,1898900,760.00
2016-11-21,735.00,745.00,735.00,745.00,1081200,745.00
2016-11-18,735.00,735.00,730.00,735.00,233100,735.00
2016-11-17,730.00,740.00,730.00,735.00,331500,735.00
2016-11-16,730.00,745.00,720.00,730.00,2792400,730.00
2016-11-15,720.00,735.00,720.00,730.00,1009700,730.00
2016-11-14,730.00,730.00,720.00,725.00,2938000,725.00
2016-11-11,735.00,735.00,720.00,730.00,651900,730.00
2016-11-10,735.00,740.00,730.00,735.00,13900,735.00
2016-11-09,730.00,740.00,670.00,735.00,391000,735.00
2016-11-08,735.00,735.00,720.00,730.00,99800,730.00
2016-11-07,735.00,740.00,730.00,730.00,123400,730.00
2016-11-04,740.00,750.00,735.00,735.00,171900,735.00
2016-11-03,725.00,740.00,725.00,740.00,1187800,740.00
2016-11-02,740.00,740.00,720.00,725.00,329600,725.00
2016-11-01,730.00,730.00,720.00,725.00,617500,725.00
2016-10-31,700.00,745.00,700.00,730.00,101900,730.00
2016-10-28,720.00,720.00,700.00,700.00,134700,700.00
2016-10-27,720.00,745.00,700.00,715.00,486100,715.00
2016-10-26,695.00,720.00,695.00,715.00,698300,715.00
2016-10-25,685.00,695.00,685.00,695.00,811700,695.00
2016-10-24,680.00,695.00,680.00,685.00,29000,685.00
2016-10-21,680.00,680.00,675.00,680.00,493400,680.00
2016-10-20,680.00,680.00,675.00,680.00,118700,680.00
2016-10-19,680.00,685.00,680.00,685.00,241400,685.00
2016-10-18,680.00,680.00,675.00,680.00,271200,680.00
2016-10-17,680.00,695.00,680.00,680.00,827500,680.00
2016-10-14,675.00,685.00,675.00,680.00,452100,680.00
2016-10-13,690.00,690.00,675.00,675.00,1287700,675.00
2016-10-12,680.00,695.00,675.00,690.00,253700,690.00
2016-10-11,670.00,690.00,665.00,680.00,1977300,680.00
2016-10-10,665.00,670.00,665.00,670.00,9300,670.00
2016-10-07,660.00,670.00,660.00,665.00,321000,665.00
2016-10-06,665.00,665.00,660.00,660.00,43600,660.00
2016-10-05,670.00,670.00,670.00,670.00,840100,670.00
2016-10-04,670.00,675.00,660.00,670.00,4190000,670.00
2016-10-03,665.00,670.00,665.00,670.00,599200,670.00
2016-09-30,665.00,675.00,665.00,665.00,73600,665.00
2016-09-29,660.00,670.00,660.00,665.00,712500,665.00
2016-09-28,665.00,665.00,660.00,660.00,2100,660.00
2016-09-27,670.00,670.00,660.00,665.00,832200,665.00
2016-09-26,665.00,670.00,660.00,670.00,160500,670.00
2016-09-23,670.00,670.00,660.00,670.00,535100,670.00
2016-09-22,670.00,675.00,660.00,670.00,1184800,670.00
2016-09-21,670.00,670.00,665.00,670.00,1539800,670.00
2016-09-20,670.00,670.00,670.00,670.00,98300,670.00
2016-09-19,680.00,680.00,660.00,670.00,118400,670.00
2016-09-16,670.00,675.00,655.00,675.00,61200,675.00
2016-09-15,650.00,670.00,650.00,670.00,131200,670.00
2016-09-14,670.00,670.00,655.00,660.00,3268400,660.00
2016-09-13,675.00,675.00,665.00,670.00,3981400,670.00
2016-09-12,675.00,675.00,675.00,675.00,000,675.00
2016-09-09,675.00,680.00,670.00,675.00,2639600,675.00
2016-09-08,675.00,680.00,670.00,675.00,1018500,675.00
2016-09-07,675.00,675.00,670.00,675.00,141400,675.00
2016-09-06,680.00,685.00,670.00,675.00,2336300,675.00
2016-09-05,690.00,690.00,670.00,680.00,268800,680.00
2016-09-02,660.00,685.00,655.00,680.00,1099400,680.00
2016-09-01,655.00,660.00,650.00,660.00,555500,660.00
2016-08-31,650.00,655.00,650.00,655.00,1185600,655.00
2016-08-30,650.00,655.00,650.00,655.00,671000,655.00
2016-08-29,650.00,650.00,650.00,650.00,1154900,650.00
2016-08-26,680.00,680.00,650.00,655.00,597100,655.00
2016-08-25,660.00,660.00,640.00,660.00,492700,660.00
2016-08-24,660.00,660.00,645.00,660.00,2999500,660.00
2016-08-23,685.00,685.00,660.00,670.00,1877600,670.00
2016-08-22,650.00,700.00,645.00,675.00,4507400,675.00
2016-08-19,645.00,650.00,640.00,650.00,3572200,650.00
2016-08-18,645.00,645.00,625.00,645.00,1816700,645.00
2016-08-17,645.00,645.00,645.00,645.00,000,645.00
2016-08-16,650.00,660.00,640.00,645.00,801000,645.00
2016-08-15,650.00,650.00,635.00,650.00,1127400,650.00
2016-08-12,655.00,660.00,650.00,655.00,3897900,655.00
2016-08-11,655.00,655.00,640.00,650.00,2011800,650.00
2016-08-10,655.00,655.00,635.00,655.00,2363700,655.00
2016-08-09,655.00,665.00,645.00,650.00,2500400,650.00
2016-08-08,665.00,675.00,645.00,650.00,4630900,650.00
2016-08-05,645.00,665.00,645.00,660.00,3650200,660.00
2016-08-04,645.00,665.00,640.00,645.00,2326000,645.00
2016-08-03,640.00,675.00,630.00,660.00,6869000,660.00
2016-08-02,635.00,665.00,630.00,635.00,2362800,635.00
2016-08-01,620.00,640.00,620.00,635.00,2514200,635.00
2016-07-29,630.00,630.00,610.00,620.00,1833700,620.00
2016-07-28,620.00,630.00,600.00,615.00,3336200,615.00
2016-07-27,580.00,625.00,555.00,620.00,9031400,620.00
2016-07-26,565.00,580.00,560.00,565.00,426200,565.00
2016-07-25,570.00,585.00,540.00,565.00,839000,565.00
2016-07-22,600.00,605.00,570.00,580.00,2029600,580.00
2016-07-21,530.00,595.00,525.00,575.00,4527400,575.00
2016-07-20,540.00,540.00,515.00,530.00,826800,530.00
