Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,690.00,695.00,690.00,695.00,11000,695.00
2017-01-31,690.00,690.00,690.00,690.00,50000,690.00
2017-01-30,690.00,690.00,640.00,690.00,81500,690.00
2017-01-27,690.00,690.00,690.00,690.00,50000,690.00
2017-01-26,690.00,690.00,690.00,690.00,10000,690.00
2017-01-25,690.00,690.00,690.00,690.00,1000,690.00
2017-01-24,690.00,690.00,690.00,690.00,5000,690.00
2017-01-23,690.00,690.00,640.00,685.00,582400,685.00
2017-01-20,690.00,690.00,690.00,690.00,10800,690.00
2017-01-19,690.00,690.00,690.00,690.00,3400,690.00
2017-01-18,690.00,690.00,690.00,690.00,6900,690.00
2017-01-17,690.00,690.00,690.00,690.00,14900,690.00
2017-01-16,690.00,700.00,645.00,690.00,33400,690.00
2017-01-13,665.00,690.00,665.00,690.00,44700,690.00
2017-01-12,650.00,675.00,650.00,675.00,10000,675.00
2017-01-11,620.00,650.00,620.00,650.00,1200,650.00
2017-01-10,620.00,620.00,620.00,620.00,1900,620.00
2017-01-09,620.00,620.00,620.00,620.00,500,620.00
2017-01-06,620.00,620.00,605.00,620.00,7500,620.00
2017-01-05,620.00,650.00,620.00,620.00,72900,620.00
2017-01-04,610.00,620.00,610.00,620.00,12900,620.00
2017-01-03,600.00,610.00,590.00,610.00,4200,610.00
2017-01-02,600.00,600.00,600.00,600.00,000,600.00
2016-12-30,585.00,600.00,530.00,600.00,184500,600.00
2016-12-29,585.00,585.00,585.00,585.00,15200,585.00
2016-12-28,585.00,585.00,580.00,585.00,9900,585.00
2016-12-27,570.00,585.00,570.00,585.00,21300,585.00
2016-12-26,570.00,570.00,570.00,570.00,000,570.00
2016-12-23,560.00,570.00,560.00,570.00,12000,570.00
2016-12-22,510.00,570.00,510.00,570.00,24400,570.00
2016-12-21,560.00,560.00,510.00,560.00,47900,560.00
2016-12-20,560.00,560.00,560.00,560.00,20000,560.00
2016-12-19,560.00,560.00,560.00,560.00,1000,560.00
2016-12-16,560.00,560.00,550.00,560.00,11100,560.00
2016-12-15,560.00,560.00,560.00,560.00,500,560.00
2016-12-14,515.00,555.00,515.00,555.00,36000,555.00
2016-12-13,555.00,555.00,555.00,555.00,10200,555.00
2016-12-12,555.00,555.00,555.00,555.00,000,555.00
2016-12-09,555.00,555.00,555.00,555.00,60000,555.00
2016-12-08,550.00,550.00,550.00,550.00,1000,550.00
2016-12-07,550.00,550.00,550.00,550.00,124800,550.00
2016-12-06,540.00,550.00,540.00,550.00,340000,550.00
2016-12-05,510.00,545.00,510.00,545.00,4800,545.00
2016-12-02,505.00,540.00,505.00,535.00,220300,535.00
2016-12-01,530.00,535.00,530.00,535.00,21300,535.00
2016-11-30,510.00,530.00,510.00,530.00,3700,530.00
2016-11-29,500.00,515.00,500.00,515.00,47800,515.00
2016-11-28,505.00,510.00,500.00,510.00,584200,510.00
2016-11-25,500.00,510.00,500.00,505.00,1296300,505.00
2016-11-24,505.00,510.00,500.00,510.00,549700,510.00
2016-11-23,505.00,550.00,500.00,525.00,652800,525.00
2016-11-22,505.00,525.00,500.00,525.00,111900,525.00
2016-11-21,545.00,540.00,500.00,530.00,97600,530.00
2016-11-18,515.00,570.00,515.00,545.00,67100,545.00
2016-11-17,530.00,550.00,515.00,545.00,90300,545.00
2016-11-16,550.00,550.00,520.00,540.00,2500,540.00
2016-11-15,520.00,550.00,520.00,550.00,60200,550.00
2016-11-14,530.00,550.00,500.00,550.00,59100,550.00
2016-11-11,580.00,580.00,505.00,550.00,2900,550.00
2016-11-10,545.00,570.00,530.00,550.00,33200,550.00
2016-11-09,580.00,580.00,580.00,580.00,100,580.00
2016-11-08,505.00,530.00,505.00,530.00,24100,530.00
2016-11-07,535.00,535.00,505.00,505.00,2000,505.00
2016-11-04,535.00,535.00,535.00,535.00,000,535.00
2016-11-03,550.00,550.00,500.00,535.00,100600,535.00
2016-11-02,510.00,510.00,510.00,510.00,1300,510.00
2016-11-01,525.00,550.00,510.00,510.00,404400,510.00
2016-10-31,505.00,525.00,500.00,525.00,592600,525.00
2016-10-28,530.00,530.00,525.00,525.00,400,525.00
2016-10-27,500.00,500.00,500.00,500.00,000,500.00
2016-10-26,500.00,500.00,500.00,500.00,113800,500.00
2016-10-25,500.00,500.00,500.00,500.00,2500,500.00
