Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,147.00,147.00,142.00,146.00,200,146.00
2017-01-31,147.00,154.00,139.00,147.00,46500,147.00
2017-01-30,142.00,147.00,137.00,137.00,400,137.00
2017-01-27,143.00,143.00,135.00,142.00,8100,142.00
2017-01-26,141.00,143.00,132.00,143.00,900,143.00
2017-01-25,142.00,142.00,133.00,141.00,900,141.00
2017-01-24,145.00,145.00,145.00,145.00,100,145.00
2017-01-23,143.00,143.00,143.00,143.00,000,143.00
2017-01-20,143.00,143.00,143.00,143.00,000,143.00
2017-01-19,140.00,143.00,140.00,143.00,700,143.00
2017-01-18,145.00,145.00,145.00,145.00,000,145.00
2017-01-17,145.00,145.00,145.00,145.00,000,145.00
2017-01-16,145.00,145.00,145.00,145.00,000,145.00
2017-01-13,142.00,147.00,142.00,145.00,4200,145.00
2017-01-12,146.00,146.00,146.00,146.00,000,146.00
2017-01-11,148.00,148.00,146.00,146.00,100,146.00
2017-01-10,150.00,150.00,148.00,148.00,300,148.00
2017-01-09,150.00,150.00,150.00,150.00,000,150.00
2017-01-06,150.00,150.00,150.00,150.00,000,150.00
2017-01-05,150.00,150.00,150.00,150.00,000,150.00
2017-01-04,150.00,150.00,150.00,150.00,000,150.00
2017-01-03,150.00,150.00,150.00,150.00,1100,150.00
2017-01-02,150.00,150.00,150.00,150.00,000,150.00
2016-12-30,134.00,150.00,130.00,150.00,128200,150.00
2016-12-29,144.00,144.00,144.00,144.00,000,144.00
2016-12-28,148.00,148.00,134.00,144.00,10300,144.00
2016-12-27,144.00,144.00,144.00,144.00,100,144.00
2016-12-26,144.00,144.00,144.00,144.00,000,144.00
2016-12-23,135.00,144.00,129.00,144.00,18500,144.00
2016-12-22,140.00,143.00,140.00,143.00,34100,143.00
2016-12-21,143.00,144.00,135.00,144.00,25300,144.00
2016-12-20,144.00,144.00,135.00,143.00,57700,143.00
2016-12-19,139.00,144.00,137.00,144.00,72300,144.00
2016-12-16,147.00,147.00,138.00,145.00,22500,145.00
2016-12-15,147.00,149.00,141.00,147.00,44500,147.00
2016-12-14,147.00,147.00,143.00,146.00,900,146.00
2016-12-13,145.00,145.00,145.00,145.00,000,145.00
2016-12-12,145.00,145.00,145.00,145.00,000,145.00
2016-12-09,141.00,145.00,139.00,145.00,3700,145.00
2016-12-08,148.00,148.00,139.00,146.00,8300,146.00
2016-12-07,149.00,149.00,141.00,147.00,20500,147.00
2016-12-06,148.00,152.00,148.00,152.00,600,152.00
2016-12-05,149.00,149.00,149.00,149.00,000,149.00
2016-12-02,149.00,149.00,149.00,149.00,000,149.00
2016-12-01,149.00,149.00,149.00,149.00,000,149.00
2016-11-30,138.00,149.00,138.00,149.00,6000,149.00
2016-11-29,145.00,148.00,139.00,148.00,315500,148.00
2016-11-28,148.00,148.00,148.00,148.00,000,148.00
2016-11-25,148.00,148.00,148.00,148.00,100,148.00
2016-11-24,145.00,145.00,145.00,145.00,000,145.00
2016-11-23,139.00,147.00,139.00,145.00,31300,145.00
2016-11-22,139.00,148.00,139.00,148.00,5100,148.00
2016-11-21,145.00,149.00,137.00,148.00,11100,148.00
2016-11-18,139.00,145.00,139.00,145.00,1100,145.00
2016-11-17,140.00,149.00,140.00,149.00,1100,149.00
2016-11-16,149.00,149.00,139.00,149.00,15100,149.00
2016-11-15,149.00,149.00,149.00,149.00,000,149.00
2016-11-14,140.00,149.00,140.00,149.00,300,149.00
2016-11-11,150.00,150.00,150.00,150.00,000,150.00
2016-11-10,147.00,150.00,147.00,150.00,4100,150.00
2016-11-09,149.00,149.00,141.00,148.00,8500,148.00
2016-11-08,151.00,151.00,151.00,151.00,000,151.00
2016-11-07,151.00,151.00,140.00,151.00,1300,151.00
2016-11-04,151.00,151.00,151.00,151.00,000,151.00
2016-11-03,153.00,153.00,139.00,151.00,3500,151.00
2016-11-02,154.00,154.00,154.00,154.00,000,154.00
2016-11-01,154.00,154.00,154.00,154.00,000,154.00
2016-10-31,155.00,155.00,154.00,154.00,2100,154.00
2016-10-28,155.00,155.00,155.00,155.00,000,155.00
2016-10-27,155.00,155.00,155.00,155.00,100,155.00
2016-10-26,151.00,151.00,151.00,151.00,100,151.00
2016-10-25,155.00,155.00,155.00,155.00,100,155.00
2016-10-24,153.00,153.00,153.00,153.00,000,153.00
2016-10-21,153.00,153.00,153.00,153.00,000,153.00
2016-10-20,153.00,153.00,153.00,153.00,000,153.00
2016-10-19,153.00,153.00,153.00,153.00,000,153.00
2016-10-18,153.00,153.00,153.00,153.00,500,153.00
2016-10-17,152.00,152.00,152.00,152.00,300,152.00
2016-10-14,154.00,154.00,154.00,154.00,000,154.00
2016-10-13,154.00,154.00,154.00,154.00,000,154.00
2016-10-12,154.00,154.00,154.00,154.00,000,154.00
2016-10-11,152.00,154.00,152.00,154.00,100,154.00
2016-10-10,153.00,153.00,152.00,152.00,4700,152.00
2016-10-07,153.00,153.00,153.00,153.00,100,153.00
2016-10-06,155.00,155.00,155.00,155.00,2600,155.00
2016-10-05,152.00,152.00,152.00,152.00,000,152.00
2016-10-04,152.00,152.00,152.00,152.00,000,152.00
2016-10-03,152.00,152.00,152.00,152.00,000,152.00
2016-09-30,152.00,152.00,152.00,152.00,000,152.00
2016-09-29,152.00,152.00,152.00,152.00,100,152.00
2016-09-28,148.00,148.00,148.00,148.00,000,148.00
2016-09-27,148.00,155.00,145.00,148.00,1900,148.00
2016-09-26,148.00,148.00,148.00,148.00,100,148.00
2016-09-23,145.00,148.00,145.00,145.00,50300,145.00
2016-09-22,147.00,148.00,147.00,148.00,100,148.00
2016-09-21,147.00,147.00,147.00,147.00,4500,147.00
2016-09-20,147.00,147.00,147.00,147.00,200,147.00
2016-09-19,145.00,146.00,145.00,146.00,8800,146.00
2016-09-16,144.00,148.00,144.00,145.00,20100,145.00
2016-09-15,141.00,144.00,135.00,144.00,71800,144.00
2016-09-14,150.00,150.00,150.00,150.00,000,150.00
2016-09-13,150.00,150.00,150.00,150.00,200,150.00
2016-09-12,156.00,156.00,156.00,156.00,000,156.00
2016-09-09,156.00,156.00,156.00,156.00,000,156.00
2016-09-08,156.00,156.00,156.00,156.00,100,156.00
2016-09-07,145.00,152.00,141.00,152.00,800,152.00
2016-09-06,155.00,155.00,155.00,155.00,200,155.00
2016-09-05,155.00,155.00,145.00,146.00,17100,146.00
2016-09-02,158.00,158.00,145.00,145.00,6100,145.00
2016-09-01,146.00,159.00,145.00,159.00,257000,159.00
2016-08-31,143.00,146.00,143.00,146.00,14400,146.00
2016-08-30,138.00,144.00,138.00,144.00,11200,144.00
2016-08-29,144.00,145.00,144.00,144.00,35100,144.00
2016-08-26,145.00,145.00,145.00,145.00,000,145.00
2016-08-25,146.00,146.00,144.00,145.00,21200,145.00
2016-08-24,146.00,147.00,135.00,146.00,28400,146.00
2016-08-23,146.00,147.00,137.00,147.00,4500,147.00
2016-08-22,144.00,144.00,144.00,144.00,000,144.00
2016-08-19,146.00,146.00,140.00,144.00,4200,144.00
2016-08-18,145.00,146.00,145.00,146.00,5100,146.00
2016-08-17,146.00,146.00,146.00,146.00,000,146.00
2016-08-16,145.00,146.00,140.00,146.00,43000,146.00
2016-08-15,146.00,146.00,145.00,145.00,55300,145.00
2016-08-12,146.00,146.00,140.00,146.00,81200,146.00
2016-08-11,143.00,147.00,140.00,146.00,230800,146.00
2016-08-10,139.00,143.00,139.00,143.00,2100,143.00
2016-08-09,138.00,143.00,138.00,143.00,163000,143.00
2016-08-08,137.00,140.00,137.00,140.00,10300,140.00
2016-08-05,138.00,143.00,138.00,140.00,108900,140.00
2016-08-04,143.00,143.00,143.00,143.00,100,143.00
2016-08-03,141.00,141.00,141.00,141.00,100,141.00
2016-08-02,141.00,141.00,137.00,137.00,2400,137.00
2016-08-01,142.00,142.00,142.00,142.00,000,142.00
2016-07-29,145.00,145.00,140.00,142.00,2700,142.00
2016-07-28,139.00,144.00,139.00,140.00,35200,140.00
2016-07-27,147.00,147.00,137.00,139.00,1198300,139.00
2016-07-26,144.00,150.00,140.00,140.00,78200,140.00
2016-07-25,140.00,144.00,140.00,144.00,5300,144.00
2016-07-22,138.00,145.00,138.00,144.00,47400,144.00
2016-07-21,139.00,144.00,139.00,144.00,3800,144.00
2016-07-20,138.00,141.00,138.00,141.00,46600,141.00
2016-07-19,144.00,144.00,144.00,144.00,000,144.00
2016-07-18,138.00,144.00,138.00,144.00,300,144.00
2016-07-15,139.00,145.00,138.00,145.00,55500,145.00
2016-07-14,145.00,145.00,137.00,139.00,347300,139.00
2016-07-13,141.00,144.00,135.00,141.00,487500,141.00
2016-07-12,135.00,144.00,134.00,139.00,173800,139.00
2016-07-11,144.00,144.00,144.00,144.00,000,144.00
2016-07-08,144.00,144.00,144.00,144.00,000,144.00
2016-07-07,144.00,144.00,144.00,144.00,000,144.00
2016-07-06,144.00,144.00,144.00,144.00,000,144.00
2016-07-05,144.00,144.00,144.00,144.00,000,144.00
2016-07-04,144.00,144.00,144.00,144.00,000,144.00
2016-07-01,143.00,144.00,143.00,144.00,70000,144.00
2016-06-30,135.00,142.00,135.00,142.00,200,142.00
2016-06-28,138.00,145.00,138.00,145.00,96100,145.00
2016-06-27,133.00,138.00,133.00,138.00,300,138.00
2016-06-24,139.00,146.00,139.00,139.00,63200,132.00
2016-06-23,140.00,140.00,136.00,139.00,46200,132.00
2016-06-22,139.00,145.00,139.00,140.00,167500,132.95
2016-06-21,135.00,145.00,135.00,140.00,124400,132.95
2016-06-20,133.00,134.00,132.00,133.00,76500,126.30
2016-06-17,136.00,136.00,136.00,136.00,000,129.15
2016-06-16,136.00,136.00,132.00,136.00,4600,129.15
2016-06-15,134.00,136.00,130.00,136.00,178000,129.15
2016-06-14,136.00,136.00,136.00,136.00,000,129.15
2016-06-13,136.00,136.00,132.00,136.00,1100,129.15
2016-06-10,132.00,136.00,132.00,136.00,5100,129.15
2016-06-09,136.00,136.00,136.00,136.00,000,129.15
2016-06-08,135.00,136.00,133.00,136.00,258200,129.15
2016-06-07,135.00,135.00,132.00,135.00,20200,128.20
2016-06-06,135.00,135.00,135.00,135.00,000,128.20
2016-06-03,132.00,135.00,130.00,135.00,20300,128.20
2016-06-02,132.00,136.00,132.00,136.00,4200,129.15
2016-06-01,136.00,139.00,133.00,137.00,300,130.10
2016-05-31,139.00,139.00,133.00,136.00,50200,129.15
2016-05-30,140.00,140.00,133.00,140.00,20100,132.95
2016-05-27,132.00,140.00,132.00,140.00,28200,132.95
2016-05-26,137.00,137.00,132.00,133.00,273400,126.30
2016-05-25,138.00,148.00,134.00,137.00,2153300,130.10
2016-05-24,137.00,137.00,137.00,137.00,139100,130.10
2016-05-23,137.00,137.00,137.00,137.00,000,130.10
2016-05-20,137.00,137.00,137.00,137.00,500,130.10
2016-05-19,137.00,137.00,137.00,137.00,000,130.10
2016-05-18,130.00,138.00,130.00,137.00,10300,130.10
2016-05-17,131.00,138.00,131.00,138.00,41000,131.05
