Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,11800.00,11800.00,11800.00,11800.00,000,11800.00
2017-01-31,11800.00,11800.00,11800.00,11800.00,000,11800.00
2017-01-30,11850.00,11850.00,11800.00,11800.00,300,11800.00
2017-01-27,11800.00,11900.00,11800.00,11850.00,400,11850.00
2017-01-26,11500.00,11800.00,11500.00,11800.00,400,11800.00
2017-01-25,11500.00,11500.00,11500.00,11500.00,20800,11500.00
2017-01-24,11525.00,11600.00,11525.00,11600.00,500,11600.00
2017-01-23,11500.00,11900.00,11500.00,11500.00,5200,11500.00
2017-01-20,11500.00,11500.00,11500.00,11500.00,1000,11500.00
2017-01-19,11600.00,11600.00,11500.00,11500.00,5000,11500.00
2017-01-18,11750.00,11800.00,11750.00,11800.00,1000,11800.00
2017-01-17,11750.00,11750.00,11750.00,11750.00,32000,11750.00
2017-01-16,11750.00,11900.00,11750.00,11750.00,340200,11750.00
2017-01-13,11750.00,11750.00,11750.00,11750.00,5100,11750.00
2017-01-12,11900.00,11900.00,11900.00,11900.00,1000,11900.00
2017-01-11,11725.00,11950.00,11700.00,11900.00,4800,11900.00
2017-01-10,11725.00,11725.00,11500.00,11725.00,607100,11725.00
2017-01-09,11750.00,11750.00,11500.00,11725.00,57300,11725.00
2017-01-06,11500.00,11750.00,11500.00,11750.00,1400,11750.00
2017-01-05,11525.00,11525.00,11500.00,11500.00,800,11500.00
2017-01-04,11750.00,11750.00,11400.00,11725.00,19400,11725.00
2017-01-03,11750.00,11750.00,11750.00,11750.00,1800,11750.00
2017-01-02,11750.00,11750.00,11750.00,11750.00,000,11750.00
2016-12-30,11750.00,11900.00,11750.00,11750.00,50200,11750.00
2016-12-29,11750.00,11750.00,11750.00,11750.00,5800,11750.00
2016-12-28,11600.00,11750.00,11500.00,11750.00,3600,11750.00
2016-12-27,11500.00,11600.00,11500.00,11600.00,32300,11600.00
2016-12-26,11500.00,11500.00,11500.00,11500.00,000,11500.00
2016-12-23,11350.00,11500.00,11350.00,11500.00,35600,11500.00
2016-12-22,11500.00,11500.00,11500.00,11500.00,27100,11500.00
2016-12-21,11550.00,11600.00,11450.00,11600.00,5800,11600.00
2016-12-20,11600.00,11600.00,11550.00,11550.00,4200,11550.00
2016-12-19,11350.00,11600.00,11350.00,11600.00,20400,11600.00
2016-12-16,11700.00,11800.00,11600.00,11600.00,278200,11600.00
2016-12-15,11700.00,11700.00,11700.00,11700.00,000,11700.00
2016-12-14,11525.00,11700.00,11525.00,11700.00,1100,11700.00
2016-12-13,11900.00,11900.00,11525.00,11600.00,11700,11600.00
2016-12-12,11900.00,11900.00,11900.00,11900.00,000,11900.00
2016-12-09,12000.00,12000.00,11900.00,11900.00,6500,11900.00
2016-12-08,11600.00,12000.00,11575.00,12000.00,5700,12000.00
2016-12-07,11600.00,11600.00,11600.00,11600.00,6200,11600.00
2016-12-06,11600.00,11600.00,11600.00,11600.00,283200,11600.00
2016-12-05,11600.00,11650.00,11600.00,11600.00,25600,11600.00
2016-12-02,11525.00,11525.00,11525.00,11525.00,100,11525.00
2016-12-01,11525.00,11525.00,11425.00,11525.00,211900,11525.00
2016-11-30,11500.00,11725.00,11500.00,11525.00,25700,11525.00
2016-11-29,11500.00,11550.00,11450.00,11500.00,193100,11500.00
2016-11-28,11650.00,11700.00,11000.00,11500.00,314200,11500.00
2016-11-25,11800.00,11800.00,11650.00,11650.00,15300,11650.00
2016-11-24,11650.00,11650.00,11650.00,11650.00,37300,11650.00
2016-11-23,11650.00,11650.00,11650.00,11650.00,100,11650.00
2016-11-22,11500.00,11650.00,11500.00,11650.00,15300,11650.00
2016-11-21,11600.00,11950.00,11600.00,11650.00,10500,11650.00
2016-11-18,11500.00,11600.00,11500.00,11600.00,7700,11600.00
2016-11-17,11600.00,11600.00,11600.00,11600.00,42500,11600.00
2016-11-16,11500.00,11650.00,11475.00,11600.00,15200,11600.00
2016-11-15,11500.00,11500.00,11400.00,11500.00,25700,11500.00
2016-11-14,11550.00,11550.00,11450.00,11500.00,39000,11500.00
2016-11-11,11700.00,11700.00,11500.00,11550.00,5200,11550.00
2016-11-10,11900.00,12000.00,11900.00,11900.00,26000,11900.00
2016-11-09,11800.00,11900.00,11700.00,11900.00,56800,11900.00
2016-11-08,11900.00,11900.00,11800.00,11800.00,5500,11800.00
2016-11-07,12100.00,12100.00,11850.00,11850.00,2600,11850.00
2016-11-04,11975.00,12100.00,11800.00,12100.00,3100,12100.00
2016-11-03,12025.00,12325.00,11950.00,11975.00,288600,11975.00
2016-11-02,12000.00,12025.00,12000.00,12025.00,15500,12025.00
2016-11-01,12100.00,12100.00,12000.00,12100.00,1600,12100.00
2016-10-31,12450.00,12450.00,12025.00,12100.00,9500,12100.00
2016-10-28,12025.00,12150.00,12000.00,12000.00,1600,12000.00
2016-10-27,12000.00,12350.00,12000.00,12025.00,29100,12025.00
2016-10-26,12300.00,12300.00,12050.00,12250.00,1300,12250.00
2016-10-25,12400.00,12725.00,12400.00,12500.00,8200,12500.00
2016-10-24,12025.00,12400.00,11950.00,12200.00,5600,12200.00
2016-10-21,12475.00,12975.00,12000.00,12025.00,42300,12025.00
2016-10-20,12000.00,12100.00,12000.00,12000.00,42400,12000.00
2016-10-19,12475.00,12475.00,12475.00,12475.00,200,12475.00
2016-10-18,12475.00,12475.00,12475.00,12475.00,1100,12475.00
2016-10-17,12475.00,12475.00,12475.00,12475.00,400,12475.00
2016-10-14,12500.00,12500.00,12475.00,12475.00,1400,12475.00
2016-10-13,12500.00,12500.00,12475.00,12475.00,300,12475.00
2016-10-12,12500.00,12500.00,12325.00,12325.00,23300,12325.00
2016-10-11,12300.00,12725.00,12300.00,12500.00,17100,12500.00
2016-10-10,12650.00,12725.00,12300.00,12300.00,8600,12300.00
2016-10-07,12000.00,12900.00,12000.00,12650.00,20500,12650.00
2016-10-06,12150.00,12150.00,11800.00,12100.00,22300,12100.00
2016-10-05,12100.00,12150.00,12025.00,12100.00,19000,12005.00
2016-10-04,12550.00,12550.00,12100.00,12100.00,9400,12005.00
2016-10-03,13000.00,13000.00,12550.00,12550.00,4300,12451.47
2016-09-30,13000.00,13000.00,13000.00,13000.00,400,12897.93
2016-09-29,12925.00,13000.00,12925.00,13000.00,17400,12897.93
2016-09-28,12850.00,13000.00,12800.00,12900.00,14100,12798.72
2016-09-27,13100.00,13225.00,12850.00,12950.00,6400,12848.33
2016-09-26,12825.00,13225.00,12825.00,13100.00,63900,12997.15
2016-09-23,12825.00,12825.00,11950.00,12825.00,102100,12724.31
2016-09-22,11450.00,11950.00,11450.00,11950.00,59900,11856.18
2016-09-21,11375.00,11450.00,11375.00,11450.00,38900,11360.10
2016-09-20,11375.00,11400.00,11300.00,11375.00,22400,11285.69
2016-09-19,11250.00,11375.00,11250.00,11375.00,15000,11285.69
2016-09-16,11350.00,11350.00,11250.00,11250.00,29200,11161.67
2016-09-15,11300.00,11350.00,11250.00,11350.00,16100,11260.89
2016-09-14,11250.00,11250.00,11150.00,11225.00,17600,11136.87
2016-09-13,11250.00,11250.00,11250.00,11250.00,15900,11161.67
2016-09-12,11250.00,11250.00,11250.00,11250.00,000,11161.67
2016-09-09,11350.00,11400.00,11250.00,11250.00,5600,11161.67
2016-09-08,11200.00,11350.00,11200.00,11350.00,12500,11260.89
2016-09-07,11200.00,11300.00,11200.00,11200.00,500,11112.07
2016-09-06,11200.00,11250.00,11100.00,11200.00,26900,11112.07
2016-09-05,11225.00,11400.00,11200.00,11250.00,12200,11161.67
2016-09-02,11200.00,11400.00,11150.00,11200.00,52600,11112.07
2016-09-01,11200.00,11200.00,11150.00,11150.00,16800,11062.46
2016-08-31,11000.00,11200.00,11000.00,11200.00,3400,11112.07
2016-08-30,11000.00,11050.00,11000.00,11000.00,2200,10913.64
2016-08-29,11000.00,11100.00,10750.00,11050.00,9100,10963.24
2016-08-26,11175.00,11175.00,11100.00,11125.00,2500,11037.65
2016-08-25,11150.00,11150.00,11100.00,11100.00,3200,11012.85
2016-08-24,11150.00,11150.00,11150.00,11150.00,19500,11062.46
2016-08-23,11100.00,11200.00,11075.00,11200.00,18800,11112.07
2016-08-22,11100.00,11100.00,11050.00,11100.00,6400,11012.85
2016-08-19,11100.00,11100.00,11100.00,11100.00,3500,11012.85
2016-08-18,11000.00,11100.00,10800.00,11100.00,76600,11012.85
2016-08-17,11100.00,11100.00,11100.00,11100.00,000,11012.85
2016-08-16,11000.00,11200.00,11000.00,11100.00,7500,11012.85
2016-08-15,11000.00,11000.00,10750.00,11000.00,38900,10913.64
2016-08-12,11000.00,11250.00,11000.00,11000.00,18000,10913.64
2016-08-11,11000.00,11000.00,11000.00,11000.00,10800,10913.64
2016-08-10,11000.00,11000.00,11000.00,11000.00,000,10913.64
2016-08-09,11200.00,11200.00,10900.00,11000.00,23900,10913.64
2016-08-08,11000.00,11000.00,10975.00,11000.00,20000,10913.64
2016-08-05,10800.00,11050.00,10800.00,11000.00,62500,10913.64
2016-08-04,11000.00,11200.00,11000.00,11000.00,12400,10913.64
2016-08-03,11400.00,11400.00,11000.00,11000.00,17500,10913.64
2016-08-02,11500.00,11700.00,11150.00,11600.00,210300,11508.93
2016-08-01,11150.00,11300.00,11000.00,11300.00,156700,11211.28
2016-07-29,11150.00,11150.00,11000.00,11150.00,67300,11062.46
2016-07-28,11150.00,11150.00,11150.00,11150.00,1600,11062.46
2016-07-27,11150.00,11150.00,11125.00,11150.00,8200,11062.46
2016-07-26,10900.00,11150.00,10900.00,11150.00,107800,11062.46
2016-07-25,10900.00,10900.00,10900.00,10900.00,200,10814.42
2016-07-22,11000.00,11025.00,11000.00,11000.00,4100,10913.64
2016-07-21,11000.00,11050.00,11000.00,11000.00,90000,10913.64
2016-07-20,11075.00,11075.00,10750.00,11000.00,4700,10913.64
2016-07-19,11100.00,11100.00,11050.00,11075.00,2000,10988.05
2016-07-18,11125.00,11125.00,11125.00,11125.00,000,11037.65
2016-07-15,11125.00,11125.00,11125.00,11125.00,000,11037.65
2016-07-14,11300.00,11300.00,11125.00,11125.00,25200,11037.65
2016-07-13,11100.00,11200.00,10925.00,11100.00,27000,11012.85
2016-07-12,10925.00,10925.00,10700.00,10925.00,2400,10839.23
2016-07-11,11000.00,11000.00,10700.00,10925.00,7200,10839.23
2016-07-08,10700.00,10700.00,10700.00,10700.00,000,10615.99
2016-07-07,10700.00,10700.00,10700.00,10700.00,000,10615.99
2016-07-06,10700.00,10700.00,10700.00,10700.00,000,10615.99
2016-07-05,10700.00,10700.00,10700.00,10700.00,000,10615.99
2016-07-04,10700.00,10700.00,10700.00,10700.00,000,10615.99
2016-07-01,11000.00,11000.00,10700.00,10700.00,457600,10615.99
2016-06-30,11000.00,11050.00,11000.00,11050.00,6100,10963.24
2016-06-29,11000.00,11150.00,11000.00,11000.00,5000,10913.64
2016-06-28,11000.00,11000.00,11000.00,11000.00,2100,10913.64
2016-06-27,10800.00,10800.00,10800.00,10800.00,1500,10715.21
2016-06-24,10800.00,10950.00,10550.00,10800.00,7200,10715.21
2016-06-23,11000.00,11100.00,10950.00,10950.00,2300,10864.03
2016-06-22,11000.00,11000.00,10900.00,11000.00,16900,10913.64
2016-06-21,11000.00,11000.00,10900.00,11000.00,16900,10913.64
2016-06-20,10900.00,11000.00,10900.00,11000.00,32100,10913.64
2016-06-17,11000.00,11200.00,10900.00,11000.00,4300,10913.64
2016-06-16,11000.00,11000.00,11000.00,11000.00,8100,10913.64
2016-06-15,10950.00,11350.00,10950.00,11000.00,1200,10913.64
2016-06-14,11100.00,11200.00,11000.00,11000.00,2400,10913.64
2016-06-13,11400.00,11550.00,11000.00,11100.00,5400,11012.85
2016-06-10,11400.00,11400.00,11100.00,11400.00,4500,10969.20
2016-06-09,11550.00,11550.00,11450.00,11450.00,2000,11017.31
2016-06-08,11450.00,11450.00,11075.00,11400.00,15100,10969.20
2016-06-07,11200.00,11450.00,10800.00,11450.00,4100,11017.31
2016-06-06,11000.00,11200.00,11000.00,11200.00,6300,10776.75
2016-06-03,11450.00,11475.00,11425.00,11425.00,9700,10993.25
2016-06-02,11300.00,11700.00,11300.00,11500.00,32300,11065.42
2016-06-01,11500.00,11500.00,11200.00,11500.00,6000,11065.42
2016-05-31,11600.00,11600.00,11350.00,11500.00,11400,11065.42
2016-05-30,11000.00,11350.00,11000.00,11350.00,97700,10921.09
2016-05-27,10900.00,11000.00,10900.00,11000.00,17200,10584.31
2016-05-26,11075.00,11125.00,11000.00,11125.00,15500,10704.59
2016-05-25,11000.00,11075.00,11000.00,11075.00,9600,10656.48
2016-05-24,11225.00,11225.00,10600.00,10700.00,110200,10295.65
2016-05-23,11000.00,11250.00,11000.00,11225.00,21100,10800.81
2016-05-20,11000.00,11000.00,10800.00,11000.00,1800,10584.31
2016-05-19,11025.00,11025.00,10700.00,11000.00,4200,10584.31
2016-05-18,11000.00,11100.00,11000.00,11025.00,14500,10608.37
2016-05-17,11000.00,11025.00,11000.00,11000.00,98200,10584.31
2016-05-16,11100.00,11300.00,11100.00,11300.00,52500,10872.98
2016-05-13,11250.00,11400.00,11000.00,11100.00,10300,10680.53
2016-05-12,11025.00,11250.00,11025.00,11250.00,52200,10824.87
2016-05-11,11000.00,11075.00,10700.00,11000.00,72500,10584.31
2016-05-10,10675.00,10900.00,10675.00,10900.00,25600,10488.09
2016-05-09,11025.00,11050.00,10750.00,11000.00,26800,10584.31
2016-05-06,11025.00,11025.00,11025.00,11025.00,000,10608.37
2016-05-05,11025.00,11025.00,11025.00,11025.00,000,10608.37
2016-05-04,10975.00,11050.00,10750.00,11025.00,20400,10608.37
2016-05-03,10975.00,11150.00,10750.00,10975.00,36400,10560.26
2016-05-02,10750.00,11075.00,10200.00,10975.00,74800,10560.26
2016-04-29,11000.00,11000.00,10650.00,10750.00,45100,10343.76
2016-04-28,9300.00,10600.00,9025.00,10500.00,385200,10103.21
