Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,730.00,730.00,730.00,730.00,2400,730.00
2017-01-31,730.00,740.00,730.00,730.00,5300,730.00
2017-01-30,735.00,735.00,735.00,735.00,2000,735.00
2017-01-27,750.00,750.00,740.00,740.00,8600,740.00
2017-01-26,750.00,750.00,750.00,750.00,3000,750.00
2017-01-25,750.00,750.00,750.00,750.00,1500,750.00
2017-01-24,755.00,755.00,750.00,750.00,3800,750.00
2017-01-23,770.00,775.00,755.00,755.00,15400,755.00
2017-01-20,765.00,770.00,765.00,770.00,3800,770.00
2017-01-19,770.00,770.00,765.00,765.00,2500,765.00
2017-01-18,770.00,770.00,770.00,770.00,7000,770.00
2017-01-17,765.00,770.00,765.00,770.00,2900,770.00
2017-01-16,775.00,775.00,765.00,765.00,7000,765.00
2017-01-13,765.00,775.00,765.00,775.00,4000,775.00
2017-01-12,765.00,770.00,760.00,770.00,6400,770.00
2017-01-11,765.00,765.00,760.00,765.00,8500,765.00
2017-01-10,770.00,770.00,765.00,765.00,4500,765.00
2017-01-09,770.00,770.00,770.00,770.00,4000,770.00
2017-01-06,770.00,770.00,765.00,770.00,6500,770.00
2017-01-05,765.00,770.00,760.00,770.00,10000,770.00
2017-01-04,765.00,765.00,755.00,765.00,7100,765.00
2017-01-03,765.00,765.00,765.00,765.00,1800,765.00
2017-01-02,780.00,780.00,780.00,780.00,000,780.00
2016-12-30,770.00,780.00,770.00,780.00,3200,780.00
2016-12-29,765.00,770.00,765.00,770.00,3400,770.00
2016-12-28,765.00,770.00,765.00,765.00,8400,765.00
2016-12-27,765.00,775.00,765.00,770.00,9500,770.00
2016-12-26,760.00,760.00,760.00,760.00,000,760.00
2016-12-23,755.00,760.00,755.00,760.00,3700,760.00
2016-12-22,760.00,760.00,760.00,760.00,1800,760.00
2016-12-21,770.00,770.00,765.00,765.00,11800,765.00
2016-12-20,775.00,775.00,770.00,770.00,4000,770.00
2016-12-19,770.00,775.00,760.00,775.00,21000,775.00
2016-12-16,770.00,770.00,770.00,770.00,000,770.00
2016-12-15,765.00,775.00,765.00,770.00,8800,770.00
2016-12-14,755.00,765.00,755.00,765.00,3900,765.00
2016-12-13,750.00,760.00,750.00,755.00,4500,755.00
2016-12-12,750.00,750.00,750.00,750.00,000,750.00
2016-12-09,745.00,750.00,745.00,750.00,2500,750.00
2016-12-08,740.00,750.00,740.00,750.00,5000,750.00
2016-12-07,745.00,745.00,745.00,745.00,3000,745.00
2016-12-06,750.00,750.00,750.00,750.00,9000,750.00
2016-12-05,760.00,760.00,760.00,760.00,2400,760.00
2016-12-02,775.00,775.00,775.00,775.00,000,775.00
2016-12-01,770.00,780.00,770.00,775.00,2600,775.00
2016-11-30,750.00,770.00,740.00,770.00,8900,770.00
2016-11-29,755.00,755.00,755.00,755.00,2900,755.00
2016-11-28,775.00,915.00,760.00,760.00,9500,760.00
2016-11-25,780.00,780.00,775.00,775.00,4200,775.00
2016-11-24,785.00,785.00,785.00,785.00,1900,785.00
2016-11-23,805.00,805.00,785.00,785.00,9100,785.00
2016-11-22,825.00,825.00,810.00,810.00,10700,810.00
2016-11-21,840.00,840.00,830.00,830.00,4800,830.00
2016-11-18,855.00,855.00,840.00,840.00,8000,840.00
2016-11-17,855.00,860.00,850.00,860.00,2900,860.00
2016-11-16,860.00,860.00,855.00,860.00,1400,860.00
2016-11-15,825.00,860.00,815.00,860.00,5200,860.00
2016-11-14,720.00,905.00,705.00,905.00,5900,905.00
2016-11-11,745.00,745.00,700.00,725.00,10800,725.00
2016-11-10,760.00,760.00,745.00,750.00,11500,750.00
2016-11-09,800.00,800.00,760.00,765.00,7700,765.00
2016-11-08,855.00,855.00,840.00,840.00,1100,840.00
2016-11-07,685.00,685.00,685.00,685.00,600,685.00
2016-11-04,690.00,690.00,685.00,685.00,12700,685.00
2016-11-03,695.00,695.00,690.00,690.00,4000,690.00
2016-11-02,700.00,700.00,695.00,695.00,9000,695.00
2016-11-01,695.00,705.00,695.00,700.00,15000,700.00
2016-10-31,705.00,705.00,690.00,695.00,15000,695.00
2016-10-28,715.00,715.00,705.00,705.00,7200,705.00
2016-10-27,750.00,890.00,720.00,720.00,13800,720.00
2016-10-26,720.00,720.00,715.00,715.00,7500,715.00
2016-10-25,720.00,720.00,715.00,715.00,12100,715.00
2016-10-24,730.00,730.00,720.00,720.00,13300,720.00
2016-10-21,730.00,730.00,730.00,730.00,000,730.00
2016-10-20,730.00,730.00,730.00,730.00,4300,730.00
2016-10-19,735.00,735.00,735.00,735.00,1000,735.00
2016-10-18,740.00,750.00,740.00,740.00,7400,740.00
2016-10-17,750.00,750.00,745.00,750.00,10100,750.00
2016-10-14,755.00,755.00,750.00,750.00,8400,750.00
2016-10-13,775.00,775.00,750.00,760.00,11000,760.00
2016-10-12,800.00,800.00,775.00,775.00,7200,775.00
2016-10-11,825.00,825.00,800.00,800.00,16700,800.00
2016-10-10,825.00,825.00,825.00,825.00,500,825.00
2016-10-07,830.00,830.00,815.00,825.00,2700,825.00
2016-10-06,830.00,830.00,830.00,830.00,1000,830.00
2016-10-05,850.00,880.00,835.00,840.00,4300,840.00
2016-10-04,870.00,920.00,825.00,855.00,16800,855.00
2016-10-03,870.00,1030.00,870.00,870.00,1050300,870.00
2016-09-30,840.00,870.00,840.00,870.00,314800,870.00
2016-09-29,830.00,840.00,800.00,840.00,433800,840.00
2016-09-28,820.00,830.00,820.00,830.00,365200,830.00
2016-09-27,815.00,820.00,815.00,820.00,435300,820.00
2016-09-26,820.00,820.00,810.00,815.00,408600,815.00
2016-09-23,815.00,815.00,800.00,815.00,408200,815.00
2016-09-22,800.00,810.00,790.00,810.00,424200,810.00
2016-09-21,780.00,800.00,750.00,800.00,433000,800.00
2016-09-20,800.00,800.00,780.00,780.00,425700,780.00
2016-09-19,800.00,800.00,770.00,800.00,419900,800.00
2016-09-16,805.00,805.00,800.00,800.00,380700,800.00
2016-09-15,830.00,850.00,750.00,805.00,498300,805.00
2016-09-14,780.00,965.00,780.00,830.00,116500,830.00
2016-09-13,635.00,775.00,635.00,775.00,235800,775.00
2016-09-12,625.00,625.00,625.00,625.00,000,625.00
2016-09-09,545.00,625.00,535.00,625.00,519600,625.00
2016-09-08,496.00,550.00,496.00,525.00,434400,525.00
2016-09-07,484.00,525.00,484.00,525.00,445900,525.00
2016-09-06,448.00,470.00,448.00,470.00,401100,470.00
2016-09-05,442.00,460.00,442.00,444.00,469300,444.00
2016-09-02,424.00,440.00,422.00,440.00,411400,440.00
2016-09-01,416.00,424.00,416.00,420.00,415800,420.00
2016-08-31,412.00,416.00,412.00,416.00,616300,416.00
2016-08-30,410.00,410.00,408.00,408.00,399900,408.00
2016-08-29,414.00,414.00,406.00,408.00,418200,408.00
2016-08-26,380.00,400.00,380.00,400.00,439100,400.00
2016-08-25,372.00,378.00,364.00,378.00,1050600,378.00
2016-08-24,368.00,376.00,368.00,372.00,520200,372.00
2016-08-23,364.00,366.00,364.00,366.00,445000,366.00
2016-08-22,360.00,362.00,360.00,362.00,450000,362.00
2016-08-19,356.00,370.00,356.00,358.00,446200,358.00
2016-08-18,346.00,356.00,346.00,356.00,495000,356.00
2016-08-17,344.00,344.00,344.00,344.00,000,344.00
2016-08-16,344.00,344.00,336.00,344.00,450000,344.00
2016-08-15,328.00,334.00,328.00,334.00,460000,334.00
2016-08-12,322.00,326.00,322.00,326.00,460000,326.00
2016-08-11,316.00,320.00,316.00,320.00,475000,320.00
2016-08-10,316.00,316.00,316.00,316.00,460000,316.00
2016-08-09,316.00,316.00,316.00,316.00,470000,316.00
2016-08-08,308.00,324.00,306.00,316.00,1229700,316.00
2016-08-05,306.00,310.00,306.00,310.00,475000,310.00
2016-08-04,306.00,306.00,302.00,306.00,474200,306.00
2016-08-03,306.00,306.00,296.00,302.00,481600,302.00
2016-08-02,288.00,294.00,288.00,294.00,600000,294.00
2016-08-01,270.00,282.00,270.00,282.00,615000,282.00
2016-07-29,268.00,270.00,268.00,270.00,500000,270.00
2016-07-28,268.00,268.00,254.00,268.00,726600,268.00
2016-07-27,246.00,268.00,246.00,268.00,528000,268.00
2016-07-26,234.00,242.00,234.00,242.00,565000,242.00
2016-07-25,228.00,234.00,228.00,234.00,575800,234.00
2016-07-22,230.00,230.00,230.00,230.00,550000,230.00
2016-07-21,224.00,230.00,224.00,230.00,580200,230.00
2016-07-20,220.00,226.00,220.00,226.00,646300,226.00
2016-07-19,218.00,220.00,218.00,220.00,590000,220.00
2016-07-18,214.00,218.00,214.00,218.00,585300,218.00
2016-07-15,212.00,216.00,212.00,216.00,610000,216.00
2016-07-14,210.00,212.00,210.00,212.00,631200,212.00
2016-07-13,212.00,212.00,212.00,212.00,705000,212.00
2016-07-12,200.00,210.00,196.00,210.00,622000,210.00
2016-07-11,198.00,206.00,198.00,206.00,667400,206.00
2016-07-08,200.00,200.00,200.00,200.00,000,200.00
2016-07-07,200.00,200.00,200.00,200.00,000,200.00
2016-07-06,200.00,200.00,200.00,200.00,000,200.00
2016-07-05,200.00,200.00,200.00,200.00,000,200.00
2016-07-04,200.00,200.00,200.00,200.00,000,200.00
2016-07-01,194.00,200.00,188.00,200.00,887400,200.00
2016-06-30,196.00,200.00,196.00,200.00,683900,200.00
2016-06-28,173.00,174.00,172.00,173.00,680100,173.00
2016-06-27,178.00,182.00,178.00,180.00,726800,180.00
2016-06-24,190.00,200.00,184.00,184.00,2002400,184.00
2016-06-23,202.00,202.00,195.00,196.00,815100,196.00
2016-06-22,200.00,220.00,198.00,202.00,676400,202.00
2016-06-21,200.00,202.00,196.00,202.00,591600,202.00
2016-06-20,177.00,210.00,177.00,210.00,665200,210.00
2016-06-17,183.00,183.00,181.00,183.00,670000,183.00
2016-06-16,183.00,187.00,181.00,187.00,690000,187.00
2016-06-15,181.00,183.00,181.00,183.00,780000,183.00
2016-06-14,191.00,191.00,187.00,191.00,900000,191.00
2016-06-13,191.00,195.00,191.00,195.00,628800,195.00
2016-06-10,188.00,190.00,188.00,190.00,1233100,190.00
2016-06-09,181.00,195.00,181.00,187.00,1119300,187.00
2016-06-08,181.00,182.00,181.00,182.00,1390000,182.00
2016-06-07,183.00,184.00,181.00,183.00,1423100,183.00
2016-06-06,181.00,184.00,181.00,183.00,651000,183.00
2016-06-03,180.00,185.00,180.00,185.00,680500,185.00
2016-06-02,187.00,189.00,187.00,187.00,650800,187.00
2016-06-01,178.00,187.00,178.00,186.00,651200,186.00
2016-05-31,167.00,181.00,167.00,178.00,683500,178.00
2016-05-30,159.00,165.00,158.00,165.00,761400,165.00
2016-05-27,152.00,160.00,152.00,157.00,293800,157.00
2016-05-26,141.00,152.00,141.00,152.00,348400,152.00
2016-05-25,141.00,144.00,136.00,141.00,1162500,141.00
2016-05-24,140.50,140.50,140.50,140.50,000,140.50
2016-05-23,140.50,140.50,140.50,140.50,000,140.50
2016-05-20,140.50,140.50,140.50,140.50,000,140.50
2016-05-19,140.50,140.50,140.50,140.50,000,140.50
2016-05-18,140.50,140.50,140.50,140.50,000,140.50
2016-05-17,140.50,140.50,140.50,140.50,000,140.50
2016-05-16,140.50,140.50,140.50,140.50,000,140.50
2016-05-13,140.50,140.50,140.50,140.50,000,140.50
2016-05-12,140.50,140.50,140.50,140.50,000,140.50
2016-05-11,140.50,140.50,140.50,140.50,000,140.50
2016-05-10,140.50,140.50,140.50,140.50,000,140.50
2016-05-09,140.50,140.50,140.50,140.50,000,140.50
2016-05-06,140.50,140.50,140.50,140.50,000,140.50
2016-05-05,140.50,140.50,140.50,140.50,000,140.50
2016-05-04,140.50,140.50,140.50,140.50,000,140.50
2016-05-03,140.50,140.50,140.50,140.50,000,140.50
2016-05-02,140.50,140.50,140.50,140.50,000,140.50
2016-04-29,140.50,140.50,140.50,140.50,000,140.50
2016-04-28,140.50,140.50,140.50,140.50,000,140.50
2016-04-27,140.50,140.50,140.50,140.50,000,140.50
2016-04-26,140.50,140.50,140.50,140.50,000,140.50
2016-04-25,140.50,140.50,140.50,140.50,000,140.50
