Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1170.00,1220.00,1170.00,1195.00,828300,1195.00
2017-01-31,1170.00,1200.00,1165.00,1170.00,1181400,1170.00
2017-01-30,1200.00,1200.00,1180.00,1195.00,451600,1195.00
2017-01-27,1205.00,1205.00,1190.00,1200.00,501800,1200.00
2017-01-26,1215.00,1215.00,1200.00,1205.00,982000,1205.00
2017-01-25,1215.00,1240.00,1205.00,1215.00,653600,1215.00
2017-01-24,1245.00,1245.00,1205.00,1215.00,308200,1215.00
2017-01-23,1215.00,1245.00,1215.00,1225.00,118500,1225.00
2017-01-20,1215.00,1220.00,1205.00,1215.00,267700,1215.00
2017-01-19,1220.00,1240.00,1215.00,1215.00,931200,1215.00
2017-01-18,1215.00,1230.00,1205.00,1210.00,1277200,1210.00
2017-01-17,1205.00,1245.00,1205.00,1215.00,1206700,1215.00
2017-01-16,1235.00,1235.00,1205.00,1205.00,374400,1205.00
2017-01-13,1245.00,1260.00,1230.00,1235.00,394500,1235.00
2017-01-12,1235.00,1255.00,1230.00,1245.00,777400,1245.00
2017-01-11,1240.00,1260.00,1235.00,1235.00,329900,1235.00
2017-01-10,1240.00,1250.00,1240.00,1240.00,121700,1240.00
2017-01-09,1250.00,1255.00,1235.00,1240.00,239800,1240.00
2017-01-06,1255.00,1270.00,1245.00,1250.00,366800,1250.00
2017-01-05,1240.00,1270.00,1240.00,1255.00,85200,1255.00
2017-01-04,1245.00,1245.00,1230.00,1240.00,692400,1240.00
2017-01-03,1300.00,1310.00,1220.00,1245.00,552800,1245.00
2017-01-02,1300.00,1300.00,1300.00,1300.00,000,1300.00
2016-12-30,1265.00,1300.00,1250.00,1300.00,4810200,1300.00
2016-12-29,1210.00,1285.00,1195.00,1255.00,1178500,1255.00
2016-12-28,1195.00,1215.00,1195.00,1200.00,827300,1200.00
2016-12-27,1205.00,1220.00,1195.00,1200.00,802500,1200.00
2016-12-26,1205.00,1205.00,1205.00,1205.00,000,1205.00
2016-12-23,1180.00,1205.00,1175.00,1205.00,272300,1205.00
2016-12-22,1210.00,1210.00,1175.00,1190.00,156100,1190.00
2016-12-21,1220.00,1225.00,1185.00,1200.00,918200,1200.00
2016-12-20,1250.00,1250.00,1205.00,1220.00,769400,1220.00
2016-12-19,1245.00,1270.00,1245.00,1250.00,378600,1250.00
2016-12-16,1260.00,1270.00,1245.00,1245.00,731600,1245.00
2016-12-15,1270.00,1280.00,1260.00,1260.00,232600,1260.00
2016-12-14,1300.00,1340.00,1260.00,1260.00,1759600,1260.00
2016-12-13,1295.00,1300.00,1260.00,1300.00,850400,1300.00
2016-12-12,1295.00,1295.00,1295.00,1295.00,000,1295.00
2016-12-09,1285.00,1315.00,1260.00,1295.00,1288200,1295.00
2016-12-08,1280.00,1305.00,1255.00,1285.00,840200,1285.00
