Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,450.00,460.00,450.00,460.00,10200,460.00
2017-01-31,450.00,450.00,450.00,450.00,000,450.00
2017-01-30,450.00,450.00,450.00,450.00,10000,450.00
2017-01-27,450.00,450.00,450.00,450.00,21400,450.00
2017-01-26,440.00,450.00,440.00,450.00,62400,450.00
2017-01-25,430.00,440.00,430.00,440.00,6200,440.00
2017-01-24,430.00,430.00,430.00,430.00,22800,430.00
2017-01-23,430.00,430.00,430.00,430.00,35600,430.00
2017-01-20,420.00,430.00,420.00,430.00,49600,430.00
2017-01-19,420.00,420.00,420.00,420.00,23200,420.00
2017-01-18,430.00,430.00,418.00,420.00,123600,420.00
2017-01-17,430.00,430.00,430.00,430.00,20500,430.00
2017-01-16,420.00,430.00,420.00,430.00,23900,430.00
2017-01-13,410.00,420.00,410.00,420.00,27300,420.00
2017-01-12,400.00,410.00,400.00,410.00,22900,410.00
2017-01-11,390.00,400.00,390.00,400.00,20000,400.00
2017-01-10,390.00,400.00,390.00,390.00,89000,390.00
2017-01-09,360.00,390.00,360.00,390.00,2300,390.00
2017-01-06,360.00,360.00,360.00,360.00,12400,360.00
2017-01-05,360.00,360.00,360.00,360.00,1300,360.00
2017-01-04,360.00,360.00,360.00,360.00,1500,360.00
2017-01-03,360.00,360.00,360.00,360.00,12800,360.00
2017-01-02,360.00,360.00,360.00,360.00,000,360.00
2016-12-30,330.00,360.00,330.00,360.00,2100,360.00
2016-12-29,330.00,330.00,330.00,330.00,000,330.00
2016-12-28,330.00,330.00,330.00,330.00,100,330.00
2016-12-27,330.00,330.00,330.00,330.00,23400,330.00
2016-12-26,330.00,330.00,330.00,330.00,000,330.00
2016-12-23,330.00,330.00,330.00,330.00,000,330.00
2016-12-22,330.00,330.00,330.00,330.00,000,330.00
2016-12-21,298.00,330.00,298.00,330.00,400,330.00
2016-12-20,298.00,298.00,298.00,298.00,000,298.00
2016-12-19,298.00,298.00,298.00,298.00,400,298.00
2016-12-16,298.00,298.00,298.00,298.00,000,298.00
2016-12-15,298.00,298.00,298.00,298.00,000,298.00
2016-12-14,298.00,298.00,298.00,298.00,700,298.00
2016-12-13,298.00,298.00,298.00,298.00,200,298.00
2016-12-12,298.00,298.00,298.00,298.00,000,298.00
2016-12-09,270.00,298.00,270.00,298.00,5100,298.00
2016-12-08,260.00,266.00,260.00,266.00,12700,266.00
2016-12-07,260.00,260.00,260.00,260.00,26000,260.00
2016-12-06,260.00,260.00,260.00,260.00,5000,260.00
2016-12-05,258.00,260.00,258.00,260.00,25000,260.00
2016-12-02,250.00,258.00,250.00,258.00,20100,258.00
2016-12-01,248.00,250.00,248.00,250.00,15000,250.00
2016-11-30,240.00,248.00,240.00,248.00,20100,248.00
2016-11-29,240.00,240.00,240.00,240.00,000,240.00
2016-11-28,238.00,240.00,230.00,240.00,200,240.00
2016-11-25,238.00,238.00,238.00,238.00,000,238.00
2016-11-24,238.00,238.00,238.00,238.00,000,238.00
2016-11-23,258.00,258.00,238.00,238.00,600,238.00
2016-11-22,226.00,238.00,226.00,238.00,400,238.00
2016-11-21,226.00,226.00,226.00,226.00,10000,226.00
2016-11-18,226.00,226.00,226.00,226.00,9100,226.00
2016-11-17,226.00,226.00,226.00,226.00,10000,226.00
2016-11-16,226.00,238.00,226.00,226.00,300,226.00
2016-11-15,226.00,226.00,226.00,226.00,19900,226.00
2016-11-14,226.00,226.00,226.00,226.00,1000,226.00
2016-11-11,226.00,226.00,226.00,226.00,10000,226.00
2016-11-10,226.00,226.00,226.00,226.00,290000,226.00
2016-11-09,226.00,226.00,226.00,226.00,000,226.00
2016-11-08,226.00,226.00,226.00,226.00,20200,226.00
2016-11-07,226.00,226.00,226.00,226.00,500,226.00
2016-11-04,226.00,226.00,226.00,226.00,2400,226.00
2016-11-03,226.00,226.00,226.00,226.00,60000,226.00
2016-11-02,226.00,226.00,226.00,226.00,10000,226.00
2016-11-01,226.00,226.00,226.00,226.00,000,226.00
2016-10-31,226.00,230.00,226.00,226.00,40300,226.00
2016-10-28,220.00,220.00,220.00,220.00,42000,220.00
2016-10-27,220.00,220.00,220.00,220.00,50500,220.00
2016-10-26,220.00,220.00,220.00,220.00,20000,220.00
2016-10-25,220.00,220.00,220.00,220.00,000,220.00
2016-10-24,220.00,220.00,220.00,220.00,000,220.00
2016-10-21,220.00,220.00,220.00,220.00,50900,220.00
2016-10-20,224.00,224.00,224.00,224.00,000,224.00
2016-10-19,224.00,224.00,224.00,224.00,1000,224.00
2016-10-18,220.00,226.00,200.00,226.00,51200,226.00
2016-10-17,220.00,220.00,220.00,220.00,7700,220.00
2016-10-14,220.00,220.00,220.00,220.00,10000,220.00
