Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,62300.00,62800.00,62000.00,62700.00,608200,62700.00
2017-01-31,61750.00,63300.00,61750.00,61750.00,649000,61750.00
2017-01-30,62800.00,63400.00,62700.00,62800.00,204400,62800.00
2017-01-27,63750.00,63750.00,62700.00,62800.00,373400,62800.00
2017-01-26,63900.00,63900.00,63225.00,63400.00,290000,63400.00
2017-01-25,63750.00,63750.00,63000.00,63000.00,309300,63000.00
2017-01-24,63475.00,63800.00,63375.00,63750.00,406300,63750.00
2017-01-23,63000.00,63500.00,62975.00,63475.00,288700,63475.00
2017-01-20,63400.00,63475.00,62500.00,62500.00,326000,62500.00
2017-01-19,63700.00,63725.00,63250.00,63400.00,356700,63400.00
2017-01-18,62600.00,63900.00,62600.00,63000.00,296400,63000.00
2017-01-17,63250.00,63450.00,62500.00,62500.00,269000,62500.00
2017-01-16,62800.00,64075.00,62800.00,63200.00,445000,63200.00
2017-01-13,63775.00,63925.00,63025.00,63050.00,531400,63050.00
2017-01-12,63700.00,63975.00,63250.00,63250.00,370300,63250.00
2017-01-11,63200.00,63200.00,63025.00,63150.00,334500,63150.00
2017-01-10,63700.00,63700.00,63000.00,63000.00,620000,63000.00
2017-01-09,64775.00,64850.00,63125.00,63600.00,397300,63600.00
2017-01-06,65450.00,65450.00,63900.00,64425.00,339100,64425.00
2017-01-05,63200.00,65600.00,63200.00,65600.00,1023100,65600.00
2017-01-04,63400.00,64450.00,62300.00,63200.00,578800,63200.00
2017-01-03,63650.00,64350.00,63100.00,63300.00,340700,63300.00
2017-01-02,63900.00,63900.00,63900.00,63900.00,000,63900.00
2016-12-30,63350.00,64400.00,63350.00,63900.00,465300,63900.00
2016-12-29,63200.00,64125.00,62900.00,64000.00,673400,64000.00
2016-12-28,62900.00,64150.00,62900.00,63850.00,645300,63850.00
2016-12-27,60700.00,63100.00,60700.00,62900.00,622500,62900.00
2016-12-26,60300.00,60300.00,60300.00,60300.00,000,60300.00
2016-12-23,60025.00,61325.00,60025.00,60300.00,592400,60300.00
2016-12-22,62025.00,62125.00,60800.00,60850.00,653200,60850.00
2016-12-21,62000.00,62900.00,61900.00,62000.00,1050200,62000.00
2016-12-20,63550.00,63900.00,62950.00,62975.00,584400,62975.00
2016-12-19,65200.00,65200.00,63800.00,63900.00,781400,63900.00
2016-12-16,66300.00,66325.00,65100.00,65550.00,826800,65550.00
2016-12-15,66700.00,67125.00,66000.00,66300.00,601300,66300.00
2016-12-14,66850.00,67375.00,66500.00,67025.00,343700,67025.00
2016-12-13,66200.00,67300.00,66200.00,66850.00,521800,66850.00
2016-12-12,66950.00,66950.00,66950.00,66950.00,000,66950.00
2016-12-09,66000.00,67525.00,66000.00,66950.00,247800,66950.00
2016-12-08,65500.00,67500.00,65500.00,67500.00,1043800,67500.00
2016-12-07,67000.00,67000.00,65050.00,65450.00,1154400,65450.00
2016-12-06,67575.00,67700.00,67150.00,67450.00,586300,67450.00
2016-12-05,65500.00,67750.00,65500.00,67575.00,750400,67575.00
2016-12-02,65200.00,66425.00,64725.00,66325.00,666400,66325.00
2016-12-01,65000.00,65100.00,64300.00,65000.00,844800,65000.00
2016-11-30,63450.00,65000.00,63000.00,65000.00,1985700,65000.00
2016-11-29,62775.00,63150.00,62775.00,63050.00,1267500,63050.00
2016-11-28,62600.00,62875.00,62600.00,62775.00,295400,62775.00
2016-11-25,64375.00,64375.00,61800.00,62425.00,604800,62425.00
2016-11-24,63800.00,64075.00,62500.00,62500.00,797300,62500.00
2016-11-23,63750.00,64825.00,63700.00,64500.00,1303700,64500.00
2016-11-22,62500.00,64525.00,62500.00,64500.00,697100,64500.00
2016-11-21,62800.00,63800.00,62525.00,63000.00,868000,63000.00
2016-11-18,62500.00,63100.00,62300.00,63100.00,608900,63100.00
