Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,434.00,434.00,434.00,434.00,000,434.00
2017-01-31,434.00,440.00,426.00,434.00,86300,434.00
2017-01-30,420.00,450.00,420.00,450.00,65000,450.00
2017-01-27,420.00,420.00,420.00,420.00,4000,420.00
2017-01-26,420.00,420.00,420.00,420.00,000,420.00
2017-01-25,420.00,420.00,420.00,420.00,400,420.00
2017-01-24,420.00,420.00,420.00,420.00,000,420.00
2017-01-23,420.00,420.00,400.00,420.00,7000,420.00
2017-01-20,420.00,420.00,420.00,420.00,4000,420.00
2017-01-19,400.00,420.00,400.00,420.00,400,420.00
2017-01-18,420.00,420.00,420.00,420.00,1000,420.00
2017-01-17,420.00,422.00,420.00,420.00,7000,420.00
2017-01-16,420.00,420.00,420.00,420.00,2000,420.00
2017-01-13,410.00,420.00,410.00,420.00,7900,420.00
2017-01-12,410.00,420.00,410.00,420.00,33300,420.00
2017-01-11,400.00,410.00,400.00,410.00,200,410.00
2017-01-10,400.00,400.00,400.00,400.00,15200,400.00
2017-01-09,428.00,430.00,400.00,400.00,103100,400.00
2017-01-06,428.00,428.00,428.00,428.00,000,428.00
2017-01-05,420.00,428.00,420.00,428.00,10500,428.00
2017-01-04,402.00,420.00,400.00,420.00,19600,420.00
2017-01-03,410.00,410.00,402.00,402.00,25000,402.00
2017-01-02,418.00,418.00,418.00,418.00,000,418.00
2016-12-30,396.00,418.00,396.00,418.00,600,418.00
2016-12-29,400.00,400.00,400.00,400.00,000,400.00
2016-12-28,410.00,412.00,400.00,400.00,4800,400.00
2016-12-27,400.00,400.00,400.00,400.00,10900,400.00
2016-12-26,400.00,400.00,400.00,400.00,000,400.00
2016-12-23,400.00,402.00,392.00,400.00,2600,400.00
2016-12-22,420.00,420.00,390.00,390.00,14000,390.00
2016-12-21,402.00,402.00,400.00,400.00,17400,400.00
2016-12-20,402.00,402.00,402.00,402.00,000,402.00
2016-12-19,420.00,450.00,380.00,402.00,3000,402.00
2016-12-16,412.00,428.00,408.00,408.00,8100,408.00
2016-12-15,412.00,412.00,412.00,412.00,000,412.00
2016-12-14,412.00,412.00,412.00,412.00,000,412.00
2016-12-13,412.00,412.00,412.00,412.00,000,412.00
2016-12-12,412.00,412.00,412.00,412.00,000,412.00
2016-12-09,412.00,412.00,412.00,412.00,100,412.00
2016-12-08,410.00,410.00,410.00,410.00,15000,410.00
2016-12-07,386.00,410.00,386.00,410.00,4200,410.00
2016-12-06,400.00,400.00,388.00,400.00,3800,400.00
2016-12-05,400.00,400.00,400.00,400.00,600,400.00
2016-12-02,400.00,400.00,388.00,400.00,900,400.00
2016-12-01,386.00,386.00,386.00,386.00,000,386.00
2016-11-30,386.00,386.00,386.00,386.00,000,386.00
2016-11-29,386.00,386.00,386.00,386.00,15000,386.00
2016-11-28,380.00,380.00,380.00,380.00,4800,380.00
2016-11-25,380.00,380.00,380.00,380.00,000,380.00
2016-11-24,380.00,380.00,380.00,380.00,000,380.00
2016-11-23,380.00,380.00,380.00,380.00,15000,380.00
2016-11-22,420.00,420.00,420.00,420.00,000,420.00
2016-11-21,420.00,420.00,420.00,420.00,1400,420.00
2016-11-18,418.00,420.00,418.00,420.00,10000,420.00
2016-11-17,400.00,400.00,400.00,400.00,000,400.00
2016-11-16,436.00,436.00,400.00,400.00,4200,400.00
2016-11-15,436.00,436.00,436.00,436.00,000,436.00
2016-11-14,436.00,436.00,436.00,436.00,000,436.00
2016-11-11,436.00,436.00,436.00,436.00,200,436.00
2016-11-10,436.00,436.00,436.00,436.00,11300,436.00
2016-11-09,438.00,440.00,424.00,436.00,7600,436.00
2016-11-08,450.00,450.00,438.00,438.00,3500,438.00
2016-11-07,450.00,450.00,450.00,450.00,000,450.00
2016-11-04,450.00,450.00,450.00,450.00,20000,450.00
2016-11-03,448.00,450.00,448.00,450.00,10900,450.00
2016-11-02,432.00,432.00,430.00,432.00,6800,432.00
2016-11-01,448.00,448.00,434.00,434.00,100,434.00
2016-10-31,440.00,448.00,440.00,448.00,8000,448.00
2016-10-28,450.00,450.00,446.00,450.00,7000,450.00
2016-10-27,430.00,450.00,430.00,450.00,616800,450.00
2016-10-26,420.00,450.00,420.00,450.00,141800,450.00
2016-10-25,412.00,428.00,412.00,428.00,41100,428.00
2016-10-24,418.00,418.00,418.00,418.00,000,418.00
2016-10-21,418.00,418.00,418.00,418.00,000,418.00
2016-10-20,418.00,418.00,418.00,418.00,000,418.00
2016-10-19,418.00,418.00,418.00,418.00,000,418.00
2016-10-18,418.00,418.00,418.00,418.00,000,418.00
2016-10-17,418.00,418.00,418.00,418.00,000,418.00
2016-10-14,418.00,418.00,418.00,418.00,000,418.00
2016-10-13,418.00,418.00,418.00,418.00,000,418.00
2016-10-12,418.00,418.00,418.00,418.00,000,418.00
2016-10-11,418.00,418.00,418.00,418.00,000,418.00
2016-10-10,418.00,418.00,418.00,418.00,000,418.00
2016-10-07,418.00,418.00,418.00,418.00,000,418.00
2016-10-06,418.00,418.00,418.00,418.00,000,418.00
2016-10-05,418.00,418.00,418.00,418.00,000,418.00
2016-10-04,418.00,418.00,418.00,418.00,000,418.00
2016-10-03,418.00,418.00,418.00,418.00,100,418.00
2016-09-30,400.00,400.00,400.00,400.00,400,400.00
2016-09-29,400.00,400.00,400.00,400.00,000,400.00
2016-09-28,400.00,400.00,400.00,400.00,000,400.00
2016-09-27,400.00,400.00,400.00,400.00,000,400.00
2016-09-26,400.00,400.00,400.00,400.00,000,400.00
2016-09-23,400.00,400.00,400.00,400.00,000,400.00
2016-09-22,400.00,400.00,400.00,400.00,10000,400.00
2016-09-21,400.00,400.00,400.00,400.00,000,400.00
2016-09-20,400.00,400.00,400.00,400.00,000,400.00
2016-09-19,400.00,400.00,400.00,400.00,000,400.00
2016-09-16,420.00,420.00,380.00,400.00,23500,400.00
2016-09-15,420.00,420.00,420.00,420.00,100,420.00
2016-09-14,410.00,410.00,386.00,400.00,5200,400.00
2016-09-13,400.00,400.00,400.00,400.00,400,400.00
2016-09-12,400.00,400.00,400.00,400.00,000,400.00
2016-09-09,400.00,400.00,400.00,400.00,7500,400.00
2016-09-08,390.00,390.00,390.00,390.00,11100,390.00
2016-09-07,410.00,410.00,410.00,410.00,000,410.00
2016-09-06,410.00,410.00,410.00,410.00,000,410.00
2016-09-05,410.00,410.00,410.00,410.00,000,410.00
2016-09-02,410.00,410.00,410.00,410.00,000,410.00
2016-09-01,410.00,410.00,410.00,410.00,000,410.00
2016-08-31,410.00,410.00,410.00,410.00,100,410.00
2016-08-30,396.00,396.00,396.00,396.00,000,396.00
2016-08-29,396.00,396.00,396.00,396.00,34000,396.00
2016-08-26,394.00,396.00,394.00,396.00,9700,396.00
2016-08-25,394.00,394.00,394.00,394.00,000,394.00
2016-08-24,394.00,394.00,394.00,394.00,3000,394.00
2016-08-23,396.00,396.00,394.00,394.00,13000,394.00
2016-08-22,396.00,396.00,396.00,396.00,10000,396.00
2016-08-19,396.00,396.00,396.00,396.00,6000,396.00
2016-08-18,396.00,396.00,396.00,396.00,1000,396.00
2016-08-17,396.00,396.00,396.00,396.00,000,396.00
2016-08-16,396.00,396.00,396.00,396.00,1500,396.00
2016-08-15,396.00,396.00,396.00,396.00,7200,396.00
2016-08-12,396.00,396.00,396.00,396.00,100,396.00
2016-08-11,392.00,392.00,382.00,392.00,161700,392.00
2016-08-10,392.00,392.00,392.00,392.00,000,392.00
2016-08-09,392.00,392.00,392.00,392.00,100,392.00
2016-08-08,380.00,392.00,380.00,392.00,7400,392.00
2016-08-05,396.00,396.00,396.00,396.00,000,396.00
2016-08-04,396.00,396.00,390.00,396.00,146500,396.00
2016-08-03,402.00,402.00,398.00,398.00,2800,398.00
2016-08-02,402.00,402.00,402.00,402.00,000,402.00
2016-08-01,392.00,402.00,392.00,402.00,400,402.00
2016-07-29,378.00,392.00,378.00,392.00,30100,392.00
2016-07-28,400.00,400.00,390.00,390.00,200,390.00
2016-07-27,390.00,408.00,390.00,400.00,7300,400.00
2016-07-26,410.00,410.00,410.00,410.00,000,410.00
2016-07-25,410.00,410.00,410.00,410.00,000,410.00
2016-07-22,372.00,410.00,372.00,410.00,300,410.00
2016-07-21,396.00,396.00,390.00,390.00,5400,390.00
2016-07-20,384.00,390.00,382.00,390.00,99300,390.00
2016-07-19,384.00,394.00,384.00,390.00,250200,390.00
2016-07-18,380.00,390.00,380.00,384.00,133800,384.00
2016-07-15,376.00,384.00,376.00,384.00,7600,384.00
2016-07-14,364.00,376.00,364.00,376.00,83000,376.00
2016-07-13,370.00,370.00,360.00,370.00,277900,370.00
2016-07-12,362.00,370.00,362.00,370.00,105500,370.00
2016-07-11,380.00,380.00,380.00,380.00,000,380.00
2016-07-08,380.00,380.00,380.00,380.00,000,380.00
2016-07-07,380.00,380.00,380.00,380.00,000,380.00
2016-07-06,380.00,380.00,380.00,380.00,000,380.00
2016-07-05,380.00,380.00,380.00,380.00,000,380.00
2016-07-04,380.00,380.00,380.00,380.00,000,380.00
2016-07-01,374.00,380.00,362.00,380.00,71600,380.00
2016-06-30,360.00,374.00,360.00,374.00,10100,374.00
2016-06-28,364.00,368.00,362.00,368.00,103300,368.00
2016-06-27,368.00,368.00,364.00,368.00,2000,368.00
2016-06-24,380.00,380.00,360.00,368.00,158800,368.00
2016-06-23,382.00,384.00,368.00,382.00,359400,366.00
2016-06-22,382.00,382.00,382.00,382.00,59800,366.00
2016-06-21,380.00,382.00,378.00,382.00,280300,366.00
2016-06-20,380.00,380.00,370.00,380.00,211000,364.08
2016-06-17,378.00,378.00,378.00,378.00,100,362.17
2016-06-16,386.00,386.00,360.00,380.00,84200,364.08
2016-06-15,382.00,382.00,382.00,382.00,10000,366.00
2016-06-14,382.00,382.00,382.00,382.00,000,366.00
