Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,69.00,69.00,69.00,69.00,000,69.00
2017-01-31,69.00,69.00,69.00,69.00,000,69.00
2017-01-30,68.00,69.00,68.00,69.00,100,69.00
2017-01-27,66.00,68.00,66.00,68.00,152300,68.00
2017-01-26,70.00,70.00,70.00,70.00,000,70.00
2017-01-25,70.00,70.00,70.00,70.00,24600,70.00
2017-01-24,71.00,71.00,71.00,71.00,700,71.00
2017-01-23,73.00,73.00,70.00,72.00,13500,72.00
2017-01-20,73.00,73.00,73.00,73.00,5100,73.00
2017-01-19,72.00,74.00,71.00,71.00,1700,71.00
2017-01-18,67.00,67.00,67.00,67.00,1500,67.00
2017-01-17,67.00,67.00,67.00,67.00,000,67.00
2017-01-16,68.00,68.00,67.00,67.00,700,67.00
2017-01-13,68.00,68.00,68.00,68.00,000,68.00
2017-01-12,68.00,75.00,68.00,68.00,1200,68.00
2017-01-11,68.00,68.00,68.00,68.00,700,68.00
2017-01-10,68.00,68.00,68.00,68.00,000,68.00
2017-01-09,67.00,68.00,62.00,68.00,11300,68.00
2017-01-06,74.00,74.00,67.00,67.00,300,67.00
2017-01-05,75.00,75.00,75.00,75.00,000,75.00
2017-01-04,75.00,75.00,75.00,75.00,000,75.00
2017-01-03,75.00,75.00,75.00,75.00,000,75.00
2017-01-02,75.00,75.00,75.00,75.00,000,75.00
2016-12-30,75.00,75.00,75.00,75.00,000,75.00
2016-12-29,75.00,75.00,75.00,75.00,100,75.00
2016-12-28,68.00,68.00,68.00,68.00,8000,68.00
2016-12-27,68.00,68.00,68.00,68.00,12800,68.00
2016-12-26,74.00,74.00,74.00,74.00,000,74.00
2016-12-23,74.00,74.00,74.00,74.00,1100,74.00
2016-12-22,66.00,66.00,66.00,66.00,000,66.00
2016-12-21,68.00,68.00,66.00,66.00,300,66.00
2016-12-20,74.00,74.00,68.00,68.00,1000,68.00
2016-12-19,74.00,74.00,74.00,74.00,000,74.00
2016-12-16,74.00,74.00,74.00,74.00,000,74.00
2016-12-15,74.00,74.00,74.00,74.00,000,74.00
2016-12-14,75.00,76.00,74.00,74.00,300,74.00
2016-12-13,74.00,74.00,68.00,70.00,10100,70.00
2016-12-12,74.00,74.00,74.00,74.00,000,74.00
2016-12-09,76.00,76.00,74.00,74.00,700,74.00
2016-12-08,70.00,70.00,70.00,70.00,100,70.00
2016-12-07,71.00,71.00,71.00,71.00,100,71.00
2016-12-06,72.00,72.00,70.00,70.00,23600,70.00
2016-12-05,70.00,72.00,70.00,72.00,11200,72.00
2016-12-02,80.00,80.00,71.00,73.00,61300,73.00
2016-12-01,64.00,81.00,62.00,78.00,86100,78.00
2016-11-30,64.00,64.00,64.00,64.00,000,64.00
2016-11-29,63.00,72.00,63.00,64.00,18300,64.00
2016-11-28,66.00,72.00,63.00,63.00,400,63.00
2016-11-25,66.00,66.00,66.00,66.00,000,66.00
2016-11-24,73.00,73.00,66.00,66.00,20100,66.00
2016-11-23,61.00,71.00,61.00,71.00,15500,71.00
2016-11-22,63.00,63.00,63.00,63.00,000,63.00
2016-11-21,63.00,63.00,63.00,63.00,000,63.00
2016-11-18,63.00,63.00,63.00,63.00,100,63.00
2016-11-17,66.00,66.00,66.00,66.00,2000,66.00
2016-11-16,66.00,66.00,66.00,66.00,500,66.00
2016-11-15,66.00,66.00,65.00,66.00,1600,66.00
2016-11-14,75.00,75.00,70.00,70.00,7900,70.00
2016-11-11,64.00,64.00,64.00,64.00,13000,64.00
2016-11-10,64.00,64.00,64.00,64.00,100,64.00
2016-11-09,70.00,70.00,70.00,70.00,000,70.00
2016-11-08,70.00,70.00,70.00,70.00,7500,70.00
2016-11-07,77.00,77.00,77.00,77.00,1000,77.00
2016-11-04,77.00,77.00,77.00,77.00,000,77.00
2016-11-03,77.00,77.00,77.00,77.00,000,77.00
2016-11-02,77.00,77.00,77.00,77.00,000,77.00
2016-11-01,77.00,77.00,77.00,77.00,000,77.00
2016-10-31,64.00,80.00,64.00,77.00,25100,77.00
2016-10-28,64.00,64.00,64.00,64.00,000,64.00
2016-10-27,65.00,65.00,64.00,64.00,3100,64.00
2016-10-26,66.00,66.00,66.00,66.00,000,66.00
2016-10-25,66.00,66.00,66.00,66.00,500,66.00
2016-10-24,69.00,69.00,66.00,66.00,500,66.00
2016-10-21,72.00,72.00,65.00,69.00,8500,69.00
2016-10-20,69.00,73.00,69.00,69.00,300,69.00
2016-10-19,69.00,69.00,69.00,69.00,1100,69.00
2016-10-18,72.00,72.00,65.00,65.00,1000,65.00
2016-10-17,79.00,79.00,65.00,65.00,700,65.00
2016-10-14,70.00,70.00,70.00,70.00,100,70.00
2016-10-13,61.00,65.00,60.00,61.00,36100,61.00
2016-10-12,66.00,66.00,66.00,66.00,000,66.00
2016-10-11,63.00,66.00,63.00,66.00,13400,66.00
2016-10-10,66.00,75.00,63.00,63.00,200,63.00
2016-10-07,66.00,66.00,66.00,66.00,100,66.00
2016-10-06,72.00,72.00,72.00,72.00,000,72.00
2016-10-05,72.00,72.00,72.00,72.00,200,72.00
2016-10-04,72.00,72.00,72.00,72.00,000,72.00
2016-10-03,73.00,73.00,72.00,72.00,4100,72.00
2016-09-30,80.00,80.00,72.00,74.00,74800,74.00
2016-09-29,80.00,80.00,80.00,80.00,100,80.00
2016-09-28,64.00,70.00,64.00,70.00,200,70.00
2016-09-27,64.00,64.00,64.00,64.00,100,64.00
2016-09-26,64.00,64.00,64.00,64.00,000,64.00
2016-09-23,64.00,64.00,64.00,64.00,000,64.00
2016-09-22,64.00,64.00,64.00,64.00,000,64.00
2016-09-21,64.00,64.00,64.00,64.00,000,64.00
2016-09-20,64.00,64.00,64.00,64.00,000,64.00
2016-09-19,71.00,71.00,64.00,64.00,10200,64.00
2016-09-16,61.00,61.00,61.00,61.00,10000,61.00
2016-09-15,61.00,61.00,61.00,61.00,5000,61.00
2016-09-14,61.00,61.00,61.00,61.00,000,61.00
2016-09-13,62.00,62.00,61.00,61.00,43100,61.00
2016-09-12,67.00,67.00,67.00,67.00,000,67.00
2016-09-09,67.00,67.00,67.00,67.00,10100,67.00
2016-09-08,65.00,65.00,65.00,65.00,000,65.00
2016-09-07,61.00,65.00,61.00,65.00,3000,65.00
2016-09-06,65.00,65.00,65.00,65.00,000,65.00
2016-09-05,75.00,75.00,65.00,65.00,22600,65.00
2016-09-02,68.00,68.00,63.00,65.00,51000,65.00
2016-09-01,56.00,68.00,56.00,68.00,7300,68.00
2016-08-31,60.00,60.00,56.00,56.00,300,56.00
2016-08-30,70.00,70.00,60.00,60.00,1100,60.00
2016-08-29,70.00,70.00,60.00,60.00,200,60.00
2016-08-26,62.00,62.00,62.00,62.00,1400,62.00
2016-08-25,63.00,63.00,63.00,63.00,400,63.00
2016-08-24,67.00,67.00,62.00,62.00,12500,62.00
2016-08-23,68.00,68.00,59.00,61.00,800,61.00
2016-08-22,64.00,64.00,64.00,64.00,000,64.00
2016-08-19,65.00,65.00,64.00,64.00,22000,64.00
2016-08-18,65.00,65.00,65.00,65.00,2466000,65.00
2016-08-17,62.00,62.00,62.00,62.00,000,62.00
2016-08-16,62.00,62.00,62.00,62.00,100,62.00
2016-08-15,62.00,62.00,62.00,62.00,18500,62.00
2016-08-12,65.00,65.00,65.00,65.00,000,65.00
2016-08-11,65.00,65.00,65.00,65.00,8000,65.00
2016-08-10,66.00,66.00,66.00,66.00,10000,66.00
2016-08-09,69.00,69.00,69.00,69.00,000,69.00
2016-08-08,69.00,69.00,69.00,69.00,1000,69.00
2016-08-05,60.00,67.00,60.00,65.00,22600,65.00
2016-08-04,65.00,65.00,65.00,65.00,7300,65.00
2016-08-03,66.00,66.00,66.00,66.00,1000,66.00
2016-08-02,65.00,69.00,62.00,66.00,91600,66.00
2016-08-01,61.00,78.00,61.00,63.00,92600,63.00
2016-07-29,61.00,61.00,61.00,61.00,000,61.00
2016-07-28,61.00,61.00,61.00,61.00,1100,61.00
2016-07-27,58.00,63.00,58.00,61.00,5600,61.00
2016-07-26,59.00,59.00,59.00,59.00,000,59.00
2016-07-25,59.00,59.00,59.00,59.00,100,59.00
2016-07-22,59.00,59.00,59.00,59.00,200,59.00
2016-07-21,63.00,63.00,59.00,59.00,18100,59.00
2016-07-20,59.00,59.00,59.00,59.00,300,59.00
2016-07-19,57.00,57.00,57.00,57.00,100,57.00
2016-07-18,56.00,57.00,56.00,57.00,4900,57.00
2016-07-15,59.00,59.00,59.00,59.00,000,59.00
2016-07-14,57.00,59.00,55.00,59.00,114600,59.00
2016-07-13,61.00,61.00,61.00,61.00,000,61.00
2016-07-12,61.00,61.00,61.00,61.00,000,61.00
2016-07-11,61.00,61.00,61.00,61.00,000,61.00
2016-07-08,61.00,61.00,61.00,61.00,000,61.00
2016-07-07,61.00,61.00,61.00,61.00,000,61.00
2016-07-06,61.00,61.00,61.00,61.00,000,61.00
2016-07-05,61.00,61.00,61.00,61.00,000,61.00
2016-07-04,61.00,61.00,61.00,61.00,000,61.00
2016-07-01,61.00,61.00,61.00,61.00,100,61.00
2016-06-30,61.00,61.00,61.00,61.00,000,61.00
2016-06-28,61.00,61.00,61.00,61.00,000,61.00
2016-06-27,61.00,61.00,61.00,61.00,000,61.00
2016-06-24,60.00,61.00,59.00,61.00,25100,61.00
2016-06-23,64.00,64.00,64.00,64.00,000,64.00
2016-06-22,64.00,64.00,64.00,64.00,100,64.00
2016-06-21,60.00,60.00,60.00,60.00,000,60.00
2016-06-20,60.00,60.00,60.00,60.00,000,60.00
2016-06-17,60.00,60.00,60.00,60.00,000,60.00
2016-06-16,60.00,60.00,60.00,60.00,000,60.00
2016-06-15,60.00,60.00,60.00,60.00,000,60.00
2016-06-14,61.00,61.00,60.00,60.00,50000,60.00
2016-06-13,63.00,63.00,63.00,63.00,000,63.00
2016-06-10,63.00,63.00,63.00,63.00,000,63.00
2016-06-09,63.00,63.00,63.00,63.00,100,63.00
2016-06-08,63.00,63.00,63.00,63.00,000,63.00
2016-06-07,63.00,63.00,63.00,63.00,000,63.00
2016-06-06,60.00,63.00,60.00,63.00,122100,63.00
2016-06-03,62.00,62.00,62.00,62.00,000,62.00
2016-06-02,61.00,62.00,61.00,62.00,4300,62.00
2016-06-01,61.00,61.00,61.00,61.00,000,61.00
2016-05-31,61.00,61.00,61.00,61.00,200,61.00
2016-05-30,61.00,61.00,61.00,61.00,100,61.00
2016-05-27,60.00,60.00,60.00,60.00,000,60.00
2016-05-26,60.00,60.00,60.00,60.00,000,60.00
2016-05-25,60.00,60.00,60.00,60.00,000,60.00
2016-05-24,60.00,60.00,60.00,60.00,000,60.00
2016-05-23,60.00,60.00,60.00,60.00,000,60.00
2016-05-20,60.00,60.00,60.00,60.00,000,60.00
2016-05-19,60.00,60.00,60.00,60.00,000,60.00
2016-05-18,60.00,60.00,60.00,60.00,000,60.00
2016-05-17,60.00,60.00,60.00,60.00,000,60.00
2016-05-16,62.00,63.00,60.00,60.00,36800,60.00
2016-05-13,63.00,66.00,59.00,61.00,400,61.00
2016-05-12,63.00,63.00,63.00,63.00,000,63.00
2016-05-11,63.00,63.00,63.00,63.00,000,63.00
2016-05-10,63.00,63.00,63.00,63.00,100,63.00
2016-05-09,59.00,59.00,59.00,59.00,5000,59.00
2016-05-06,60.00,60.00,60.00,60.00,000,60.00
2016-05-05,60.00,60.00,60.00,60.00,000,60.00
2016-05-04,60.00,60.00,60.00,60.00,500,60.00
2016-05-03,60.00,60.00,60.00,60.00,500,60.00
2016-05-02,62.00,62.00,62.00,62.00,5000,62.00
2016-04-29,60.00,64.00,60.00,63.00,34200,63.00
2016-04-28,57.00,60.00,57.00,60.00,4100,60.00
2016-04-27,63.00,63.00,63.00,63.00,000,63.00
2016-04-26,63.00,63.00,63.00,63.00,200,63.00
2016-04-25,63.00,63.00,62.00,63.00,5100,63.00
2016-04-22,63.00,63.00,63.00,63.00,000,63.00
2016-04-21,63.00,63.00,63.00,63.00,100,63.00
2016-04-12,63.00,63.00,63.00,63.00,16000,63.00
2016-04-08,63.00,63.00,63.00,63.00,000,63.00
2016-04-07,63.00,63.00,63.00,63.00,600,63.00
2016-04-06,80.00,80.00,63.00,63.00,56700,63.00
2016-04-05,65.00,65.00,62.00,62.00,200,62.00
2016-04-04,61.00,61.00,61.00,61.00,300,61.00
2016-04-01,63.00,63.00,63.00,63.00,11000,63.00
2016-03-31,61.00,85.00,61.00,63.00,146700,63.00
2016-03-30,62.00,71.00,62.00,66.00,135900,66.00
2016-03-29,65.00,65.00,62.00,62.00,15100,62.00
2016-03-28,65.00,65.00,65.00,65.00,000,65.00
2016-03-25,65.00,65.00,65.00,65.00,000,65.00
2016-03-24,64.00,65.00,64.00,65.00,12800,65.00
2016-03-23,70.00,70.00,70.00,70.00,000,70.00
2016-03-22,69.00,70.00,69.00,70.00,700,70.00
2016-03-21,75.00,75.00,75.00,75.00,000,75.00
2016-03-18,75.00,75.00,75.00,75.00,000,75.00
2016-03-17,75.00,75.00,75.00,75.00,100,75.00
2016-03-16,64.00,65.00,64.00,64.00,9900,64.00
2016-03-15,61.00,72.00,61.00,71.00,20200,71.00
2016-03-10,68.00,68.00,67.00,67.00,22100,67.00
2016-03-09,67.00,67.00,67.00,67.00,000,67.00
2016-03-08,67.00,67.00,67.00,67.00,1000,67.00
2016-03-07,72.00,72.00,72.00,72.00,500,72.00
2016-03-04,77.00,77.00,77.00,77.00,100,77.00
2016-03-03,78.00,78.00,78.00,78.00,100,78.00
2016-03-02,60.00,67.00,60.00,66.00,45100,66.00
2016-03-01,62.00,66.00,62.00,66.00,300,66.00
2016-02-29,61.00,69.00,59.00,68.00,50400,68.00
2016-02-26,65.00,65.00,65.00,65.00,000,65.00
2016-02-25,65.00,65.00,65.00,65.00,1300,65.00
2016-02-24,72.00,72.00,72.00,72.00,000,72.00
2016-02-23,72.00,72.00,72.00,72.00,000,72.00
2016-02-22,72.00,72.00,72.00,72.00,000,72.00
2016-02-19,72.00,72.00,72.00,72.00,000,72.00
2016-02-18,72.00,72.00,72.00,72.00,000,72.00
2016-02-17,72.00,72.00,72.00,72.00,7100,72.00
2016-02-16,72.00,72.00,72.00,72.00,000,72.00
2016-02-15,72.00,72.00,72.00,72.00,000,72.00
2016-02-12,72.00,72.00,72.00,72.00,000,72.00
2016-02-11,72.00,72.00,72.00,72.00,000,72.00
2016-02-10,72.00,72.00,72.00,72.00,000,72.00
2016-02-09,72.00,72.00,72.00,72.00,000,72.00
