Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,150.00,150.00,150.00,150.00,000,150.00
2017-01-31,150.00,150.00,150.00,150.00,200,150.00
2017-01-30,150.00,150.00,150.00,150.00,5000,150.00
2017-01-27,150.00,150.00,150.00,150.00,000,150.00
2017-01-26,150.00,150.00,150.00,150.00,000,150.00
2017-01-25,150.00,150.00,150.00,150.00,300,150.00
2017-01-24,165.00,165.00,165.00,165.00,2000,165.00
2017-01-23,168.00,168.00,160.00,165.00,3900,165.00
2017-01-20,168.00,168.00,168.00,168.00,000,168.00
2017-01-19,171.00,171.00,168.00,168.00,400,168.00
2017-01-18,179.00,179.00,170.00,175.00,3200,175.00
2017-01-17,170.00,179.00,170.00,179.00,100,179.00
2017-01-16,170.00,170.00,170.00,170.00,000,170.00
2017-01-13,170.00,180.00,170.00,170.00,8700,170.00
2017-01-12,140.00,170.00,140.00,170.00,3000,170.00
2017-01-11,165.00,185.00,140.00,140.00,5700,140.00
2017-01-10,170.00,179.00,130.00,165.00,3000,165.00
2017-01-09,155.00,189.00,125.00,170.00,1300,170.00
2017-01-06,125.00,170.00,125.00,155.00,13500,155.00
2017-01-05,190.00,190.00,190.00,190.00,000,190.00
2017-01-04,180.00,200.00,180.00,190.00,600,190.00
2017-01-03,194.00,194.00,180.00,180.00,2100,180.00
2017-01-02,180.00,180.00,180.00,180.00,000,180.00
2016-12-30,194.00,194.00,153.00,180.00,4900,180.00
2016-12-29,197.00,197.00,170.00,170.00,6300,170.00
2016-12-28,188.00,188.00,188.00,188.00,100,188.00
2016-12-27,160.00,160.00,140.00,140.00,14200,140.00
2016-12-26,155.00,155.00,155.00,155.00,000,155.00
2016-12-23,153.00,155.00,153.00,155.00,400,155.00
2016-12-22,153.00,153.00,153.00,153.00,100,153.00
2016-12-21,175.00,175.00,159.00,170.00,600,170.00
2016-12-20,178.00,178.00,175.00,175.00,30000,175.00
2016-12-19,178.00,178.00,178.00,178.00,25300,178.00
2016-12-16,180.00,197.00,180.00,197.00,100,197.00
2016-12-15,198.00,198.00,171.00,180.00,16100,180.00
2016-12-14,195.00,195.00,186.00,190.00,2500,190.00
2016-12-13,162.00,216.00,162.00,185.00,43600,185.00
2016-12-12,162.00,162.00,162.00,162.00,000,162.00
2016-12-09,172.00,200.00,162.00,162.00,86400,162.00
2016-12-08,162.00,172.00,162.00,172.00,29000,172.00
2016-12-07,170.00,172.00,170.00,172.00,3100,172.00
2016-12-06,190.00,190.00,180.00,180.00,20000,180.00
2016-12-05,196.00,264.00,180.00,190.00,144200,190.00
2016-12-02,196.00,196.00,196.00,196.00,100,196.00
2016-12-01,196.00,196.00,196.00,196.00,000,196.00
2016-11-30,196.00,196.00,196.00,196.00,100,196.00
2016-11-29,196.00,196.00,194.00,194.00,6300,194.00
2016-11-28,220.00,220.00,198.00,198.00,600,198.00
2016-11-25,220.00,220.00,220.00,220.00,000,220.00
2016-11-24,154.00,226.00,154.00,220.00,1700,220.00
2016-11-23,169.00,248.00,168.00,169.00,11700,169.00
2016-11-22,186.00,187.00,186.00,186.00,6600,186.00
2016-11-21,195.00,186.00,185.00,186.00,700,186.00
2016-11-18,195.00,195.00,195.00,195.00,000,195.00
2016-11-17,195.00,195.00,195.00,195.00,000,195.00
2016-11-16,208.00,208.00,195.00,195.00,21200,195.00
2016-11-15,208.00,208.00,208.00,208.00,000,208.00
2016-11-14,208.00,208.00,208.00,208.00,000,208.00
2016-11-11,208.00,208.00,208.00,208.00,000,208.00
2016-11-10,208.00,208.00,208.00,208.00,000,208.00
2016-11-09,220.00,220.00,208.00,208.00,17000,208.00
2016-11-08,226.00,226.00,226.00,226.00,000,226.00
2016-11-07,226.00,226.00,226.00,226.00,000,226.00
2016-11-04,226.00,226.00,226.00,226.00,000,226.00
2016-11-03,226.00,226.00,226.00,226.00,5600,226.00
2016-11-02,250.00,250.00,250.00,250.00,100,250.00
2016-11-01,260.00,260.00,234.00,234.00,500,234.00
2016-10-31,260.00,260.00,260.00,260.00,000,260.00
2016-10-28,260.00,260.00,260.00,260.00,000,260.00
2016-10-27,260.00,260.00,260.00,260.00,500,260.00
2016-10-26,260.00,260.00,260.00,260.00,100,260.00
2016-10-25,268.00,268.00,268.00,268.00,000,268.00
2016-10-24,268.00,268.00,268.00,268.00,000,268.00
2016-10-21,268.00,268.00,268.00,268.00,000,268.00
2016-10-20,268.00,268.00,268.00,268.00,000,268.00
2016-10-19,268.00,268.00,268.00,268.00,000,268.00
2016-10-18,268.00,268.00,268.00,268.00,000,268.00
2016-10-17,268.00,268.00,268.00,268.00,000,268.00
2016-10-14,268.00,268.00,268.00,268.00,000,268.00
2016-10-13,268.00,268.00,268.00,268.00,000,268.00
2016-10-12,268.00,268.00,268.00,268.00,000,268.00
2016-10-11,268.00,268.00,268.00,268.00,000,268.00
2016-10-10,268.00,268.00,268.00,268.00,000,268.00
2016-10-07,268.00,268.00,268.00,268.00,000,268.00
2016-10-06,268.00,268.00,268.00,268.00,000,268.00
2016-10-05,268.00,268.00,268.00,268.00,000,268.00
2016-10-04,268.00,268.00,268.00,268.00,000,268.00
2016-10-03,268.00,268.00,268.00,268.00,000,268.00
2016-09-30,228.00,268.00,228.00,268.00,200,268.00
2016-09-29,228.00,228.00,228.00,228.00,100,228.00
2016-09-28,192.00,192.00,192.00,192.00,200,192.00
2016-09-27,192.00,192.00,190.00,192.00,2400,192.00
2016-09-26,192.00,192.00,192.00,192.00,000,192.00
2016-09-23,192.00,200.00,192.00,192.00,76800,192.00
2016-09-22,234.00,234.00,212.00,212.00,1800,212.00
2016-09-21,310.00,310.00,234.00,234.00,2800,234.00
2016-09-20,260.00,260.00,260.00,260.00,000,260.00
2016-09-19,290.00,290.00,260.00,260.00,600,260.00
2016-09-16,250.00,288.00,250.00,288.00,500,288.00
2016-09-15,250.00,250.00,250.00,250.00,000,250.00
2016-09-14,290.00,290.00,250.00,250.00,300,250.00
2016-09-13,250.00,250.00,250.00,250.00,100,250.00
2016-09-12,250.00,250.00,250.00,250.00,000,250.00
2016-09-09,250.00,250.00,250.00,250.00,100,250.00
2016-09-08,230.00,230.00,230.00,230.00,100,230.00
2016-09-07,230.00,260.00,220.00,220.00,1600,220.00
2016-09-06,212.00,212.00,212.00,212.00,2800,212.00
2016-09-05,260.00,298.00,234.00,234.00,1000,234.00
2016-09-02,268.00,268.00,260.00,260.00,800,260.00
2016-09-01,240.00,300.00,216.00,216.00,20900,216.00
2016-08-31,288.00,288.00,240.00,240.00,400,240.00
2016-08-30,202.00,240.00,202.00,240.00,11900,240.00
2016-08-29,238.00,238.00,224.00,224.00,42500,224.00
2016-08-26,248.00,248.00,248.00,248.00,000,248.00
2016-08-25,248.00,248.00,248.00,248.00,000,248.00
2016-08-24,248.00,248.00,248.00,248.00,000,248.00
2016-08-23,248.00,248.00,248.00,248.00,000,248.00
2016-08-22,300.00,300.00,248.00,248.00,5600,248.00
2016-08-19,236.00,250.00,236.00,248.00,400,248.00
2016-08-18,240.00,240.00,236.00,236.00,400,236.00
2016-08-17,220.00,220.00,220.00,220.00,000,220.00
2016-08-16,220.00,220.00,220.00,220.00,000,220.00
2016-08-15,230.00,230.00,200.00,220.00,2600,220.00
2016-08-12,175.00,175.00,175.00,175.00,000,175.00
2016-08-11,175.00,175.00,175.00,175.00,000,175.00
2016-08-10,170.00,175.00,170.00,175.00,1100,175.00
2016-08-09,180.00,180.00,180.00,180.00,000,180.00
2016-08-08,180.00,180.00,180.00,180.00,000,180.00
2016-08-05,180.00,180.00,180.00,180.00,4100,180.00
2016-08-04,152.00,152.00,152.00,152.00,24800,152.00
2016-08-03,152.00,152.00,152.00,152.00,000,152.00
2016-08-02,152.00,152.00,152.00,152.00,000,152.00
2016-08-01,152.00,152.00,152.00,152.00,000,76.00
2016-07-29,152.00,152.00,152.00,152.00,000,76.00
2016-07-28,152.00,152.00,152.00,152.00,000,76.00
2016-07-27,304.00,304.00,304.00,304.00,000,152.00
2016-07-26,304.00,304.00,304.00,304.00,000,152.00
2016-07-25,304.00,304.00,304.00,304.00,000,152.00
2016-07-22,304.00,304.00,304.00,304.00,000,152.00
2016-07-21,304.00,304.00,304.00,304.00,000,152.00
2016-07-20,304.00,304.00,304.00,304.00,000,152.00
2016-07-19,304.00,304.00,304.00,304.00,000,152.00
2016-07-18,304.00,304.00,304.00,304.00,1000,152.00
2016-07-15,302.00,302.00,302.00,302.00,000,151.00
2016-07-14,302.00,302.00,302.00,302.00,000,151.00
2016-07-13,302.00,302.00,302.00,302.00,000,151.00
2016-07-12,302.00,302.00,302.00,302.00,000,151.00
2016-07-11,302.00,302.00,302.00,302.00,000,151.00
2016-07-08,302.00,302.00,302.00,302.00,000,151.00
2016-07-07,302.00,302.00,302.00,302.00,000,151.00
2016-07-06,302.00,302.00,302.00,302.00,000,151.00
2016-07-05,302.00,302.00,302.00,302.00,000,151.00
2016-07-04,302.00,302.00,302.00,302.00,000,151.00
2016-07-01,302.00,302.00,302.00,302.00,000,151.00
2016-06-30,302.00,302.00,302.00,302.00,000,151.00
2016-06-29,302.00,302.00,302.00,302.00,000,151.00
2016-06-28,302.00,302.00,302.00,302.00,000,151.00
2016-06-27,302.00,302.00,302.00,302.00,000,151.00
2016-06-24,302.00,302.00,302.00,302.00,000,151.00
2016-06-23,302.00,302.00,302.00,302.00,000,151.00
2016-06-22,302.00,302.00,302.00,302.00,000,151.00
2016-06-21,302.00,302.00,302.00,302.00,000,151.00
2016-06-20,302.00,302.00,302.00,302.00,000,151.00
2016-06-17,302.00,302.00,302.00,302.00,000,151.00
2016-06-16,302.00,302.00,302.00,302.00,000,151.00
2016-06-15,302.00,302.00,302.00,302.00,000,151.00
2016-06-14,302.00,302.00,302.00,302.00,800,151.00
2016-06-13,300.00,300.00,300.00,300.00,000,150.00
2016-06-10,300.00,300.00,300.00,300.00,000,150.00
2016-06-09,300.00,300.00,300.00,300.00,000,150.00
2016-06-08,300.00,300.00,300.00,300.00,000,150.00
2016-06-07,300.00,300.00,300.00,300.00,000,150.00
2016-06-06,300.00,300.00,300.00,300.00,000,150.00
2016-06-03,300.00,300.00,300.00,300.00,000,150.00
2016-06-02,300.00,300.00,300.00,300.00,000,150.00
2016-06-01,300.00,300.00,300.00,300.00,000,150.00
2016-05-31,300.00,300.00,300.00,300.00,000,150.00
2016-05-30,300.00,300.00,300.00,300.00,000,150.00
2016-05-27,300.00,300.00,300.00,300.00,000,150.00
2016-05-26,300.00,300.00,300.00,300.00,000,150.00
2016-05-25,300.00,300.00,300.00,300.00,000,150.00
2016-05-24,300.00,300.00,300.00,300.00,000,150.00
2016-05-23,300.00,300.00,300.00,300.00,000,150.00
2016-05-20,300.00,300.00,300.00,300.00,000,150.00
2016-05-19,300.00,300.00,300.00,300.00,000,150.00
2016-05-18,300.00,300.00,300.00,300.00,4800,150.00
2016-05-17,300.00,300.00,300.00,300.00,000,150.00
2016-05-16,300.00,300.00,300.00,300.00,000,150.00
2016-05-13,300.00,300.00,300.00,300.00,7200,150.00
2016-05-12,300.00,300.00,300.00,300.00,000,150.00
2016-05-11,300.00,300.00,300.00,300.00,400,150.00
2016-05-10,300.00,300.00,300.00,300.00,000,150.00
2016-05-09,300.00,300.00,300.00,300.00,3200,150.00
2016-05-06,295.00,295.00,295.00,295.00,000,147.50
2016-05-05,295.00,295.00,295.00,295.00,000,147.50
2016-05-04,295.00,295.00,295.00,295.00,000,147.50
2016-05-03,295.00,295.00,295.00,295.00,000,147.50
2016-05-02,295.00,295.00,295.00,295.00,000,147.50
2016-04-29,295.00,295.00,295.00,295.00,000,147.50
2016-04-28,295.00,295.00,295.00,295.00,000,147.50
2016-04-27,320.00,320.00,295.00,295.00,8200,147.50
2016-04-26,320.00,320.00,320.00,320.00,000,160.00
2016-04-25,320.00,320.00,320.00,320.00,5000,160.00
2016-04-22,315.00,315.00,315.00,315.00,3600,157.50
2016-04-21,381.00,381.00,381.00,381.00,000,190.50
2016-04-20,350.00,315.00,315.00,315.00,134200,157.50
2016-04-19,381.00,381.00,381.00,381.00,000,190.50
2016-04-12,370.00,381.00,370.00,381.00,11800,190.50
2016-04-08,423.00,423.00,423.00,423.00,8000,211.50
2016-04-07,469.00,469.00,469.00,469.00,4400,234.50
2016-04-06,470.00,470.00,470.00,470.00,000,235.00
2016-04-05,470.00,470.00,470.00,470.00,000,235.00
2016-04-04,470.00,470.00,470.00,470.00,000,235.00
2016-04-01,470.00,470.00,470.00,470.00,000,235.00
2016-03-31,470.00,470.00,470.00,470.00,000,235.00
2016-03-30,470.00,490.00,470.00,470.00,800,235.00
2016-03-29,470.00,470.00,470.00,470.00,000,235.00
2016-03-28,470.00,470.00,470.00,470.00,200,235.00
2016-03-25,450.00,450.00,450.00,450.00,000,225.00
2016-03-24,450.00,450.00,450.00,450.00,000,225.00
2016-03-23,450.00,450.00,450.00,450.00,000,225.00
2016-03-22,450.00,450.00,450.00,450.00,000,225.00
