Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,156.00,159.00,155.00,159.00,25300,159.00
2017-01-31,156.00,158.00,154.00,156.00,54200,156.00
2017-01-30,156.00,156.00,154.00,156.00,59200,156.00
2017-01-27,154.00,159.00,154.00,159.00,1300,159.00
2017-01-26,158.00,160.00,158.00,160.00,1800,160.00
2017-01-25,156.00,162.00,155.00,158.00,655300,158.00
2017-01-24,154.00,159.00,153.00,156.00,333900,156.00
2017-01-23,154.00,160.00,154.00,159.00,2988000,159.00
2017-01-20,154.00,160.00,152.00,154.00,1414200,154.00
2017-01-19,153.00,155.00,149.00,152.00,3464800,152.00
2017-01-18,150.00,154.00,148.00,151.00,522600,151.00
2017-01-17,146.00,150.00,145.00,150.00,153400,150.00
2017-01-16,147.00,149.00,146.00,146.00,2200,146.00
2017-01-13,149.00,149.00,143.00,147.00,37000,147.00
2017-01-12,144.00,149.00,143.00,149.00,224600,149.00
2017-01-11,144.00,145.00,144.00,144.00,7500,144.00
2017-01-10,143.00,146.00,143.00,144.00,51200,144.00
2017-01-09,141.00,144.00,141.00,143.00,201400,143.00
2017-01-06,143.00,143.00,140.00,141.00,79500,141.00
2017-01-05,145.00,145.00,145.00,145.00,1400,145.00
2017-01-04,150.00,150.00,140.00,150.00,6900,150.00
2017-01-03,148.00,150.00,139.00,150.00,25000,150.00
2017-01-02,154.00,154.00,154.00,154.00,000,154.00
2016-12-30,139.00,154.00,138.00,154.00,241600,154.00
2016-12-29,142.00,142.00,139.00,139.00,8800,139.00
2016-12-28,140.00,141.00,140.00,141.00,65200,141.00
2016-12-27,144.00,144.00,132.00,138.00,404000,138.00
2016-12-26,142.00,142.00,142.00,142.00,000,142.00
2016-12-23,139.00,142.00,129.00,142.00,32000,142.00
2016-12-22,153.00,153.00,140.00,142.00,442600,142.00
2016-12-21,150.00,150.00,144.00,145.00,65300,145.00
2016-12-20,147.00,157.00,146.00,150.00,10000,150.00
2016-12-19,158.00,158.00,145.00,147.00,8300,147.00
2016-12-16,147.00,160.00,147.00,154.00,52800,154.00
2016-12-15,145.00,147.00,144.00,147.00,333300,147.00
2016-12-14,149.00,150.00,145.00,147.00,81400,147.00
2016-12-13,156.00,156.00,141.00,146.00,1245900,146.00
2016-12-12,156.00,156.00,156.00,156.00,000,156.00
2016-12-09,160.00,160.00,150.00,156.00,9500,156.00
2016-12-08,156.00,160.00,156.00,159.00,91900,159.00
2016-12-07,164.00,164.00,155.00,155.00,137300,155.00
2016-12-06,166.00,166.00,158.00,161.00,757500,161.00
2016-12-05,165.00,171.00,160.00,161.00,11108100,161.00
2016-12-02,168.00,170.00,160.00,162.00,1297200,162.00
2016-12-01,175.00,177.00,159.00,163.00,6489000,163.00
2016-11-30,162.00,190.00,160.00,175.00,12565000,175.00
2016-11-29,154.00,159.00,153.00,159.00,733600,159.00
2016-11-28,167.00,178.00,152.00,153.00,12788600,153.00
2016-11-25,146.00,172.00,143.00,167.00,11449400,167.00
2016-11-24,145.00,152.00,140.00,144.00,4454900,144.00
2016-11-23,145.00,146.00,136.00,145.00,5933000,145.00
2016-11-22,138.00,145.00,138.00,144.00,911900,144.00
2016-11-21,137.00,139.00,126.00,138.00,590300,138.00
2016-11-18,145.00,145.00,133.00,137.00,2700,137.00
2016-11-17,138.00,138.00,133.00,138.00,203500,138.00
2016-11-16,136.00,138.00,135.00,138.00,38000,138.00
2016-11-15,145.00,145.00,136.00,136.00,7600,136.00
2016-11-14,139.00,139.00,134.00,135.00,13100,135.00
2016-11-11,134.00,135.00,134.00,135.00,324500,135.00
2016-11-10,148.00,148.00,148.00,148.00,000,148.00
2016-11-09,148.00,148.00,148.00,148.00,100,148.00
2016-11-08,148.00,148.00,148.00,148.00,100,148.00
2016-11-07,146.00,146.00,140.00,144.00,29600,144.00
2016-11-04,148.00,148.00,146.00,146.00,100,146.00
2016-11-03,148.00,148.00,148.00,148.00,000,148.00
2016-11-02,148.00,148.00,148.00,148.00,100,148.00
2016-11-01,149.00,149.00,136.00,140.00,156900,140.00
2016-10-31,149.00,149.00,148.00,149.00,200100,149.00
2016-10-28,149.00,149.00,149.00,149.00,100,149.00
2016-10-27,150.00,150.00,135.00,142.00,563400,142.00
2016-10-26,147.00,147.00,147.00,147.00,100,147.00
2016-10-25,150.00,150.00,140.00,144.00,4200,144.00
2016-10-24,146.00,146.00,137.00,146.00,70200,146.00
2016-10-21,146.00,146.00,146.00,146.00,100,146.00
2016-10-20,147.00,147.00,141.00,146.00,800,146.00
2016-10-19,147.00,147.00,147.00,147.00,000,147.00
2016-10-18,138.00,147.00,138.00,147.00,700,147.00
2016-10-17,148.00,148.00,148.00,148.00,000,148.00
2016-10-14,148.00,148.00,148.00,148.00,000,148.00
2016-10-13,148.00,148.00,148.00,148.00,100,148.00
2016-10-12,145.00,149.00,137.00,143.00,2100,143.00
2016-10-11,144.00,145.00,144.00,145.00,400,145.00
2016-10-10,146.00,148.00,135.00,144.00,3600,144.00
2016-10-07,146.00,146.00,146.00,146.00,100,146.00
2016-10-06,142.00,142.00,142.00,142.00,100,142.00
2016-10-05,141.00,141.00,141.00,141.00,000,141.00
2016-10-04,143.00,143.00,139.00,141.00,20200,141.00
2016-10-03,139.00,148.00,139.00,143.00,31100,143.00
2016-09-30,145.00,145.00,132.00,139.00,39300,139.00
2016-09-29,145.00,145.00,136.00,145.00,26100,145.00
2016-09-28,149.00,149.00,149.00,149.00,000,149.00
2016-09-27,149.00,149.00,149.00,149.00,000,149.00
2016-09-26,145.00,149.00,145.00,149.00,900,149.00
2016-09-23,145.00,145.00,141.00,145.00,800,145.00
2016-09-22,147.00,147.00,147.00,147.00,000,147.00
2016-09-21,147.00,147.00,147.00,147.00,000,147.00
2016-09-20,147.00,147.00,147.00,147.00,500,147.00
2016-09-19,139.00,148.00,139.00,147.00,700,147.00
2016-09-16,140.00,145.00,140.00,145.00,300,145.00
2016-09-15,144.00,151.00,140.00,140.00,13700,140.00
2016-09-14,145.00,145.00,144.00,144.00,2200,144.00
2016-09-13,149.00,149.00,135.00,145.00,101300,145.00
2016-09-12,140.00,140.00,140.00,140.00,000,140.00
2016-09-09,146.00,146.00,140.00,140.00,300,140.00
2016-09-08,146.00,146.00,146.00,146.00,000,146.00
2016-09-07,136.00,146.00,136.00,146.00,2100,146.00
2016-09-06,142.00,147.00,142.00,147.00,4000,147.00
2016-09-05,143.00,147.00,131.00,147.00,50100,147.00
2016-09-02,144.00,144.00,144.00,144.00,1500,144.00
2016-09-01,151.00,151.00,137.00,146.00,17800,146.00
2016-08-31,151.00,151.00,151.00,151.00,000,151.00
2016-08-30,148.00,151.00,148.00,151.00,50100,151.00
2016-08-29,157.00,157.00,157.00,157.00,100,157.00
2016-08-26,150.00,150.00,150.00,150.00,5000,150.00
2016-08-25,151.00,151.00,151.00,151.00,1200,151.00
2016-08-24,154.00,157.00,154.00,157.00,1800,157.00
2016-08-23,150.00,154.00,150.00,154.00,10300,154.00
2016-08-22,150.00,150.00,150.00,150.00,1500,150.00
2016-08-19,150.00,150.00,146.00,149.00,34500,149.00
2016-08-18,150.00,150.00,150.00,150.00,000,150.00
2016-08-17,150.00,150.00,150.00,150.00,000,150.00
2016-08-16,150.00,150.00,146.00,150.00,22700,150.00
2016-08-15,150.00,156.00,146.00,156.00,3800,156.00
2016-08-12,150.00,150.00,150.00,150.00,100,150.00
2016-08-11,150.00,150.00,146.00,149.00,59300,149.00
2016-08-10,150.00,150.00,150.00,150.00,2000,150.00
2016-08-09,148.00,150.00,148.00,150.00,45200,150.00
