Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,15500.00,15500.00,15425.00,15425.00,8671800,15425.00
2017-01-31,15300.00,15550.00,15250.00,15300.00,7389300,15300.00
2017-01-30,15575.00,15575.00,15325.00,15450.00,6734600,15450.00
2017-01-27,15150.00,15550.00,15150.00,15400.00,7511100,15400.00
2017-01-26,15000.00,15425.00,15000.00,15300.00,10721200,15300.00
2017-01-25,15250.00,15275.00,14950.00,14950.00,6632300,14950.00
2017-01-24,15200.00,15250.00,15050.00,15050.00,7250200,15050.00
2017-01-23,15200.00,15300.00,15050.00,15050.00,4392400,15050.00
2017-01-20,15250.00,15275.00,15050.00,15250.00,8848500,15250.00
2017-01-19,15350.00,15400.00,15250.00,15375.00,6872100,15375.00
2017-01-18,15275.00,15300.00,15150.00,15300.00,18682100,15300.00
2017-01-17,15175.00,15250.00,15150.00,15175.00,4473700,15175.00
2017-01-16,15200.00,15250.00,15000.00,15175.00,12407900,15175.00
2017-01-13,15200.00,15575.00,15200.00,15275.00,13902500,15275.00
2017-01-12,15300.00,15450.00,15275.00,15325.00,6156200,15325.00
2017-01-11,15550.00,15575.00,15300.00,15300.00,8754500,15300.00
2017-01-10,15450.00,15500.00,15325.00,15400.00,10400900,15400.00
2017-01-09,15550.00,15600.00,15150.00,15350.00,17617500,15350.00
2017-01-06,15450.00,15700.00,15450.00,15600.00,7320600,15600.00
2017-01-05,15700.00,15775.00,15625.00,15675.00,19581800,15675.00
2017-01-04,15850.00,15875.00,15650.00,15700.00,17043300,15700.00
2017-01-03,15500.00,15775.00,15225.00,15775.00,9349600,15775.00
2017-01-02,15500.00,15500.00,15500.00,15500.00,000,15500.00
2016-12-30,15350.00,15550.00,15325.00,15500.00,47100100,15500.00
2016-12-29,14800.00,15425.00,14725.00,15350.00,24463300,15350.00
2016-12-28,14900.00,15025.00,14725.00,14725.00,14019600,14725.00
2016-12-27,14300.00,14850.00,14125.00,14800.00,8349800,14800.00
2016-12-26,14450.00,14450.00,14450.00,14450.00,000,14450.00
2016-12-23,14400.00,14600.00,14275.00,14450.00,14731300,14450.00
2016-12-22,14500.00,14575.00,14400.00,14550.00,15154600,14550.00
2016-12-21,14800.00,14800.00,14625.00,14675.00,19433000,14675.00
2016-12-20,14550.00,14800.00,14550.00,14775.00,7429000,14775.00
2016-12-19,14500.00,14825.00,14500.00,14725.00,10731600,14725.00
2016-12-16,14700.00,15000.00,14650.00,14800.00,21125700,14800.00
2016-12-15,14725.00,14825.00,14700.00,14775.00,25083400,14775.00
2016-12-14,14700.00,15000.00,14700.00,14750.00,25671200,14750.00
2016-12-13,14675.00,14775.00,14500.00,14700.00,24272000,14700.00
2016-12-12,14700.00,14700.00,14700.00,14700.00,000,14700.00
2016-12-09,14800.00,14800.00,14650.00,14700.00,17319200,14700.00
2016-12-08,14500.00,14875.00,14500.00,14700.00,24359100,14700.00
2016-12-07,14700.00,14725.00,14600.00,14650.00,13904900,14650.00
2016-12-06,14700.00,14750.00,14600.00,14675.00,11801900,14675.00
2016-12-05,14675.00,14825.00,14500.00,14650.00,12975800,14650.00
2016-12-02,14650.00,15125.00,14575.00,14675.00,27482300,14675.00
2016-12-01,14300.00,14575.00,14275.00,14500.00,21425500,14500.00
2016-11-30,14350.00,14400.00,14275.00,14300.00,32615700,14230.00
2016-11-29,14325.00,14425.00,14125.00,14350.00,20393800,14279.76
2016-11-28,14450.00,14525.00,14325.00,14375.00,15157200,14304.63
2016-11-25,14500.00,14550.00,14450.00,14525.00,14252500,14453.90
2016-11-24,14500.00,14700.00,14400.00,14550.00,16662600,14478.78
2016-11-23,14650.00,14750.00,14625.00,14700.00,10228700,14628.04
2016-11-22,14500.00,14725.00,14500.00,14650.00,25863400,14578.29
2016-11-21,14700.00,14775.00,14625.00,14725.00,17475000,14652.92
2016-11-18,14700.00,14750.00,14625.00,14725.00,16140300,14652.92
2016-11-17,14750.00,14850.00,14700.00,14750.00,24099800,14677.80
2016-11-16,14575.00,14925.00,14575.00,14725.00,25807100,14652.92
2016-11-15,14300.00,14875.00,14100.00,14550.00,27094900,14478.78
2016-11-14,14400.00,14400.00,13950.00,14375.00,31337800,14304.63
2016-11-11,15000.00,15000.00,14500.00,14675.00,44513300,14603.16
2016-11-10,15300.00,15425.00,15225.00,15225.00,13976500,15150.47
2016-11-09,15500.00,15575.00,15250.00,15300.00,25375000,15225.11
2016-11-08,15400.00,15600.00,15400.00,15500.00,21302900,15424.13
2016-11-07,15250.00,15525.00,15100.00,15400.00,22099400,15324.62
2016-11-04,15350.00,15500.00,15300.00,15500.00,12436500,15424.13
2016-11-03,15500.00,15500.00,15300.00,15425.00,13691000,15349.49
2016-11-02,15450.00,15525.00,15325.00,15475.00,20289200,15399.25
2016-11-01,15500.00,15650.00,15450.00,15450.00,15531500,15374.37
2016-10-31,15500.00,15600.00,15425.00,15525.00,13108700,15449.00
2016-10-28,15525.00,15600.00,15425.00,15600.00,14421000,15523.64
2016-10-27,15500.00,15575.00,15475.00,15525.00,15933400,15449.00
2016-10-26,15600.00,15600.00,15475.00,15500.00,12330700,15424.13
2016-10-25,15625.00,15700.00,15475.00,15500.00,21133200,15424.13
2016-10-24,15875.00,15875.00,15550.00,15675.00,12907900,15598.27
2016-10-21,15850.00,15850.00,15775.00,15800.00,10536200,15722.66
2016-10-20,15850.00,15950.00,15750.00,15750.00,7799200,15672.90
2016-10-19,15975.00,16150.00,15825.00,15975.00,8749600,15896.80
2016-10-18,16000.00,16075.00,15950.00,16050.00,32105200,15971.43
2016-10-17,15800.00,15925.00,15800.00,15900.00,22926100,15822.17
2016-10-14,15475.00,16050.00,15375.00,15800.00,21454300,15722.66
2016-10-13,15600.00,15675.00,15350.00,15450.00,11549000,15374.37
2016-10-12,15800.00,15850.00,15375.00,15600.00,15787200,15523.64
2016-10-11,15925.00,15925.00,15725.00,15800.00,14435300,15722.66
2016-10-10,15700.00,15925.00,15650.00,15700.00,4991800,15623.15
2016-10-07,16000.00,16000.00,15750.00,15800.00,9201300,15722.66
2016-10-06,16000.00,16050.00,15750.00,15775.00,11664900,15697.78
2016-10-05,15750.00,16000.00,15750.00,15800.00,12673500,15722.66
2016-10-04,16200.00,16200.00,15900.00,15950.00,16257000,15871.92
2016-10-03,15950.00,16200.00,15950.00,15975.00,15743000,15896.80
2016-09-30,15975.00,16000.00,15500.00,15700.00,29338900,15623.15
2016-09-29,15500.00,15900.00,15500.00,15725.00,26396600,15648.02
2016-09-28,15575.00,15675.00,15400.00,15425.00,20852400,15349.49
2016-09-27,15100.00,16000.00,15000.00,16000.00,24297200,15921.68
2016-09-26,15475.00,15475.00,15250.00,15350.00,11217500,15274.86
2016-09-23,15475.00,15600.00,15375.00,15475.00,22251800,15399.25
2016-09-22,15350.00,15600.00,15325.00,15350.00,22554500,15274.86
