Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,520.00,525.00,390.00,458.00,109400,458.00
2017-01-31,520.00,520.00,520.00,520.00,100,520.00
2017-01-30,448.00,448.00,448.00,448.00,000,448.00
2017-01-27,448.00,448.00,448.00,448.00,000,448.00
2017-01-26,370.00,448.00,370.00,448.00,100,448.00
2017-01-25,500.00,500.00,370.00,370.00,6600,370.00
2017-01-24,484.00,484.00,484.00,484.00,100,484.00
2017-01-23,450.00,450.00,450.00,450.00,000,450.00
2017-01-20,484.00,484.00,450.00,450.00,700,450.00
2017-01-19,400.00,440.00,400.00,440.00,500,440.00
2017-01-18,460.00,460.00,450.00,450.00,200,450.00
2017-01-17,470.00,476.00,416.00,460.00,500,460.00
2017-01-16,470.00,470.00,360.00,470.00,6800,470.00
2017-01-13,480.00,480.00,398.00,470.00,33700,470.00
2017-01-12,350.00,436.00,350.00,398.00,17500,398.00
2017-01-11,390.00,480.00,350.00,350.00,18000,350.00
2017-01-10,390.00,390.00,390.00,390.00,000,390.00
2017-01-09,390.00,390.00,390.00,390.00,000,390.00
2017-01-06,390.00,390.00,390.00,390.00,000,390.00
2017-01-05,390.00,390.00,390.00,390.00,000,390.00
2017-01-04,390.00,390.00,390.00,390.00,000,390.00
2017-01-03,390.00,390.00,390.00,390.00,000,390.00
2017-01-02,390.00,390.00,390.00,390.00,000,390.00
2016-12-30,390.00,390.00,390.00,390.00,000,390.00
2016-12-29,390.00,390.00,390.00,390.00,400,390.00
2016-12-28,430.00,430.00,430.00,430.00,400,430.00
2016-12-27,500.00,500.00,370.00,370.00,57200,370.00
2016-12-26,406.00,406.00,406.00,406.00,000,406.00
2016-12-23,406.00,406.00,406.00,406.00,000,406.00
2016-12-22,406.00,406.00,406.00,406.00,000,406.00
2016-12-21,406.00,406.00,406.00,406.00,000,406.00
2016-12-20,406.00,406.00,406.00,406.00,000,406.00
2016-12-19,406.00,406.00,406.00,406.00,000,406.00
2016-12-16,406.00,406.00,406.00,406.00,000,406.00
2016-12-15,406.00,406.00,406.00,406.00,000,406.00
2016-12-14,406.00,406.00,406.00,406.00,000,406.00
2016-12-13,450.00,450.00,406.00,406.00,555500,406.00
2016-12-12,450.00,450.00,450.00,450.00,000,450.00
2016-12-09,450.00,450.00,450.00,450.00,000,450.00
2016-12-08,450.00,450.00,450.00,450.00,000,450.00
2016-12-07,450.00,450.00,450.00,450.00,000,450.00
2016-12-06,450.00,450.00,450.00,450.00,000,450.00
2016-12-05,450.00,450.00,450.00,450.00,000,450.00
2016-12-02,450.00,450.00,450.00,450.00,000,450.00
2016-12-01,450.00,450.00,450.00,450.00,000,450.00
2016-11-30,450.00,450.00,450.00,450.00,000,450.00
2016-11-29,450.00,450.00,450.00,450.00,1000,450.00
2016-11-28,450.00,450.00,450.00,450.00,000,450.00
2016-11-25,450.00,450.00,450.00,450.00,000,450.00
2016-11-24,450.00,450.00,450.00,450.00,000,450.00
2016-11-23,450.00,450.00,450.00,450.00,000,450.00
2016-11-22,450.00,450.00,450.00,450.00,000,450.00
