Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,200.00,200.00,180.00,180.00,8600,180.00
2017-01-31,200.00,200.00,200.00,200.00,000,200.00
2017-01-30,200.00,200.00,200.00,200.00,000,200.00
2017-01-27,200.00,200.00,200.00,200.00,100,200.00
2017-01-26,198.00,198.00,198.00,198.00,100,198.00
2017-01-25,198.00,198.00,198.00,198.00,400,198.00
2017-01-24,200.00,200.00,200.00,200.00,100,200.00
2017-01-23,194.00,194.00,194.00,194.00,000,194.00
2017-01-20,194.00,194.00,194.00,194.00,100,194.00
2017-01-19,190.00,190.00,190.00,190.00,000,190.00
2017-01-18,190.00,190.00,190.00,190.00,100,190.00
2017-01-17,190.00,190.00,190.00,190.00,100,190.00
2017-01-16,190.00,190.00,190.00,190.00,000,190.00
2017-01-13,190.00,190.00,190.00,190.00,100,190.00
2017-01-12,190.00,190.00,190.00,190.00,000,190.00
2017-01-11,190.00,190.00,190.00,190.00,100,190.00
2017-01-10,190.00,190.00,190.00,190.00,100,190.00
2017-01-09,195.00,195.00,190.00,190.00,2500,190.00
2017-01-06,195.00,195.00,195.00,195.00,000,195.00
2017-01-05,195.00,195.00,195.00,195.00,000,195.00
2017-01-04,195.00,195.00,195.00,195.00,000,195.00
2017-01-03,195.00,195.00,195.00,195.00,000,195.00
2017-01-02,195.00,195.00,195.00,195.00,000,195.00
2016-12-30,195.00,195.00,195.00,195.00,000,195.00
2016-12-29,200.00,200.00,195.00,195.00,200,195.00
2016-12-28,190.00,190.00,190.00,190.00,100,190.00
2016-12-27,190.00,190.00,190.00,190.00,000,190.00
2016-12-26,190.00,190.00,190.00,190.00,000,190.00
2016-12-23,190.00,190.00,190.00,190.00,000,190.00
2016-12-22,200.00,200.00,190.00,190.00,200,190.00
2016-12-21,175.00,199.00,175.00,175.00,1500,175.00
2016-12-20,194.00,194.00,175.00,175.00,200,175.00
2016-12-19,194.00,194.00,194.00,194.00,100,194.00
2016-12-16,194.00,194.00,175.00,194.00,1300,194.00
2016-12-15,194.00,194.00,194.00,194.00,100,194.00
2016-12-14,196.00,196.00,196.00,196.00,000,196.00
2016-12-13,196.00,196.00,196.00,196.00,000,196.00
2016-12-12,196.00,196.00,196.00,196.00,000,196.00
2016-12-09,196.00,196.00,196.00,196.00,100,196.00
2016-12-08,196.00,196.00,196.00,196.00,100,196.00
2016-12-07,186.00,186.00,186.00,186.00,300,186.00
2016-12-06,186.00,186.00,186.00,186.00,200,186.00
2016-12-05,197.00,198.00,186.00,186.00,500,186.00
2016-12-02,187.00,187.00,187.00,187.00,1100,187.00
2016-12-01,200.00,200.00,192.00,198.00,300,198.00
2016-11-30,220.00,220.00,200.00,200.00,1100,200.00
2016-11-29,226.00,226.00,200.00,200.00,6400,200.00
2016-11-28,165.00,172.00,151.00,170.00,57300,170.00
2016-11-25,138.00,168.00,137.00,165.00,26500,165.00
2016-11-24,168.00,168.00,152.00,152.00,32100,152.00
2016-11-23,168.00,168.00,168.00,168.00,100,168.00
2016-11-22,168.00,168.00,168.00,168.00,100,168.00
2016-11-21,160.00,160.00,160.00,160.00,100,160.00
2016-11-18,160.00,160.00,160.00,160.00,000,160.00
2016-11-17,125.00,160.00,115.00,160.00,30100,160.00
2016-11-16,125.00,125.00,125.00,125.00,000,125.00
2016-11-15,125.00,125.00,125.00,125.00,000,125.00
2016-11-14,125.00,125.00,125.00,125.00,200,125.00
2016-11-11,134.00,134.00,134.00,134.00,000,134.00
2016-11-10,134.00,134.00,134.00,134.00,000,134.00
2016-11-09,134.00,134.00,134.00,134.00,100,134.00
2016-11-08,148.00,148.00,148.00,148.00,000,148.00
2016-11-07,148.00,148.00,148.00,148.00,000,148.00
2016-11-04,148.00,148.00,148.00,148.00,000,148.00
2016-11-03,148.00,148.00,148.00,148.00,000,148.00
2016-11-02,148.00,148.00,148.00,148.00,000,148.00
2016-11-01,148.00,148.00,148.00,148.00,000,148.00
2016-10-31,148.00,148.00,148.00,148.00,1000,148.00
2016-10-28,158.00,158.00,158.00,158.00,2800,158.00
2016-10-27,175.00,175.00,175.00,175.00,200,175.00
2016-10-26,179.00,179.00,179.00,179.00,000,179.00
2016-10-25,179.00,179.00,179.00,179.00,1800,179.00
2016-10-24,179.00,179.00,179.00,179.00,000,179.00
2016-10-21,179.00,179.00,179.00,179.00,2100,179.00
2016-10-20,177.00,177.00,177.00,177.00,000,177.00
2016-10-19,177.00,177.00,177.00,177.00,000,177.00
2016-10-18,177.00,177.00,177.00,177.00,000,177.00
2016-10-17,177.00,177.00,177.00,177.00,000,177.00
2016-10-14,177.00,177.00,177.00,177.00,000,177.00
2016-10-13,177.00,177.00,177.00,177.00,100,177.00
2016-10-12,165.00,165.00,165.00,165.00,000,165.00
2016-10-11,165.00,165.00,165.00,165.00,000,165.00
2016-10-10,165.00,165.00,165.00,165.00,000,165.00
2016-10-07,165.00,165.00,165.00,165.00,000,165.00
2016-10-06,165.00,165.00,165.00,165.00,000,165.00
2016-10-05,165.00,165.00,165.00,165.00,000,165.00
2016-10-04,165.00,165.00,165.00,165.00,000,165.00
2016-10-03,165.00,165.00,165.00,165.00,000,165.00
2016-09-30,165.00,165.00,165.00,165.00,000,165.00
2016-09-29,165.00,165.00,165.00,165.00,000,165.00
2016-09-28,165.00,165.00,165.00,165.00,000,165.00
2016-09-27,165.00,165.00,165.00,165.00,000,165.00
2016-09-26,165.00,165.00,165.00,165.00,000,165.00
2016-09-23,165.00,165.00,165.00,165.00,000,165.00
2016-09-22,180.00,180.00,165.00,165.00,1300,165.00
2016-09-21,180.00,180.00,180.00,180.00,100,180.00
2016-09-20,190.00,190.00,190.00,190.00,100,190.00
2016-09-19,208.00,208.00,208.00,208.00,100,208.00
2016-09-16,208.00,208.00,208.00,208.00,000,208.00
2016-09-15,208.00,208.00,208.00,208.00,400,208.00
2016-09-14,204.00,204.00,204.00,204.00,000,204.00
2016-09-13,204.00,204.00,204.00,204.00,000,204.00
2016-09-12,204.00,204.00,204.00,204.00,000,204.00
2016-09-09,204.00,204.00,204.00,204.00,000,204.00
2016-09-08,204.00,204.00,204.00,204.00,100,204.00
2016-09-07,195.00,195.00,195.00,195.00,000,195.00
2016-09-06,195.00,195.00,195.00,195.00,000,195.00
2016-09-05,195.00,195.00,195.00,195.00,000,195.00
2016-09-02,195.00,195.00,195.00,195.00,000,195.00
2016-09-01,195.00,195.00,195.00,195.00,000,195.00
2016-08-31,195.00,195.00,195.00,195.00,000,195.00
2016-08-30,195.00,195.00,195.00,195.00,000,195.00
2016-08-29,195.00,195.00,195.00,195.00,1600,195.00
2016-08-26,185.00,185.00,185.00,185.00,000,92.50
2016-08-25,370.00,370.00,370.00,370.00,200,92.50
2016-08-24,740.00,740.00,740.00,740.00,1200,185.00
2016-08-23,720.00,720.00,720.00,720.00,000,180.00
2016-08-22,720.00,720.00,720.00,720.00,000,180.00
2016-08-19,720.00,720.00,720.00,720.00,000,180.00
2016-08-18,720.00,720.00,720.00,720.00,000,180.00
2016-08-17,720.00,720.00,720.00,720.00,000,180.00
2016-08-16,720.00,720.00,720.00,720.00,000,180.00
2016-08-15,720.00,720.00,720.00,720.00,000,180.00
2016-08-12,720.00,720.00,720.00,720.00,000,180.00
2016-08-11,720.00,720.00,720.00,720.00,4000,180.00
2016-08-10,720.00,720.00,720.00,720.00,000,180.00
2016-08-09,720.00,720.00,720.00,720.00,000,180.00
2016-08-08,720.00,720.00,720.00,720.00,000,180.00
2016-08-05,720.00,720.00,720.00,720.00,000,180.00
2016-08-04,720.00,720.00,720.00,720.00,000,180.00
2016-08-03,720.00,720.00,720.00,720.00,000,180.00
2016-08-02,720.00,720.00,720.00,720.00,000,180.00
2016-08-01,720.00,720.00,720.00,720.00,000,180.00
2016-07-29,720.00,720.00,720.00,720.00,200,180.00
2016-07-28,704.00,704.00,704.00,704.00,000,176.00
2016-07-27,704.00,704.00,704.00,704.00,000,176.00
2016-07-26,704.00,704.00,704.00,704.00,000,176.00
2016-07-25,704.00,704.00,704.00,704.00,000,176.00
2016-07-22,704.00,704.00,704.00,704.00,000,176.00
2016-07-21,704.00,704.00,704.00,704.00,000,176.00
2016-07-20,704.00,704.00,704.00,704.00,000,176.00
2016-07-19,704.00,704.00,704.00,704.00,000,176.00
2016-07-18,704.00,704.00,704.00,704.00,000,176.00
2016-07-15,704.00,704.00,704.00,704.00,000,176.00
2016-07-14,704.00,704.00,704.00,704.00,000,176.00
2016-07-13,704.00,704.00,704.00,704.00,14000,176.00
2016-07-12,704.00,704.00,704.00,704.00,000,176.00
2016-07-11,704.00,704.00,704.00,704.00,000,176.00
2016-07-08,704.00,704.00,704.00,704.00,000,176.00
2016-07-07,704.00,704.00,704.00,704.00,000,176.00
2016-07-06,704.00,704.00,704.00,704.00,000,176.00
2016-07-05,704.00,704.00,704.00,704.00,000,176.00
2016-07-04,704.00,704.00,704.00,704.00,000,176.00
2016-07-01,704.00,704.00,704.00,704.00,000,176.00
2016-06-30,704.00,704.00,704.00,704.00,000,176.00
2016-06-29,704.00,704.00,704.00,704.00,000,176.00
