Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,352.00,370.00,352.00,356.00,5817900,356.00
2017-01-31,352.00,358.00,350.00,352.00,2042800,352.00
2017-01-30,354.00,358.00,348.00,352.00,2771900,352.00
2017-01-27,356.00,358.00,352.00,354.00,2621400,354.00
2017-01-26,356.00,360.00,354.00,354.00,3613900,354.00
2017-01-25,360.00,364.00,356.00,356.00,3423400,356.00
2017-01-24,362.00,370.00,356.00,358.00,5614200,358.00
2017-01-23,362.00,364.00,358.00,360.00,2633800,360.00
2017-01-20,362.00,374.00,360.00,362.00,9533500,362.00
2017-01-19,368.00,370.00,362.00,362.00,3076200,362.00
2017-01-18,364.00,374.00,360.00,364.00,7430600,364.00
2017-01-17,366.00,388.00,364.00,364.00,27863400,364.00
2017-01-16,362.00,378.00,362.00,366.00,10984900,366.00
2017-01-13,380.00,400.00,360.00,362.00,50152900,362.00
2017-01-12,346.00,394.00,346.00,378.00,79008900,378.00
2017-01-11,344.00,350.00,342.00,346.00,3334400,346.00
2017-01-10,342.00,344.00,340.00,344.00,980000,344.00
2017-01-09,342.00,352.00,338.00,342.00,4713300,342.00
2017-01-06,340.00,344.00,340.00,342.00,834400,342.00
2017-01-05,344.00,348.00,340.00,340.00,1684200,340.00
2017-01-04,342.00,344.00,338.00,344.00,964700,344.00
2017-01-03,340.00,342.00,336.00,342.00,606300,342.00
2017-01-02,340.00,340.00,340.00,340.00,000,340.00
2016-12-30,344.00,348.00,340.00,340.00,2046900,340.00
2016-12-29,352.00,356.00,340.00,342.00,4169900,342.00
2016-12-28,340.00,348.00,338.00,342.00,2911900,342.00
2016-12-27,324.00,340.00,324.00,340.00,2299800,340.00
2016-12-26,324.00,324.00,324.00,324.00,000,324.00
2016-12-23,322.00,334.00,320.00,324.00,1760300,324.00
2016-12-22,334.00,334.00,326.00,326.00,3486900,326.00
2016-12-21,342.00,346.00,332.00,332.00,3926800,332.00
2016-12-20,350.00,354.00,342.00,342.00,3225600,342.00
2016-12-19,350.00,352.00,342.00,350.00,3243500,350.00
2016-12-16,350.00,356.00,346.00,350.00,1949300,350.00
2016-12-15,348.00,354.00,342.00,350.00,3067300,350.00
2016-12-14,354.00,358.00,352.00,352.00,2061600,352.00
2016-12-13,354.00,358.00,352.00,354.00,2404200,354.00
2016-12-12,354.00,354.00,354.00,354.00,000,354.00
2016-12-09,362.00,364.00,352.00,354.00,7514400,354.00
2016-12-08,374.00,378.00,362.00,362.00,12769000,362.00
2016-12-07,354.00,378.00,352.00,372.00,43113700,372.00
2016-12-06,350.00,366.00,350.00,352.00,15164300,352.00
2016-12-05,354.00,354.00,348.00,350.00,2569800,350.00
2016-12-02,348.00,356.00,348.00,350.00,2723500,350.00
2016-12-01,354.00,360.00,346.00,348.00,11793300,348.00
2016-11-30,346.00,360.00,344.00,354.00,10899900,354.00
2016-11-29,350.00,352.00,346.00,346.00,2413000,346.00
2016-11-28,352.00,366.00,346.00,348.00,8900400,348.00
2016-11-25,344.00,364.00,340.00,352.00,18421800,352.00
2016-11-24,348.00,354.00,342.00,344.00,6732900,344.00
2016-11-23,344.00,360.00,342.00,348.00,12246600,348.00
2016-11-22,344.00,354.00,342.00,344.00,7148500,344.00
2016-11-21,346.00,356.00,340.00,342.00,6322500,342.00
2016-11-18,360.00,364.00,346.00,346.00,9158700,346.00
2016-11-17,344.00,368.00,340.00,358.00,28016200,358.00
2016-11-16,330.00,346.00,320.00,338.00,7368600,338.00
2016-11-15,340.00,354.00,330.00,330.00,12946700,330.00
2016-11-14,366.00,366.00,330.00,336.00,20864700,336.00
2016-11-11,380.00,380.00,362.00,362.00,17227500,362.00
2016-11-10,368.00,402.00,364.00,382.00,48298000,382.00
2016-11-09,376.00,386.00,358.00,364.00,23243700,364.00
2016-11-08,362.00,384.00,360.00,372.00,24042100,372.00
2016-11-07,364.00,372.00,356.00,360.00,6372900,360.00
2016-11-04,362.00,370.00,354.00,364.00,5057000,364.00
2016-11-03,352.00,386.00,350.00,362.00,33525200,362.00
2016-11-02,360.00,366.00,350.00,352.00,8487200,352.00
2016-11-01,366.00,376.00,356.00,356.00,8790000,356.00
2016-10-31,354.00,380.00,350.00,366.00,12972900,366.00
2016-10-28,362.00,372.00,354.00,354.00,7113500,354.00
2016-10-27,370.00,382.00,362.00,366.00,15519400,366.00
2016-10-26,394.00,398.00,362.00,370.00,46594700,370.00
2016-10-25,408.00,434.00,396.00,398.00,107152800,398.00
2016-10-24,318.00,396.00,318.00,396.00,83388100,396.00
2016-10-21,320.00,328.00,314.00,318.00,2115000,318.00
2016-10-20,314.00,320.00,308.00,318.00,1262200,318.00
