Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1805.00,1810.00,1785.00,1785.00,22706300,1785.00
2017-01-31,1805.00,1805.00,1775.00,1805.00,32442600,1805.00
2017-01-30,1780.00,1800.00,1760.00,1775.00,21688200,1775.00
2017-01-27,1795.00,1795.00,1770.00,1780.00,21718900,1780.00
2017-01-26,1795.00,1820.00,1785.00,1790.00,25637100,1790.00
2017-01-25,1755.00,1795.00,1740.00,1795.00,29035200,1795.00
2017-01-24,1770.00,1780.00,1750.00,1750.00,21340300,1750.00
2017-01-23,1780.00,1805.00,1770.00,1770.00,29356000,1770.00
2017-01-20,1765.00,1805.00,1740.00,1780.00,36987100,1780.00
2017-01-19,1690.00,1765.00,1690.00,1765.00,33750600,1765.00
2017-01-18,1715.00,1715.00,1655.00,1690.00,26415400,1690.00
2017-01-17,1705.00,1730.00,1705.00,1715.00,35553000,1715.00
2017-01-16,1670.00,1710.00,1670.00,1705.00,27456300,1705.00
2017-01-13,1665.00,1675.00,1645.00,1670.00,18640400,1670.00
2017-01-12,1650.00,1685.00,1640.00,1665.00,21058400,1665.00
2017-01-11,1650.00,1680.00,1645.00,1650.00,20927800,1650.00
2017-01-10,1625.00,1685.00,1600.00,1650.00,25874400,1650.00
2017-01-09,1620.00,1650.00,1620.00,1625.00,27554800,1625.00
2017-01-06,1560.00,1620.00,1560.00,1620.00,28678600,1620.00
2017-01-05,1530.00,1555.00,1520.00,1555.00,33180500,1555.00
2017-01-04,1500.00,1540.00,1500.00,1530.00,30120100,1530.00
2017-01-03,1475.00,1505.00,1470.00,1500.00,17252600,1500.00
2017-01-02,1465.00,1465.00,1465.00,1465.00,000,1465.00
2016-12-30,1510.00,1535.00,1465.00,1465.00,18887300,1465.00
2016-12-29,1440.00,1540.00,1435.00,1500.00,35976400,1500.00
2016-12-28,1440.00,1465.00,1425.00,1430.00,20369100,1430.00
2016-12-27,1450.00,1465.00,1430.00,1430.00,22683200,1430.00
2016-12-26,1445.00,1445.00,1445.00,1445.00,000,1445.00
2016-12-23,1405.00,1455.00,1385.00,1445.00,25891100,1445.00
2016-12-22,1390.00,1400.00,1290.00,1400.00,19995000,1400.00
2016-12-21,1455.00,1455.00,1355.00,1395.00,28413300,1395.00
2016-12-20,1490.00,1495.00,1455.00,1455.00,24542000,1455.00
2016-12-19,1460.00,1505.00,1435.00,1490.00,36890700,1490.00
2016-12-16,1465.00,1475.00,1445.00,1465.00,23372300,1465.00
2016-12-15,1445.00,1475.00,1430.00,1465.00,21525100,1465.00
2016-12-14,1425.00,1450.00,1400.00,1445.00,25188300,1445.00
2016-12-13,1475.00,1475.00,1400.00,1425.00,22188600,1425.00
2016-12-12,1475.00,1475.00,1475.00,1475.00,000,1475.00
2016-12-09,1495.00,1500.00,1455.00,1475.00,22756800,1475.00
2016-12-08,1535.00,1550.00,1495.00,1495.00,23192000,1495.00
2016-12-07,1530.00,1565.00,1510.00,1530.00,21473900,1530.00
2016-12-06,1480.00,1555.00,1475.00,1530.00,34322200,1530.00
2016-12-05,1570.00,1575.00,1475.00,1475.00,30585100,1475.00
2016-12-02,1570.00,1585.00,1565.00,1570.00,19774000,1570.00
2016-12-01,1570.00,1590.00,1565.00,1570.00,15648600,1570.00
2016-11-30,1590.00,1595.00,1570.00,1570.00,20562800,1570.00
2016-11-29,1590.00,1600.00,1555.00,1580.00,29855800,1580.00
2016-11-28,1625.00,1640.00,1465.00,1585.00,46009500,1585.00
2016-11-25,1650.00,1660.00,1625.00,1625.00,24059700,1625.00
2016-11-24,1675.00,1705.00,1655.00,1655.00,16949600,1655.00
2016-11-23,1705.00,1715.00,1660.00,1675.00,24620700,1675.00
2016-11-22,1670.00,1745.00,1660.00,1695.00,46540500,1695.00
2016-11-21,1575.00,1665.00,1580.00,1660.00,37230500,1660.00
2016-11-18,1570.00,1580.00,1540.00,1575.00,26299800,1575.00
2016-11-17,1620.00,1635.00,1555.00,1560.00,21064900,1560.00
2016-11-16,1565.00,1640.00,1565.00,1615.00,33393900,1615.00
2016-11-15,1570.00,1630.00,1565.00,1565.00,36617400,1565.00
2016-11-14,1590.00,1610.00,1515.00,1570.00,31997300,1570.00
2016-11-11,1600.00,1630.00,1570.00,1595.00,31290200,1595.00
2016-11-10,1540.00,1680.00,1540.00,1645.00,45431700,1645.00
2016-11-09,1555.00,1565.00,1440.00,1530.00,52842800,1530.00
2016-11-08,1430.00,1570.00,1430.00,1545.00,59345500,1545.00
2016-11-07,1415.00,1450.00,1415.00,1425.00,22538400,1425.00
2016-11-04,1405.00,1440.00,1385.00,1415.00,28084100,1415.00
2016-11-03,1400.00,1450.00,1395.00,1405.00,32718200,1405.00
2016-11-02,1425.00,1440.00,1395.00,1400.00,28580300,1400.00
2016-11-01,1420.00,1480.00,1420.00,1425.00,44444000,1425.00
2016-10-31,1430.00,1430.00,1335.00,1420.00,30532400,1420.00
2016-10-28,1460.00,1485.00,1415.00,1425.00,34030900,1425.00
2016-10-27,1365.00,1470.00,1360.00,1455.00,50944900,1455.00
2016-10-26,1280.00,1360.00,1270.00,1355.00,38341800,1355.00
2016-10-25,1290.00,1300.00,1265.00,1265.00,22983900,1265.00
2016-10-24,1265.00,1320.00,1265.00,1285.00,25592500,1285.00
2016-10-21,1245.00,1320.00,1230.00,1265.00,28634000,1265.00
2016-10-20,1300.00,1370.00,1210.00,1245.00,43735400,1245.00
2016-10-19,1150.00,1295.00,1145.00,1295.00,55558400,1295.00
2016-10-18,1065.00,1140.00,1055.00,1135.00,42845400,1135.00
2016-10-17,985.00,1060.00,980.00,1055.00,38267900,1055.00
2016-10-14,990.00,1005.00,960.00,985.00,18344600,985.00
2016-10-13,1010.00,1020.00,990.00,990.00,27632200,990.00
2016-10-12,965.00,1005.00,965.00,1005.00,32211700,1005.00
2016-10-11,950.00,975.00,950.00,960.00,30369100,960.00
2016-10-10,935.00,980.00,935.00,950.00,33705700,950.00
2016-10-07,925.00,965.00,925.00,935.00,17609300,935.00
2016-10-06,940.00,950.00,910.00,925.00,25649600,925.00
2016-10-05,960.00,960.00,930.00,935.00,22739400,935.00
2016-10-04,975.00,990.00,960.00,960.00,16969500,960.00
2016-10-03,985.00,1000.00,975.00,975.00,22741000,975.00
2016-09-30,960.00,1020.00,955.00,975.00,28853100,975.00
2016-09-29,935.00,975.00,930.00,960.00,26080500,960.00
2016-09-28,945.00,955.00,920.00,930.00,23203700,930.00
2016-09-27,970.00,985.00,925.00,945.00,28471900,945.00
2016-09-26,850.00,985.00,850.00,970.00,23183800,970.00
2016-09-23,840.00,855.00,835.00,840.00,6197000,840.00
2016-09-22,835.00,860.00,835.00,835.00,15756300,835.00
2016-09-21,850.00,855.00,830.00,835.00,16517900,835.00
2016-09-20,850.00,885.00,835.00,840.00,13544200,840.00
2016-09-19,855.00,910.00,855.00,880.00,25287800,880.00
2016-09-16,830.00,900.00,830.00,850.00,20054400,850.00
2016-09-15,835.00,875.00,825.00,830.00,20391200,830.00
2016-09-14,840.00,855.00,780.00,830.00,4633100,830.00
2016-09-13,930.00,950.00,855.00,855.00,9395200,855.00
2016-09-12,950.00,950.00,950.00,950.00,000,950.00
2016-09-09,975.00,985.00,950.00,950.00,10712900,950.00
2016-09-08,950.00,1010.00,945.00,970.00,16364600,970.00
2016-09-07,950.00,980.00,895.00,950.00,24848900,950.00
2016-09-06,1105.00,1110.00,990.00,990.00,21890800,990.00
2016-09-05,1080.00,1125.00,1055.00,1100.00,28766600,1100.00
2016-09-02,1055.00,1080.00,1050.00,1060.00,15408200,1060.00
2016-09-01,1075.00,1075.00,1050.00,1055.00,10193200,1055.00
2016-08-31,1050.00,1090.00,1045.00,1075.00,20052000,1075.00
2016-08-30,1025.00,1060.00,1020.00,1045.00,15749100,1045.00
2016-08-29,1035.00,1040.00,1015.00,1020.00,9785100,1020.00
2016-08-26,1025.00,1040.00,1000.00,1030.00,16923800,1030.00
2016-08-25,955.00,1025.00,955.00,1005.00,24662800,1005.00
2016-08-24,950.00,965.00,945.00,955.00,8512400,955.00
2016-08-23,960.00,960.00,935.00,950.00,5313800,950.00
2016-08-22,950.00,965.00,855.00,955.00,8187900,955.00
2016-08-19,970.00,1000.00,945.00,950.00,13968300,950.00
2016-08-18,970.00,970.00,970.00,970.00,000,970.00
2016-08-17,970.00,970.00,970.00,970.00,000,970.00
2016-08-16,905.00,985.00,895.00,970.00,27183000,970.00
2016-08-15,910.00,925.00,860.00,905.00,13058600,905.00
2016-08-12,845.00,930.00,825.00,910.00,9258900,910.00
2016-08-11,825.00,870.00,810.00,845.00,6420800,845.00
2016-08-10,720.00,840.00,710.00,825.00,10288800,825.00
2016-08-09,735.00,750.00,695.00,725.00,2322200,725.00
2016-08-08,635.00,745.00,635.00,730.00,5692700,730.00
2016-08-05,625.00,635.00,625.00,630.00,540100,630.00
2016-08-04,635.00,635.00,610.00,635.00,1293700,635.00
2016-08-03,640.00,645.00,620.00,620.00,1719700,620.00
2016-08-02,655.00,665.00,635.00,635.00,1652700,635.00
2016-08-01,645.00,665.00,630.00,650.00,1733500,650.00
2016-07-29,650.00,685.00,625.00,645.00,2716000,645.00
2016-07-28,585.00,660.00,565.00,650.00,7933900,650.00
2016-07-27,560.00,600.00,560.00,585.00,7364500,585.00
2016-07-26,505.00,545.00,500.00,545.00,3315200,545.00
2016-07-25,500.00,510.00,498.00,505.00,867700,505.00
2016-07-22,510.00,510.00,500.00,500.00,650200,500.00
2016-07-21,500.00,520.00,500.00,510.00,789300,510.00
2016-07-20,500.00,500.00,498.00,500.00,733100,500.00
2016-07-19,510.00,510.00,498.00,500.00,705100,500.00
2016-07-18,500.00,520.00,494.00,505.00,1154300,505.00
2016-07-15,500.00,505.00,496.00,500.00,862200,500.00
2016-07-14,486.00,500.00,482.00,500.00,953300,500.00
2016-07-13,494.00,500.00,486.00,494.00,967100,494.00
2016-07-12,490.00,498.00,488.00,496.00,505500,496.00
2016-07-11,484.00,496.00,484.00,496.00,455200,496.00
2016-07-08,484.00,484.00,484.00,484.00,000,484.00
2016-07-07,484.00,484.00,484.00,484.00,000,484.00
2016-07-06,484.00,484.00,484.00,484.00,000,484.00
2016-07-05,484.00,484.00,484.00,484.00,000,484.00
2016-07-04,484.00,484.00,484.00,484.00,000,484.00
2016-07-01,478.00,484.00,474.00,484.00,888100,484.00
2016-06-30,480.00,484.00,480.00,484.00,486800,484.00
2016-06-28,492.00,492.00,478.00,478.00,1347500,478.00
2016-06-27,480.00,500.00,480.00,490.00,1046600,490.00
2016-06-24,480.00,488.00,470.00,488.00,1008100,488.00
2016-06-23,486.00,486.00,480.00,484.00,680700,484.00
2016-06-22,492.00,492.00,480.00,486.00,1127500,486.00
2016-06-21,474.00,496.00,474.00,492.00,514100,492.00
2016-06-20,474.00,478.00,474.00,478.00,620000,478.00
2016-06-17,470.00,478.00,470.00,476.00,759800,476.00
2016-06-16,470.00,474.00,460.00,470.00,1243800,470.00
2016-06-15,476.00,476.00,468.00,470.00,671500,470.00
2016-06-14,470.00,478.00,470.00,478.00,655700,478.00
2016-06-13,470.00,474.00,460.00,470.00,757400,470.00
2016-06-10,470.00,470.00,466.00,470.00,367900,470.00
2016-06-09,476.00,482.00,466.00,466.00,532500,466.00
2016-06-08,472.00,478.00,470.00,472.00,1134900,472.00
2016-06-07,472.00,474.00,470.00,472.00,809600,472.00
2016-06-06,474.00,478.00,472.00,472.00,821600,472.00
2016-06-03,480.00,482.00,470.00,476.00,1306300,476.00
2016-06-02,474.00,476.00,472.00,474.00,924400,474.00
2016-06-01,476.00,476.00,466.00,472.00,1690700,472.00
2016-05-31,490.00,490.00,468.00,476.00,2001600,476.00
2016-05-30,496.00,510.00,490.00,490.00,3541400,490.00
2016-05-27,492.00,505.00,492.00,496.00,2001000,496.00
2016-05-26,470.00,505.00,470.00,494.00,1859900,494.00
2016-05-25,460.00,472.00,460.00,470.00,710600,470.00
