Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,4450.00,4460.00,4400.00,4400.00,15200,4400.00
2017-01-31,4450.00,4500.00,4450.00,4450.00,272900,4450.00
2017-01-30,4450.00,4480.00,4450.00,4480.00,103800,4480.00
2017-01-27,4480.00,4480.00,4400.00,4450.00,121900,4450.00
2017-01-26,4480.00,4480.00,4470.00,4470.00,3700,4470.00
2017-01-25,4480.00,4500.00,4480.00,4500.00,11600,4500.00
2017-01-24,4490.00,4490.00,4480.00,4480.00,403100,4480.00
2017-01-23,4480.00,4480.00,4480.00,4480.00,121500,4480.00
2017-01-20,4500.00,4500.00,4480.00,4480.00,51500,4480.00
2017-01-19,4500.00,4510.00,4480.00,4480.00,1020700,4480.00
2017-01-18,4480.00,4500.00,4410.00,4480.00,41400,4480.00
2017-01-17,4500.00,4500.00,4480.00,4480.00,29400,4480.00
2017-01-16,4500.00,4500.00,4500.00,4500.00,15500,4500.00
2017-01-13,4580.00,4580.00,4500.00,4500.00,56100,4500.00
2017-01-12,4580.00,4600.00,4560.00,4580.00,15700,4580.00
2017-01-11,4600.00,4650.00,4580.00,4580.00,9000,4580.00
2017-01-10,4600.00,4600.00,4600.00,4600.00,5600,4600.00
2017-01-09,4700.00,4700.00,4600.00,4600.00,10900,4600.00
2017-01-06,4700.00,4700.00,4700.00,4700.00,3800,4700.00
2017-01-05,4730.00,4730.00,4680.00,4680.00,16000,4680.00
2017-01-04,4780.00,4800.00,4730.00,4730.00,20000,4730.00
2017-01-03,4780.00,4780.00,4780.00,4780.00,31100,4780.00
2017-01-02,5000.00,5000.00,5000.00,5000.00,000,5000.00
2016-12-30,4750.00,5000.00,4700.00,5000.00,377300,5000.00
2016-12-29,4800.00,4800.00,4750.00,4750.00,31100,4750.00
2016-12-28,4800.00,4800.00,4800.00,4800.00,100,4800.00
2016-12-27,4800.00,4800.00,4800.00,4800.00,100,4800.00
2016-12-26,4800.00,4800.00,4800.00,4800.00,000,4800.00
2016-12-23,4800.00,4800.00,4800.00,4800.00,1600,4800.00
2016-12-22,4850.00,4850.00,4800.00,4800.00,21400,4800.00
2016-12-21,4850.00,4900.00,4850.00,4890.00,200,4890.00
2016-12-20,4850.00,4850.00,4850.00,4850.00,000,4850.00
2016-12-19,4850.00,4850.00,4850.00,4850.00,1000,4850.00
2016-12-16,4850.00,4850.00,4850.00,4850.00,000,4850.00
2016-12-15,4850.00,4850.00,4850.00,4850.00,800,4850.00
2016-12-14,4990.00,4990.00,4800.00,4800.00,31500,4800.00
2016-12-13,4900.00,4990.00,4900.00,4990.00,6500,4990.00
2016-12-12,4900.00,4900.00,4900.00,4900.00,000,4900.00
2016-12-09,4900.00,4900.00,4900.00,4900.00,1700,4900.00
2016-12-08,4800.00,4870.00,4800.00,4870.00,5200,4870.00
2016-12-07,4800.00,4800.00,4800.00,4800.00,000,4800.00
2016-12-06,4800.00,4800.00,4800.00,4800.00,000,4800.00
2016-12-05,4950.00,4950.00,4800.00,4800.00,110200,4800.00
2016-12-02,5000.00,5000.00,5000.00,5000.00,300,5000.00
2016-12-01,5100.00,5100.00,4900.00,4900.00,3300,4900.00
2016-11-30,5100.00,5100.00,5100.00,5100.00,000,5100.00
2016-11-29,5050.00,5100.00,5050.00,5100.00,7000,5100.00
2016-11-28,5000.00,5000.00,4900.00,4900.00,8200,4900.00
2016-11-25,5000.00,5000.00,5000.00,5000.00,1000,5000.00
