Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1045.00,1070.00,1030.00,1055.00,890900,1055.00
2017-01-31,1045.00,1045.00,1025.00,1045.00,948100,1045.00
2017-01-30,1005.00,1040.00,1000.00,1030.00,979200,1030.00
2017-01-27,1030.00,1030.00,1005.00,1005.00,942500,1005.00
2017-01-26,1005.00,1030.00,1005.00,1030.00,2054400,1030.00
2017-01-25,1040.00,1040.00,990.00,1005.00,3202600,1005.00
2017-01-24,1050.00,1080.00,1000.00,1010.00,4506000,1010.00
2017-01-23,1045.00,1055.00,1030.00,1040.00,769200,1040.00
2017-01-20,1085.00,1090.00,1025.00,1045.00,1047800,1045.00
2017-01-19,1100.00,1100.00,1055.00,1085.00,704100,1085.00
2017-01-18,1090.00,1115.00,1080.00,1085.00,1768800,1085.00
2017-01-17,1110.00,1185.00,1090.00,1090.00,29494800,1090.00
2017-01-16,1005.00,1125.00,1005.00,1110.00,30990200,1110.00
2017-01-13,995.00,1005.00,990.00,1005.00,268900,1005.00
2017-01-12,1025.00,1025.00,995.00,995.00,613500,995.00
2017-01-11,1030.00,1040.00,1015.00,1025.00,638600,1025.00
2017-01-10,1005.00,1045.00,1005.00,1030.00,2676900,1030.00
2017-01-09,970.00,1010.00,970.00,1005.00,2851300,1005.00
2017-01-06,970.00,980.00,965.00,970.00,572100,970.00
2017-01-05,960.00,970.00,955.00,970.00,140900,970.00
2017-01-04,965.00,965.00,955.00,955.00,232500,955.00
2017-01-03,965.00,970.00,965.00,965.00,224500,965.00
2017-01-02,955.00,955.00,955.00,955.00,000,955.00
2016-12-30,950.00,965.00,950.00,955.00,11074200,955.00
2016-12-29,955.00,960.00,950.00,955.00,1238200,955.00
2016-12-28,960.00,970.00,950.00,950.00,4743300,950.00
2016-12-27,945.00,955.00,935.00,955.00,196600,955.00
2016-12-26,945.00,945.00,945.00,945.00,000,945.00
2016-12-23,950.00,950.00,940.00,945.00,1124500,945.00
2016-12-22,955.00,955.00,945.00,955.00,1958200,955.00
2016-12-21,955.00,965.00,950.00,955.00,873800,955.00
2016-12-20,965.00,970.00,950.00,955.00,1185500,955.00
2016-12-19,965.00,970.00,960.00,965.00,181400,965.00
2016-12-16,960.00,965.00,950.00,965.00,99500,965.00
2016-12-15,960.00,970.00,955.00,960.00,1236400,960.00
2016-12-14,960.00,970.00,960.00,970.00,1961900,970.00
2016-12-13,965.00,975.00,955.00,955.00,253400,955.00
2016-12-12,965.00,965.00,965.00,965.00,000,965.00
2016-12-09,970.00,975.00,965.00,965.00,521800,965.00
2016-12-08,965.00,980.00,965.00,965.00,147400,965.00
2016-12-07,975.00,975.00,955.00,960.00,1277300,960.00
2016-12-06,975.00,990.00,965.00,970.00,2342200,970.00
2016-12-05,980.00,985.00,970.00,970.00,603600,970.00
2016-12-02,985.00,990.00,980.00,980.00,152100,980.00
2016-12-01,975.00,990.00,975.00,985.00,15800,985.00
2016-11-30,980.00,995.00,975.00,975.00,734600,975.00
2016-11-29,980.00,985.00,975.00,975.00,197000,975.00
2016-11-28,990.00,995.00,980.00,980.00,254300,980.00
2016-11-25,985.00,990.00,980.00,990.00,1040600,990.00
2016-11-24,1000.00,1005.00,975.00,990.00,2406600,990.00
2016-11-23,990.00,1000.00,985.00,995.00,1367900,995.00
2016-11-22,990.00,1000.00,975.00,995.00,800400,995.00
2016-11-21,1000.00,1005.00,990.00,990.00,48200,990.00
2016-11-18,980.00,1000.00,970.00,1000.00,1062500,1000.00
2016-11-17,970.00,995.00,965.00,980.00,1610700,980.00
2016-11-16,950.00,975.00,950.00,970.00,118800,970.00
2016-11-15,995.00,995.00,950.00,950.00,901400,950.00
2016-11-14,995.00,995.00,960.00,995.00,575400,995.00
2016-11-11,1015.00,1015.00,985.00,995.00,894400,995.00
2016-11-10,1000.00,1020.00,1000.00,1015.00,1097400,1015.00
2016-11-09,1010.00,1010.00,985.00,1000.00,921200,1000.00
2016-11-08,980.00,1015.00,980.00,1010.00,502200,1010.00
2016-11-07,1010.00,1020.00,995.00,1000.00,2401000,1000.00
2016-11-04,1005.00,1020.00,1000.00,1010.00,783500,1010.00
2016-11-03,1025.00,1025.00,1000.00,1005.00,1193600,1005.00
