Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,560.00,560.00,550.00,560.00,532200,560.00
2017-01-31,560.00,575.00,560.00,560.00,245800,560.00
2017-01-30,570.00,575.00,560.00,570.00,1817000,570.00
2017-01-27,555.00,570.00,550.00,570.00,5633000,570.00
2017-01-26,550.00,555.00,545.00,555.00,2504700,555.00
2017-01-25,550.00,555.00,545.00,550.00,304400,550.00
2017-01-24,555.00,555.00,545.00,550.00,693400,550.00
2017-01-23,540.00,555.00,540.00,550.00,1614800,550.00
2017-01-20,540.00,550.00,540.00,540.00,5001700,540.00
2017-01-19,550.00,555.00,545.00,555.00,945200,555.00
2017-01-18,540.00,555.00,540.00,545.00,4069400,545.00
2017-01-17,540.00,550.00,540.00,540.00,1131700,540.00
2017-01-16,540.00,545.00,540.00,540.00,1197000,540.00
2017-01-13,525.00,555.00,525.00,540.00,8428600,540.00
2017-01-12,520.00,530.00,515.00,530.00,3297500,530.00
2017-01-11,525.00,530.00,520.00,520.00,849000,520.00
2017-01-10,530.00,530.00,520.00,525.00,1437800,525.00
2017-01-09,535.00,535.00,525.00,530.00,1871500,530.00
2017-01-06,520.00,535.00,520.00,535.00,1425600,535.00
2017-01-05,520.00,525.00,510.00,515.00,5807200,515.00
2017-01-04,510.00,520.00,510.00,515.00,861000,515.00
2017-01-03,520.00,525.00,510.00,510.00,379500,510.00
2017-01-02,520.00,520.00,520.00,520.00,000,520.00
2016-12-30,520.00,540.00,515.00,520.00,2246500,520.00
2016-12-29,520.00,535.00,520.00,530.00,1074100,530.00
2016-12-28,510.00,525.00,510.00,515.00,1083100,515.00
2016-12-27,515.00,515.00,510.00,510.00,1749400,510.00
2016-12-26,510.00,510.00,510.00,510.00,000,510.00
2016-12-23,530.00,530.00,510.00,510.00,2850200,510.00
2016-12-22,540.00,560.00,505.00,515.00,5315100,515.00
2016-12-21,540.00,550.00,540.00,540.00,273600,540.00
2016-12-20,540.00,550.00,540.00,540.00,391100,540.00
2016-12-19,540.00,545.00,535.00,540.00,533100,540.00
2016-12-16,540.00,555.00,540.00,550.00,301100,550.00
2016-12-15,540.00,545.00,535.00,540.00,2217800,540.00
2016-12-14,550.00,555.00,545.00,545.00,528800,545.00
2016-12-13,545.00,550.00,540.00,550.00,1350700,550.00
2016-12-12,545.00,545.00,545.00,545.00,000,545.00
2016-12-09,550.00,560.00,545.00,545.00,2007700,545.00
2016-12-08,550.00,555.00,545.00,555.00,1898800,555.00
2016-12-07,545.00,555.00,540.00,545.00,952200,545.00
2016-12-06,550.00,550.00,545.00,550.00,370900,550.00
2016-12-05,550.00,555.00,550.00,555.00,661900,555.00
2016-12-02,560.00,560.00,545.00,550.00,657900,550.00
2016-12-01,545.00,550.00,545.00,550.00,935700,550.00
2016-11-30,550.00,555.00,540.00,545.00,789100,545.00
2016-11-29,545.00,555.00,540.00,550.00,4572300,550.00
2016-11-28,550.00,550.00,540.00,545.00,1071800,545.00
2016-11-25,550.00,555.00,545.00,550.00,655000,550.00
2016-11-24,550.00,560.00,535.00,545.00,1633200,545.00
2016-11-23,555.00,560.00,545.00,550.00,1272600,550.00
2016-11-22,545.00,555.00,540.00,550.00,473900,550.00
2016-11-21,545.00,550.00,540.00,545.00,1560300,545.00
2016-11-18,540.00,545.00,535.00,545.00,2574500,545.00
2016-11-17,545.00,545.00,535.00,540.00,608800,540.00
2016-11-16,515.00,550.00,515.00,545.00,13283700,545.00
2016-11-15,515.00,535.00,515.00,515.00,1325600,515.00
2016-11-14,530.00,530.00,510.00,515.00,1891800,515.00
2016-11-11,550.00,550.00,530.00,530.00,4445600,530.00
2016-11-10,550.00,555.00,550.00,550.00,5329400,550.00
2016-11-09,560.00,560.00,545.00,550.00,4344600,550.00
2016-11-08,555.00,560.00,550.00,560.00,4613500,560.00
2016-11-07,565.00,570.00,545.00,550.00,4650500,550.00
2016-11-04,560.00,565.00,550.00,565.00,2275000,565.00
2016-11-03,565.00,575.00,555.00,560.00,1598000,560.00
2016-11-02,560.00,570.00,560.00,565.00,3447100,565.00
2016-11-01,565.00,575.00,565.00,570.00,1615800,570.00
2016-10-31,585.00,585.00,565.00,565.00,1576800,565.00
2016-10-28,570.00,590.00,570.00,575.00,6066300,575.00
2016-10-27,565.00,575.00,565.00,565.00,1291300,565.00
2016-10-26,565.00,575.00,560.00,565.00,1299500,565.00
2016-10-25,560.00,575.00,560.00,565.00,1576500,565.00
2016-10-24,550.00,565.00,545.00,560.00,1512300,560.00
2016-10-21,555.00,565.00,550.00,550.00,2489300,550.00
2016-10-20,555.00,555.00,545.00,550.00,1514900,550.00
2016-10-19,565.00,565.00,550.00,550.00,4352400,550.00
2016-10-18,565.00,570.00,560.00,565.00,1038900,565.00
2016-10-17,545.00,575.00,545.00,565.00,2279400,565.00
2016-10-14,555.00,555.00,535.00,550.00,5462700,550.00
2016-10-13,575.00,580.00,550.00,550.00,16944500,550.00
2016-10-12,570.00,585.00,565.00,575.00,6010700,575.00
2016-10-11,550.00,575.00,550.00,575.00,21605700,575.00
2016-10-10,565.00,570.00,550.00,550.00,1138300,550.00
2016-10-07,575.00,575.00,560.00,565.00,1918100,565.00
2016-10-06,565.00,580.00,565.00,575.00,6607200,575.00
