Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1650.00,1650.00,1650.00,1650.00,000,1650.00
2017-03-29,1600.00,1650.00,1600.00,1650.00,200,1650.00
2017-03-28,1500.00,1500.00,1500.00,1500.00,000,1500.00
2017-03-27,1500.00,1550.00,1500.00,1500.00,2800,1500.00
2017-03-24,1800.00,1800.00,1450.00,1500.00,600,1500.00
2017-03-23,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-22,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-21,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-20,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-17,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-16,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-15,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-14,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-13,1800.00,1800.00,1800.00,1800.00,100,1800.00
2017-03-10,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-03-09,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-03-08,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-03-07,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-03-06,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-03-03,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-03-02,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-03-01,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-28,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-27,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-24,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-23,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-22,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-21,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-20,1810.00,1810.00,1810.00,1810.00,400,1810.00
2017-02-17,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-02-16,1850.00,1850.00,1850.00,1850.00,300,1850.00
2017-02-15,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-02-14,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-02-13,1850.00,1850.00,1850.00,1850.00,800,1850.00
2017-02-10,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-02-09,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-02-08,1755.00,1850.00,1755.00,1850.00,23400,1850.00
2017-02-07,1750.00,1755.00,1750.00,1755.00,4000,1755.00
2017-02-06,1700.00,1720.00,1700.00,1700.00,38100,1700.00
2017-02-03,1700.00,1700.00,1700.00,1700.00,000,1700.00
2017-02-02,1800.00,1800.00,1700.00,1700.00,10700,1700.00
2017-02-01,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-31,1850.00,1850.00,1500.00,1850.00,200,1850.00
2017-01-30,1800.00,1800.00,1800.00,1800.00,900,1800.00
2017-01-27,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-26,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-25,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-24,1850.00,1850.00,1850.00,1850.00,1300,1850.00
2017-01-23,2100.00,2100.00,2000.00,2000.00,100,2000.00
2017-01-20,2100.00,2100.00,2100.00,2100.00,000,2100.00
2017-01-19,2100.00,2100.00,2100.00,2100.00,000,2100.00
2017-01-18,2100.00,2100.00,2100.00,2100.00,000,2100.00
2017-01-17,1850.00,2100.00,1850.00,2100.00,100,2100.00
2017-01-16,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-13,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-12,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-11,1850.00,1850.00,1850.00,1850.00,4000,1850.00
2017-01-10,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-09,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-06,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-05,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-04,1850.00,1850.00,1850.00,1850.00,000,1850.00
2017-01-03,1850.00,1850.00,1850.00,1850.00,900,1850.00
2017-01-02,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-12-30,1700.00,1850.00,1700.00,1850.00,600,1850.00
2016-12-29,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-12-28,1850.00,1850.00,1850.00,1850.00,200,1850.00
2016-12-27,1900.00,1900.00,1900.00,1900.00,100,1900.00
2016-12-26,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-23,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-22,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-21,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-20,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-19,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-16,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-15,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-14,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-13,1900.00,1900.00,1900.00,1900.00,50000,1900.00
2016-12-12,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-09,1900.00,1900.00,1900.00,1900.00,100,1900.00
2016-12-08,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-12-07,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-12-06,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-12-05,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-12-02,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-12-01,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-11-30,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-11-29,1800.00,1850.00,1800.00,1850.00,1400,1850.00
2016-11-28,1900.00,1900.00,1800.00,1800.00,100,1800.00
2016-11-25,1900.00,1900.00,1900.00,1900.00,200,1900.00
2016-11-24,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-23,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-22,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-21,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-18,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-17,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-16,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-15,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-14,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-11,2000.00,2000.00,2000.00,2000.00,1500,2000.00
2016-11-10,2190.00,2190.00,2000.00,2150.00,10200,2150.00
2016-11-09,2150.00,2150.00,2150.00,2150.00,000,2150.00
2016-11-08,2150.00,2150.00,2150.00,2150.00,000,2150.00
2016-11-07,2150.00,2150.00,2150.00,2150.00,000,2150.00
2016-11-04,2150.00,2150.00,2150.00,2150.00,000,2150.00
2016-11-03,2200.00,2200.00,2150.00,2150.00,300,2150.00
2016-11-02,1950.00,2000.00,1950.00,2000.00,600,2000.00
2016-11-01,2150.00,2150.00,2000.00,2000.00,500,2000.00
2016-10-31,2150.00,2150.00,2150.00,2150.00,000,2150.00
2016-10-28,2150.00,2150.00,2150.00,2150.00,000,2150.00
2016-10-27,2150.00,2150.00,2150.00,2150.00,000,2150.00
2016-10-26,2160.00,2160.00,2150.00,2150.00,2200,2150.00
2016-10-25,2120.00,2160.00,2120.00,2160.00,1500,2160.00
2016-10-24,2160.00,2160.00,2160.00,2160.00,000,2160.00
2016-10-21,2160.00,2160.00,2160.00,2160.00,100,2160.00
2016-10-20,2000.00,2000.00,1900.00,1900.00,300,1900.00
2016-10-19,2100.00,2100.00,2100.00,2100.00,100,2100.00
2016-10-18,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-17,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-14,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-13,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-12,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-11,2170.00,2170.00,2100.00,2100.00,1000,2100.00
2016-10-10,2170.00,2170.00,2170.00,2170.00,000,2170.00
2016-10-07,2000.00,2170.00,1975.00,2170.00,3600,2170.00
2016-10-06,2000.00,2190.00,2000.00,2190.00,21600,2190.00
2016-10-05,2000.00,2000.00,2000.00,2000.00,1700,2000.00
2016-10-04,2080.00,2080.00,2000.00,2000.00,900,2000.00
2016-10-03,2080.00,2080.00,2080.00,2080.00,000,2080.00
2016-09-30,2080.00,2080.00,2080.00,2080.00,000,2080.00
2016-09-29,2080.00,2080.00,2080.00,2080.00,000,2080.00
2016-09-28,2080.00,2080.00,2080.00,2080.00,000,2080.00
2016-09-27,2080.00,2080.00,2080.00,2080.00,000,2080.00
2016-09-26,2190.00,2190.00,2080.00,2080.00,200,2080.00
2016-09-23,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-09-22,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-09-21,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-09-20,2100.00,2100.00,2100.00,2100.00,100,2100.00
2016-09-19,2190.00,2190.00,2190.00,2190.00,000,2190.00
2016-09-16,2190.00,2190.00,2190.00,2190.00,000,2190.00
2016-09-15,2190.00,2190.00,2190.00,2190.00,000,2190.00
2016-09-14,2190.00,2190.00,2190.00,2190.00,000,2190.00
2016-09-13,2190.00,2190.00,2190.00,2190.00,100,2190.00
2016-09-12,2280.00,2280.00,2280.00,2280.00,000,2280.00
2016-09-09,2280.00,2280.00,2280.00,2280.00,200,2280.00
2016-09-08,2550.00,2550.00,1945.00,1945.00,11100,1945.00
2016-09-07,2580.00,2580.00,2160.00,2160.00,4400,2160.00
2016-09-06,2600.00,2600.00,2390.00,2390.00,3200,2390.00
2016-09-05,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-09-02,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-09-01,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-31,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-30,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-29,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-26,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-25,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-24,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-23,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-22,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-19,2650.00,2650.00,2650.00,2650.00,400,2650.00
2016-08-18,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-17,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-16,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-15,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-12,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-11,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-10,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-09,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-08,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-05,2650.00,2650.00,2650.00,2650.00,100,2650.00
2016-08-04,2650.00,2650.00,2650.00,2650.00,900,2650.00
2016-08-03,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-02,2650.00,2650.00,2650.00,2650.00,000,2650.00
2016-08-01,2600.00,2650.00,2600.00,2650.00,100,2650.00
2016-07-29,2600.00,2600.00,2600.00,2600.00,200,2600.00
