Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,426.00,426.00,426.00,426.00,000,426.00
2017-03-29,426.00,426.00,426.00,426.00,000,426.00
2017-03-28,426.00,426.00,426.00,426.00,000,426.00
2017-03-27,426.00,426.00,426.00,426.00,000,426.00
2017-03-24,426.00,426.00,426.00,426.00,000,426.00
2017-03-23,426.00,426.00,426.00,426.00,000,426.00
2017-03-22,426.00,426.00,426.00,426.00,000,426.00
2017-03-21,426.00,426.00,426.00,426.00,000,426.00
2017-03-20,426.00,426.00,426.00,426.00,200,426.00
2017-03-17,426.00,426.00,426.00,426.00,100,426.00
2017-03-16,426.00,426.00,426.00,426.00,000,426.00
2017-03-15,426.00,426.00,426.00,426.00,000,426.00
2017-03-14,426.00,426.00,426.00,426.00,000,426.00
2017-03-13,426.00,426.00,426.00,426.00,000,426.00
2017-03-10,426.00,426.00,426.00,426.00,000,426.00
2017-03-09,426.00,426.00,426.00,426.00,000,426.00
2017-03-08,426.00,426.00,426.00,426.00,000,426.00
2017-03-07,426.00,426.00,426.00,426.00,000,426.00
2017-03-06,426.00,426.00,426.00,426.00,000,426.00
2017-03-03,426.00,426.00,426.00,426.00,000,426.00
2017-03-02,426.00,426.00,426.00,426.00,000,426.00
2017-03-01,426.00,426.00,426.00,426.00,000,426.00
2017-02-28,426.00,426.00,426.00,426.00,000,426.00
2017-02-27,426.00,426.00,426.00,426.00,000,426.00
2017-02-24,426.00,426.00,426.00,426.00,000,426.00
2017-02-23,426.00,426.00,426.00,426.00,000,426.00
2017-02-22,426.00,426.00,426.00,426.00,000,426.00
2017-02-21,426.00,426.00,426.00,426.00,000,426.00
2017-02-20,426.00,426.00,426.00,426.00,000,426.00
2017-02-17,426.00,426.00,426.00,426.00,000,426.00
2017-02-16,426.00,426.00,426.00,426.00,000,426.00
2017-02-15,426.00,426.00,426.00,426.00,000,426.00
2017-02-14,426.00,426.00,426.00,426.00,000,426.00
2017-02-13,426.00,426.00,426.00,426.00,000,426.00
2017-02-10,426.00,426.00,426.00,426.00,000,426.00
2017-02-09,426.00,426.00,426.00,426.00,000,426.00
2017-02-08,426.00,426.00,426.00,426.00,000,426.00
2017-02-07,426.00,426.00,426.00,426.00,000,426.00
2017-02-06,426.00,426.00,426.00,426.00,000,426.00
2017-02-03,426.00,426.00,426.00,426.00,000,426.00
2017-02-02,426.00,426.00,426.00,426.00,000,426.00
2017-02-01,426.00,426.00,426.00,426.00,000,426.00
2017-01-31,426.00,426.00,426.00,426.00,000,426.00
2017-01-30,426.00,426.00,426.00,426.00,000,426.00
2017-01-27,426.00,426.00,426.00,426.00,000,426.00
2017-01-26,426.00,426.00,426.00,426.00,000,426.00
2017-01-25,426.00,426.00,426.00,426.00,000,426.00
2017-01-24,426.00,426.00,426.00,426.00,000,426.00
2017-01-23,426.00,426.00,426.00,426.00,000,426.00
2017-01-20,426.00,426.00,426.00,426.00,000,426.00
2017-01-19,426.00,426.00,426.00,426.00,000,426.00
2017-01-18,426.00,426.00,426.00,426.00,000,426.00
2017-01-17,426.00,426.00,426.00,426.00,000,426.00
2017-01-16,426.00,426.00,426.00,426.00,000,426.00
2017-01-13,426.00,426.00,426.00,426.00,000,426.00
2017-01-12,426.00,426.00,426.00,426.00,000,426.00
2017-01-11,426.00,426.00,426.00,426.00,000,426.00
2017-01-10,426.00,426.00,426.00,426.00,000,426.00
2017-01-09,426.00,426.00,426.00,426.00,000,426.00
2017-01-06,426.00,426.00,426.00,426.00,000,426.00
2017-01-05,426.00,426.00,426.00,426.00,000,426.00
2017-01-04,426.00,426.00,426.00,426.00,000,426.00
2017-01-03,426.00,426.00,426.00,426.00,000,426.00
2017-01-02,426.00,426.00,426.00,426.00,000,426.00
2016-12-30,426.00,426.00,426.00,426.00,000,426.00
2016-12-29,426.00,426.00,426.00,426.00,000,426.00
2016-12-28,426.00,426.00,426.00,426.00,000,426.00
2016-12-27,426.00,426.00,426.00,426.00,000,426.00
2016-12-26,426.00,426.00,426.00,426.00,000,426.00
2016-12-23,426.00,426.00,426.00,426.00,000,426.00
2016-12-22,426.00,426.00,426.00,426.00,000,426.00
2016-12-21,426.00,426.00,426.00,426.00,000,426.00
2016-12-20,426.00,426.00,426.00,426.00,000,426.00
2016-12-19,426.00,426.00,426.00,426.00,000,426.00
2016-12-16,426.00,426.00,426.00,426.00,000,426.00
2016-12-15,426.00,426.00,426.00,426.00,000,426.00
2016-12-14,426.00,426.00,426.00,426.00,000,426.00
2016-12-13,410.00,426.00,410.00,426.00,300,426.00
2016-12-12,410.00,410.00,410.00,410.00,000,410.00
2016-12-09,410.00,410.00,410.00,410.00,000,410.00
2016-12-08,410.00,410.00,410.00,410.00,100,410.00
2016-12-07,426.00,426.00,426.00,426.00,000,426.00
2016-12-06,426.00,426.00,426.00,426.00,000,426.00
2016-12-05,426.00,426.00,426.00,426.00,000,426.00
2016-12-02,426.00,426.00,426.00,426.00,000,426.00
2016-12-01,426.00,426.00,426.00,426.00,000,426.00
2016-11-30,426.00,426.00,426.00,426.00,000,426.00
2016-11-29,426.00,426.00,426.00,426.00,200,426.00
2016-11-28,420.00,420.00,420.00,420.00,000,420.00
2016-11-25,420.00,420.00,420.00,420.00,000,420.00
2016-11-24,420.00,420.00,420.00,420.00,000,420.00
2016-11-23,420.00,420.00,420.00,420.00,000,420.00
2016-11-22,420.00,420.00,420.00,420.00,000,420.00
2016-11-21,420.00,420.00,420.00,420.00,000,420.00
2016-11-18,420.00,420.00,420.00,420.00,000,420.00
2016-11-17,420.00,420.00,420.00,420.00,000,420.00
2016-11-16,420.00,420.00,420.00,420.00,000,420.00
2016-11-15,420.00,420.00,420.00,420.00,000,420.00
2016-11-14,420.00,420.00,420.00,420.00,000,420.00
2016-11-11,420.00,420.00,420.00,420.00,000,420.00
2016-11-10,420.00,420.00,420.00,420.00,000,420.00
2016-11-09,420.00,420.00,420.00,420.00,000,420.00
2016-11-08,420.00,420.00,420.00,420.00,000,420.00
2016-11-07,420.00,420.00,420.00,420.00,000,420.00
2016-11-04,420.00,420.00,420.00,420.00,000,420.00
2016-11-03,420.00,420.00,420.00,420.00,100,420.00
2016-11-02,426.00,426.00,426.00,426.00,000,426.00
2016-11-01,426.00,426.00,426.00,426.00,000,426.00
2016-10-31,426.00,426.00,426.00,426.00,000,426.00
