Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,94.00,99.00,94.00,99.00,201000,99.00
2017-01-31,94.00,99.00,87.00,94.00,12200,94.00
2017-01-30,95.00,99.00,95.00,95.00,2700,95.00
2017-01-27,94.00,95.00,93.00,95.00,195400,95.00
2017-01-26,97.00,97.00,95.00,96.00,152200,96.00
2017-01-25,102.00,108.00,95.00,97.00,25630700,97.00
2017-01-24,97.00,101.00,97.00,100.00,1866200,100.00
2017-01-23,98.00,99.00,97.00,97.00,285000,97.00
2017-01-20,98.00,100.00,98.00,98.00,276700,98.00
2017-01-19,98.00,100.00,97.00,98.00,1226700,98.00
2017-01-18,96.00,99.00,96.00,97.00,132700,97.00
2017-01-17,92.00,96.00,92.00,96.00,1896700,96.00
2017-01-16,92.00,95.00,91.00,92.00,198900,92.00
2017-01-13,94.00,108.00,82.00,92.00,21734400,92.00
2017-01-12,94.00,96.00,88.00,92.00,3932900,92.00
2017-01-11,95.00,95.00,92.00,94.00,305600,94.00
2017-01-10,95.00,95.00,91.00,95.00,3300,95.00
2017-01-09,92.00,95.00,91.00,95.00,4500,95.00
2017-01-06,92.00,92.00,91.00,92.00,116700,92.00
2017-01-05,93.00,93.00,90.00,92.00,651300,92.00
2017-01-04,90.00,90.00,88.00,89.00,106800,89.00
2017-01-03,88.00,90.00,88.00,90.00,4300,90.00
2017-01-02,85.00,85.00,85.00,85.00,000,85.00
2016-12-30,86.00,94.00,85.00,85.00,262700,85.00
2016-12-29,85.00,93.00,85.00,86.00,130200,86.00
2016-12-28,83.00,96.00,83.00,85.00,127700,85.00
2016-12-27,87.00,87.00,87.00,87.00,100,87.00
2016-12-26,87.00,87.00,87.00,87.00,000,87.00
2016-12-23,86.00,96.00,86.00,87.00,12200,87.00
2016-12-22,88.00,89.00,87.00,87.00,141700,87.00
2016-12-21,89.00,89.00,88.00,89.00,31200,89.00
2016-12-20,89.00,91.00,88.00,89.00,359600,89.00
2016-12-19,94.00,102.00,88.00,89.00,22820500,89.00
2016-12-16,94.00,94.00,93.00,93.00,765100,93.00
2016-12-15,94.00,94.00,94.00,94.00,50000,94.00
2016-12-14,96.00,96.00,94.00,94.00,350400,94.00
2016-12-13,92.00,95.00,92.00,94.00,21177300,94.00
2016-12-12,92.00,92.00,92.00,92.00,000,92.00
2016-12-09,92.00,93.00,92.00,92.00,140500,92.00
2016-12-08,92.00,94.00,92.00,92.00,88900,92.00
2016-12-07,92.00,92.00,91.00,92.00,212200,92.00
2016-12-06,93.00,94.00,92.00,94.00,10499600,94.00
2016-12-05,95.00,101.00,92.00,94.00,6556400,94.00
2016-12-02,99.00,100.00,95.00,96.00,17207600,96.00
2016-12-01,100.00,109.00,98.00,98.00,23412000,98.00
2016-11-30,97.00,100.00,96.00,100.00,1284200,100.00
2016-11-29,94.00,98.00,94.00,96.00,478600,96.00
2016-11-28,98.00,102.00,89.00,94.00,9742200,94.00
