Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,800.00,800.00,800.00,800.00,000,800.00
2017-01-31,800.00,800.00,800.00,800.00,000,800.00
2017-01-30,800.00,800.00,800.00,800.00,000,800.00
2017-01-27,800.00,800.00,800.00,800.00,000,800.00
2017-01-26,800.00,800.00,800.00,800.00,100,800.00
2017-01-25,850.00,850.00,850.00,850.00,000,850.00
2017-01-24,850.00,850.00,850.00,850.00,000,850.00
2017-01-23,850.00,850.00,850.00,850.00,000,850.00
2017-01-20,850.00,850.00,850.00,850.00,000,850.00
2017-01-19,850.00,850.00,850.00,850.00,000,850.00
2017-01-18,850.00,850.00,850.00,850.00,000,850.00
2017-01-17,850.00,850.00,850.00,850.00,000,850.00
2017-01-16,850.00,850.00,850.00,850.00,100,850.00
2017-01-13,850.00,850.00,850.00,850.00,200,850.00
2017-01-12,850.00,850.00,850.00,850.00,000,850.00
2017-01-11,850.00,850.00,850.00,850.00,000,850.00
2017-01-10,850.00,850.00,850.00,850.00,000,850.00
2017-01-09,850.00,850.00,850.00,850.00,000,850.00
2017-01-06,850.00,850.00,850.00,850.00,000,850.00
2017-01-05,850.00,850.00,850.00,850.00,100,850.00
2017-01-04,900.00,900.00,900.00,900.00,000,900.00
2017-01-03,900.00,900.00,900.00,900.00,000,900.00
2017-01-02,900.00,900.00,900.00,900.00,000,900.00
2016-12-30,905.00,905.00,900.00,900.00,200,900.00
2016-12-29,920.00,920.00,920.00,920.00,000,920.00
2016-12-28,920.00,920.00,920.00,920.00,000,920.00
2016-12-27,920.00,920.00,920.00,920.00,000,920.00
2016-12-26,920.00,920.00,920.00,920.00,000,920.00
2016-12-23,920.00,920.00,920.00,920.00,000,920.00
2016-12-22,920.00,920.00,920.00,920.00,000,920.00
2016-12-21,920.00,920.00,920.00,920.00,000,920.00
2016-12-20,920.00,920.00,920.00,920.00,000,920.00
2016-12-19,920.00,920.00,920.00,920.00,000,920.00
2016-12-16,920.00,920.00,920.00,920.00,000,920.00
2016-12-15,920.00,920.00,920.00,920.00,000,920.00
2016-12-14,920.00,920.00,920.00,920.00,000,920.00
2016-12-13,920.00,920.00,920.00,920.00,000,920.00
2016-12-12,920.00,920.00,920.00,920.00,000,920.00
2016-12-09,920.00,920.00,920.00,920.00,000,920.00
2016-12-08,920.00,920.00,920.00,920.00,000,920.00
2016-12-07,920.00,920.00,920.00,920.00,000,920.00
2016-12-06,920.00,920.00,920.00,920.00,000,920.00
2016-12-05,920.00,920.00,920.00,920.00,000,920.00
2016-12-02,920.00,920.00,920.00,920.00,000,920.00
2016-12-01,920.00,920.00,920.00,920.00,000,920.00
2016-11-30,920.00,920.00,920.00,920.00,000,920.00
2016-11-29,920.00,920.00,920.00,920.00,000,920.00
2016-11-28,920.00,920.00,920.00,920.00,000,920.00
2016-11-25,920.00,920.00,920.00,920.00,000,920.00
2016-11-24,920.00,920.00,920.00,920.00,000,920.00
2016-11-23,920.00,920.00,920.00,920.00,000,920.00
2016-11-22,920.00,920.00,920.00,920.00,000,920.00
2016-11-21,920.00,920.00,920.00,920.00,000,920.00
2016-11-18,920.00,920.00,920.00,920.00,100,920.00
2016-11-17,920.00,920.00,920.00,920.00,000,920.00
2016-11-16,920.00,920.00,920.00,920.00,000,920.00
2016-11-15,920.00,920.00,920.00,920.00,000,920.00
2016-11-14,920.00,920.00,920.00,920.00,000,920.00
2016-11-11,920.00,920.00,920.00,920.00,000,920.00
2016-11-10,920.00,920.00,920.00,920.00,000,920.00
2016-11-09,920.00,920.00,920.00,920.00,000,920.00
2016-11-08,920.00,920.00,920.00,920.00,100,920.00
2016-11-07,810.00,810.00,810.00,810.00,000,810.00
2016-11-04,810.00,810.00,810.00,810.00,000,810.00
2016-11-03,810.00,810.00,810.00,810.00,000,810.00
2016-11-02,810.00,810.00,810.00,810.00,000,810.00
2016-11-01,885.00,885.00,800.00,810.00,11600,810.00
2016-10-31,885.00,885.00,885.00,885.00,000,885.00
2016-10-28,885.00,885.00,885.00,885.00,000,885.00
2016-10-27,885.00,885.00,885.00,885.00,2000,885.00
2016-10-26,900.00,900.00,900.00,900.00,000,900.00
2016-10-25,900.00,900.00,900.00,900.00,100,900.00
2016-10-24,930.00,930.00,930.00,930.00,000,930.00
2016-10-21,930.00,930.00,930.00,930.00,000,930.00
2016-10-20,990.00,990.00,930.00,930.00,1600,930.00
2016-10-19,800.00,800.00,800.00,800.00,5300,800.00
2016-10-18,770.00,770.00,770.00,770.00,2200,770.00
2016-10-17,800.00,800.00,800.00,800.00,000,800.00
2016-10-14,800.00,800.00,800.00,800.00,000,800.00
2016-10-13,800.00,800.00,800.00,800.00,000,800.00
2016-10-12,800.00,800.00,800.00,800.00,000,800.00
2016-10-11,800.00,800.00,800.00,800.00,000,800.00
2016-10-10,860.00,860.00,800.00,800.00,11500,800.00
2016-10-07,860.00,860.00,860.00,860.00,000,860.00
2016-10-06,860.00,860.00,860.00,860.00,6000,860.00
2016-10-05,920.00,920.00,880.00,880.00,32700,880.00
2016-10-04,1080.00,1080.00,975.00,975.00,1500,975.00
2016-10-03,1080.00,1080.00,1080.00,1080.00,000,1080.00
2016-09-30,1200.00,1200.00,1080.00,1080.00,1000,1080.00
2016-09-29,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-28,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-27,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-26,1200.00,1200.00,1200.00,1200.00,100,1200.00
2016-09-23,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-22,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-21,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-20,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-19,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-16,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-15,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-14,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-13,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-12,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-09,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-08,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-07,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-06,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-05,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-02,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-09-01,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-31,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-30,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-29,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-26,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-25,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-24,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-23,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-22,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-19,1200.00,1200.00,1200.00,1200.00,000,1200.00
2016-08-18,1200.00,1200.00,1200.00,1200.00,000,1200.00
