Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-31,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-30,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-27,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-26,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-25,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-24,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-23,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-20,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-19,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-18,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-17,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-16,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-13,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-12,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-11,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-10,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-09,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-06,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-05,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-04,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-03,1910.00,1910.00,1910.00,1910.00,000,1910.00
2017-01-02,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-30,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-29,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-28,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-27,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-26,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-23,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-22,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-21,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-20,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-19,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-16,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-15,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-14,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-13,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-12,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-09,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-08,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-07,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-06,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-05,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-02,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-01,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-30,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-29,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-28,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-25,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-24,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-23,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-22,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-21,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-18,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-17,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-16,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-15,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-14,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-11,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-10,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-09,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-08,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-07,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-04,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-03,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-02,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-11-01,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-31,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-28,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-27,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-26,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-25,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-24,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-21,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-20,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-19,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-18,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-17,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-14,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-13,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-12,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-11,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-10,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-07,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-06,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-05,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-04,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-10-03,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-30,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-29,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-28,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-27,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-26,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-23,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-22,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-21,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-20,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-19,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-16,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-15,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-14,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-13,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-12,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-09,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-08,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-07,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-06,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-05,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-02,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-09-01,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-31,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-30,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-29,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-26,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-25,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-24,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-23,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-22,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-19,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-18,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-08-17,1910.00,1910.00,1910.00,1910.00,000,1910.00
