Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,222.00,224.00,218.00,218.00,5600,218.00
2017-01-31,222.00,228.00,218.00,222.00,67700,222.00
2017-01-30,208.00,222.00,208.00,222.00,1244100,222.00
2017-01-27,206.00,210.00,200.00,208.00,1770800,208.00
2017-01-26,195.00,206.00,194.00,204.00,3658900,204.00
2017-01-25,195.00,195.00,195.00,195.00,10000,195.00
2017-01-24,200.00,200.00,200.00,200.00,000,200.00
2017-01-23,200.00,200.00,200.00,200.00,000,200.00
2017-01-20,200.00,200.00,200.00,200.00,000,200.00
2017-01-19,200.00,200.00,200.00,200.00,000,200.00
2017-01-18,195.00,200.00,195.00,200.00,300,200.00
2017-01-17,195.00,195.00,195.00,195.00,000,195.00
2017-01-16,195.00,195.00,195.00,195.00,000,195.00
2017-01-13,195.00,195.00,195.00,195.00,000,195.00
2017-01-12,195.00,195.00,195.00,195.00,100000,195.00
2017-01-11,189.00,195.00,189.00,195.00,56300,195.00
2017-01-10,189.00,195.00,183.00,189.00,2200,189.00
2017-01-09,190.00,195.00,185.00,189.00,101600,189.00
2017-01-06,190.00,190.00,190.00,190.00,4600,190.00
2017-01-05,190.00,195.00,190.00,195.00,9600,195.00
2017-01-04,180.00,190.00,180.00,190.00,195500,190.00
2017-01-03,200.00,200.00,180.00,180.00,636700,180.00
2017-01-02,200.00,200.00,200.00,200.00,000,200.00
2016-12-30,200.00,200.00,200.00,200.00,000,200.00
2016-12-29,191.00,200.00,181.00,200.00,229700,200.00
2016-12-28,190.00,191.00,185.00,191.00,125400,191.00
2016-12-27,184.00,188.00,184.00,188.00,11900,188.00
2016-12-26,184.00,184.00,184.00,184.00,000,184.00
2016-12-23,190.00,190.00,184.00,184.00,20400,184.00
2016-12-22,188.00,194.00,188.00,194.00,5100,194.00
2016-12-21,185.00,196.00,184.00,188.00,57100,188.00
2016-12-20,198.00,198.00,185.00,185.00,91000,185.00
2016-12-19,198.00,198.00,198.00,198.00,000,198.00
2016-12-16,200.00,200.00,190.00,198.00,50800,198.00
2016-12-15,200.00,200.00,200.00,200.00,200,200.00
2016-12-14,197.00,199.00,196.00,199.00,7300,199.00
2016-12-13,196.00,198.00,196.00,197.00,1800,197.00
2016-12-12,196.00,196.00,196.00,196.00,000,196.00
2016-12-09,194.00,196.00,185.00,196.00,86300,196.00
2016-12-08,184.00,196.00,184.00,194.00,51200,194.00
2016-12-07,191.00,196.00,183.00,195.00,359200,195.00
2016-12-06,195.00,200.00,195.00,200.00,25200,200.00
2016-12-05,190.00,190.00,190.00,190.00,19600,190.00
2016-12-02,190.00,195.00,184.00,190.00,89700,190.00
2016-12-01,190.00,190.00,181.00,190.00,164400,190.00
2016-11-30,190.00,190.00,181.00,190.00,108100,190.00
2016-11-29,190.00,190.00,181.00,190.00,70600,190.00
2016-11-28,184.00,190.00,180.00,190.00,61000,190.00
2016-11-25,187.00,187.00,184.00,184.00,125000,184.00
2016-11-24,178.00,186.00,178.00,186.00,25500,186.00
2016-11-23,179.00,179.00,179.00,179.00,30000,179.00
2016-11-22,189.00,189.00,183.00,184.00,93300,184.00
2016-11-21,189.00,184.00,183.00,184.00,50100,184.00
2016-11-18,189.00,189.00,189.00,189.00,5100,189.00
2016-11-17,187.00,187.00,187.00,187.00,5100,187.00
2016-11-16,190.00,190.00,182.00,187.00,170100,187.00
2016-11-15,180.00,190.00,178.00,190.00,19000,190.00
2016-11-14,193.00,193.00,193.00,193.00,200,193.00
2016-11-11,182.00,193.00,182.00,193.00,100000,193.00
2016-11-10,190.00,195.00,190.00,190.00,252000,190.00
2016-11-09,184.00,184.00,183.00,184.00,150000,184.00
2016-11-08,186.00,186.00,185.00,186.00,95900,186.00
2016-11-07,190.00,195.00,188.00,188.00,160000,188.00
2016-11-04,195.00,195.00,190.00,190.00,167100,190.00
2016-11-03,189.00,195.00,189.00,195.00,187800,195.00
2016-11-02,190.00,194.00,190.00,194.00,255000,194.00
2016-11-01,199.00,199.00,190.00,190.00,55200,190.00
2016-10-31,190.00,200.00,190.00,199.00,70400,199.00
2016-10-28,193.00,200.00,193.00,200.00,151000,200.00
2016-10-27,191.00,200.00,191.00,200.00,7200,200.00
2016-10-26,189.00,200.00,189.00,200.00,208900,200.00
2016-10-25,192.00,199.00,192.00,199.00,105000,199.00
2016-10-24,191.00,202.00,191.00,202.00,73200,202.00
2016-10-21,202.00,202.00,191.00,191.00,260000,191.00
2016-10-20,206.00,206.00,206.00,206.00,000,206.00
2016-10-19,206.00,206.00,206.00,206.00,000,206.00
2016-10-18,206.00,206.00,206.00,206.00,000,206.00
2016-10-17,206.00,206.00,206.00,206.00,5000,206.00
2016-10-14,210.00,210.00,208.00,210.00,22000,210.00
2016-10-13,212.00,212.00,212.00,212.00,10000,212.00
2016-10-12,220.00,220.00,204.00,216.00,24000,216.00
2016-10-11,226.00,226.00,226.00,226.00,000,226.00
2016-10-10,226.00,226.00,226.00,226.00,100,226.00
2016-10-07,226.00,226.00,226.00,226.00,100,226.00
2016-10-06,214.00,220.00,214.00,220.00,10100,220.00
2016-10-05,191.00,210.00,191.00,210.00,325500,210.00
2016-10-04,202.00,202.00,202.00,202.00,000,202.00
2016-10-03,194.00,202.00,194.00,202.00,1267000,202.00
2016-09-30,190.00,195.00,190.00,194.00,100000,194.00
2016-09-29,190.00,190.00,190.00,190.00,100,190.00
2016-09-28,210.00,210.00,210.00,210.00,200,210.00
2016-09-27,212.00,212.00,210.00,210.00,100,210.00
2016-09-26,212.00,212.00,212.00,212.00,10000,212.00
2016-09-23,210.00,210.00,210.00,210.00,10000,210.00
2016-09-22,206.00,206.00,206.00,206.00,000,206.00
2016-09-21,206.00,206.00,206.00,206.00,000,206.00
2016-09-20,206.00,206.00,206.00,206.00,000,206.00
2016-09-19,200.00,206.00,200.00,206.00,44900,206.00
2016-09-16,202.00,202.00,202.00,202.00,000,202.00
2016-09-15,193.00,202.00,192.00,202.00,50000,202.00
2016-09-14,196.00,202.00,196.00,202.00,3100,202.00
2016-09-13,191.00,202.00,190.00,202.00,5700,202.00
2016-09-12,204.00,204.00,204.00,204.00,000,204.00
2016-09-09,204.00,204.00,204.00,204.00,000,204.00
2016-09-08,196.00,204.00,196.00,204.00,2200,204.00
2016-09-07,197.00,204.00,197.00,204.00,300,204.00
2016-09-06,210.00,210.00,210.00,210.00,000,210.00
2016-09-05,210.00,210.00,210.00,210.00,100,210.00
2016-09-02,204.00,204.00,204.00,204.00,000,204.00
2016-09-01,200.00,204.00,200.00,204.00,149200,204.00
2016-08-31,200.00,200.00,200.00,200.00,000,200.00
2016-08-30,200.00,200.00,200.00,200.00,50000,200.00
2016-08-29,202.00,208.00,200.00,208.00,210000,208.00
2016-08-26,206.00,206.00,206.00,206.00,000,206.00
2016-08-25,200.00,206.00,200.00,206.00,1300,206.00
2016-08-24,200.00,200.00,200.00,200.00,100,200.00
2016-08-23,210.00,210.00,202.00,210.00,81500,210.00
2016-08-22,200.00,214.00,200.00,210.00,1600,210.00
2016-08-19,212.00,216.00,200.00,216.00,162500,216.00
2016-08-18,210.00,214.00,208.00,212.00,292800,212.00
2016-08-17,206.00,206.00,206.00,206.00,000,206.00
2016-08-16,206.00,206.00,202.00,206.00,460100,206.00
2016-08-15,208.00,208.00,208.00,208.00,100,208.00
2016-08-12,206.00,206.00,204.00,206.00,326100,206.00
2016-08-11,204.00,204.00,204.00,204.00,106900,204.00
2016-08-10,204.00,220.00,204.00,204.00,148100,204.00
2016-08-09,197.00,202.00,197.00,200.00,105800,200.00
2016-08-08,202.00,220.00,198.00,198.00,268000,198.00
2016-08-05,196.00,196.00,196.00,196.00,33600,196.00
2016-08-04,194.00,194.00,193.00,194.00,230200,194.00
2016-08-03,194.00,194.00,194.00,194.00,000,194.00
2016-08-02,199.00,199.00,194.00,194.00,10600,194.00
2016-08-01,199.00,200.00,197.00,197.00,128700,197.00
2016-07-29,195.00,199.00,191.00,199.00,914500,199.00
2016-07-28,194.00,200.00,194.00,200.00,52800,200.00
2016-07-27,192.00,199.00,190.00,194.00,85200,194.00
2016-07-26,200.00,200.00,192.00,192.00,12800,192.00
2016-07-25,200.00,200.00,200.00,200.00,000,200.00
2016-07-22,195.00,200.00,193.00,200.00,172700,200.00
2016-07-21,198.00,198.00,192.00,192.00,255200,192.00
2016-07-20,200.00,200.00,200.00,200.00,41100,200.00
2016-07-19,196.00,202.00,195.00,195.00,111800,195.00
2016-07-18,195.00,195.00,192.00,195.00,201000,195.00
2016-07-15,195.00,199.00,195.00,199.00,24000,199.00
2016-07-14,196.00,196.00,195.00,195.00,18200,195.00
2016-07-13,195.00,198.00,192.00,195.00,196100,195.00
2016-07-12,200.00,200.00,192.00,193.00,221100,193.00
2016-07-11,191.00,200.00,190.00,200.00,213500,200.00
2016-07-08,189.00,189.00,189.00,189.00,000,189.00
2016-07-07,189.00,189.00,189.00,189.00,000,189.00
2016-07-06,189.00,189.00,189.00,189.00,000,189.00
2016-07-05,189.00,189.00,189.00,189.00,000,189.00
2016-07-04,189.00,189.00,189.00,189.00,000,189.00
2016-07-01,195.00,195.00,189.00,189.00,21000,189.00
2016-06-30,190.00,199.00,190.00,195.00,255000,195.00
2016-06-28,186.00,186.00,186.00,186.00,000,186.00
2016-06-27,186.00,186.00,186.00,186.00,31800,186.00
2016-06-24,182.00,184.00,182.00,184.00,2000,184.00
2016-06-23,190.00,190.00,190.00,190.00,000,190.00
2016-06-22,190.00,190.00,190.00,190.00,60000,190.00
2016-06-21,190.00,190.00,190.00,190.00,50000,190.00
