Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,127.00,127.00,123.00,126.00,47300,126.00
2017-01-31,127.00,128.00,123.00,127.00,113000,127.00
2017-01-30,127.00,128.00,124.00,128.00,139100,128.00
2017-01-27,126.00,127.00,123.00,127.00,324100,127.00
2017-01-26,123.00,130.00,122.00,126.00,151400,126.00
2017-01-25,127.00,129.00,122.00,123.00,50700,123.00
2017-01-24,122.00,126.00,122.00,123.00,74200,123.00
2017-01-23,126.00,129.00,124.00,124.00,120400,124.00
2017-01-20,126.00,129.00,126.00,126.00,171800,126.00
2017-01-19,126.00,127.00,126.00,126.00,182500,126.00
2017-01-18,125.00,127.00,123.00,126.00,30400,126.00
2017-01-17,125.00,125.00,122.00,125.00,2500,125.00
2017-01-16,124.00,126.00,122.00,125.00,37100,125.00
2017-01-13,123.00,125.00,123.00,124.00,13600,124.00
2017-01-12,127.00,128.00,123.00,125.00,53700,125.00
2017-01-11,130.00,130.00,120.00,127.00,204400,127.00
2017-01-10,125.00,137.00,123.00,130.00,952400,130.00
2017-01-09,126.00,126.00,123.00,125.00,71600,125.00
2017-01-06,128.00,128.00,124.00,126.00,244100,126.00
2017-01-05,129.00,130.00,125.00,128.00,84200,128.00
2017-01-04,126.00,131.00,126.00,126.00,366000,126.00
2017-01-03,129.00,134.00,124.00,126.00,1062700,126.00
2017-01-02,129.00,129.00,129.00,129.00,000,129.00
2016-12-30,124.00,133.00,124.00,129.00,102500,129.00
2016-12-29,126.00,126.00,120.00,124.00,76200,124.00
2016-12-28,127.00,127.00,120.00,124.00,95300,124.00
2016-12-27,120.00,125.00,120.00,120.00,36300,120.00
2016-12-26,120.00,120.00,120.00,120.00,000,120.00
2016-12-23,124.00,129.00,120.00,120.00,363500,120.00
2016-12-22,126.00,131.00,119.00,124.00,195400,124.00
2016-12-21,124.00,137.00,122.00,126.00,2390500,126.00
2016-12-20,125.00,133.00,120.00,124.00,1064700,124.00
2016-12-19,133.00,135.00,123.00,125.00,432100,125.00
2016-12-16,127.00,134.00,121.00,133.00,37800,133.00
2016-12-15,130.00,132.00,125.00,127.00,19800,127.00
2016-12-14,120.00,130.00,120.00,130.00,58700,130.00
