Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,125.00,168.00,125.00,168.00,18300,168.00
2017-01-31,125.00,125.00,125.00,125.00,000,125.00
2017-01-30,125.00,125.00,125.00,125.00,000,125.00
2017-01-27,125.00,125.00,125.00,125.00,000,125.00
2017-01-26,125.00,125.00,125.00,125.00,000,125.00
2017-01-25,125.00,125.00,125.00,125.00,000,125.00
2017-01-24,125.00,125.00,125.00,125.00,000,125.00
2017-01-23,125.00,125.00,125.00,125.00,000,125.00
2017-01-20,125.00,125.00,125.00,125.00,000,125.00
2017-01-19,125.00,125.00,125.00,125.00,000,125.00
2017-01-18,125.00,125.00,125.00,125.00,000,125.00
2017-01-17,125.00,125.00,125.00,125.00,000,125.00
2017-01-16,190.00,190.00,125.00,125.00,100,125.00
2017-01-13,190.00,190.00,190.00,190.00,000,190.00
2017-01-12,190.00,190.00,190.00,190.00,000,190.00
2017-01-11,190.00,190.00,190.00,190.00,000,190.00
2017-01-10,190.00,190.00,190.00,190.00,000,190.00
2017-01-09,210.00,210.00,190.00,190.00,500,190.00
2017-01-06,212.00,212.00,210.00,210.00,11700,210.00
2017-01-05,230.00,230.00,210.00,210.00,1000,210.00
2017-01-04,254.00,254.00,250.00,250.00,1300,250.00
2017-01-03,254.00,254.00,254.00,254.00,000,254.00
2017-01-02,254.00,254.00,254.00,254.00,000,254.00
2016-12-30,254.00,254.00,254.00,254.00,000,254.00
2016-12-29,254.00,254.00,254.00,254.00,1000,254.00
2016-12-28,280.00,290.00,252.00,252.00,37300,252.00
2016-12-27,280.00,280.00,280.00,280.00,700,280.00
2016-12-26,310.00,310.00,310.00,310.00,000,310.00
2016-12-23,420.00,420.00,310.00,310.00,2700,310.00
2016-12-22,344.00,344.00,344.00,344.00,000,344.00
2016-12-21,344.00,344.00,344.00,344.00,000,344.00
2016-12-20,286.00,354.00,260.00,344.00,1000,344.00
2016-12-19,286.00,286.00,286.00,286.00,000,286.00
2016-12-16,288.00,288.00,286.00,286.00,100,286.00
2016-12-15,288.00,288.00,288.00,288.00,500,288.00
2016-12-14,320.00,320.00,320.00,320.00,100,320.00
2016-12-13,320.00,320.00,320.00,320.00,000,320.00
2016-12-12,320.00,320.00,320.00,320.00,000,320.00
2016-12-09,354.00,354.00,320.00,320.00,600,320.00
2016-12-08,356.00,356.00,322.00,322.00,600,322.00
2016-12-07,356.00,356.00,356.00,356.00,000,356.00
2016-12-06,356.00,356.00,356.00,356.00,000,356.00
2016-12-05,356.00,356.00,356.00,356.00,000,356.00
2016-12-02,356.00,356.00,356.00,356.00,000,356.00
2016-12-01,356.00,356.00,356.00,356.00,000,356.00
2016-11-30,356.00,356.00,356.00,356.00,000,356.00
2016-11-29,356.00,356.00,356.00,356.00,000,356.00
2016-11-28,356.00,356.00,356.00,356.00,000,356.00
2016-11-25,356.00,356.00,354.00,356.00,1600,356.00
2016-11-24,292.00,292.00,292.00,292.00,100,292.00
2016-11-23,290.00,290.00,290.00,290.00,100,290.00
2016-11-22,280.00,290.00,280.00,290.00,300,290.00
2016-11-21,310.00,316.00,280.00,280.00,300,280.00
2016-11-18,310.00,310.00,310.00,310.00,100,310.00
2016-11-17,302.00,302.00,302.00,302.00,000,302.00
2016-11-16,290.00,302.00,290.00,302.00,100,302.00
2016-11-15,290.00,290.00,290.00,290.00,000,290.00
2016-11-14,258.00,290.00,244.00,290.00,9300,290.00
2016-11-11,360.00,360.00,264.00,264.00,37169800,264.00
2016-11-10,290.00,290.00,290.00,290.00,000,290.00
2016-11-09,270.00,290.00,270.00,290.00,10100,290.00
2016-11-08,272.00,300.00,272.00,300.00,26700,300.00
2016-11-07,270.00,302.00,270.00,302.00,200,302.00
2016-11-04,270.00,270.00,270.00,270.00,000,270.00
2016-11-03,270.00,270.00,270.00,270.00,100,270.00
2016-11-02,300.00,300.00,300.00,300.00,000,300.00
2016-11-01,298.00,300.00,298.00,300.00,100,300.00
2016-10-31,298.00,298.00,298.00,298.00,200,298.00
2016-10-28,280.00,280.00,280.00,280.00,000,280.00
2016-10-27,280.00,280.00,280.00,280.00,000,280.00
2016-10-26,280.00,280.00,280.00,280.00,200,280.00
2016-10-25,310.00,310.00,310.00,310.00,200,310.00
2016-10-24,300.00,300.00,300.00,300.00,000,300.00
2016-10-21,300.00,300.00,300.00,300.00,000,300.00
2016-10-20,300.00,300.00,300.00,300.00,000,300.00
2016-10-19,300.00,300.00,300.00,300.00,000,300.00
2016-10-18,300.00,300.00,300.00,300.00,000,300.00
2016-10-17,300.00,300.00,300.00,300.00,000,300.00
2016-10-14,300.00,300.00,300.00,300.00,000,300.00
2016-10-13,300.00,300.00,300.00,300.00,000,300.00
2016-10-12,290.00,300.00,290.00,300.00,3540400,300.00
2016-10-11,300.00,300.00,270.00,290.00,14500,290.00
2016-10-10,300.00,300.00,300.00,300.00,000,300.00
2016-10-07,296.00,300.00,296.00,300.00,6400,300.00
2016-10-06,296.00,296.00,296.00,296.00,000,296.00
2016-10-05,296.00,296.00,296.00,296.00,000,296.00
2016-10-04,296.00,296.00,296.00,296.00,000,296.00
2016-10-03,296.00,296.00,296.00,296.00,100,296.00
2016-09-30,250.00,270.00,230.00,240.00,14400,240.00
2016-09-29,252.00,252.00,248.00,250.00,9500,250.00
2016-09-28,268.00,270.00,268.00,270.00,7000,270.00
2016-09-27,296.00,296.00,268.00,296.00,6000,296.00
2016-09-26,296.00,296.00,296.00,296.00,100,296.00
2016-09-23,268.00,268.00,268.00,268.00,000,268.00
2016-09-22,268.00,282.00,250.00,268.00,4300,268.00
2016-09-21,268.00,268.00,268.00,268.00,000,268.00
2016-09-20,268.00,268.00,268.00,268.00,200,268.00
2016-09-19,296.00,296.00,268.00,268.00,600,268.00
2016-09-16,244.00,284.00,244.00,284.00,700,284.00
2016-09-15,250.00,250.00,244.00,244.00,3800,244.00
2016-09-14,268.00,270.00,262.00,270.00,800,270.00
2016-09-13,274.00,290.00,262.00,280.00,5000,280.00
2016-09-12,290.00,290.00,290.00,290.00,000,290.00
2016-09-09,298.00,298.00,274.00,290.00,3400,290.00
2016-09-08,282.00,300.00,282.00,300.00,600,300.00
2016-09-07,270.00,270.00,264.00,264.00,800,264.00
2016-09-06,240.00,254.00,240.00,254.00,3100,254.00
2016-09-05,290.00,312.00,246.00,248.00,1700,248.00
2016-09-02,270.00,270.00,270.00,270.00,000,270.00
2016-09-01,250.00,270.00,250.00,270.00,300,270.00
2016-08-31,250.00,250.00,250.00,250.00,000,250.00
2016-08-30,250.00,250.00,250.00,250.00,7500,250.00
2016-08-29,250.00,250.00,250.00,250.00,100,250.00
2016-08-26,230.00,230.00,230.00,230.00,000,230.00
2016-08-25,230.00,230.00,230.00,230.00,000,230.00
2016-08-24,230.00,230.00,230.00,230.00,000,230.00
2016-08-23,230.00,230.00,230.00,230.00,100,230.00
2016-08-22,212.00,212.00,212.00,212.00,000,212.00
2016-08-19,212.00,212.00,212.00,212.00,000,212.00
2016-08-18,212.00,212.00,212.00,212.00,000,212.00
2016-08-17,212.00,212.00,212.00,212.00,000,212.00
2016-08-16,212.00,212.00,212.00,212.00,1329000,212.00
2016-08-15,212.00,212.00,212.00,212.00,000,212.00
2016-08-12,212.00,212.00,212.00,212.00,000,212.00
2016-08-11,212.00,212.00,212.00,212.00,000,212.00
2016-08-10,212.00,212.00,212.00,212.00,100,212.00
2016-08-09,210.00,210.00,210.00,210.00,000,210.00
2016-08-08,210.00,210.00,210.00,210.00,000,210.00
2016-08-05,210.00,210.00,210.00,210.00,100,210.00
2016-08-04,220.00,220.00,210.00,220.00,600,220.00
2016-08-03,210.00,220.00,210.00,220.00,600,220.00
2016-08-02,200.00,220.00,200.00,220.00,7434400,220.00
2016-08-01,185.00,200.00,170.00,200.00,500,200.00
2016-07-29,181.00,185.00,181.00,185.00,200,185.00
2016-07-28,161.00,171.00,161.00,171.00,100,171.00
2016-07-27,161.00,161.00,161.00,161.00,000,161.00
2016-07-26,161.00,161.00,161.00,161.00,000,161.00
2016-07-25,161.00,161.00,161.00,161.00,000,161.00
2016-07-22,161.00,161.00,161.00,161.00,000,161.00
2016-07-21,161.00,161.00,161.00,161.00,000,161.00
2016-07-20,161.00,161.00,161.00,161.00,000,161.00
2016-07-19,161.00,161.00,161.00,161.00,000,161.00
2016-07-18,161.00,161.00,161.00,161.00,000,161.00
2016-07-15,161.00,161.00,161.00,161.00,000,161.00
2016-07-14,161.00,161.00,161.00,161.00,000,161.00
2016-07-13,161.00,161.00,161.00,161.00,000,161.00
2016-07-12,161.00,161.00,161.00,161.00,000,161.00
2016-07-11,161.00,161.00,161.00,161.00,000,161.00
2016-07-08,161.00,161.00,161.00,161.00,000,161.00
2016-07-07,161.00,161.00,161.00,161.00,000,161.00
2016-07-06,161.00,161.00,161.00,161.00,000,161.00
2016-07-05,161.00,161.00,161.00,161.00,000,161.00
2016-07-04,161.00,161.00,161.00,161.00,000,161.00
2016-07-01,161.00,161.00,161.00,161.00,000,161.00
2016-06-30,161.00,161.00,161.00,161.00,000,161.00
2016-06-28,161.00,161.00,161.00,161.00,000,161.00
2016-06-27,161.00,161.00,161.00,161.00,000,161.00
2016-06-24,161.00,161.00,161.00,161.00,000,161.00
2016-06-23,161.00,161.00,161.00,161.00,000,161.00
2016-06-22,161.00,161.00,161.00,161.00,000,161.00
2016-06-21,161.00,161.00,161.00,161.00,000,161.00
2016-06-20,161.00,161.00,161.00,161.00,000,161.00
2016-06-17,161.00,161.00,161.00,161.00,000,161.00
2016-06-16,161.00,161.00,161.00,161.00,000,161.00
2016-06-15,161.00,161.00,161.00,161.00,000,161.00
2016-06-14,161.00,161.00,161.00,161.00,000,161.00
2016-06-13,161.00,161.00,161.00,161.00,000,161.00
2016-06-10,161.00,161.00,161.00,161.00,000,161.00
2016-06-09,161.00,161.00,161.00,161.00,000,161.00
2016-06-08,161.00,161.00,161.00,161.00,000,161.00
2016-06-07,161.00,161.00,161.00,161.00,000,161.00
2016-06-06,161.00,161.00,161.00,161.00,000,161.00
2016-06-03,161.00,161.00,161.00,161.00,000,161.00
2016-06-02,161.00,161.00,161.00,161.00,000,161.00
2016-06-01,161.00,161.00,161.00,161.00,000,161.00
2016-05-31,161.00,161.00,161.00,161.00,000,161.00
2016-05-30,161.00,161.00,161.00,161.00,000,161.00
2016-05-27,161.00,161.00,161.00,161.00,000,161.00
2016-05-26,161.00,161.00,161.00,161.00,000,161.00
2016-05-25,161.00,161.00,161.00,161.00,000,161.00
2016-05-24,161.00,161.00,161.00,161.00,000,161.00
2016-05-23,161.00,161.00,161.00,161.00,000,161.00
2016-05-20,161.00,161.00,161.00,161.00,000,161.00
2016-05-19,161.00,161.00,161.00,161.00,000,161.00
2016-05-18,161.00,161.00,161.00,161.00,000,161.00
2016-05-17,161.00,161.00,161.00,161.00,000,161.00
2016-05-16,161.00,161.00,161.00,161.00,000,161.00
