Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,139.00,139.00,135.00,137.00,115500,137.00
2017-01-31,139.00,140.00,132.00,139.00,48600,139.00
2017-01-30,131.00,134.00,130.00,134.00,71800,134.00
2017-01-27,130.00,133.00,130.00,131.00,122900,131.00
2017-01-26,125.00,140.00,125.00,131.00,257100,131.00
2017-01-25,125.00,125.00,125.00,125.00,20800,125.00
2017-01-24,125.00,125.00,125.00,125.00,000,125.00
2017-01-23,125.00,125.00,125.00,125.00,000,125.00
2017-01-20,125.00,125.00,125.00,125.00,400,125.00
2017-01-19,123.00,124.00,123.00,123.00,22200,123.00
2017-01-18,123.00,129.00,121.00,124.00,300,124.00
2017-01-17,120.00,130.00,120.00,123.00,127500,123.00
2017-01-16,119.00,120.00,119.00,120.00,2200,120.00
2017-01-13,112.00,119.00,112.00,119.00,13300,119.00
2017-01-12,118.00,122.00,117.00,119.00,15100,119.00
2017-01-11,120.00,130.00,118.00,118.00,83700,118.00
2017-01-10,125.00,125.00,120.00,120.00,400,120.00
2017-01-09,119.00,130.00,119.00,125.00,10200,125.00
2017-01-06,119.00,119.00,119.00,119.00,000,119.00
2017-01-05,119.00,119.00,119.00,119.00,000,119.00
2017-01-04,119.00,119.00,119.00,119.00,000,119.00
2017-01-03,112.00,119.00,112.00,119.00,1100,119.00
2017-01-02,120.00,120.00,120.00,120.00,000,120.00
2016-12-30,120.00,120.00,120.00,120.00,000,120.00
2016-12-29,113.00,120.00,112.00,120.00,5800,120.00
2016-12-28,111.00,115.00,111.00,115.00,44500,115.00
2016-12-27,113.00,113.00,110.00,110.00,226400,110.00
2016-12-26,120.00,120.00,120.00,120.00,000,120.00
2016-12-23,113.00,120.00,113.00,120.00,170100,120.00
2016-12-22,114.00,114.00,114.00,114.00,100,114.00
2016-12-21,119.00,119.00,112.00,112.00,57300,112.00
2016-12-20,119.00,119.00,119.00,119.00,000,119.00
2016-12-19,123.00,123.00,119.00,119.00,83200,119.00
2016-12-16,125.00,125.00,121.00,122.00,117700,122.00
2016-12-15,125.00,125.00,125.00,125.00,500,125.00
2016-12-14,127.00,130.00,125.00,125.00,38800,125.00
2016-12-13,127.00,130.00,126.00,130.00,5300,130.00
2016-12-12,127.00,127.00,127.00,127.00,000,127.00
2016-12-09,128.00,128.00,127.00,127.00,9800,127.00
2016-12-08,128.00,131.00,128.00,128.00,14100,128.00
2016-12-07,128.00,131.00,128.00,131.00,11400,131.00
2016-12-06,130.00,135.00,127.00,128.00,161600,128.00
2016-12-05,132.00,150.00,132.00,132.00,5811000,132.00
2016-12-02,130.00,130.00,130.00,130.00,101100,130.00
2016-12-01,135.00,135.00,129.00,134.00,26000,134.00
2016-11-30,129.00,135.00,129.00,135.00,13200,135.00
2016-11-29,128.00,134.00,128.00,134.00,110000,134.00
2016-11-28,139.00,142.00,128.00,137.00,2000,137.00
2016-11-25,142.00,142.00,139.00,139.00,400,139.00
2016-11-24,126.00,133.00,126.00,133.00,7900,133.00
2016-11-23,140.00,140.00,140.00,140.00,100,140.00
2016-11-22,124.00,132.00,124.00,132.00,92300,132.00
2016-11-21,134.00,133.00,133.00,133.00,500,133.00
2016-11-18,125.00,134.00,125.00,134.00,200,134.00
2016-11-17,136.00,136.00,136.00,136.00,000,136.00
2016-11-16,124.00,140.00,124.00,136.00,2200,136.00
2016-11-15,124.00,124.00,124.00,124.00,200000,124.00
2016-11-14,122.00,133.00,122.00,133.00,5200,133.00
2016-11-11,134.00,134.00,134.00,134.00,000,134.00
2016-11-10,134.00,134.00,134.00,134.00,1600,134.00
2016-11-09,134.00,134.00,134.00,134.00,1500,134.00
2016-11-08,122.00,131.00,122.00,131.00,600,131.00
2016-11-07,135.00,135.00,132.00,132.00,900,132.00
2016-11-04,134.00,135.00,134.00,135.00,100,135.00
2016-11-03,134.00,134.00,134.00,134.00,000,134.00
2016-11-02,138.00,138.00,129.00,134.00,300,134.00
2016-11-01,130.00,139.00,130.00,139.00,200,139.00
2016-10-31,127.00,139.00,127.00,130.00,23700,130.00
2016-10-28,128.00,128.00,128.00,128.00,000,128.00
2016-10-27,123.00,128.00,120.00,128.00,32600,128.00
2016-10-26,127.00,127.00,127.00,127.00,5000,127.00
2016-10-25,124.00,134.00,124.00,129.00,544000,129.00
2016-10-24,125.00,137.00,122.00,129.00,114900,129.00
2016-10-21,120.00,125.00,120.00,125.00,45000,125.00
2016-10-20,123.00,126.00,121.00,124.00,151300,124.00
2016-10-19,126.00,130.00,120.00,128.00,43800,128.00
2016-10-18,126.00,128.00,126.00,128.00,10200,128.00
2016-10-17,120.00,132.00,120.00,129.00,5100,129.00
2016-10-14,123.00,133.00,123.00,133.00,1500,133.00
2016-10-13,120.00,134.00,120.00,133.00,800,133.00
2016-10-12,120.00,130.00,120.00,130.00,2600,130.00
2016-10-11,132.00,132.00,121.00,130.00,1500,130.00
2016-10-10,131.00,132.00,121.00,132.00,6200,132.00
2016-10-07,122.00,131.00,122.00,131.00,200,131.00
2016-10-06,128.00,132.00,128.00,132.00,6700,132.00
2016-10-05,128.00,133.00,128.00,133.00,17600,133.00
2016-10-04,130.00,130.00,129.00,130.00,6200,130.00
2016-10-03,135.00,135.00,123.00,130.00,37900,130.00
2016-09-30,134.00,134.00,130.00,130.00,25200,130.00
2016-09-29,134.00,134.00,124.00,134.00,11100,134.00
2016-09-28,130.00,135.00,130.00,135.00,13200,135.00
2016-09-27,134.00,134.00,134.00,134.00,000,134.00
2016-09-26,138.00,138.00,132.00,134.00,1500,134.00
2016-09-23,136.00,138.00,127.00,136.00,14400,136.00
2016-09-22,135.00,135.00,127.00,127.00,13800,127.00
2016-09-21,135.00,135.00,135.00,135.00,100,135.00
2016-09-20,128.00,130.00,128.00,130.00,29100,130.00
2016-09-19,130.00,132.00,130.00,132.00,16400,132.00
2016-09-16,135.00,143.00,130.00,130.00,839100,130.00
2016-09-15,135.00,135.00,135.00,135.00,21600,135.00
