Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,358.00,366.00,358.00,358.00,816500,358.00
2017-01-31,358.00,370.00,358.00,358.00,2889100,358.00
2017-01-30,360.00,370.00,350.00,370.00,802900,370.00
2017-01-27,358.00,360.00,354.00,360.00,216400,360.00
2017-01-26,356.00,360.00,348.00,356.00,2200500,356.00
2017-01-25,370.00,370.00,350.00,356.00,777400,356.00
2017-01-24,350.00,356.00,348.00,352.00,764900,352.00
2017-01-23,358.00,366.00,352.00,354.00,791500,354.00
2017-01-20,368.00,368.00,348.00,358.00,204300,358.00
2017-01-19,370.00,370.00,350.00,360.00,956900,360.00
2017-01-18,344.00,366.00,344.00,360.00,595800,360.00
2017-01-17,346.00,350.00,344.00,344.00,233700,344.00
2017-01-16,342.00,346.00,340.00,346.00,402100,346.00
2017-01-13,344.00,346.00,334.00,342.00,620600,342.00
2017-01-12,328.00,346.00,322.00,336.00,1000900,336.00
2017-01-11,328.00,330.00,322.00,328.00,475900,328.00
2017-01-10,330.00,330.00,320.00,328.00,262300,328.00
2017-01-09,328.00,332.00,322.00,330.00,1209400,330.00
2017-01-06,322.00,332.00,314.00,328.00,369000,328.00
2017-01-05,324.00,324.00,322.00,322.00,357400,322.00
2017-01-04,320.00,334.00,320.00,322.00,599900,322.00
2017-01-03,330.00,330.00,316.00,320.00,96000,320.00
2017-01-02,318.00,318.00,318.00,318.00,000,318.00
2016-12-30,320.00,320.00,312.00,318.00,61800,318.00
2016-12-29,318.00,334.00,318.00,320.00,234300,320.00
2016-12-28,318.00,320.00,304.00,312.00,156000,312.00
2016-12-27,320.00,320.00,312.00,316.00,334000,316.00
2016-12-26,312.00,312.00,312.00,312.00,000,312.00
2016-12-23,316.00,318.00,300.00,312.00,341800,312.00
2016-12-22,324.00,324.00,316.00,316.00,1500100,316.00
2016-12-21,314.00,320.00,312.00,316.00,218400,316.00
2016-12-20,314.00,320.00,314.00,314.00,850000,314.00
2016-12-19,320.00,320.00,314.00,314.00,1432600,314.00
2016-12-16,322.00,332.00,314.00,316.00,257900,316.00
2016-12-15,318.00,324.00,316.00,322.00,256300,322.00
2016-12-14,332.00,332.00,318.00,322.00,791600,322.00
2016-12-13,318.00,334.00,318.00,330.00,1628300,330.00
2016-12-12,318.00,318.00,318.00,318.00,000,318.00
2016-12-09,322.00,330.00,318.00,318.00,694700,318.00
2016-12-08,320.00,320.00,312.00,318.00,453100,318.00
2016-12-07,310.00,316.00,310.00,314.00,124600,314.00
2016-12-06,312.00,318.00,310.00,312.00,1711400,312.00
2016-12-05,310.00,314.00,304.00,312.00,973000,312.00
2016-12-02,294.00,304.00,294.00,300.00,585700,300.00
2016-12-01,306.00,318.00,280.00,292.00,9726500,292.00
2016-11-30,310.00,314.00,300.00,306.00,7325800,306.00
2016-11-29,316.00,316.00,308.00,312.00,1708800,312.00
2016-11-28,320.00,336.00,308.00,314.00,815800,314.00
2016-11-25,326.00,332.00,310.00,320.00,6793400,320.00
2016-11-24,336.00,340.00,320.00,322.00,7958500,322.00
2016-11-23,346.00,346.00,332.00,336.00,1724700,336.00
2016-11-22,350.00,356.00,340.00,340.00,2491400,340.00
2016-11-21,346.00,366.00,342.00,346.00,1152100,346.00
2016-11-18,350.00,354.00,342.00,346.00,865600,346.00
2016-11-17,350.00,356.00,346.00,350.00,305400,350.00
2016-11-16,348.00,370.00,344.00,346.00,16226800,346.00
2016-11-15,368.00,368.00,340.00,348.00,2212400,348.00
2016-11-14,380.00,380.00,350.00,366.00,1054800,366.00
2016-11-11,380.00,380.00,362.00,374.00,2248200,374.00
2016-11-10,378.00,396.00,374.00,380.00,8738000,380.00
2016-11-09,380.00,380.00,358.00,374.00,2571700,374.00
2016-11-08,384.00,388.00,376.00,378.00,2047200,378.00
2016-11-07,380.00,396.00,362.00,382.00,7345400,382.00
2016-11-04,392.00,410.00,368.00,380.00,66476100,380.00
2016-11-03,360.00,436.00,358.00,392.00,31202200,392.00
2016-11-02,356.00,374.00,350.00,362.00,3531900,362.00
2016-11-01,360.00,374.00,350.00,356.00,2051200,356.00
2016-10-31,368.00,420.00,350.00,360.00,17679200,360.00
2016-10-28,342.00,366.00,342.00,358.00,4256000,358.00
2016-10-27,336.00,358.00,334.00,340.00,14288400,340.00
2016-10-26,336.00,350.00,330.00,336.00,4508200,336.00
2016-10-25,332.00,336.00,330.00,332.00,147600,332.00
2016-10-24,330.00,340.00,326.00,332.00,2327300,332.00
2016-10-21,326.00,330.00,326.00,330.00,117100,330.00
2016-10-20,340.00,340.00,328.00,328.00,1183300,328.00
2016-10-19,338.00,342.00,330.00,332.00,1159500,332.00
2016-10-18,340.00,342.00,326.00,330.00,1322600,330.00
2016-10-17,316.00,350.00,316.00,330.00,2293800,330.00
2016-10-14,314.00,328.00,314.00,316.00,277500,316.00
2016-10-13,326.00,332.00,316.00,316.00,725200,316.00
2016-10-12,326.00,330.00,320.00,324.00,639900,324.00
2016-10-11,332.00,338.00,328.00,332.00,339200,332.00
2016-10-10,334.00,338.00,330.00,332.00,947300,332.00
2016-10-07,326.00,334.00,314.00,334.00,2255100,334.00
2016-10-06,310.00,332.00,308.00,322.00,2179400,322.00
2016-10-05,306.00,310.00,306.00,310.00,243600,310.00
2016-10-04,310.00,312.00,306.00,306.00,19100,306.00
2016-10-03,308.00,318.00,306.00,310.00,71700,310.00
2016-09-30,306.00,310.00,302.00,308.00,4300,308.00
2016-09-29,318.00,318.00,306.00,306.00,133200,306.00
2016-09-28,300.00,308.00,300.00,308.00,45800,308.00
2016-09-27,304.00,314.00,300.00,300.00,271900,300.00
2016-09-26,314.00,314.00,304.00,304.00,121100,304.00
2016-09-23,306.00,312.00,302.00,306.00,229600,306.00
2016-09-22,310.00,316.00,308.00,308.00,508400,308.00
2016-09-21,316.00,316.00,306.00,310.00,342600,310.00
2016-09-20,312.00,318.00,310.00,310.00,447000,310.00
2016-09-19,324.00,324.00,312.00,314.00,158700,314.00
2016-09-16,316.00,324.00,316.00,316.00,904800,316.00
2016-09-15,314.00,342.00,314.00,316.00,181300,316.00
2016-09-14,320.00,320.00,306.00,314.00,608800,314.00
2016-09-13,326.00,328.00,320.00,322.00,902800,322.00
2016-09-12,326.00,326.00,326.00,326.00,000,326.00
2016-09-09,326.00,332.00,326.00,326.00,117700,326.00
2016-09-08,328.00,330.00,322.00,326.00,182600,326.00
2016-09-07,328.00,330.00,322.00,324.00,84000,324.00
2016-09-06,332.00,332.00,322.00,324.00,271700,324.00
2016-09-05,328.00,332.00,326.00,328.00,89800,328.00
2016-09-02,334.00,334.00,316.00,328.00,583500,328.00
2016-09-01,332.00,332.00,324.00,324.00,3424200,324.00
2016-08-31,340.00,340.00,326.00,332.00,284900,332.00
2016-08-30,332.00,340.00,324.00,330.00,1265500,330.00
2016-08-29,350.00,350.00,330.00,332.00,2529500,332.00
2016-08-26,358.00,358.00,342.00,350.00,61300,350.00
2016-08-25,356.00,360.00,346.00,352.00,569800,352.00
2016-08-24,370.00,370.00,348.00,354.00,1801000,354.00
2016-08-23,378.00,378.00,350.00,360.00,3859900,360.00
2016-08-22,334.00,384.00,332.00,368.00,13036000,368.00
2016-08-19,330.00,354.00,330.00,332.00,2221000,332.00
2016-08-18,336.00,336.00,326.00,330.00,1202800,330.00
2016-08-17,334.00,334.00,334.00,334.00,000,334.00
2016-08-16,340.00,340.00,330.00,334.00,248600,334.00
2016-08-15,338.00,340.00,320.00,332.00,1013200,332.00
2016-08-12,340.00,344.00,334.00,338.00,802300,338.00
2016-08-11,344.00,354.00,338.00,340.00,2372700,340.00
2016-08-10,342.00,360.00,336.00,344.00,4270600,344.00
2016-08-09,350.00,358.00,338.00,342.00,7070500,342.00
2016-08-08,332.00,366.00,332.00,350.00,4495700,350.00
2016-08-05,330.00,338.00,330.00,332.00,1138800,332.00
2016-08-04,330.00,352.00,328.00,330.00,8317100,330.00
2016-08-03,332.00,344.00,320.00,328.00,1483500,328.00
2016-08-02,322.00,352.00,322.00,328.00,3629900,328.00
2016-08-01,322.00,326.00,316.00,322.00,727900,322.00
2016-07-29,338.00,338.00,314.00,322.00,975700,322.00
2016-07-28,346.00,350.00,336.00,338.00,1272800,338.00
2016-07-27,344.00,354.00,340.00,346.00,1652900,346.00
2016-07-26,332.00,348.00,326.00,340.00,3277200,340.00
2016-07-25,320.00,334.00,320.00,332.00,1595200,332.00
2016-07-22,318.00,326.00,316.00,320.00,830100,320.00
2016-07-21,316.00,322.00,316.00,316.00,2202500,316.00
2016-07-20,318.00,324.00,312.00,316.00,807300,316.00
2016-07-19,326.00,326.00,316.00,318.00,794700,318.00
2016-07-18,326.00,330.00,320.00,322.00,1301700,322.00
2016-07-15,320.00,338.00,320.00,324.00,4895000,324.00
2016-07-14,320.00,326.00,318.00,320.00,1142300,320.00
2016-07-13,318.00,328.00,312.00,318.00,1162300,318.00
2016-07-12,318.00,322.00,310.00,314.00,1481000,314.00
2016-07-11,320.00,320.00,312.00,312.00,245600,312.00
2016-07-08,316.00,316.00,316.00,316.00,000,316.00
2016-07-07,316.00,316.00,316.00,316.00,000,316.00
2016-07-06,316.00,316.00,316.00,316.00,000,316.00
2016-07-05,316.00,316.00,316.00,316.00,000,316.00
2016-07-04,316.00,316.00,316.00,316.00,000,316.00
2016-07-01,318.00,322.00,316.00,316.00,196500,316.00
2016-06-30,322.00,322.00,316.00,320.00,699400,320.00
2016-06-28,318.00,326.00,316.00,316.00,459700,316.00
2016-06-27,318.00,322.00,306.00,320.00,248200,320.00
2016-06-24,330.00,330.00,310.00,318.00,913400,318.00
2016-06-23,330.00,330.00,324.00,326.00,588200,326.00
2016-06-22,340.00,340.00,330.00,330.00,1277100,330.00
2016-06-21,338.00,344.00,330.00,334.00,1399000,334.00
2016-06-20,334.00,338.00,328.00,336.00,588500,336.00
2016-06-17,334.00,334.00,326.00,330.00,311900,330.00
2016-06-16,336.00,338.00,330.00,334.00,270200,334.00
2016-06-15,336.00,340.00,334.00,336.00,825500,336.00
2016-06-14,340.00,346.00,336.00,336.00,682700,336.00
2016-06-13,344.00,344.00,338.00,340.00,1600100,340.00
2016-06-10,352.00,352.00,342.00,344.00,805800,344.00
2016-06-09,342.00,354.00,342.00,350.00,2682800,350.00
2016-06-08,338.00,364.00,338.00,340.00,7430700,340.00
2016-06-07,340.00,342.00,338.00,338.00,2281100,338.00
2016-06-06,338.00,344.00,336.00,340.00,665300,340.00
2016-06-03,340.00,342.00,336.00,338.00,600400,338.00
2016-06-02,338.00,348.00,336.00,340.00,1624600,340.00
2016-06-01,342.00,344.00,322.00,338.00,1810200,338.00
2016-05-31,346.00,348.00,342.00,342.00,626200,342.00
2016-05-30,352.00,352.00,346.00,346.00,533100,346.00
2016-05-27,356.00,358.00,346.00,346.00,1481900,346.00
2016-05-26,350.00,358.00,346.00,350.00,2744000,350.00
2016-05-25,346.00,356.00,346.00,350.00,2374900,350.00
2016-05-24,348.00,358.00,332.00,340.00,1747000,340.00
2016-05-23,348.00,362.00,346.00,348.00,2135300,348.00
2016-05-20,330.00,364.00,330.00,348.00,6824600,348.00
2016-05-19,350.00,356.00,330.00,330.00,2973200,330.00
2016-05-18,342.00,384.00,338.00,350.00,17977500,350.00
2016-05-17,316.00,340.00,316.00,338.00,6113800,338.00
2016-05-16,308.00,322.00,302.00,314.00,1359500,314.00
2016-05-13,300.00,324.00,300.00,308.00,1409600,308.00
2016-05-12,306.00,306.00,298.00,300.00,374200,300.00
2016-05-11,302.00,312.00,290.00,302.00,1206400,302.00
2016-05-10,312.00,312.00,298.00,302.00,709500,302.00
2016-05-09,314.00,324.00,304.00,312.00,660000,312.00
2016-05-06,314.00,314.00,314.00,314.00,000,314.00
2016-05-05,314.00,314.00,314.00,314.00,000,314.00
2016-05-04,320.00,336.00,304.00,314.00,1621400,314.00
2016-05-03,310.00,350.00,298.00,320.00,2876800,320.00
2016-05-02,330.00,330.00,306.00,318.00,2390000,318.00
2016-04-29,361.00,374.00,338.00,338.00,5390400,338.00
2016-04-28,380.00,430.00,361.00,361.00,31443200,361.00
2016-04-27,370.00,370.00,300.00,370.00,15319200,370.00
2016-04-26,302.00,305.00,286.00,296.00,862000,296.00
2016-04-25,309.00,309.00,287.00,302.00,1999600,302.00
2016-04-22,270.00,285.00,270.00,282.00,3835000,282.00
2016-04-21,260.00,274.00,260.00,270.00,226200,270.00
2016-04-12,279.00,279.00,253.00,255.00,4308300,255.00
2016-04-08,281.00,285.00,275.00,279.00,181400,279.00
2016-04-07,287.00,290.00,283.00,283.00,61900,283.00
2016-04-06,290.00,290.00,280.00,287.00,1178500,287.00
2016-04-05,292.00,295.00,283.00,287.00,433800,287.00
2016-04-04,284.00,290.00,279.00,287.00,261900,287.00
2016-04-01,300.00,300.00,279.00,292.00,262800,292.00
2016-03-31,315.00,316.00,306.00,310.00,124600,310.00
2016-03-30,314.00,317.00,309.00,317.00,181800,317.00
2016-03-29,310.00,310.00,297.00,310.00,781600,310.00
2016-03-28,315.00,315.00,297.00,301.00,318100,301.00
2016-03-25,311.00,311.00,311.00,311.00,000,311.00
2016-03-24,330.00,330.00,305.00,311.00,626300,311.00
2016-03-23,325.00,334.00,325.00,333.00,298100,333.00
2016-03-22,325.00,337.00,325.00,328.00,2182300,328.00
2016-03-21,314.00,327.00,302.00,324.00,2036200,324.00
2016-03-18,309.00,315.00,302.00,302.00,3239600,302.00
2016-03-17,275.00,309.00,274.00,300.00,2941500,300.00
2016-03-16,275.00,275.00,263.00,269.00,1440900,269.00
2016-03-15,264.00,273.00,255.00,268.00,2450000,268.00
2016-03-10,270.00,270.00,250.00,252.00,9569900,252.00
2016-03-09,258.00,258.00,258.00,258.00,000,258.00
2016-03-08,253.00,290.00,253.00,258.00,4981700,258.00
2016-03-07,250.00,253.00,236.00,250.00,1235100,250.00
2016-03-04,221.00,244.00,221.00,233.00,646800,233.00
2016-03-03,225.00,225.00,219.00,221.00,123700,221.00
2016-03-02,221.00,221.00,221.00,221.00,259600,221.00
2016-03-01,217.00,221.00,216.00,221.00,7000,221.00
2016-02-29,222.00,223.00,215.00,221.00,45400,221.00
2016-02-26,220.00,226.00,216.00,223.00,56800,223.00
2016-02-25,221.00,222.00,220.00,220.00,2110000,220.00
2016-02-24,221.00,222.00,221.00,221.00,90100,221.00
2016-02-23,225.00,225.00,222.00,222.00,496900,222.00
2016-02-22,221.00,230.00,220.00,222.00,588400,222.00
2016-02-19,222.00,223.00,221.00,221.00,59400,221.00
2016-02-18,221.00,230.00,221.00,222.00,62200,222.00
2016-02-17,222.00,225.00,221.00,221.00,66800,221.00
2016-02-16,224.00,230.00,224.00,224.00,5700,224.00
2016-02-15,224.00,226.00,221.00,224.00,17500,224.00
2016-02-12,235.00,235.00,224.00,226.00,40100,226.00
2016-02-11,243.00,243.00,235.00,235.00,34700,235.00
2016-02-10,248.00,248.00,233.00,235.00,2200,235.00
2016-02-09,253.00,253.00,233.00,233.00,7600,233.00
2016-02-08,233.00,233.00,233.00,233.00,000,233.00
2016-02-05,230.00,240.00,230.00,233.00,41700,233.00
2016-02-04,224.00,230.00,222.00,230.00,17100,230.00
2016-02-03,225.00,238.00,224.00,224.00,152700,224.00
2016-02-02,225.00,233.00,220.00,225.00,42200,225.00
2016-02-01,240.00,240.00,220.00,220.00,102600,220.00
2016-01-29,259.00,259.00,240.00,240.00,32000,240.00
2016-01-28,242.00,248.00,240.00,240.00,28200,240.00
2016-01-27,250.00,250.00,242.00,242.00,300,242.00
2016-01-26,250.00,250.00,241.00,242.00,400,242.00
2016-01-25,250.00,258.00,245.00,245.00,17200,245.00
2016-01-22,250.00,256.00,250.00,256.00,13100,256.00
2016-01-21,252.00,252.00,252.00,252.00,100,252.00
2016-01-20,240.00,260.00,240.00,243.00,52000,243.00
2016-01-19,255.00,255.00,240.00,240.00,1302700,240.00
2016-01-18,245.00,267.00,245.00,255.00,12600,255.00
2016-01-15,260.00,260.00,252.00,253.00,70300,253.00
2016-01-14,244.00,279.00,240.00,279.00,34700,279.00
2016-01-13,243.00,243.00,240.00,241.00,418400,241.00
2016-01-12,260.00,260.00,240.00,241.00,98100,241.00
2016-01-11,260.00,263.00,247.00,250.00,1787100,250.00
2016-01-08,262.00,262.00,260.00,260.00,607500,260.00
2016-01-07,265.00,265.00,260.00,260.00,461900,260.00
2016-01-06,269.00,270.00,265.00,265.00,79800,265.00
2016-01-05,265.00,272.00,265.00,272.00,80800,272.00
2016-01-04,265.00,270.00,265.00,270.00,109300,270.00
2016-01-01,265.00,265.00,265.00,265.00,000,265.00
2015-12-31,265.00,265.00,265.00,265.00,000,265.00
2015-12-30,272.00,275.00,265.00,265.00,115500,265.00
2015-12-29,261.00,269.00,261.00,265.00,14700,265.00
2015-12-28,279.00,279.00,260.00,260.00,197800,260.00
2015-12-25,268.00,268.00,268.00,268.00,000,268.00
2015-12-24,268.00,268.00,268.00,268.00,000,268.00
2015-12-23,270.00,270.00,260.00,268.00,332300,268.00
2015-12-22,268.00,268.00,261.00,262.00,122900,262.00
2015-12-21,280.00,280.00,270.00,271.00,438000,271.00
2015-12-18,275.00,277.00,275.00,275.00,1574200,275.00
2015-12-17,280.00,282.00,275.00,278.00,123000,278.00
2015-12-16,285.00,285.00,285.00,285.00,16900,285.00
2015-12-15,275.00,289.00,275.00,285.00,10800,285.00
2015-12-14,275.00,280.00,275.00,277.00,108600,277.00
2015-12-11,275.00,275.00,275.00,275.00,11500,275.00
2015-12-10,299.00,299.00,275.00,275.00,27800,275.00
2015-12-09,275.00,275.00,275.00,275.00,000,275.00
2015-12-08,275.00,275.00,275.00,275.00,114500,275.00
2015-12-07,314.00,314.00,293.00,294.00,567900,294.00
2015-12-04,340.00,340.00,309.00,325.00,30500,325.00
2015-12-03,279.00,279.00,279.00,279.00,100,279.00
2015-12-02,290.00,290.00,288.00,288.00,1600,288.00
