Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,880.00,895.00,880.00,890.00,7510200,890.00
2017-01-31,880.00,895.00,880.00,880.00,6630700,880.00
2017-01-30,855.00,905.00,845.00,880.00,28577900,880.00
2017-01-27,850.00,855.00,845.00,855.00,775100,855.00
2017-01-26,850.00,855.00,840.00,850.00,5980900,850.00
2017-01-25,860.00,860.00,840.00,850.00,14030400,850.00
2017-01-24,865.00,865.00,855.00,865.00,2321500,865.00
2017-01-23,860.00,870.00,855.00,860.00,5879500,860.00
2017-01-20,880.00,885.00,850.00,860.00,11830900,860.00
2017-01-19,875.00,885.00,855.00,875.00,14576500,875.00
2017-01-18,855.00,880.00,850.00,875.00,15965700,875.00
2017-01-17,840.00,865.00,835.00,855.00,18832200,855.00
2017-01-16,835.00,880.00,815.00,840.00,34084200,840.00
2017-01-13,855.00,855.00,805.00,835.00,35315800,835.00
2017-01-12,870.00,870.00,845.00,855.00,21091000,855.00
2017-01-11,870.00,875.00,865.00,870.00,3451000,870.00
2017-01-10,875.00,875.00,860.00,870.00,7709800,870.00
2017-01-09,875.00,885.00,870.00,875.00,17047500,875.00
2017-01-06,850.00,880.00,850.00,875.00,24098600,875.00
2017-01-05,850.00,860.00,845.00,850.00,12696900,850.00
2017-01-04,860.00,865.00,830.00,850.00,18716000,850.00
2017-01-03,855.00,880.00,855.00,860.00,12345300,860.00
2017-01-02,855.00,855.00,855.00,855.00,000,855.00
2016-12-30,855.00,895.00,850.00,855.00,37722900,855.00
2016-12-29,825.00,865.00,820.00,850.00,26840800,850.00
2016-12-28,810.00,840.00,805.00,825.00,25215200,825.00
2016-12-27,790.00,870.00,790.00,810.00,58974400,810.00
2016-12-26,790.00,790.00,790.00,790.00,000,790.00
2016-12-23,795.00,800.00,790.00,790.00,2008200,790.00
2016-12-22,820.00,820.00,785.00,795.00,22492000,795.00
2016-12-21,815.00,825.00,800.00,820.00,19613300,820.00
2016-12-20,805.00,815.00,795.00,815.00,12076300,815.00
2016-12-19,795.00,845.00,790.00,805.00,61818500,805.00
2016-12-16,795.00,805.00,790.00,795.00,4682600,795.00
2016-12-15,805.00,805.00,780.00,795.00,19744400,795.00
2016-12-14,805.00,815.00,800.00,805.00,12311200,805.00
2016-12-13,820.00,820.00,800.00,805.00,15721200,805.00
2016-12-12,820.00,820.00,820.00,820.00,000,820.00
2016-12-09,800.00,825.00,795.00,820.00,35193200,820.00
2016-12-08,780.00,805.00,780.00,800.00,26805900,800.00
2016-12-07,775.00,785.00,770.00,780.00,11464600,780.00
2016-12-06,785.00,795.00,770.00,770.00,13592500,770.00
2016-12-05,775.00,810.00,775.00,785.00,33445500,785.00
2016-12-02,765.00,805.00,765.00,775.00,75301200,775.00
2016-12-01,720.00,770.00,715.00,765.00,80297300,765.00
2016-11-30,720.00,725.00,710.00,720.00,14577000,720.00
2016-11-29,725.00,725.00,720.00,720.00,5961500,720.00
2016-11-28,720.00,725.00,715.00,720.00,6305100,720.00
2016-11-25,715.00,720.00,710.00,720.00,4921400,720.00
2016-11-24,725.00,740.00,710.00,715.00,27773300,715.00
2016-11-23,710.00,735.00,705.00,725.00,60952500,725.00
2016-11-22,690.00,710.00,690.00,705.00,13409000,705.00
2016-11-21,680.00,690.00,675.00,690.00,21172300,690.00
2016-11-18,670.00,690.00,670.00,680.00,15356500,680.00
2016-11-17,665.00,700.00,665.00,670.00,11841800,670.00
2016-11-16,665.00,675.00,655.00,670.00,7372800,670.00
2016-11-15,665.00,680.00,665.00,665.00,5757000,665.00
2016-11-14,675.00,675.00,655.00,665.00,6291100,665.00
2016-11-11,680.00,695.00,675.00,675.00,10374900,675.00
2016-11-10,700.00,705.00,685.00,690.00,4869100,690.00
2016-11-09,700.00,705.00,680.00,700.00,5617900,700.00
2016-11-08,690.00,710.00,690.00,700.00,5444500,700.00
2016-11-07,690.00,700.00,690.00,690.00,1810100,690.00
2016-11-04,700.00,710.00,690.00,690.00,2374700,690.00
2016-11-03,695.00,710.00,695.00,700.00,7369200,700.00
2016-11-02,695.00,700.00,690.00,695.00,2663800,695.00
2016-11-01,695.00,700.00,690.00,695.00,4737100,695.00
2016-10-31,700.00,710.00,690.00,695.00,3844000,695.00
2016-10-28,700.00,710.00,690.00,705.00,976700,705.00
2016-10-27,705.00,705.00,695.00,700.00,2762800,700.00
2016-10-26,710.00,715.00,700.00,700.00,9246300,700.00
2016-10-25,705.00,715.00,700.00,705.00,5552000,705.00
2016-10-24,690.00,705.00,690.00,700.00,5413700,700.00
2016-10-21,700.00,700.00,690.00,690.00,2192400,690.00
2016-10-20,700.00,715.00,700.00,705.00,12317200,705.00
2016-10-19,705.00,705.00,685.00,700.00,4734300,700.00
2016-10-18,705.00,725.00,695.00,705.00,6698000,705.00
