Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,290.00,290.00,290.00,290.00,000,290.00
2017-01-31,290.00,290.00,290.00,290.00,000,290.00
2017-01-30,290.00,290.00,290.00,290.00,000,290.00
2017-01-27,290.00,290.00,290.00,290.00,700,290.00
2017-01-26,220.00,232.00,220.00,232.00,500,232.00
2017-01-25,220.00,220.00,220.00,220.00,200,220.00
2017-01-24,220.00,220.00,210.00,220.00,500,220.00
2017-01-23,173.00,173.00,163.00,163.00,100,163.00
2017-01-20,173.00,173.00,173.00,173.00,100,173.00
2017-01-19,180.00,180.00,180.00,180.00,000,180.00
2017-01-18,180.00,180.00,180.00,180.00,000,180.00
2017-01-17,180.00,180.00,180.00,180.00,000,180.00
2017-01-16,180.00,180.00,180.00,180.00,000,180.00
2017-01-13,180.00,180.00,180.00,180.00,000,180.00
2017-01-12,180.00,180.00,180.00,180.00,000,180.00
2017-01-11,180.00,180.00,180.00,180.00,000,180.00
2017-01-10,180.00,180.00,180.00,180.00,000,180.00
2017-01-09,200.00,200.00,180.00,180.00,100,180.00
2017-01-06,200.00,200.00,200.00,200.00,000,200.00
2017-01-05,200.00,200.00,200.00,200.00,000,200.00
2017-01-04,220.00,220.00,200.00,200.00,100,200.00
2017-01-03,220.00,220.00,220.00,220.00,500,220.00
2017-01-02,216.00,216.00,216.00,216.00,000,216.00
2016-12-30,176.00,216.00,173.00,216.00,3400,216.00
2016-12-29,160.00,160.00,160.00,160.00,000,160.00
2016-12-28,160.00,160.00,160.00,160.00,100,160.00
2016-12-27,170.00,170.00,170.00,170.00,100,170.00
2016-12-26,179.00,179.00,179.00,179.00,000,179.00
2016-12-23,179.00,179.00,179.00,179.00,000,179.00
2016-12-22,179.00,179.00,179.00,179.00,000,179.00
2016-12-21,186.00,186.00,179.00,179.00,100,179.00
2016-12-20,195.00,195.00,186.00,186.00,100,186.00
2016-12-19,195.00,195.00,195.00,195.00,100,195.00
2016-12-16,210.00,210.00,210.00,210.00,000,210.00
2016-12-15,210.00,210.00,210.00,210.00,100,210.00
2016-12-14,230.00,230.00,230.00,230.00,100,230.00
2016-12-13,260.00,260.00,250.00,250.00,100,250.00
2016-12-12,260.00,260.00,260.00,260.00,000,260.00
2016-12-09,260.00,260.00,260.00,260.00,100,260.00
2016-12-08,270.00,270.00,270.00,270.00,100,270.00
2016-12-07,280.00,280.00,280.00,280.00,000,280.00
2016-12-06,280.00,280.00,280.00,280.00,000,280.00
2016-12-05,280.00,280.00,280.00,280.00,000,280.00
2016-12-02,280.00,280.00,280.00,280.00,000,280.00
2016-12-01,280.00,280.00,280.00,280.00,000,280.00
2016-11-30,280.00,280.00,280.00,280.00,000,280.00
2016-11-29,280.00,280.00,280.00,280.00,000,280.00
2016-11-28,300.00,300.00,280.00,280.00,6000,280.00
2016-11-25,300.00,300.00,300.00,300.00,000,300.00
2016-11-24,300.00,300.00,300.00,300.00,000,300.00
2016-11-23,300.00,300.00,300.00,300.00,000,300.00
2016-11-22,300.00,300.00,300.00,300.00,000,300.00
2016-11-21,300.00,300.00,300.00,300.00,000,300.00
2016-11-18,300.00,300.00,300.00,300.00,000,300.00
2016-11-17,300.00,300.00,300.00,300.00,000,300.00
2016-11-16,300.00,300.00,300.00,300.00,000,300.00
2016-11-15,300.00,300.00,300.00,300.00,000,300.00
2016-11-14,300.00,300.00,300.00,300.00,000,300.00
2016-11-11,300.00,300.00,300.00,300.00,000,300.00
2016-11-10,300.00,300.00,300.00,300.00,000,300.00
2016-11-09,300.00,300.00,300.00,300.00,000,300.00
2016-11-08,300.00,300.00,300.00,300.00,000,300.00
2016-11-07,300.00,300.00,300.00,300.00,000,300.00
2016-11-04,300.00,300.00,300.00,300.00,000,300.00
2016-11-03,300.00,300.00,300.00,300.00,000,300.00
2016-11-02,300.00,300.00,300.00,300.00,000,300.00
2016-11-01,300.00,300.00,300.00,300.00,000,300.00
2016-10-31,300.00,300.00,300.00,300.00,000,300.00
2016-10-28,300.00,300.00,300.00,300.00,000,300.00
2016-10-27,300.00,300.00,300.00,300.00,000,300.00
2016-10-26,300.00,300.00,300.00,300.00,000,300.00
2016-10-25,300.00,300.00,300.00,300.00,000,300.00
2016-10-24,300.00,300.00,300.00,300.00,000,300.00
2016-10-21,300.00,300.00,300.00,300.00,000,300.00
2016-10-20,300.00,300.00,300.00,300.00,000,300.00
2016-10-19,300.00,300.00,300.00,300.00,000,300.00
2016-10-18,300.00,300.00,300.00,300.00,000,300.00
2016-10-17,300.00,300.00,300.00,300.00,000,300.00
2016-10-14,300.00,300.00,300.00,300.00,000,300.00
2016-10-13,300.00,300.00,300.00,300.00,000,300.00
2016-10-12,300.00,300.00,300.00,300.00,000,300.00
2016-10-11,300.00,300.00,300.00,300.00,000,300.00
2016-10-10,300.00,300.00,300.00,300.00,000,300.00
2016-10-07,300.00,300.00,300.00,300.00,000,300.00
2016-10-06,300.00,300.00,300.00,300.00,000,300.00
2016-10-05,300.00,300.00,300.00,300.00,000,300.00
2016-10-04,300.00,300.00,300.00,300.00,000,300.00
2016-10-03,300.00,300.00,300.00,300.00,000,300.00
2016-09-30,300.00,300.00,300.00,300.00,000,300.00
2016-09-29,300.00,300.00,300.00,300.00,000,300.00
2016-09-28,300.00,300.00,300.00,300.00,000,300.00
2016-09-27,300.00,300.00,300.00,300.00,000,300.00
