Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,57.00,67.00,57.00,63.00,2700,63.00
2017-01-31,57.00,58.00,56.00,57.00,146068400,57.00
2017-01-30,56.00,59.00,55.00,57.00,429293900,57.00
2017-01-27,57.00,58.00,56.00,56.00,196775200,56.00
2017-01-26,57.00,58.00,57.00,57.00,225161700,57.00
2017-01-25,59.00,59.00,57.00,57.00,191398700,57.00
2017-01-24,57.00,59.00,57.00,58.00,201001400,58.00
2017-01-23,59.00,60.00,58.00,58.00,214592500,58.00
2017-01-20,59.00,60.00,58.00,59.00,223261700,59.00
2017-01-19,60.00,60.00,58.00,59.00,139755200,59.00
2017-01-18,58.00,60.00,57.00,59.00,428561100,59.00
2017-01-17,60.00,60.00,58.00,58.00,303048000,58.00
2017-01-16,60.00,61.00,59.00,60.00,289683500,60.00
2017-01-13,61.00,61.00,60.00,60.00,141818600,60.00
2017-01-12,61.00,62.00,60.00,61.00,290377600,61.00
2017-01-11,62.00,63.00,61.00,61.00,299959900,61.00
2017-01-10,62.00,64.00,61.00,62.00,290843400,62.00
2017-01-09,63.00,64.00,61.00,62.00,330869400,62.00
2017-01-06,63.00,66.00,62.00,63.00,550065100,63.00
2017-01-05,60.00,64.00,60.00,63.00,1176816500,63.00
2017-01-04,58.00,61.00,58.00,60.00,288551300,60.00
2017-01-03,58.00,59.00,57.00,58.00,166093300,58.00
2017-01-02,57.00,57.00,57.00,57.00,000,57.00
2016-12-30,57.00,62.00,56.00,57.00,967596700,57.00
2016-12-29,57.00,57.00,56.00,56.00,49534200,56.00
2016-12-28,55.00,58.00,55.00,56.00,205849200,56.00
2016-12-27,56.00,57.00,55.00,56.00,131009000,56.00
2016-12-26,56.00,56.00,56.00,56.00,000,56.00
2016-12-23,55.00,57.00,55.00,56.00,196524300,56.00
2016-12-22,57.00,57.00,55.00,55.00,141540100,55.00
2016-12-21,56.00,58.00,56.00,56.00,175453400,56.00
2016-12-20,56.00,58.00,55.00,56.00,279162300,56.00
2016-12-19,56.00,58.00,55.00,56.00,220791700,56.00
2016-12-16,59.00,60.00,55.00,55.00,753407100,55.00
2016-12-15,58.00,62.00,58.00,59.00,782046300,59.00
2016-12-14,59.00,60.00,57.00,58.00,362162800,58.00
2016-12-13,58.00,61.00,58.00,58.00,447183900,58.00
2016-12-12,58.00,58.00,58.00,58.00,000,58.00
2016-12-09,60.00,61.00,58.00,58.00,250878300,58.00
2016-12-08,59.00,63.00,56.00,60.00,874657500,60.00
2016-12-07,62.00,62.00,58.00,59.00,397005900,59.00
2016-12-06,61.00,63.00,60.00,61.00,539776800,61.00
2016-12-05,64.00,64.00,60.00,61.00,406813000,61.00
2016-12-02,68.00,69.00,54.00,62.00,1524362500,62.00
2016-12-01,81.00,84.00,74.00,75.00,1282498000,75.00
2016-11-30,79.00,83.00,75.00,81.00,1733511200,81.00
2016-11-29,92.00,94.00,83.00,83.00,1971774000,83.00
2016-11-28,79.00,97.00,79.00,92.00,1200,92.00
2016-11-25,59.00,79.00,59.00,79.00,2139037000,79.00
2016-11-24,61.00,61.00,59.00,59.00,129260000,59.00
2016-11-23,61.00,61.00,59.00,60.00,237568200,60.00
2016-11-22,63.00,64.00,60.00,61.00,433079300,61.00
2016-11-21,59.00,64.00,59.00,62.00,699508100,62.00
2016-11-18,58.00,60.00,58.00,59.00,317091900,59.00
2016-11-17,58.00,60.00,57.00,58.00,407035300,58.00
2016-11-16,56.00,58.00,56.00,57.00,155832500,57.00
2016-11-15,57.00,59.00,56.00,56.00,267424600,56.00
2016-11-14,57.00,57.00,55.00,56.00,227828400,56.00
2016-11-11,58.00,59.00,56.00,57.00,264011800,57.00
2016-11-10,59.00,60.00,58.00,58.00,190367700,58.00
2016-11-09,59.00,60.00,57.00,59.00,312909400,59.00
2016-11-08,57.00,61.00,57.00,59.00,524747900,59.00
2016-11-07,56.00,58.00,56.00,57.00,215955900,57.00
2016-11-04,56.00,58.00,56.00,56.00,169470300,56.00
2016-11-03,57.00,59.00,55.00,56.00,398907600,56.00
2016-11-02,58.00,59.00,56.00,56.00,203971200,56.00
2016-11-01,59.00,61.00,57.00,58.00,506181600,58.00
2016-10-31,57.00,66.00,55.00,59.00,2433613600,59.00
2016-10-28,56.00,57.00,55.00,57.00,250338100,57.00
2016-10-27,55.00,57.00,54.00,55.00,417737300,55.00
2016-10-26,57.00,57.00,54.00,55.00,266316200,55.00
2016-10-25,56.00,58.00,55.00,56.00,290556800,56.00
2016-10-24,53.00,57.00,53.00,55.00,326377200,55.00
2016-10-21,54.00,55.00,53.00,53.00,112840300,53.00
2016-10-20,53.00,59.00,51.00,54.00,1023479100,54.00
2016-10-19,56.00,56.00,52.00,53.00,299330600,53.00
2016-10-18,57.00,57.00,54.00,55.00,159601400,55.00
2016-10-17,55.00,58.00,54.00,56.00,295621200,56.00
2016-10-14,55.00,56.00,54.00,55.00,75359100,55.00
2016-10-13,55.00,57.00,54.00,55.00,102721700,55.00
2016-10-12,56.00,57.00,55.00,55.00,116399100,55.00
2016-10-11,56.00,58.00,54.00,56.00,166658000,56.00
2016-10-10,56.00,59.00,56.00,56.00,148063200,56.00
2016-10-07,56.00,58.00,54.00,56.00,179530700,56.00
2016-10-06,58.00,58.00,55.00,56.00,181987300,56.00
2016-10-05,59.00,60.00,55.00,57.00,374124400,57.00
2016-10-04,64.00,66.00,59.00,59.00,644181900,59.00
2016-10-03,59.00,65.00,58.00,64.00,620926000,64.00
2016-09-30,59.00,61.00,57.00,58.00,253092800,58.00
2016-09-29,63.00,66.00,57.00,59.00,1191830800,59.00
2016-09-28,53.00,63.00,52.00,62.00,1476875500,62.00
2016-09-27,51.00,52.00,50.00,52.00,96280400,52.00
2016-09-26,50.00,53.00,50.00,51.00,277261500,51.00
