Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,15125.00,15400.00,15125.00,15300.00,823900,15300.00
2017-01-31,15025.00,15875.00,15025.00,15025.00,2057700,15025.00
2017-01-30,15900.00,15900.00,15700.00,15875.00,599300,15875.00
2017-01-27,15600.00,15900.00,15575.00,15900.00,1593400,15900.00
2017-01-26,15200.00,15575.00,15100.00,15575.00,1877200,15575.00
2017-01-25,14850.00,15100.00,14800.00,15075.00,1042000,15075.00
2017-01-24,14800.00,14925.00,14775.00,14800.00,884000,14800.00
2017-01-23,14625.00,14775.00,14600.00,14775.00,578800,14775.00
2017-01-20,14800.00,14825.00,14625.00,14625.00,876400,14625.00
2017-01-19,14800.00,14925.00,14625.00,14925.00,1553900,14925.00
2017-01-18,14800.00,14950.00,14750.00,14800.00,785700,14800.00
2017-01-17,15000.00,15025.00,14775.00,14775.00,465300,14775.00
2017-01-16,15100.00,15100.00,14900.00,14900.00,748900,14900.00
2017-01-13,15050.00,15250.00,14950.00,14950.00,748700,14950.00
2017-01-12,15075.00,15275.00,15025.00,15025.00,781200,15025.00
2017-01-11,15050.00,15150.00,15025.00,15075.00,823800,15075.00
2017-01-10,15350.00,15450.00,15075.00,15250.00,1050200,15250.00
2017-01-09,15650.00,15950.00,15350.00,15450.00,794200,15450.00
2017-01-06,15800.00,15950.00,15700.00,15900.00,660800,15900.00
2017-01-05,15800.00,16000.00,15550.00,16000.00,623700,16000.00
2017-01-04,15300.00,15875.00,15200.00,15875.00,682000,15875.00
2017-01-03,15500.00,15500.00,15000.00,15300.00,264100,15300.00
2017-01-02,15400.00,15400.00,15400.00,15400.00,000,15400.00
2016-12-30,15300.00,15850.00,15200.00,15400.00,769300,15400.00
2016-12-29,15350.00,15600.00,15125.00,15475.00,758100,15475.00
2016-12-28,15000.00,15375.00,14975.00,15300.00,1320100,15300.00
2016-12-27,14800.00,14900.00,14725.00,14800.00,1001400,14800.00
2016-12-26,14800.00,14800.00,14800.00,14800.00,000,14800.00
2016-12-23,14900.00,14900.00,14675.00,14800.00,1205700,14800.00
2016-12-22,15400.00,15450.00,14975.00,15000.00,887700,15000.00
2016-12-21,15300.00,15575.00,15300.00,15400.00,634500,15400.00
2016-12-20,15650.00,15675.00,15350.00,15525.00,1081700,15525.00
2016-12-19,16250.00,16300.00,15650.00,15650.00,1029000,15650.00
2016-12-16,16150.00,16700.00,16050.00,16375.00,3222100,16375.00
2016-12-15,16500.00,16500.00,16050.00,16150.00,1418000,16150.00
2016-12-14,16800.00,16800.00,16450.00,16600.00,1746600,16600.00
2016-12-13,16000.00,16800.00,16000.00,16800.00,1713500,16800.00
2016-12-12,16250.00,16250.00,16250.00,16250.00,000,16250.00
2016-12-09,15975.00,16250.00,15950.00,16250.00,1337400,16250.00
2016-12-08,15800.00,16100.00,15800.00,15975.00,1521300,15975.00
2016-12-07,15925.00,16000.00,15800.00,15875.00,1033600,15875.00
2016-12-06,16025.00,16150.00,15750.00,15925.00,1399600,15925.00
2016-12-05,15525.00,16100.00,15450.00,15950.00,1009900,15950.00
2016-12-02,15300.00,15800.00,15300.00,15575.00,918000,15575.00
2016-12-01,15975.00,16150.00,15600.00,15600.00,959300,15600.00
2016-11-30,15900.00,16425.00,15750.00,15975.00,4268000,15975.00
2016-11-29,15350.00,15950.00,15350.00,15900.00,1654700,15900.00
2016-11-28,14700.00,15800.00,14625.00,15350.00,1321500,15350.00
2016-11-25,14300.00,14700.00,14300.00,14625.00,846000,14625.00
2016-11-24,14500.00,14500.00,14275.00,14300.00,1031500,14300.00
2016-11-23,14525.00,14750.00,14525.00,14575.00,816600,14575.00
2016-11-22,15000.00,15100.00,14475.00,14525.00,1856600,14525.00
2016-11-21,14850.00,14950.00,14600.00,14950.00,851100,14950.00
2016-11-18,14800.00,15025.00,14375.00,14900.00,1183600,14900.00
2016-11-17,15000.00,15150.00,14650.00,14800.00,939800,14800.00
2016-11-16,14525.00,15300.00,14500.00,15000.00,1564300,15000.00
2016-11-15,14875.00,14875.00,14275.00,14500.00,3546200,14500.00
2016-11-14,14900.00,14950.00,14750.00,14875.00,2605600,14875.00
2016-11-11,15900.00,15900.00,14825.00,15200.00,2719800,15200.00
2016-11-10,16125.00,16375.00,15950.00,15950.00,1212900,15950.00
2016-11-09,16300.00,16300.00,15850.00,16000.00,2044800,16000.00
2016-11-08,16000.00,16200.00,16000.00,16125.00,1102800,16125.00
2016-11-07,16100.00,16100.00,15825.00,15925.00,1587900,15925.00
2016-11-04,16000.00,16150.00,15800.00,16100.00,949100,16100.00
2016-11-03,16300.00,16425.00,16000.00,16000.00,1274400,16000.00
2016-11-02,16425.00,16425.00,16200.00,16350.00,1169600,16350.00
2016-11-01,16450.00,16600.00,16400.00,16425.00,791800,16425.00
2016-10-31,16475.00,16850.00,16400.00,16450.00,1074700,16450.00
2016-10-28,16500.00,16550.00,16450.00,16475.00,1369200,16475.00
2016-10-27,16700.00,16800.00,16250.00,16350.00,1737900,16350.00
2016-10-26,16700.00,16825.00,16625.00,16700.00,1083000,16700.00
2016-10-25,16675.00,16900.00,16625.00,16700.00,971600,16700.00
2016-10-24,16425.00,16700.00,16425.00,16650.00,1713100,16650.00
2016-10-21,16500.00,16675.00,16425.00,16425.00,7191500,16425.00
2016-10-20,16825.00,16875.00,16475.00,16525.00,1758700,16525.00
2016-10-19,17000.00,17000.00,16800.00,16800.00,1021300,16800.00
2016-10-18,17150.00,17150.00,16850.00,16875.00,1801900,16875.00
2016-10-17,17225.00,17250.00,16925.00,16950.00,1300500,16950.00
2016-10-14,17075.00,17375.00,17075.00,17250.00,995300,17250.00
2016-10-13,17450.00,17550.00,17200.00,17200.00,2375000,17200.00
2016-10-12,17425.00,17700.00,17400.00,17450.00,632400,17450.00
2016-10-11,17700.00,17750.00,17400.00,17675.00,1702500,17675.00
2016-10-10,17625.00,17875.00,17625.00,17800.00,575500,17800.00
2016-10-07,17500.00,17950.00,17500.00,17950.00,830000,17950.00
2016-10-06,17750.00,18000.00,17500.00,17700.00,1099900,17700.00
2016-10-05,17800.00,18025.00,17700.00,17750.00,1979400,17750.00
2016-10-04,17975.00,18225.00,17800.00,17800.00,2365400,17800.00
2016-10-03,17800.00,17925.00,17600.00,17800.00,1626900,17800.00
2016-09-30,18000.00,18125.00,17300.00,17350.00,2912900,17350.00
2016-09-29,18200.00,18400.00,18100.00,18150.00,1130000,18150.00
2016-09-28,17850.00,18400.00,17825.00,18300.00,2143900,18300.00
2016-09-27,17950.00,18050.00,17425.00,18000.00,2247300,18000.00
2016-09-26,18125.00,18225.00,17925.00,18100.00,719200,18100.00
