Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,458.00,460.00,458.00,460.00,1445100,460.00
2017-01-31,458.00,460.00,456.00,458.00,1881900,458.00
2017-01-30,462.00,462.00,458.00,460.00,2488500,460.00
2017-01-27,462.00,462.00,460.00,462.00,1291100,462.00
2017-01-26,462.00,466.00,458.00,462.00,8075500,462.00
2017-01-25,470.00,470.00,462.00,462.00,5502200,462.00
2017-01-24,468.00,470.00,462.00,470.00,10027700,470.00
2017-01-23,470.00,470.00,466.00,468.00,4144100,468.00
2017-01-20,474.00,478.00,462.00,470.00,12191500,470.00
2017-01-19,480.00,492.00,474.00,476.00,17599500,476.00
2017-01-18,476.00,482.00,476.00,476.00,2203500,476.00
2017-01-17,482.00,482.00,476.00,476.00,2154800,476.00
2017-01-16,490.00,490.00,480.00,482.00,2257200,482.00
2017-01-13,492.00,492.00,474.00,490.00,11450200,490.00
2017-01-12,472.00,494.00,464.00,492.00,82102400,492.00
2017-01-11,480.00,482.00,470.00,472.00,4642100,472.00
2017-01-10,490.00,492.00,480.00,480.00,4730100,480.00
2017-01-09,494.00,496.00,486.00,490.00,3027600,490.00
2017-01-06,490.00,494.00,490.00,494.00,6305700,494.00
2017-01-05,490.00,494.00,484.00,492.00,7110500,492.00
2017-01-04,482.00,488.00,476.00,488.00,6246700,488.00
2017-01-03,500.00,500.00,480.00,482.00,2078500,482.00
2017-01-02,500.00,500.00,500.00,500.00,000,500.00
2016-12-30,488.00,500.00,480.00,500.00,6809400,500.00
2016-12-29,480.00,480.00,476.00,480.00,8063900,480.00
2016-12-28,480.00,482.00,476.00,480.00,1328700,480.00
2016-12-27,478.00,488.00,478.00,480.00,1095800,480.00
2016-12-26,478.00,478.00,478.00,478.00,000,478.00
2016-12-23,482.00,482.00,468.00,478.00,1575800,478.00
2016-12-22,480.00,494.00,470.00,480.00,14544500,480.00
2016-12-21,492.00,494.00,444.00,444.00,4985100,444.00
2016-12-20,498.00,500.00,486.00,492.00,5686100,492.00
2016-12-19,498.00,498.00,488.00,498.00,2657000,498.00
2016-12-16,494.00,505.00,480.00,494.00,36471400,494.00
2016-12-15,490.00,494.00,486.00,494.00,3799800,494.00
2016-12-14,494.00,498.00,490.00,490.00,3656200,490.00
2016-12-13,505.00,505.00,494.00,494.00,8219700,494.00
2016-12-12,505.00,505.00,505.00,505.00,000,505.00
2016-12-09,500.00,505.00,498.00,505.00,22311400,505.00
2016-12-08,500.00,505.00,492.00,500.00,27051300,500.00
2016-12-07,494.00,500.00,486.00,500.00,7870600,500.00
2016-12-06,498.00,500.00,494.00,496.00,4723500,496.00
2016-12-05,496.00,500.00,496.00,496.00,1752200,496.00
2016-12-02,505.00,505.00,496.00,496.00,26170000,496.00
2016-12-01,500.00,505.00,494.00,505.00,22679700,505.00
2016-11-30,500.00,500.00,496.00,500.00,4477100,500.00
2016-11-29,505.00,505.00,496.00,498.00,3829900,498.00
2016-11-28,500.00,505.00,498.00,500.00,3399200,500.00
2016-11-25,505.00,510.00,498.00,500.00,1958200,500.00
2016-11-24,515.00,515.00,500.00,505.00,3071900,505.00
2016-11-23,515.00,520.00,515.00,515.00,15660500,515.00
2016-11-22,520.00,525.00,515.00,520.00,13694100,520.00
2016-11-21,530.00,535.00,515.00,520.00,12236100,520.00
2016-11-18,535.00,535.00,515.00,530.00,10581800,530.00
2016-11-17,525.00,550.00,520.00,535.00,17418700,535.00
2016-11-16,505.00,550.00,500.00,530.00,31693400,530.00
2016-11-15,525.00,535.00,496.00,505.00,22991900,505.00
2016-11-14,545.00,545.00,515.00,525.00,12840000,525.00
2016-11-11,560.00,565.00,530.00,545.00,52434200,545.00
2016-11-10,555.00,600.00,550.00,565.00,19233300,565.00
2016-11-09,560.00,560.00,545.00,555.00,5843600,555.00
2016-11-08,555.00,565.00,550.00,560.00,19588500,560.00
2016-11-07,575.00,575.00,545.00,555.00,23487800,555.00
2016-11-04,565.00,575.00,555.00,575.00,3617200,575.00
2016-11-03,560.00,565.00,550.00,565.00,6398500,565.00
2016-11-02,555.00,560.00,545.00,560.00,11546000,560.00
2016-11-01,575.00,575.00,555.00,555.00,10124100,555.00
2016-10-31,590.00,590.00,570.00,575.00,12326900,575.00
2016-10-28,585.00,590.00,575.00,590.00,16840800,590.00
2016-10-27,580.00,590.00,580.00,585.00,17309800,585.00
2016-10-26,580.00,590.00,575.00,585.00,12368400,585.00
2016-10-25,590.00,600.00,580.00,585.00,18976000,585.00
2016-10-24,580.00,590.00,575.00,590.00,9067600,590.00
2016-10-21,585.00,585.00,575.00,580.00,10950900,580.00
2016-10-20,575.00,585.00,575.00,580.00,12449900,580.00
2016-10-19,585.00,585.00,575.00,575.00,18312000,575.00
2016-10-18,585.00,590.00,580.00,585.00,23945000,585.00
2016-10-17,575.00,585.00,570.00,585.00,4521000,585.00
2016-10-14,575.00,580.00,570.00,575.00,6561700,575.00
2016-10-13,585.00,595.00,560.00,575.00,44623200,575.00
2016-10-12,590.00,590.00,580.00,585.00,32280600,585.00
2016-10-11,605.00,605.00,585.00,590.00,23723200,590.00
2016-10-10,585.00,605.00,580.00,605.00,26707800,605.00
2016-10-07,585.00,595.00,575.00,585.00,19244500,585.00
2016-10-06,575.00,590.00,565.00,585.00,48194900,585.00
2016-10-05,575.00,575.00,560.00,570.00,81920900,570.00
2016-10-04,585.00,585.00,565.00,575.00,40952500,575.00
