Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,194.00,194.00,194.00,194.00,000,194.00
2017-01-31,194.00,194.00,194.00,194.00,000,194.00
2017-01-30,194.00,194.00,194.00,194.00,000,194.00
2017-01-27,194.00,194.00,194.00,194.00,000,194.00
2017-01-26,194.00,194.00,194.00,194.00,000,194.00
2017-01-25,194.00,194.00,194.00,194.00,000,194.00
2017-01-24,194.00,194.00,194.00,194.00,000,194.00
2017-01-23,194.00,194.00,194.00,194.00,000,194.00
2017-01-20,194.00,194.00,194.00,194.00,000,194.00
2017-01-19,194.00,194.00,194.00,194.00,000,194.00
2017-01-18,194.00,194.00,194.00,194.00,000,194.00
2017-01-17,194.00,194.00,194.00,194.00,000,194.00
2017-01-16,194.00,194.00,194.00,194.00,000,194.00
2017-01-13,194.00,194.00,194.00,194.00,000,194.00
2017-01-12,194.00,194.00,194.00,194.00,000,194.00
2017-01-11,194.00,194.00,194.00,194.00,000,194.00
2017-01-10,194.00,194.00,194.00,194.00,000,194.00
2017-01-09,194.00,194.00,194.00,194.00,000,194.00
2017-01-06,194.00,194.00,194.00,194.00,000,194.00
2017-01-05,194.00,194.00,194.00,194.00,000,194.00
2017-01-04,194.00,194.00,194.00,194.00,000,194.00
2017-01-03,194.00,194.00,194.00,194.00,000,194.00
2017-01-02,194.00,194.00,194.00,194.00,000,194.00
2016-12-30,194.00,194.00,194.00,194.00,000,194.00
2016-12-29,194.00,194.00,194.00,194.00,000,194.00
2016-12-28,194.00,194.00,194.00,194.00,000,194.00
2016-12-27,194.00,194.00,194.00,194.00,000,194.00
2016-12-26,194.00,194.00,194.00,194.00,000,194.00
2016-12-23,194.00,194.00,194.00,194.00,000,194.00
2016-12-22,194.00,194.00,194.00,194.00,000,194.00
2016-12-21,194.00,194.00,194.00,194.00,000,194.00
2016-12-20,194.00,194.00,194.00,194.00,000,194.00
2016-12-19,194.00,194.00,194.00,194.00,000,194.00
2016-12-16,194.00,194.00,194.00,194.00,000,194.00
2016-12-15,194.00,194.00,194.00,194.00,000,194.00
2016-12-14,194.00,194.00,194.00,194.00,000,194.00
2016-12-13,194.00,194.00,194.00,194.00,000,194.00
2016-12-12,194.00,194.00,194.00,194.00,000,194.00
2016-12-09,194.00,194.00,194.00,194.00,000,194.00
