Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,610.00,610.00,600.00,605.00,5315900,605.00
2017-01-31,610.00,615.00,605.00,610.00,1468400,610.00
2017-01-30,610.00,615.00,605.00,610.00,4508700,610.00
2017-01-27,615.00,615.00,610.00,610.00,965800,610.00
2017-01-26,615.00,620.00,610.00,615.00,5491000,615.00
2017-01-25,620.00,620.00,610.00,615.00,4671800,615.00
2017-01-24,620.00,620.00,610.00,620.00,3882600,620.00
2017-01-23,615.00,620.00,610.00,615.00,2433100,615.00
2017-01-20,615.00,625.00,615.00,615.00,5277700,615.00
2017-01-19,625.00,625.00,615.00,620.00,1560700,620.00
2017-01-18,615.00,630.00,615.00,620.00,1341300,620.00
2017-01-17,615.00,620.00,615.00,615.00,5489000,615.00
2017-01-16,620.00,625.00,610.00,615.00,10808900,615.00
2017-01-13,630.00,635.00,620.00,620.00,6539000,620.00
2017-01-12,625.00,630.00,620.00,625.00,3730900,625.00
2017-01-11,630.00,630.00,620.00,625.00,4452800,625.00
2017-01-10,630.00,650.00,625.00,630.00,2179900,630.00
2017-01-09,635.00,640.00,625.00,630.00,577800,630.00
2017-01-06,635.00,635.00,625.00,635.00,1151400,635.00
2017-01-05,635.00,640.00,625.00,630.00,1494700,630.00
2017-01-04,630.00,645.00,630.00,630.00,1218800,630.00
2017-01-03,640.00,640.00,625.00,630.00,913700,630.00
2017-01-02,640.00,640.00,640.00,640.00,000,640.00
2016-12-30,660.00,660.00,640.00,640.00,1629200,640.00
2016-12-29,655.00,660.00,640.00,650.00,4242400,650.00
2016-12-28,610.00,660.00,605.00,650.00,11404700,650.00
2016-12-27,610.00,615.00,605.00,610.00,1701100,610.00
2016-12-26,605.00,605.00,605.00,605.00,000,605.00
2016-12-23,615.00,620.00,595.00,605.00,5118400,605.00
2016-12-22,625.00,625.00,610.00,615.00,1897200,615.00
2016-12-21,630.00,635.00,615.00,625.00,2455100,625.00
2016-12-20,625.00,630.00,610.00,630.00,8285800,630.00
2016-12-19,625.00,635.00,620.00,625.00,4469400,625.00
2016-12-16,630.00,635.00,625.00,625.00,4125500,625.00
2016-12-15,625.00,635.00,620.00,630.00,3261500,630.00
2016-12-14,640.00,650.00,630.00,630.00,1518700,630.00
2016-12-13,650.00,655.00,640.00,640.00,1245800,640.00
2016-12-12,650.00,650.00,650.00,650.00,000,650.00
2016-12-09,670.00,670.00,650.00,650.00,1356900,650.00
2016-12-08,670.00,670.00,650.00,670.00,4181900,670.00
2016-12-07,660.00,670.00,640.00,660.00,9038500,660.00
2016-12-06,625.00,660.00,625.00,645.00,5121500,645.00
2016-12-05,635.00,640.00,625.00,625.00,2360500,625.00
2016-12-02,630.00,645.00,625.00,635.00,1214100,635.00
2016-12-01,640.00,650.00,625.00,640.00,1494500,640.00
2016-11-30,625.00,640.00,615.00,640.00,2554500,640.00
2016-11-29,615.00,630.00,615.00,620.00,1490300,620.00
2016-11-28,615.00,625.00,615.00,615.00,685500,615.00
2016-11-25,615.00,625.00,610.00,615.00,893100,615.00
2016-11-24,620.00,630.00,615.00,615.00,481200,615.00
2016-11-23,625.00,630.00,620.00,630.00,528800,630.00
2016-11-22,620.00,625.00,610.00,615.00,2308400,615.00
2016-11-21,630.00,630.00,615.00,615.00,105300,615.00
2016-11-18,615.00,630.00,615.00,630.00,1085400,630.00
2016-11-17,620.00,635.00,615.00,615.00,975000,615.00
2016-11-16,605.00,635.00,605.00,635.00,1420900,635.00
2016-11-15,615.00,625.00,605.00,605.00,1345900,605.00
2016-11-14,620.00,625.00,605.00,615.00,2548400,615.00
2016-11-11,650.00,650.00,625.00,625.00,2879900,625.00
