Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,99.00,102.00,99.00,99.00,2777200,99.00
2017-01-31,99.00,102.00,97.00,99.00,2660200,99.00
2017-01-30,104.00,105.00,97.00,99.00,9061700,99.00
2017-01-27,105.00,106.00,103.00,104.00,2523100,104.00
2017-01-26,106.00,107.00,103.00,105.00,2471900,105.00
2017-01-25,103.00,113.00,103.00,106.00,76821700,106.00
2017-01-24,104.00,108.00,100.00,103.00,8135500,103.00
2017-01-23,107.00,107.00,102.00,104.00,4226500,104.00
2017-01-20,107.00,111.00,105.00,107.00,15213100,107.00
2017-01-19,109.00,115.00,105.00,107.00,22297100,107.00
2017-01-18,103.00,110.00,103.00,108.00,50001700,108.00
2017-01-17,100.00,107.00,100.00,103.00,34141800,103.00
2017-01-16,97.00,103.00,97.00,100.00,17055100,100.00
2017-01-13,97.00,99.00,96.00,97.00,2589900,97.00
2017-01-12,95.00,99.00,95.00,96.00,8891000,96.00
2017-01-11,99.00,100.00,93.00,95.00,11294900,95.00
2017-01-10,97.00,103.00,97.00,99.00,9879000,99.00
2017-01-09,100.00,102.00,95.00,97.00,9973000,97.00
2017-01-06,95.00,105.00,95.00,100.00,30050700,100.00
2017-01-05,86.00,95.00,86.00,94.00,6533400,94.00
2017-01-04,86.00,88.00,85.00,86.00,1750600,86.00
2017-01-03,87.00,87.00,85.00,86.00,1356800,86.00
2017-01-02,87.00,87.00,87.00,87.00,000,87.00
2016-12-30,89.00,90.00,87.00,87.00,1198800,87.00
2016-12-29,87.00,90.00,86.00,89.00,2521900,89.00
2016-12-28,88.00,88.00,85.00,87.00,1595800,87.00
2016-12-27,86.00,90.00,84.00,87.00,799400,87.00
2016-12-26,85.00,85.00,85.00,85.00,000,85.00
2016-12-23,86.00,89.00,83.00,85.00,2218700,85.00
2016-12-22,89.00,90.00,86.00,86.00,2244600,86.00
2016-12-21,91.00,92.00,89.00,89.00,1754500,89.00
2016-12-20,91.00,95.00,90.00,91.00,5217200,91.00
2016-12-19,92.00,95.00,91.00,91.00,3157200,91.00
2016-12-16,92.00,95.00,92.00,92.00,2944000,92.00
2016-12-15,93.00,95.00,90.00,92.00,4189900,92.00
2016-12-14,94.00,96.00,91.00,92.00,6698500,92.00
2016-12-13,97.00,99.00,93.00,95.00,4158800,95.00
2016-12-12,97.00,97.00,97.00,97.00,000,97.00
2016-12-09,102.00,102.00,97.00,97.00,6208100,97.00
2016-12-08,102.00,104.00,98.00,98.00,7838400,98.00
2016-12-07,101.00,105.00,99.00,101.00,9456000,101.00
2016-12-06,104.00,106.00,99.00,101.00,15813900,101.00
2016-12-05,94.00,114.00,94.00,104.00,63955700,104.00
2016-12-02,88.00,104.00,87.00,95.00,32832200,95.00
2016-12-01,86.00,91.00,84.00,87.00,4657100,87.00
2016-11-30,89.00,90.00,86.00,86.00,921400,86.00
2016-11-29,83.00,93.00,83.00,88.00,6159800,88.00
2016-11-28,85.00,85.00,83.00,84.00,1167300,84.00
2016-11-25,85.00,86.00,83.00,85.00,1180000,85.00
2016-11-24,85.00,86.00,84.00,85.00,432800,85.00
2016-11-23,85.00,87.00,83.00,85.00,1391800,85.00
2016-11-22,83.00,85.00,82.00,84.00,882200,84.00
2016-11-21,84.00,85.00,83.00,84.00,738800,84.00
2016-11-18,85.00,85.00,83.00,84.00,319700,84.00
2016-11-17,84.00,86.00,84.00,85.00,686800,85.00
2016-11-16,82.00,86.00,81.00,85.00,1246000,85.00
2016-11-15,85.00,85.00,79.00,82.00,3666700,82.00
2016-11-14,89.00,89.00,81.00,83.00,2720800,83.00
2016-11-11,92.00,92.00,88.00,89.00,1314000,89.00
2016-11-10,90.00,94.00,90.00,92.00,2908800,92.00
2016-11-09,91.00,92.00,87.00,89.00,3519500,89.00
2016-11-08,91.00,94.00,90.00,91.00,2395700,91.00
2016-11-07,87.00,92.00,87.00,90.00,2485800,90.00
2016-11-04,86.00,89.00,86.00,87.00,1558700,87.00
2016-11-03,96.00,96.00,86.00,86.00,8538500,86.00
