Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,388.00,396.00,386.00,386.00,277300,386.00
2017-01-31,388.00,396.00,386.00,388.00,1966000,388.00
2017-01-30,382.00,388.00,380.00,384.00,314900,384.00
2017-01-27,382.00,390.00,380.00,382.00,1055900,382.00
2017-01-26,380.00,382.00,380.00,382.00,407400,382.00
2017-01-25,382.00,386.00,380.00,380.00,832400,380.00
2017-01-24,384.00,390.00,380.00,382.00,1014500,382.00
2017-01-23,390.00,394.00,382.00,384.00,1353400,384.00
2017-01-20,404.00,410.00,390.00,390.00,2340000,390.00
2017-01-19,378.00,408.00,378.00,400.00,13244500,400.00
2017-01-18,372.00,382.00,372.00,378.00,718800,378.00
2017-01-17,372.00,378.00,370.00,372.00,75800,372.00
2017-01-16,370.00,380.00,368.00,372.00,163200,372.00
2017-01-13,374.00,374.00,368.00,370.00,364100,370.00
2017-01-12,370.00,374.00,370.00,370.00,1263100,370.00
2017-01-11,370.00,380.00,368.00,370.00,370200,370.00
2017-01-10,372.00,382.00,370.00,370.00,414900,370.00
2017-01-09,384.00,390.00,372.00,372.00,1233100,372.00
2017-01-06,352.00,412.00,352.00,384.00,12747300,384.00
2017-01-05,350.00,352.00,348.00,350.00,170200,350.00
2017-01-04,346.00,354.00,346.00,350.00,167000,350.00
2017-01-03,348.00,352.00,346.00,346.00,84300,346.00
2017-01-02,350.00,350.00,350.00,350.00,000,350.00
2016-12-30,354.00,358.00,350.00,350.00,481000,350.00
2016-12-29,348.00,354.00,348.00,354.00,66500,354.00
2016-12-28,342.00,352.00,342.00,348.00,146300,348.00
2016-12-27,346.00,350.00,342.00,342.00,122600,342.00
2016-12-26,340.00,340.00,340.00,340.00,000,340.00
2016-12-23,346.00,346.00,340.00,340.00,634700,340.00
2016-12-22,356.00,356.00,346.00,346.00,317500,346.00
2016-12-21,352.00,356.00,348.00,348.00,305200,348.00
2016-12-20,352.00,354.00,348.00,352.00,587600,352.00
2016-12-19,358.00,362.00,346.00,352.00,1434500,352.00
2016-12-16,356.00,366.00,356.00,358.00,1279100,358.00
2016-12-15,356.00,364.00,354.00,356.00,1589100,356.00
2016-12-14,356.00,368.00,354.00,358.00,4770000,358.00
2016-12-13,354.00,358.00,354.00,356.00,431700,356.00
2016-12-12,354.00,354.00,354.00,354.00,000,354.00
2016-12-09,354.00,356.00,354.00,354.00,304500,354.00
2016-12-08,370.00,370.00,354.00,354.00,1937500,354.00
2016-12-07,356.00,382.00,352.00,366.00,4368500,366.00
2016-12-06,358.00,358.00,348.00,350.00,1876000,350.00
2016-12-05,350.00,354.00,348.00,350.00,1862100,350.00
2016-12-02,354.00,354.00,348.00,352.00,809100,352.00
2016-12-01,360.00,360.00,352.00,352.00,200000,352.00
2016-11-30,354.00,360.00,354.00,360.00,690500,360.00
2016-11-29,350.00,358.00,350.00,354.00,2094300,354.00
2016-11-28,348.00,350.00,346.00,348.00,898000,348.00
2016-11-25,354.00,354.00,348.00,348.00,653200,348.00
2016-11-24,356.00,356.00,350.00,352.00,715000,352.00
2016-11-23,350.00,358.00,348.00,358.00,1543300,358.00
2016-11-22,364.00,364.00,348.00,348.00,1317500,348.00
2016-11-21,350.00,360.00,348.00,356.00,473200,356.00
2016-11-18,350.00,352.00,348.00,350.00,1818700,350.00
2016-11-17,352.00,358.00,350.00,350.00,1460300,350.00
2016-11-16,352.00,358.00,352.00,352.00,691500,352.00
2016-11-15,354.00,364.00,352.00,352.00,629500,352.00
2016-11-14,368.00,368.00,360.00,364.00,740100,364.00
2016-11-11,382.00,382.00,368.00,370.00,1140200,370.00
2016-11-10,380.00,384.00,378.00,382.00,376600,382.00
2016-11-09,384.00,384.00,372.00,376.00,723100,376.00
2016-11-08,386.00,388.00,384.00,384.00,669800,384.00
2016-11-07,390.00,390.00,380.00,386.00,771400,386.00
2016-11-04,384.00,394.00,384.00,390.00,423500,390.00
2016-11-03,390.00,390.00,384.00,384.00,956200,384.00
2016-11-02,400.00,400.00,392.00,392.00,820100,392.00
2016-11-01,400.00,404.00,396.00,400.00,2367700,400.00
2016-10-31,390.00,400.00,388.00,400.00,426600,400.00
2016-10-28,392.00,398.00,390.00,390.00,143500,390.00
2016-10-27,394.00,394.00,388.00,390.00,687000,390.00
2016-10-26,398.00,404.00,392.00,394.00,535900,394.00
2016-10-25,392.00,398.00,392.00,398.00,287500,398.00
2016-10-24,396.00,402.00,396.00,396.00,413800,396.00
2016-10-21,392.00,408.00,392.00,396.00,2187800,396.00
2016-10-20,382.00,392.00,382.00,390.00,872500,390.00
2016-10-19,384.00,386.00,380.00,384.00,511100,384.00
2016-10-18,382.00,384.00,380.00,384.00,491800,384.00
2016-10-17,380.00,386.00,380.00,382.00,269100,382.00
2016-10-14,388.00,388.00,380.00,384.00,136000,384.00
2016-10-13,388.00,388.00,382.00,382.00,216000,382.00
2016-10-12,390.00,392.00,388.00,388.00,154200,388.00
2016-10-11,394.00,394.00,390.00,392.00,212100,392.00
2016-10-10,394.00,394.00,390.00,394.00,284400,394.00
2016-10-07,390.00,400.00,386.00,394.00,251400,394.00
2016-10-06,392.00,392.00,390.00,390.00,196700,390.00
2016-10-05,390.00,392.00,390.00,390.00,179400,390.00
2016-10-04,396.00,398.00,392.00,394.00,595900,394.00
2016-10-03,400.00,400.00,388.00,396.00,191000,396.00
2016-09-30,396.00,404.00,386.00,386.00,1150000,386.00
2016-09-29,384.00,408.00,384.00,396.00,1601200,396.00
2016-09-28,386.00,386.00,382.00,384.00,398800,384.00
2016-09-27,388.00,390.00,380.00,386.00,634200,386.00
2016-09-26,394.00,396.00,386.00,388.00,519100,388.00
2016-09-23,394.00,406.00,392.00,394.00,944000,394.00
2016-09-22,384.00,410.00,384.00,400.00,3724600,400.00
