Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,50.00,58.00,50.00,54.00,1167300,54.00
2017-01-31,50.00,52.00,50.00,50.00,27600,50.00
2017-01-30,51.00,52.00,50.00,52.00,114700,52.00
2017-01-27,51.00,51.00,51.00,51.00,35000,51.00
2017-01-26,50.00,52.00,50.00,50.00,8200,50.00
2017-01-25,50.00,50.00,50.00,50.00,000,50.00
2017-01-24,50.00,50.00,50.00,50.00,9300,50.00
2017-01-23,50.00,50.00,50.00,50.00,000,50.00
2017-01-20,50.00,50.00,50.00,50.00,221700,50.00
2017-01-19,51.00,51.00,50.00,50.00,2100,50.00
2017-01-18,50.00,52.00,50.00,50.00,136300,50.00
2017-01-17,50.00,51.00,50.00,50.00,200,50.00
2017-01-16,50.00,50.00,50.00,50.00,50000,50.00
2017-01-13,50.00,50.00,50.00,50.00,120000,50.00
2017-01-12,50.00,50.00,50.00,50.00,500,50.00
2017-01-11,50.00,50.00,50.00,50.00,100700,50.00
2017-01-10,50.00,51.00,50.00,50.00,90700,50.00
2017-01-09,50.00,50.00,50.00,50.00,200,50.00
2017-01-06,50.00,50.00,50.00,50.00,300,50.00
2017-01-05,50.00,50.00,50.00,50.00,000,50.00
2017-01-04,50.00,50.00,50.00,50.00,100,50.00
2017-01-03,50.00,50.00,50.00,50.00,100,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,102100,50.00
2016-12-29,51.00,51.00,50.00,50.00,300,50.00
2016-12-28,51.00,51.00,50.00,50.00,400,50.00
2016-12-27,51.00,51.00,50.00,50.00,2200,50.00
2016-12-26,51.00,51.00,51.00,51.00,000,51.00
2016-12-23,51.00,51.00,51.00,51.00,100,51.00
2016-12-22,50.00,50.00,50.00,50.00,6100,50.00
2016-12-21,50.00,51.00,50.00,50.00,200,50.00
2016-12-20,50.00,50.00,50.00,50.00,200,50.00
2016-12-19,50.00,50.00,50.00,50.00,10100,50.00
2016-12-16,50.00,51.00,50.00,50.00,63900,50.00
2016-12-15,50.00,50.00,50.00,50.00,2600,50.00
2016-12-14,50.00,51.00,50.00,50.00,3000,50.00
2016-12-13,50.00,50.00,50.00,50.00,000,50.00
2016-12-12,50.00,50.00,50.00,50.00,000,50.00
