Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,50.00,50.00,50.00,50.00,33325100,50.00
2017-01-31,50.00,50.00,50.00,50.00,17061800,50.00
2017-01-30,50.00,50.00,50.00,50.00,38440900,50.00
2017-01-27,50.00,50.00,50.00,50.00,16130800,50.00
2017-01-26,50.00,50.00,50.00,50.00,4507400,50.00
2017-01-25,50.00,50.00,50.00,50.00,4253900,50.00
2017-01-24,50.00,50.00,50.00,50.00,1992400,50.00
2017-01-23,50.00,50.00,50.00,50.00,4156900,50.00
2017-01-20,50.00,50.00,50.00,50.00,1545800,50.00
2017-01-19,50.00,50.00,50.00,50.00,401000,50.00
2017-01-18,50.00,50.00,50.00,50.00,2700,50.00
2017-01-17,50.00,50.00,50.00,50.00,100,50.00
2017-01-16,50.00,50.00,50.00,50.00,2800,50.00
2017-01-13,50.00,50.00,50.00,50.00,200,50.00
2017-01-12,50.00,50.00,50.00,50.00,600,50.00
2017-01-11,50.00,50.00,50.00,50.00,10200,50.00
2017-01-10,50.00,50.00,50.00,50.00,69600,50.00
2017-01-09,50.00,50.00,50.00,50.00,417700,50.00
2017-01-06,50.00,50.00,50.00,50.00,151000,50.00
2017-01-05,50.00,50.00,50.00,50.00,500,50.00
2017-01-04,50.00,50.00,50.00,50.00,300,50.00
2017-01-03,50.00,50.00,50.00,50.00,000,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,000,50.00
2016-12-29,50.00,50.00,50.00,50.00,52000,50.00
2016-12-28,50.00,50.00,50.00,50.00,11200,50.00
2016-12-27,50.00,50.00,50.00,50.00,000,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,000,50.00
2016-12-22,50.00,50.00,50.00,50.00,000,50.00
2016-12-21,50.00,50.00,50.00,50.00,10000,50.00
2016-12-20,50.00,50.00,50.00,50.00,000,50.00
2016-12-19,50.00,50.00,50.00,50.00,400,50.00
2016-12-16,50.00,50.00,50.00,50.00,000,50.00
2016-12-15,50.00,50.00,50.00,50.00,1300,50.00
2016-12-14,50.00,50.00,50.00,50.00,2600,50.00
2016-12-13,50.00,50.00,50.00,50.00,1100,50.00
2016-12-12,50.00,50.00,50.00,50.00,000,50.00
2016-12-09,50.00,50.00,50.00,50.00,2100,50.00
2016-12-08,50.00,50.00,50.00,50.00,518800,50.00
2016-12-07,50.00,50.00,50.00,50.00,24700,50.00
2016-12-06,50.00,50.00,50.00,50.00,213900,50.00
2016-12-05,50.00,50.00,50.00,50.00,7800,50.00
2016-12-02,50.00,50.00,50.00,50.00,521000,50.00
2016-12-01,50.00,50.00,50.00,50.00,13000,50.00
2016-11-30,50.00,50.00,50.00,50.00,122200,50.00
2016-11-29,50.00,50.00,50.00,50.00,141500,50.00
2016-11-28,50.00,50.00,50.00,50.00,552300,50.00
2016-11-25,50.00,50.00,50.00,50.00,2500,50.00
2016-11-24,50.00,50.00,50.00,50.00,130200,50.00
2016-11-23,50.00,50.00,50.00,50.00,50300,50.00
2016-11-22,50.00,50.00,50.00,50.00,20600,50.00
2016-11-21,50.00,50.00,50.00,50.00,1590100,50.00
2016-11-18,50.00,50.00,50.00,50.00,300,50.00
2016-11-17,50.00,50.00,50.00,50.00,200,50.00
2016-11-16,50.00,50.00,50.00,50.00,10500,50.00
2016-11-15,50.00,50.00,50.00,50.00,10044700,50.00
2016-11-14,50.00,50.00,50.00,50.00,1200,50.00
2016-11-11,50.00,50.00,50.00,50.00,300,50.00
2016-11-10,50.00,50.00,50.00,50.00,500,50.00
2016-11-09,50.00,50.00,50.00,50.00,12800,50.00
2016-11-08,50.00,50.00,50.00,50.00,220400,50.00
2016-11-07,50.00,50.00,50.00,50.00,2023900,50.00
2016-11-04,50.00,50.00,50.00,50.00,636200,50.00
2016-11-03,50.00,50.00,50.00,50.00,6200,50.00
2016-11-02,50.00,50.00,50.00,50.00,3100,50.00
2016-11-01,50.00,50.00,50.00,50.00,1490000,50.00
2016-10-31,50.00,50.00,50.00,50.00,4661000,50.00
2016-10-28,50.00,50.00,50.00,50.00,345100,50.00
2016-10-27,50.00,50.00,50.00,50.00,15854500,50.00
2016-10-26,50.00,50.00,50.00,50.00,1414000,50.00
2016-10-25,50.00,50.00,50.00,50.00,5400,50.00
2016-10-24,50.00,50.00,50.00,50.00,172900,50.00
2016-10-21,50.00,50.00,50.00,50.00,133000,50.00
2016-10-20,50.00,50.00,50.00,50.00,129200,50.00
2016-10-19,50.00,50.00,50.00,50.00,21500,50.00
2016-10-18,50.00,50.00,50.00,50.00,122000,50.00
2016-10-17,50.00,50.00,50.00,50.00,000,50.00
2016-10-14,50.00,50.00,50.00,50.00,5000,50.00
2016-10-13,50.00,50.00,50.00,50.00,100,50.00
2016-10-12,50.00,50.00,50.00,50.00,000,50.00
2016-10-11,50.00,50.00,50.00,50.00,1000,50.00
2016-10-10,50.00,50.00,50.00,50.00,7500,50.00
2016-10-07,50.00,50.00,50.00,50.00,3300,50.00
2016-10-06,50.00,50.00,50.00,50.00,600,50.00
2016-10-05,50.00,50.00,50.00,50.00,10200,50.00
2016-10-04,50.00,50.00,50.00,50.00,100,50.00
2016-10-03,50.00,50.00,50.00,50.00,000,50.00
2016-09-30,50.00,50.00,50.00,50.00,000,50.00
2016-09-29,50.00,50.00,50.00,50.00,100,50.00
2016-09-28,50.00,50.00,50.00,50.00,100,50.00
2016-09-27,50.00,50.00,50.00,50.00,000,50.00
2016-09-26,50.00,50.00,50.00,50.00,000,50.00
2016-09-23,50.00,50.00,50.00,50.00,1000,50.00
2016-09-22,50.00,50.00,50.00,50.00,000,50.00
2016-09-21,50.00,50.00,50.00,50.00,100,50.00
2016-09-20,50.00,50.00,50.00,50.00,000,50.00
2016-09-19,50.00,50.00,50.00,50.00,300,50.00
2016-09-16,50.00,50.00,50.00,50.00,000,50.00
2016-09-15,50.00,50.00,50.00,50.00,000,50.00
2016-09-14,50.00,50.00,50.00,50.00,000,50.00
2016-09-13,50.00,50.00,50.00,50.00,600,50.00
2016-09-12,50.00,50.00,50.00,50.00,000,50.00
2016-09-09,50.00,50.00,50.00,50.00,50200,50.00
2016-09-08,50.00,50.00,50.00,50.00,100,50.00
2016-09-07,50.00,50.00,50.00,50.00,000,50.00
2016-09-06,50.00,50.00,50.00,50.00,100,50.00
2016-09-05,50.00,50.00,50.00,50.00,000,50.00
2016-09-02,50.00,50.00,50.00,50.00,000,50.00
2016-09-01,50.00,50.00,50.00,50.00,200,50.00
2016-08-31,50.00,50.00,50.00,50.00,000,50.00
2016-08-30,50.00,50.00,50.00,50.00,300,50.00
2016-08-29,50.00,50.00,50.00,50.00,120300,50.00
2016-08-26,50.00,50.00,50.00,50.00,000,50.00
2016-08-25,50.00,50.00,50.00,50.00,200,50.00
2016-08-24,50.00,50.00,50.00,50.00,100,50.00
2016-08-23,50.00,50.00,50.00,50.00,000,50.00
2016-08-22,50.00,50.00,50.00,50.00,10000,50.00
2016-08-19,50.00,50.00,50.00,50.00,300,50.00
2016-08-18,50.00,50.00,50.00,50.00,000,50.00
2016-08-17,50.00,50.00,50.00,50.00,000,50.00
2016-08-16,50.00,50.00,50.00,50.00,000,50.00
2016-08-15,50.00,50.00,50.00,50.00,30100,50.00
2016-08-12,50.00,50.00,50.00,50.00,5100,50.00
2016-08-11,50.00,50.00,50.00,50.00,2213400,50.00
2016-08-10,50.00,50.00,50.00,50.00,519600,50.00
2016-08-09,50.00,50.00,50.00,50.00,3800,50.00
2016-08-08,50.00,50.00,50.00,50.00,000,50.00
2016-08-05,50.00,50.00,50.00,50.00,700,50.00
2016-08-04,50.00,50.00,50.00,50.00,1100,50.00
2016-08-03,50.00,50.00,50.00,50.00,1100,50.00
2016-08-02,50.00,50.00,50.00,50.00,1700,50.00
2016-08-01,50.00,50.00,50.00,50.00,20800,50.00
2016-07-29,50.00,50.00,50.00,50.00,200,50.00
2016-07-28,50.00,50.00,50.00,50.00,7300,50.00
2016-07-27,50.00,50.00,50.00,50.00,2000,50.00
2016-07-26,50.00,50.00,50.00,50.00,300,50.00
2016-07-25,50.00,50.00,50.00,50.00,100,50.00
2016-07-22,50.00,50.00,50.00,50.00,000,50.00
2016-07-21,50.00,50.00,50.00,50.00,000,50.00
2016-07-20,50.00,50.00,50.00,50.00,3300,50.00
2016-07-19,50.00,50.00,50.00,50.00,000,50.00
2016-07-18,50.00,50.00,50.00,50.00,000,50.00
2016-07-15,50.00,50.00,50.00,50.00,6400,50.00
2016-07-14,50.00,50.00,50.00,50.00,200,50.00
2016-07-13,50.00,50.00,50.00,50.00,2600,50.00
2016-07-12,50.00,50.00,50.00,50.00,100,50.00
2016-07-11,50.00,50.00,50.00,50.00,900,50.00
2016-07-08,50.00,50.00,50.00,50.00,000,50.00
2016-07-07,50.00,50.00,50.00,50.00,000,50.00
2016-07-06,50.00,50.00,50.00,50.00,000,50.00
2016-07-05,50.00,50.00,50.00,50.00,000,50.00
2016-07-04,50.00,50.00,50.00,50.00,000,50.00
2016-07-01,50.00,50.00,50.00,50.00,1900,50.00
2016-06-30,50.00,50.00,50.00,50.00,100,50.00
2016-06-28,50.00,50.00,50.00,50.00,400,50.00
2016-06-27,50.00,50.00,50.00,50.00,000,50.00
2016-06-24,50.00,50.00,50.00,50.00,500,50.00
