Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,94.00,96.00,92.00,92.00,39287900,92.00
2017-01-31,94.00,100.00,85.00,94.00,277552800,94.00
2017-01-30,86.00,91.00,84.00,85.00,60308100,85.00
2017-01-27,91.00,91.00,86.00,86.00,29321500,86.00
2017-01-26,89.00,93.00,86.00,86.00,91938800,86.00
2017-01-25,87.00,102.00,84.00,89.00,368434900,89.00
2017-01-24,88.00,91.00,84.00,87.00,162845600,87.00
2017-01-23,76.00,95.00,76.00,87.00,427783500,87.00
2017-01-20,84.00,85.00,76.00,76.00,50651300,76.00
2017-01-19,85.00,89.00,78.00,83.00,210412700,83.00
2017-01-18,68.00,91.00,67.00,85.00,634971900,85.00
2017-01-17,73.00,74.00,66.00,68.00,63360700,68.00
2017-01-16,61.00,74.00,58.00,73.00,197390000,73.00
2017-01-13,60.00,62.00,60.00,61.00,2291100,61.00
2017-01-12,61.00,65.00,60.00,60.00,11668600,60.00
2017-01-11,62.00,64.00,61.00,61.00,7787500,61.00
2017-01-10,62.00,63.00,61.00,62.00,2557100,62.00
2017-01-09,63.00,66.00,61.00,62.00,7620700,62.00
2017-01-06,58.00,65.00,57.00,63.00,48710700,63.00
2017-01-05,59.00,60.00,57.00,58.00,6998700,58.00
2017-01-04,54.00,61.00,54.00,59.00,40139900,59.00
2017-01-03,55.00,56.00,54.00,54.00,1723600,54.00
2017-01-02,55.00,55.00,55.00,55.00,000,55.00
2016-12-30,55.00,56.00,54.00,55.00,5740200,55.00
2016-12-29,56.00,56.00,54.00,55.00,10072400,55.00
2016-12-28,54.00,56.00,54.00,55.00,8445100,55.00
2016-12-27,53.00,55.00,53.00,54.00,6340900,54.00
2016-12-26,53.00,53.00,53.00,53.00,000,53.00
2016-12-23,55.00,55.00,53.00,53.00,3438900,53.00
2016-12-22,55.00,56.00,53.00,54.00,13363400,54.00
2016-12-21,55.00,57.00,54.00,55.00,10113500,55.00
2016-12-20,55.00,58.00,55.00,55.00,16159500,55.00
2016-12-19,58.00,60.00,55.00,55.00,19905400,55.00
2016-12-16,59.00,60.00,56.00,58.00,10382800,58.00
2016-12-15,61.00,63.00,59.00,59.00,18979800,59.00
2016-12-14,63.00,65.00,61.00,61.00,24269500,61.00
2016-12-13,63.00,65.00,62.00,63.00,4976400,63.00
2016-12-12,63.00,63.00,63.00,63.00,000,63.00
2016-12-09,64.00,66.00,63.00,63.00,14529800,63.00
2016-12-08,66.00,66.00,63.00,64.00,10522400,64.00
2016-12-07,67.00,67.00,64.00,65.00,12143900,65.00
2016-12-06,66.00,72.00,64.00,65.00,97860700,65.00
2016-12-05,67.00,70.00,63.00,65.00,35895100,65.00
2016-12-02,60.00,67.00,59.00,67.00,57599200,67.00
2016-12-01,63.00,65.00,58.00,60.00,99659500,60.00
2016-11-30,57.00,71.00,56.00,63.00,466686000,63.00
2016-11-29,55.00,59.00,54.00,56.00,49568200,56.00
2016-11-28,56.00,57.00,55.00,55.00,9156600,55.00
2016-11-25,55.00,56.00,54.00,56.00,4274900,56.00
2016-11-24,54.00,55.00,54.00,55.00,1886100,55.00
2016-11-23,55.00,56.00,54.00,55.00,7265600,55.00
2016-11-22,55.00,57.00,54.00,55.00,14350100,55.00
2016-11-21,55.00,56.00,54.00,55.00,4206500,55.00
2016-11-18,54.00,56.00,54.00,55.00,1015800,55.00
2016-11-17,56.00,56.00,54.00,55.00,14068900,55.00
2016-11-16,54.00,56.00,53.00,55.00,26829300,55.00
2016-11-15,53.00,55.00,53.00,54.00,28101200,54.00
2016-11-14,53.00,54.00,51.00,53.00,17715600,53.00
2016-11-11,55.00,55.00,52.00,53.00,15368400,53.00
2016-11-10,55.00,56.00,54.00,55.00,2347500,55.00
2016-11-09,55.00,56.00,53.00,55.00,11728000,55.00
2016-11-08,54.00,55.00,53.00,55.00,15757900,55.00
2016-11-07,54.00,55.00,53.00,54.00,7271200,54.00
2016-11-04,52.00,54.00,52.00,54.00,1833600,54.00
2016-11-03,54.00,55.00,52.00,52.00,12793900,52.00
2016-11-02,54.00,55.00,53.00,54.00,21461800,54.00
2016-11-01,57.00,57.00,54.00,54.00,24135600,54.00
2016-10-31,56.00,58.00,56.00,57.00,16571000,57.00
2016-10-28,57.00,59.00,55.00,56.00,27277700,56.00
2016-10-27,58.00,65.00,55.00,56.00,185057100,56.00
2016-10-26,55.00,58.00,55.00,57.00,29515800,57.00
2016-10-25,56.00,59.00,56.00,56.00,22429200,56.00
2016-10-24,57.00,60.00,55.00,56.00,59431700,56.00
2016-10-21,54.00,58.00,54.00,57.00,71914000,57.00
2016-10-20,52.00,60.00,52.00,54.00,223321900,54.00
2016-10-19,52.00,53.00,51.00,52.00,11992500,52.00
2016-10-18,52.00,54.00,51.00,52.00,28998500,52.00
2016-10-17,54.00,54.00,52.00,53.00,11246100,53.00
2016-10-14,53.00,54.00,53.00,53.00,7461300,53.00
2016-10-13,54.00,54.00,52.00,52.00,7317200,52.00
2016-10-12,53.00,54.00,52.00,53.00,9317900,53.00
2016-10-11,53.00,56.00,52.00,53.00,63015900,53.00
2016-10-10,53.00,57.00,52.00,53.00,55331300,53.00
2016-10-07,53.00,55.00,52.00,53.00,22933400,53.00
2016-10-06,53.00,55.00,52.00,53.00,20225200,53.00
2016-10-05,55.00,57.00,53.00,53.00,45009900,53.00
2016-10-04,60.00,61.00,55.00,55.00,28584300,55.00
2016-10-03,53.00,66.00,53.00,60.00,122011600,60.00
2016-09-30,54.00,54.00,52.00,52.00,4762100,52.00
2016-09-29,53.00,55.00,53.00,54.00,19675600,54.00
2016-09-28,53.00,54.00,53.00,53.00,3922500,53.00
2016-09-27,53.00,55.00,53.00,53.00,17515300,53.00
2016-09-26,53.00,55.00,53.00,53.00,7614700,53.00
2016-09-23,53.00,56.00,53.00,53.00,9766300,53.00
2016-09-22,53.00,58.00,53.00,54.00,28432800,54.00
2016-09-21,53.00,53.00,51.00,53.00,9964600,53.00
2016-09-20,53.00,54.00,52.00,52.00,2592100,52.00
2016-09-19,53.00,54.00,52.00,52.00,4065300,52.00
2016-09-16,54.00,55.00,53.00,53.00,2009000,53.00
2016-09-15,53.00,55.00,53.00,54.00,3442400,54.00
2016-09-14,53.00,54.00,51.00,53.00,7499900,53.00
2016-09-13,56.00,56.00,53.00,53.00,3592600,53.00
2016-09-12,56.00,56.00,56.00,56.00,000,56.00
2016-09-09,57.00,57.00,56.00,56.00,1972900,56.00
2016-09-08,56.00,58.00,55.00,57.00,4012000,57.00
2016-09-07,58.00,58.00,55.00,56.00,4316200,56.00
2016-09-06,58.00,59.00,57.00,57.00,12859000,57.00
2016-09-05,60.00,62.00,57.00,57.00,25326400,57.00
2016-09-02,57.00,58.00,56.00,58.00,3667000,58.00
2016-09-01,58.00,60.00,57.00,57.00,11171000,57.00
2016-08-31,58.00,60.00,57.00,58.00,6470600,58.00
2016-08-30,61.00,61.00,58.00,58.00,9927000,58.00
2016-08-29,62.00,64.00,60.00,60.00,10858200,60.00
2016-08-26,65.00,67.00,61.00,62.00,20370000,62.00
2016-08-25,62.00,69.00,61.00,65.00,54157900,65.00
2016-08-24,57.00,62.00,57.00,62.00,13916000,62.00
2016-08-23,61.00,61.00,57.00,57.00,14394600,57.00
2016-08-22,61.00,62.00,60.00,61.00,5297000,61.00
2016-08-19,61.00,63.00,60.00,61.00,5885200,61.00
2016-08-18,61.00,64.00,60.00,61.00,19431700,61.00
2016-08-17,60.00,60.00,60.00,60.00,000,60.00
2016-08-16,63.00,64.00,60.00,60.00,20628300,60.00
2016-08-15,64.00,67.00,60.00,60.00,22067100,60.00
2016-08-12,69.00,69.00,63.00,65.00,53989000,65.00
2016-08-11,71.00,77.00,63.00,69.00,281267300,69.00
2016-08-10,50.00,67.00,50.00,67.00,283227700,67.00
2016-08-09,52.00,52.00,50.00,50.00,39065200,50.00
2016-08-08,52.00,53.00,50.00,52.00,29499300,52.00
2016-08-05,54.00,54.00,50.00,52.00,48219100,52.00
2016-08-04,54.00,59.00,54.00,54.00,79411700,54.00
2016-08-03,61.00,62.00,58.00,59.00,14653500,59.00
2016-08-02,64.00,64.00,61.00,61.00,24561000,61.00
2016-08-01,66.00,66.00,63.00,63.00,19041700,63.00
2016-07-29,65.00,66.00,65.00,66.00,5916300,66.00
2016-07-28,65.00,66.00,64.00,65.00,3506500,65.00
2016-07-27,65.00,67.00,64.00,65.00,6866200,65.00
2016-07-26,63.00,66.00,63.00,64.00,13081200,64.00
2016-07-25,66.00,68.00,62.00,63.00,19229300,63.00
2016-07-22,68.00,69.00,64.00,65.00,13645200,65.00
2016-07-21,69.00,70.00,68.00,68.00,11098400,68.00
2016-07-20,71.00,72.00,69.00,69.00,12732900,69.00
2016-07-19,71.00,76.00,70.00,71.00,65942200,71.00
2016-07-18,69.00,72.00,69.00,70.00,10126400,70.00
2016-07-15,69.00,70.00,68.00,68.00,5146800,68.00
2016-07-14,70.00,70.00,69.00,69.00,9626000,69.00
2016-07-13,69.00,71.00,68.00,69.00,8575800,69.00
2016-07-12,68.00,73.00,68.00,69.00,27141900,69.00
2016-07-11,68.00,69.00,66.00,67.00,4816000,67.00
2016-07-08,68.00,68.00,68.00,68.00,000,68.00
2016-07-07,68.00,68.00,68.00,68.00,000,68.00
2016-07-06,68.00,68.00,68.00,68.00,000,68.00
2016-07-05,68.00,68.00,68.00,68.00,000,68.00
2016-07-04,68.00,68.00,68.00,68.00,000,68.00
2016-07-01,65.00,70.00,65.00,68.00,17041100,68.00
2016-06-30,66.00,66.00,64.00,65.00,5845000,65.00
2016-06-28,65.00,66.00,64.00,64.00,4919200,64.00
2016-06-27,63.00,65.00,63.00,65.00,3380200,65.00
