Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,50.00,51.00,50.00,50.00,1942000,50.00
2017-01-31,50.00,51.00,50.00,50.00,785200,50.00
2017-01-30,51.00,51.00,50.00,50.00,2212500,50.00
2017-01-27,50.00,54.00,50.00,51.00,5527600,51.00
2017-01-26,50.00,53.00,50.00,50.00,2340200,50.00
2017-01-25,50.00,50.00,50.00,50.00,87200,50.00
2017-01-24,50.00,50.00,50.00,50.00,140000,50.00
2017-01-23,50.00,50.00,50.00,50.00,103300,50.00
2017-01-20,50.00,50.00,50.00,50.00,259200,50.00
2017-01-19,50.00,50.00,50.00,50.00,50500,50.00
2017-01-18,50.00,50.00,50.00,50.00,000,50.00
2017-01-17,50.00,50.00,50.00,50.00,000,50.00
2017-01-16,50.00,50.00,50.00,50.00,000,50.00
2017-01-13,50.00,50.00,50.00,50.00,000,50.00
2017-01-12,50.00,50.00,50.00,50.00,000,50.00
2017-01-11,50.00,50.00,50.00,50.00,000,50.00
2017-01-10,50.00,50.00,50.00,50.00,000,50.00
2017-01-09,50.00,50.00,50.00,50.00,40000,50.00
2017-01-06,50.00,50.00,50.00,50.00,000,50.00
2017-01-05,50.00,50.00,50.00,50.00,000,50.00
2017-01-04,50.00,50.00,50.00,50.00,000,50.00
2017-01-03,50.00,50.00,50.00,50.00,000,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,40100,50.00
2016-12-29,50.00,50.00,50.00,50.00,100,50.00
2016-12-28,50.00,50.00,50.00,50.00,000,50.00
2016-12-27,50.00,50.00,50.00,50.00,000,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,65500,50.00
2016-12-22,50.00,51.00,50.00,50.00,13531300,50.00
2016-12-21,50.00,50.00,50.00,50.00,137600,50.00
2016-12-20,50.00,50.00,50.00,50.00,100,50.00
2016-12-19,50.00,50.00,50.00,50.00,200,50.00
2016-12-16,50.00,50.00,50.00,50.00,38000,50.00
2016-12-15,50.00,50.00,50.00,50.00,100,50.00
2016-12-14,50.00,50.00,50.00,50.00,100,50.00
2016-12-13,50.00,50.00,50.00,50.00,000,50.00
2016-12-12,50.00,50.00,50.00,50.00,000,50.00
2016-12-09,50.00,50.00,50.00,50.00,500,50.00
2016-12-08,50.00,50.00,50.00,50.00,100,50.00
2016-12-07,50.00,50.00,50.00,50.00,5000,50.00
2016-12-06,50.00,50.00,50.00,50.00,300,50.00
2016-12-05,50.00,50.00,50.00,50.00,500,50.00
2016-12-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-01,50.00,50.00,50.00,50.00,000,50.00
2016-11-30,50.00,50.00,50.00,50.00,000,50.00
2016-11-29,50.00,50.00,50.00,50.00,000,50.00
2016-11-28,50.00,50.00,50.00,50.00,000,50.00
2016-11-25,50.00,50.00,50.00,50.00,700,50.00
2016-11-24,50.00,50.00,50.00,50.00,100,50.00
2016-11-23,50.00,50.00,50.00,50.00,500,50.00
2016-11-22,50.00,50.00,50.00,50.00,000,50.00
2016-11-21,50.00,50.00,50.00,50.00,5200,50.00
2016-11-18,50.00,50.00,50.00,50.00,100,50.00
2016-11-17,50.00,50.00,50.00,50.00,2500,50.00
2016-11-16,50.00,50.00,50.00,50.00,500,50.00
2016-11-15,50.00,50.00,50.00,50.00,000,50.00
2016-11-14,50.00,50.00,50.00,50.00,000,50.00
2016-11-11,50.00,50.00,50.00,50.00,000,50.00
2016-11-10,50.00,50.00,50.00,50.00,000,50.00
2016-11-09,50.00,50.00,50.00,50.00,100,50.00
2016-11-08,50.00,50.00,50.00,50.00,000,50.00
2016-11-07,50.00,50.00,50.00,50.00,100,50.00
2016-11-04,50.00,50.00,50.00,50.00,000,50.00
2016-11-03,50.00,50.00,50.00,50.00,000,50.00
2016-11-02,50.00,50.00,50.00,50.00,000,50.00
2016-11-01,50.00,50.00,50.00,50.00,1000,50.00
2016-10-31,50.00,50.00,50.00,50.00,000,50.00
2016-10-28,50.00,50.00,50.00,50.00,100,50.00
2016-10-27,50.00,50.00,50.00,50.00,500,50.00
2016-10-26,50.00,50.00,50.00,50.00,000,50.00
2016-10-25,50.00,50.00,50.00,50.00,000,50.00
2016-10-24,50.00,50.00,50.00,50.00,000,50.00
2016-10-21,50.00,50.00,50.00,50.00,800,50.00
2016-10-20,50.00,50.00,50.00,50.00,000,50.00
2016-10-19,50.00,50.00,50.00,50.00,000,50.00
2016-10-18,50.00,50.00,50.00,50.00,000,50.00
2016-10-17,50.00,50.00,50.00,50.00,6100,50.00
2016-10-14,50.00,50.00,50.00,50.00,000,50.00
2016-10-13,50.00,50.00,50.00,50.00,100,50.00
2016-10-12,50.00,50.00,50.00,50.00,100,50.00
2016-10-11,50.00,50.00,50.00,50.00,100,50.00
2016-10-10,50.00,50.00,50.00,50.00,98000,50.00
2016-10-07,50.00,50.00,50.00,50.00,100,50.00
2016-10-06,50.00,50.00,50.00,50.00,4100,50.00
2016-10-05,50.00,50.00,50.00,50.00,000,50.00
2016-10-04,50.00,50.00,50.00,50.00,000,50.00
2016-10-03,50.00,50.00,50.00,50.00,6000,50.00
2016-09-30,50.00,50.00,50.00,50.00,000,50.00
2016-09-29,50.00,50.00,50.00,50.00,000,50.00
2016-09-28,50.00,50.00,50.00,50.00,000,50.00
2016-09-27,50.00,50.00,50.00,50.00,000,50.00
2016-09-26,50.00,50.00,50.00,50.00,000,50.00
2016-09-23,50.00,50.00,50.00,50.00,000,50.00
2016-09-22,50.00,50.00,50.00,50.00,000,50.00
2016-09-21,50.00,50.00,50.00,50.00,000,50.00
2016-09-20,50.00,50.00,50.00,50.00,100,50.00
2016-09-19,50.00,50.00,50.00,50.00,000,50.00
2016-09-16,50.00,50.00,50.00,50.00,000,50.00
2016-09-15,50.00,50.00,50.00,50.00,000,50.00
2016-09-14,50.00,50.00,50.00,50.00,000,50.00
2016-09-13,50.00,50.00,50.00,50.00,000,50.00
2016-09-12,50.00,50.00,50.00,50.00,000,50.00
2016-09-09,50.00,50.00,50.00,50.00,000,50.00
2016-09-08,50.00,50.00,50.00,50.00,000,50.00
2016-09-07,50.00,50.00,50.00,50.00,000,50.00
2016-09-06,50.00,50.00,50.00,50.00,100,50.00
2016-09-05,50.00,50.00,50.00,50.00,100,50.00
2016-09-02,50.00,50.00,50.00,50.00,46100,50.00
2016-09-01,50.00,50.00,50.00,50.00,4700,50.00
2016-08-31,50.00,50.00,50.00,50.00,10100,50.00
2016-08-30,50.00,50.00,50.00,50.00,100,50.00
2016-08-29,50.00,50.00,50.00,50.00,100,50.00
2016-08-26,50.00,50.00,50.00,50.00,1100,50.00
2016-08-25,50.00,50.00,50.00,50.00,100,50.00
2016-08-24,50.00,50.00,50.00,50.00,20100,50.00
2016-08-23,50.00,50.00,50.00,50.00,100,50.00
2016-08-22,50.00,50.00,50.00,50.00,000,50.00
2016-08-19,50.00,50.00,50.00,50.00,25000,50.00
2016-08-18,50.00,50.00,50.00,50.00,8400,50.00
2016-08-17,50.00,50.00,50.00,50.00,000,50.00
2016-08-16,50.00,50.00,50.00,50.00,000,50.00
2016-08-15,50.00,50.00,50.00,50.00,10300,50.00
2016-08-12,50.00,50.00,50.00,50.00,4300,50.00
2016-08-11,50.00,51.00,50.00,50.00,576100,50.00
2016-08-10,50.00,52.00,50.00,50.00,6903900,50.00
2016-08-09,50.00,50.00,50.00,50.00,000,50.00
2016-08-08,50.00,50.00,50.00,50.00,43500,50.00
2016-08-05,50.00,50.00,50.00,50.00,2700,50.00
2016-08-04,50.00,50.00,50.00,50.00,000,50.00
2016-08-03,50.00,50.00,50.00,50.00,000,50.00
2016-08-02,50.00,50.00,50.00,50.00,000,50.00
2016-08-01,50.00,50.00,50.00,50.00,2700,50.00
2016-07-29,50.00,50.00,50.00,50.00,000,50.00
2016-07-28,50.00,50.00,50.00,50.00,500,50.00
2016-07-27,50.00,50.00,50.00,50.00,62500,50.00
2016-07-26,50.00,50.00,50.00,50.00,1200,50.00
2016-07-25,50.00,50.00,50.00,50.00,100700,50.00
2016-07-22,50.00,50.00,50.00,50.00,60800,50.00
2016-07-21,50.00,51.00,50.00,50.00,3200,50.00
2016-07-20,50.00,50.00,50.00,50.00,143300,50.00
2016-07-19,50.00,51.00,50.00,51.00,387400,51.00
2016-07-18,51.00,51.00,50.00,51.00,181600,51.00
2016-07-15,50.00,51.00,50.00,50.00,1163200,50.00
2016-07-14,51.00,52.00,50.00,50.00,3342000,50.00
2016-07-13,51.00,51.00,50.00,51.00,2603700,51.00
2016-07-12,50.00,51.00,50.00,51.00,114500,51.00
2016-07-11,50.00,51.00,50.00,51.00,373100,51.00
2016-07-08,50.00,50.00,50.00,50.00,000,50.00
2016-07-07,50.00,50.00,50.00,50.00,000,50.00
2016-07-06,50.00,50.00,50.00,50.00,000,50.00
2016-07-05,50.00,50.00,50.00,50.00,000,50.00
2016-07-04,50.00,50.00,50.00,50.00,000,50.00
2016-07-01,50.00,50.00,50.00,50.00,6500,50.00
2016-06-30,50.00,50.00,50.00,50.00,76000,50.00
2016-06-28,50.00,50.00,50.00,50.00,000,50.00
2016-06-27,50.00,50.00,50.00,50.00,000,50.00
2016-06-24,50.00,50.00,50.00,50.00,3200,50.00
2016-06-23,50.00,50.00,50.00,50.00,5500,50.00
2016-06-22,51.00,51.00,50.00,50.00,300,50.00
2016-06-21,50.00,50.00,50.00,50.00,35700,50.00
2016-06-20,51.00,51.00,50.00,50.00,37400,50.00
2016-06-17,50.00,51.00,50.00,50.00,13400,50.00
2016-06-16,50.00,51.00,50.00,50.00,348800,50.00
2016-06-15,51.00,51.00,50.00,50.00,8300,50.00
