Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,635.00,645.00,630.00,635.00,11319500,635.00
2017-01-31,635.00,645.00,625.00,635.00,42385100,635.00
2017-01-30,615.00,660.00,615.00,635.00,45623700,635.00
2017-01-27,615.00,620.00,615.00,615.00,4173700,615.00
2017-01-26,620.00,625.00,615.00,615.00,8405000,615.00
2017-01-25,630.00,635.00,615.00,620.00,19851700,620.00
2017-01-24,620.00,635.00,610.00,620.00,13860900,620.00
2017-01-23,600.00,625.00,590.00,615.00,33394700,615.00
2017-01-20,615.00,620.00,600.00,600.00,16999300,600.00
2017-01-19,615.00,630.00,605.00,610.00,26886400,610.00
2017-01-18,605.00,615.00,575.00,610.00,78211800,610.00
2017-01-17,525.00,645.00,525.00,605.00,127252300,605.00
2017-01-16,510.00,530.00,500.00,525.00,15596900,525.00
2017-01-13,515.00,520.00,496.00,510.00,27674700,510.00
2017-01-12,476.00,520.00,476.00,515.00,61806900,515.00
2017-01-11,460.00,492.00,460.00,476.00,46131100,476.00
2017-01-10,446.00,460.00,446.00,460.00,86031700,460.00
2017-01-09,444.00,452.00,444.00,446.00,27429400,446.00
2017-01-06,440.00,450.00,440.00,444.00,15128200,444.00
2017-01-05,448.00,450.00,442.00,442.00,7003800,442.00
2017-01-04,444.00,450.00,438.00,446.00,11290700,446.00
2017-01-03,436.00,452.00,436.00,444.00,10344300,444.00
2017-01-02,434.00,434.00,434.00,434.00,000,434.00
2016-12-30,448.00,448.00,434.00,434.00,7011600,434.00
2016-12-29,440.00,450.00,436.00,440.00,13286400,440.00
2016-12-28,442.00,444.00,436.00,438.00,5133100,438.00
2016-12-27,450.00,460.00,438.00,440.00,4278500,440.00
2016-12-26,450.00,450.00,450.00,450.00,000,450.00
2016-12-23,466.00,466.00,450.00,450.00,1145800,450.00
2016-12-22,478.00,478.00,456.00,460.00,2591200,460.00
2016-12-21,478.00,480.00,474.00,474.00,1098000,474.00
2016-12-20,476.00,484.00,476.00,478.00,1268500,478.00
2016-12-19,492.00,496.00,476.00,476.00,3637100,476.00
2016-12-16,486.00,496.00,482.00,496.00,4447800,496.00
2016-12-15,492.00,498.00,486.00,486.00,3260400,486.00
2016-12-14,505.00,510.00,492.00,492.00,7907900,492.00
2016-12-13,510.00,515.00,500.00,505.00,5654100,505.00
2016-12-12,510.00,510.00,510.00,510.00,000,510.00
2016-12-09,515.00,520.00,510.00,510.00,6985100,510.00
2016-12-08,510.00,520.00,505.00,515.00,7433400,515.00
2016-12-07,500.00,510.00,500.00,510.00,5589500,510.00
2016-12-06,505.00,510.00,500.00,505.00,5196400,505.00
2016-12-05,505.00,510.00,500.00,500.00,4488800,500.00
2016-12-02,505.00,510.00,500.00,500.00,3112600,500.00
2016-12-01,515.00,515.00,505.00,505.00,4376200,505.00
2016-11-30,510.00,520.00,505.00,515.00,10189400,515.00
2016-11-29,520.00,530.00,510.00,510.00,6606900,510.00
2016-11-28,520.00,530.00,515.00,525.00,1858000,525.00
2016-11-25,535.00,540.00,515.00,520.00,14920800,520.00
2016-11-24,550.00,555.00,530.00,530.00,14251900,530.00
2016-11-23,555.00,555.00,550.00,555.00,928200,555.00
2016-11-22,550.00,555.00,545.00,555.00,2250000,555.00
2016-11-21,570.00,575.00,535.00,550.00,4644300,550.00
2016-11-18,575.00,575.00,550.00,570.00,8384100,570.00
2016-11-17,545.00,570.00,545.00,570.00,3606500,570.00
2016-11-16,540.00,550.00,540.00,550.00,2439800,550.00
2016-11-15,535.00,560.00,530.00,540.00,11921300,540.00
2016-11-14,550.00,550.00,520.00,530.00,6112900,530.00
2016-11-11,570.00,570.00,535.00,550.00,5961600,550.00
2016-11-10,555.00,570.00,555.00,570.00,5089900,570.00
2016-11-09,560.00,565.00,540.00,550.00,7487100,550.00
2016-11-08,570.00,575.00,555.00,560.00,5545500,560.00
2016-11-07,580.00,580.00,565.00,565.00,8001200,565.00
2016-11-04,565.00,585.00,565.00,580.00,14981300,580.00
2016-11-03,570.00,575.00,560.00,565.00,4921700,565.00
2016-11-02,555.00,580.00,545.00,570.00,13670000,570.00
2016-11-01,565.00,570.00,550.00,555.00,1938100,555.00
2016-10-31,555.00,565.00,550.00,565.00,3816500,565.00
2016-10-28,555.00,555.00,545.00,550.00,3876000,550.00
2016-10-27,555.00,560.00,550.00,550.00,4974900,550.00
2016-10-26,560.00,560.00,550.00,555.00,8877700,555.00
2016-10-25,570.00,575.00,560.00,560.00,10594100,560.00
2016-10-24,585.00,585.00,570.00,570.00,10225200,570.00
2016-10-21,580.00,585.00,570.00,585.00,8322800,585.00
2016-10-20,575.00,580.00,570.00,575.00,4826000,575.00
2016-10-19,580.00,585.00,575.00,575.00,8916200,575.00
2016-10-18,570.00,590.00,570.00,575.00,27845100,575.00
2016-10-17,570.00,570.00,560.00,570.00,12663500,570.00
2016-10-14,570.00,575.00,560.00,570.00,8869100,570.00
2016-10-13,580.00,585.00,560.00,570.00,17013300,570.00
2016-10-12,535.00,580.00,530.00,575.00,40208800,575.00
2016-10-11,545.00,555.00,535.00,535.00,12803900,535.00
2016-10-10,555.00,560.00,545.00,545.00,9252100,545.00
2016-10-07,560.00,565.00,555.00,555.00,7036300,555.00
2016-10-06,565.00,570.00,555.00,560.00,6884900,560.00
2016-10-05,560.00,565.00,555.00,565.00,7378400,565.00
2016-10-04,565.00,575.00,560.00,565.00,4825200,565.00
2016-10-03,560.00,575.00,560.00,565.00,10817200,565.00
2016-09-30,560.00,565.00,555.00,555.00,9477400,555.00
