Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,4130.00,4200.00,3670.00,3700.00,4127500,3700.00
2017-01-31,4130.00,4250.00,3680.00,4130.00,14032000,4130.00
2017-01-30,4190.00,4370.00,4050.00,4200.00,12038700,4200.00
2017-01-27,4050.00,4200.00,4020.00,4190.00,11953000,4190.00
2017-01-26,3770.00,4090.00,3770.00,4010.00,14021900,4010.00
2017-01-25,3690.00,3850.00,3690.00,3770.00,12337200,3770.00
2017-01-24,3680.00,3770.00,3560.00,3660.00,14789200,3660.00
2017-01-23,3400.00,3700.00,3400.00,3640.00,18771000,3640.00
2017-01-20,3010.00,3400.00,3010.00,3400.00,22092800,3400.00
2017-01-19,2900.00,3070.00,2880.00,3010.00,10127900,3010.00
2017-01-18,2900.00,2950.00,2880.00,2890.00,3552600,2890.00
2017-01-17,2830.00,2990.00,2770.00,2900.00,19490600,2900.00
2017-01-16,2810.00,2850.00,2750.00,2830.00,6006500,2830.00
2017-01-13,2800.00,2950.00,2730.00,2810.00,20244500,2810.00
2017-01-12,2500.00,2870.00,2450.00,2800.00,29775300,2800.00
2017-01-11,2430.00,2560.00,2410.00,2500.00,21535800,2500.00
2017-01-10,2110.00,2550.00,2050.00,2430.00,40706000,2430.00
2017-01-09,2190.00,2220.00,2110.00,2110.00,3766000,2110.00
2017-01-06,2170.00,2250.00,2100.00,2190.00,8070400,2190.00
2017-01-05,2190.00,2230.00,2020.00,2150.00,10976200,2150.00
2017-01-04,2250.00,2380.00,2130.00,2160.00,10144600,2160.00
2017-01-03,2240.00,2520.00,2030.00,2250.00,22838800,2250.00
2017-01-02,2250.00,2250.00,2250.00,2250.00,000,2250.00
2016-12-30,2480.00,2540.00,2250.00,2250.00,7790100,2250.00
2016-12-29,2550.00,2550.00,2460.00,2470.00,6626100,2470.00
2016-12-28,2600.00,2700.00,2500.00,2520.00,9422000,2520.00
2016-12-27,2500.00,2920.00,2490.00,2580.00,38202900,2580.00
2016-12-26,2470.00,2470.00,2470.00,2470.00,000,2470.00
2016-12-23,1995.00,2470.00,1940.00,2470.00,30626300,2470.00
2016-12-22,2000.00,2250.00,1845.00,1980.00,28210400,1980.00
2016-12-21,2270.00,2480.00,2050.00,2050.00,20513100,2050.00
2016-12-20,2270.00,2270.00,2270.00,2270.00,000,2270.00
2016-12-19,2270.00,2270.00,2270.00,2270.00,000,2270.00
2016-12-16,2270.00,2270.00,2270.00,2270.00,000,2270.00
2016-12-15,2270.00,2270.00,2270.00,2270.00,000,2270.00
2016-12-14,1900.00,2370.00,1890.00,2270.00,42596000,2270.00
2016-12-13,1895.00,1915.00,1855.00,1900.00,3038100,1900.00
2016-12-12,1895.00,1895.00,1895.00,1895.00,000,1895.00
2016-12-09,1885.00,1915.00,1855.00,1895.00,3665900,1895.00
2016-12-08,1850.00,1900.00,1795.00,1885.00,5543100,1885.00
2016-12-07,1900.00,1905.00,1845.00,1850.00,4084400,1850.00
2016-12-06,1895.00,1990.00,1825.00,1860.00,69734500,1860.00
2016-12-05,1760.00,1885.00,1730.00,1880.00,17664300,1880.00
2016-12-02,1670.00,1800.00,1670.00,1750.00,9845600,1750.00
2016-12-01,1675.00,1745.00,1640.00,1670.00,11112000,1670.00
2016-11-30,1635.00,1745.00,1630.00,1675.00,14040900,1675.00
2016-11-29,1600.00,1845.00,1575.00,1630.00,35244100,1630.00
2016-11-28,1335.00,1665.00,1260.00,1590.00,59781800,1590.00
2016-11-25,1335.00,1335.00,1335.00,1335.00,000,1335.00
2016-11-24,1200.00,1350.00,1110.00,1335.00,58278400,1335.00
2016-11-23,1075.00,1310.00,1075.00,1165.00,97581600,1165.00
2016-11-22,860.00,1055.00,820.00,1055.00,205451800,1055.00
2016-11-21,710.00,855.00,705.00,845.00,247463200,845.00
2016-11-18,575.00,710.00,560.00,710.00,70321600,710.00
2016-11-17,565.00,595.00,560.00,570.00,10557300,570.00
2016-11-16,560.00,585.00,560.00,565.00,12752100,565.00
2016-11-15,620.00,635.00,560.00,560.00,17208500,560.00
2016-11-14,650.00,650.00,600.00,615.00,10973100,615.00
2016-11-11,690.00,690.00,640.00,650.00,19404700,650.00
2016-11-10,665.00,710.00,660.00,690.00,63995200,690.00
2016-11-09,670.00,685.00,620.00,655.00,51410900,655.00
2016-11-08,595.00,695.00,590.00,665.00,92739000,665.00
2016-11-07,585.00,610.00,585.00,590.00,7525700,590.00
2016-11-04,560.00,600.00,555.00,585.00,7936000,585.00
2016-11-03,590.00,605.00,560.00,560.00,9898700,560.00
2016-11-02,590.00,610.00,575.00,580.00,9278600,580.00
2016-11-01,575.00,620.00,575.00,590.00,11589800,590.00
2016-10-31,585.00,600.00,570.00,575.00,3431900,575.00
2016-10-28,595.00,600.00,580.00,580.00,2306400,580.00
2016-10-27,580.00,620.00,580.00,590.00,8386800,590.00
2016-10-26,610.00,615.00,585.00,585.00,4695400,585.00
2016-10-25,615.00,620.00,605.00,610.00,1842000,610.00
2016-10-24,630.00,645.00,605.00,610.00,6027000,610.00
2016-10-21,645.00,670.00,620.00,630.00,24358300,630.00
2016-10-20,560.00,645.00,520.00,645.00,35249100,645.00
2016-10-19,575.00,580.00,555.00,555.00,5270500,555.00
2016-10-18,590.00,600.00,570.00,575.00,6429700,575.00
2016-10-17,590.00,610.00,585.00,590.00,8924600,590.00
2016-10-14,620.00,620.00,585.00,590.00,14669400,590.00
2016-10-13,625.00,630.00,610.00,620.00,5772600,620.00
2016-10-12,655.00,660.00,630.00,630.00,9844700,630.00
2016-10-11,625.00,660.00,625.00,645.00,14090500,645.00
2016-10-10,635.00,650.00,620.00,625.00,6494800,625.00
2016-10-07,640.00,650.00,625.00,635.00,7668500,635.00
2016-10-06,645.00,665.00,635.00,635.00,13134400,635.00
2016-10-05,695.00,700.00,635.00,640.00,43833800,640.00
2016-10-04,715.00,725.00,695.00,695.00,10837600,695.00
2016-10-03,720.00,740.00,710.00,715.00,23367000,715.00
2016-09-30,735.00,750.00,700.00,710.00,23743400,710.00
2016-09-29,675.00,765.00,670.00,735.00,53734600,735.00
2016-09-28,690.00,690.00,670.00,670.00,4181800,670.00
2016-09-27,670.00,700.00,660.00,680.00,13949500,680.00
2016-09-26,680.00,690.00,655.00,670.00,5738600,670.00
2016-09-23,680.00,690.00,670.00,680.00,5925300,680.00
2016-09-22,695.00,720.00,680.00,680.00,15556600,680.00
2016-09-21,685.00,700.00,670.00,695.00,15945100,695.00
2016-09-20,660.00,710.00,640.00,675.00,27274000,675.00
2016-09-19,705.00,705.00,660.00,660.00,14955200,660.00
2016-09-16,725.00,750.00,695.00,695.00,24113500,695.00
2016-09-15,700.00,780.00,695.00,725.00,69242100,725.00
2016-09-14,640.00,695.00,595.00,695.00,42976800,695.00
2016-09-13,735.00,740.00,655.00,655.00,24938300,655.00
2016-09-12,725.00,725.00,725.00,725.00,000,725.00
2016-09-09,750.00,805.00,700.00,725.00,80294800,725.00
2016-09-08,565.00,705.00,525.00,705.00,90989200,705.00
2016-09-07,615.00,630.00,550.00,565.00,38199000,565.00
2016-09-06,645.00,670.00,590.00,610.00,24662900,610.00
2016-09-05,675.00,680.00,640.00,645.00,13720000,645.00
2016-09-02,700.00,720.00,670.00,670.00,9890600,670.00
2016-09-01,725.00,735.00,690.00,695.00,7936100,695.00
2016-08-31,725.00,755.00,725.00,725.00,10143200,725.00
2016-08-30,735.00,755.00,715.00,720.00,5879400,720.00
2016-08-29,750.00,760.00,705.00,735.00,12474600,735.00
2016-08-26,790.00,795.00,735.00,750.00,12491300,750.00
2016-08-25,835.00,850.00,785.00,785.00,21555900,785.00
2016-08-24,805.00,850.00,780.00,830.00,33716300,830.00
2016-08-23,770.00,810.00,725.00,795.00,29707100,795.00
2016-08-22,790.00,830.00,750.00,765.00,23272400,765.00
2016-08-19,845.00,885.00,765.00,790.00,49324300,790.00
2016-08-18,890.00,990.00,835.00,845.00,182936800,845.00
2016-08-17,870.00,870.00,870.00,870.00,000,870.00
2016-08-16,810.00,990.00,810.00,870.00,200162000,870.00
2016-08-15,660.00,810.00,655.00,805.00,90320700,805.00
2016-08-12,615.00,650.00,610.00,650.00,40347500,650.00
2016-08-11,595.00,630.00,570.00,610.00,128875600,610.00
2016-08-10,585.00,600.00,550.00,590.00,19966100,590.00
2016-08-09,605.00,605.00,580.00,585.00,9500400,585.00
2016-08-08,565.00,605.00,560.00,595.00,32753500,595.00
2016-08-05,560.00,575.00,555.00,560.00,15632700,560.00
2016-08-04,555.00,595.00,545.00,555.00,67865300,555.00
2016-08-03,500.00,560.00,490.00,560.00,96904500,560.00
2016-08-02,492.00,510.00,480.00,496.00,24399600,496.00
2016-08-01,494.00,510.00,480.00,488.00,24008200,488.00
2016-07-29,492.00,520.00,492.00,494.00,54352000,494.00
2016-07-28,430.00,496.00,430.00,488.00,116499500,488.00
2016-07-27,428.00,440.00,426.00,430.00,25590400,430.00
2016-07-26,432.00,432.00,424.00,428.00,6649700,428.00
2016-07-25,436.00,442.00,430.00,432.00,3537700,432.00
2016-07-22,432.00,444.00,432.00,434.00,12612600,434.00
2016-07-21,440.00,442.00,430.00,430.00,15399800,430.00
2016-07-20,432.00,452.00,430.00,436.00,32538600,436.00
2016-07-19,430.00,440.00,428.00,428.00,11089200,428.00
2016-07-18,430.00,444.00,428.00,430.00,17784500,430.00
2016-07-15,426.00,440.00,424.00,428.00,22936300,428.00
2016-07-14,434.00,438.00,426.00,426.00,9883100,426.00
2016-07-13,430.00,460.00,424.00,430.00,113932600,430.00
2016-07-12,430.00,434.00,420.00,424.00,4580500,424.00
2016-07-11,424.00,436.00,424.00,428.00,10571700,428.00
2016-07-08,424.00,424.00,424.00,424.00,000,424.00
2016-07-07,424.00,424.00,424.00,424.00,000,424.00
2016-07-06,424.00,424.00,424.00,424.00,000,424.00
2016-07-05,424.00,424.00,424.00,424.00,000,424.00
2016-07-04,424.00,424.00,424.00,424.00,000,424.00
2016-07-01,412.00,434.00,404.00,424.00,14738300,424.00
2016-06-30,420.00,420.00,410.00,412.00,4641500,412.00
2016-06-28,424.00,430.00,414.00,416.00,4650200,416.00
2016-06-27,414.00,434.00,410.00,424.00,19321800,424.00
2016-06-24,408.00,424.00,390.00,422.00,19842700,422.00
2016-06-23,408.00,424.00,398.00,404.00,8381600,404.00
2016-06-22,430.00,438.00,388.00,408.00,16181700,408.00
2016-06-21,426.00,440.00,424.00,430.00,23508400,430.00
2016-06-20,406.00,438.00,406.00,424.00,36300000,424.00
2016-06-17,392.00,422.00,376.00,404.00,60141600,404.00
2016-06-16,320.00,400.00,320.00,392.00,77183700,392.00
2016-06-15,306.00,330.00,306.00,320.00,14405300,320.00
2016-06-14,318.00,328.00,306.00,306.00,17761300,306.00
2016-06-13,294.00,330.00,284.00,318.00,39827900,318.00
2016-06-10,234.00,294.00,230.00,294.00,59253600,294.00
2016-06-09,234.00,242.00,232.00,236.00,3124500,236.00
2016-06-08,234.00,236.00,230.00,232.00,1379300,232.00
2016-06-07,238.00,240.00,230.00,230.00,3943600,230.00
2016-06-06,238.00,242.00,234.00,238.00,1482000,238.00
2016-06-03,236.00,240.00,228.00,234.00,5094000,234.00
2016-06-02,238.00,240.00,234.00,234.00,1898000,234.00
2016-06-01,240.00,244.00,238.00,240.00,659600,240.00
2016-05-31,248.00,252.00,240.00,240.00,1763300,240.00
2016-05-30,240.00,248.00,234.00,246.00,5256000,246.00
2016-05-27,242.00,244.00,238.00,240.00,1075100,240.00
2016-05-26,242.00,250.00,242.00,242.00,1273700,242.00
2016-05-25,250.00,252.00,232.00,242.00,3098400,242.00
2016-05-24,256.00,262.00,240.00,246.00,2038700,246.00
2016-05-23,262.00,270.00,256.00,256.00,5838700,256.00
2016-05-20,246.00,270.00,238.00,262.00,17646700,262.00
2016-05-19,246.00,246.00,226.00,246.00,4740500,246.00
2016-05-18,258.00,258.00,246.00,246.00,2376000,246.00
2016-05-17,260.00,260.00,246.00,254.00,4780400,254.00
2016-05-16,250.00,262.00,248.00,254.00,4901800,254.00
2016-05-13,244.00,264.00,242.00,250.00,8336200,250.00
2016-05-12,260.00,264.00,240.00,244.00,13177400,244.00
2016-05-11,260.00,270.00,252.00,260.00,4531800,260.00
2016-05-10,254.00,280.00,240.00,266.00,39482300,266.00
2016-05-09,210.00,256.00,204.00,254.00,30919400,254.00
2016-05-06,210.00,210.00,210.00,210.00,000,210.00
2016-05-05,210.00,210.00,210.00,210.00,000,210.00
2016-05-04,222.00,232.00,210.00,210.00,3949300,210.00
2016-05-03,228.00,236.00,222.00,222.00,20096900,222.00
2016-05-02,236.00,244.00,216.00,226.00,7612800,226.00
2016-04-29,221.00,250.00,201.00,236.00,28106200,236.00
2016-04-28,245.00,255.00,221.00,221.00,13952800,221.00
2016-04-27,264.00,264.00,242.00,245.00,25173700,245.00
2016-04-26,213.00,247.00,213.00,240.00,38310900,240.00
2016-04-25,124.00,124.00,124.00,124.00,000,124.00
2016-04-22,124.00,124.00,124.00,124.00,000,124.00
2016-04-21,124.00,124.00,124.00,124.00,000,124.00
2016-04-12,104.00,130.00,99.00,124.00,51377800,124.00
2016-04-08,85.00,89.00,83.00,84.00,704700,84.00
2016-04-07,85.00,90.00,83.00,83.00,1427700,83.00
2016-04-06,79.00,84.00,79.00,81.00,185500,81.00
2016-04-05,80.00,82.00,78.00,79.00,140900,79.00
2016-04-04,78.00,81.00,77.00,78.00,399700,78.00
2016-04-01,81.00,81.00,74.00,78.00,208400,78.00
2016-03-31,83.00,83.00,78.00,81.00,198600,81.00
2016-03-30,89.00,89.00,78.00,80.00,1949800,80.00
2016-03-29,95.00,95.00,84.00,84.00,624500,84.00
2016-03-28,97.00,97.00,86.00,91.00,1604500,91.00
2016-03-25,95.00,95.00,95.00,95.00,000,95.00
2016-03-24,97.00,101.00,92.00,95.00,2011300,95.00
2016-03-23,97.00,103.00,95.00,96.00,30292200,96.00
2016-03-22,93.00,97.00,92.00,97.00,1566300,97.00
2016-03-21,93.00,97.00,91.00,94.00,785600,94.00
2016-03-18,95.00,100.00,90.00,93.00,1246000,93.00
2016-03-17,89.00,105.00,85.00,93.00,6122100,93.00
2016-03-16,82.00,88.00,80.00,85.00,472600,85.00
2016-03-15,84.00,84.00,81.00,82.00,89600,82.00
2016-03-10,83.00,87.00,83.00,86.00,530200,86.00
2016-03-09,84.00,84.00,84.00,84.00,000,84.00
2016-03-08,83.00,89.00,80.00,84.00,1500100,84.00
2016-03-07,79.00,90.00,75.00,83.00,1165800,83.00
2016-03-04,82.00,84.00,78.00,82.00,667400,82.00
2016-03-03,87.00,92.00,80.00,82.00,1292600,82.00
2016-03-02,72.00,94.00,67.00,87.00,7791100,87.00
2016-03-01,52.00,70.00,52.00,70.00,14460000,70.00
2016-02-29,50.00,55.00,50.00,52.00,1091900,52.00
2016-02-26,50.00,50.00,50.00,50.00,200,50.00
2016-02-25,50.00,50.00,50.00,50.00,27100,50.00
2016-02-24,50.00,50.00,50.00,50.00,000,50.00
2016-02-23,50.00,50.00,50.00,50.00,20700,50.00
2016-02-22,50.00,50.00,50.00,50.00,32400,50.00
2016-02-19,50.00,50.00,50.00,50.00,000,50.00
2016-02-18,50.00,50.00,50.00,50.00,10000,50.00
2016-02-17,50.00,50.00,50.00,50.00,200,50.00
2016-02-16,50.00,50.00,50.00,50.00,000,50.00
2016-02-15,50.00,50.00,50.00,50.00,4000,50.00
2016-02-12,50.00,50.00,50.00,50.00,1000,50.00
2016-02-11,50.00,50.00,50.00,50.00,16400,50.00
2016-02-10,50.00,50.00,50.00,50.00,303900,50.00
2016-02-09,50.00,50.00,50.00,50.00,106900,50.00
2016-02-08,50.00,50.00,50.00,50.00,000,50.00
2016-02-05,50.00,50.00,50.00,50.00,42600,50.00
2016-02-04,50.00,50.00,50.00,50.00,600,50.00
2016-02-03,50.00,50.00,50.00,50.00,1600,50.00
2016-02-02,50.00,50.00,50.00,50.00,171500,50.00
2016-02-01,50.00,50.00,50.00,50.00,2100,50.00
2016-01-29,50.00,50.00,50.00,50.00,63500,50.00
2016-01-28,50.00,50.00,50.00,50.00,25600,50.00
2016-01-27,50.00,50.00,50.00,50.00,324900,50.00
2016-01-26,50.00,50.00,50.00,50.00,7100,50.00
2016-01-25,50.00,50.00,50.00,50.00,3900,50.00
2016-01-22,50.00,50.00,50.00,50.00,000,50.00
2016-01-21,50.00,50.00,50.00,50.00,1100,50.00
2016-01-20,50.00,50.00,50.00,50.00,6500,50.00
2016-01-19,50.00,50.00,50.00,50.00,5000,50.00
2016-01-18,50.00,50.00,50.00,50.00,110300,50.00
2016-01-15,50.00,50.00,50.00,50.00,000,50.00
2016-01-14,50.00,50.00,50.00,50.00,500,50.00
2016-01-13,50.00,50.00,50.00,50.00,5200,50.00
2016-01-12,50.00,50.00,50.00,50.00,200,50.00
2016-01-11,50.00,50.00,50.00,50.00,100,50.00
2016-01-08,50.00,50.00,50.00,50.00,000,50.00
2016-01-07,50.00,50.00,50.00,50.00,24900,50.00
2016-01-06,50.00,50.00,50.00,50.00,2000,50.00
2016-01-05,50.00,50.00,50.00,50.00,29400,50.00
2016-01-04,50.00,50.00,50.00,50.00,200,50.00
2016-01-01,50.00,50.00,50.00,50.00,000,50.00
2015-12-31,50.00,50.00,50.00,50.00,000,50.00
2015-12-30,50.00,50.00,50.00,50.00,300,50.00
2015-12-29,50.00,50.00,50.00,50.00,150700,50.00
2015-12-28,50.00,50.00,50.00,50.00,400,50.00
2015-12-25,50.00,50.00,50.00,50.00,000,50.00
2015-12-24,50.00,50.00,50.00,50.00,000,50.00
2015-12-23,50.00,50.00,50.00,50.00,33100,50.00
2015-12-22,50.00,50.00,50.00,50.00,39600,50.00
2015-12-21,50.00,50.00,50.00,50.00,100,50.00
2015-12-18,50.00,50.00,50.00,50.00,000,50.00
2015-12-17,50.00,50.00,50.00,50.00,200,50.00
2015-12-16,50.00,50.00,50.00,50.00,000,50.00
2015-12-15,50.00,50.00,50.00,50.00,000,50.00
2015-12-14,50.00,50.00,50.00,50.00,000,50.00
2015-12-11,50.00,50.00,50.00,50.00,200,50.00
2015-12-10,50.00,50.00,50.00,50.00,1500,50.00
2015-12-09,50.00,50.00,50.00,50.00,000,50.00
2015-12-08,50.00,50.00,50.00,50.00,11200,50.00
2015-12-07,50.00,50.00,50.00,50.00,000,50.00
2015-12-04,50.00,50.00,50.00,50.00,1500,50.00
2015-12-03,50.00,51.00,50.00,50.00,11200,50.00
2015-12-02,50.00,51.00,50.00,50.00,12200,50.00
2015-12-01,51.00,51.00,50.00,50.00,300,50.00
2015-11-30,50.00,51.00,50.00,51.00,66000,51.00
2015-11-27,50.00,51.00,50.00,51.00,304700,51.00
2015-11-26,50.00,50.00,50.00,50.00,500,50.00
2015-11-25,50.00,50.00,50.00,50.00,3000,50.00
2015-11-24,50.00,50.00,50.00,50.00,51900,50.00
2015-11-23,51.00,51.00,50.00,50.00,93800,50.00
2015-11-20,50.00,50.00,50.00,50.00,138000,50.00
2015-11-19,50.00,50.00,50.00,50.00,291200,50.00
2015-11-18,50.00,51.00,50.00,51.00,374600,51.00
2015-11-17,51.00,51.00,50.00,51.00,353600,51.00
2015-11-16,50.00,51.00,50.00,51.00,72100,51.00
2015-11-13,50.00,51.00,50.00,51.00,616200,51.00
2015-11-12,50.00,51.00,50.00,50.00,2153800,50.00
2015-11-11,51.00,52.00,50.00,50.00,2630200,50.00
2015-11-10,54.00,54.00,50.00,52.00,4205900,52.00
2015-11-09,54.00,55.00,52.00,54.00,1321800,54.00
2015-11-06,55.00,56.00,54.00,55.00,621700,55.00
2015-11-05,55.00,56.00,54.00,55.00,1671900,55.00
2015-11-04,55.00,57.00,55.00,55.00,1024200,55.00
2015-11-03,55.00,55.00,54.00,55.00,33800,55.00
2015-11-02,55.00,56.00,54.00,55.00,334700,55.00
2015-10-30,56.00,56.00,54.00,55.00,1104200,55.00
2015-10-29,58.00,59.00,55.00,55.00,4149900,55.00
2015-10-28,61.00,61.00,56.00,58.00,2503300,58.00
2015-10-27,62.00,65.00,57.00,60.00,1305600,60.00
