Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,955.00,960.00,940.00,960.00,36700,960.00
2017-01-31,955.00,960.00,950.00,955.00,15700,955.00
2017-01-30,960.00,960.00,955.00,955.00,28400,955.00
2017-01-27,955.00,960.00,950.00,960.00,65700,960.00
2017-01-26,960.00,960.00,960.00,960.00,7000,960.00
2017-01-25,950.00,960.00,945.00,960.00,142700,960.00
2017-01-24,960.00,960.00,945.00,945.00,267600,945.00
2017-01-23,970.00,970.00,950.00,960.00,48300,960.00
2017-01-20,985.00,985.00,965.00,970.00,17600,970.00
2017-01-19,965.00,980.00,965.00,975.00,16200,975.00
2017-01-18,970.00,970.00,965.00,965.00,10900,965.00
2017-01-17,970.00,970.00,970.00,970.00,29100,970.00
2017-01-16,970.00,970.00,950.00,970.00,61400,970.00
2017-01-13,955.00,970.00,940.00,970.00,144900,970.00
2017-01-12,970.00,990.00,945.00,960.00,18600,960.00
2017-01-11,950.00,970.00,950.00,970.00,44000,970.00
2017-01-10,950.00,970.00,950.00,950.00,25500,950.00
2017-01-09,950.00,950.00,950.00,950.00,11200,950.00
2017-01-06,950.00,980.00,950.00,950.00,20600,950.00
2017-01-05,970.00,970.00,945.00,950.00,25000,950.00
2017-01-04,970.00,985.00,960.00,970.00,30500,970.00
2017-01-03,1000.00,1000.00,950.00,970.00,19100,970.00
2017-01-02,950.00,950.00,950.00,950.00,000,950.00
2016-12-30,1050.00,1050.00,945.00,950.00,3800,950.00
2016-12-29,950.00,950.00,945.00,950.00,56900,950.00
2016-12-28,930.00,950.00,930.00,950.00,15400,950.00
2016-12-27,935.00,945.00,935.00,940.00,74600,940.00
2016-12-26,930.00,930.00,930.00,930.00,000,930.00
2016-12-23,935.00,985.00,920.00,930.00,137600,930.00
2016-12-22,940.00,955.00,935.00,935.00,75200,935.00
2016-12-21,970.00,970.00,940.00,955.00,62100,955.00
2016-12-20,960.00,970.00,940.00,970.00,157600,970.00
2016-12-19,960.00,965.00,960.00,960.00,29400,960.00
2016-12-16,975.00,975.00,950.00,960.00,70400,960.00
2016-12-15,950.00,975.00,950.00,975.00,4600,975.00
2016-12-14,970.00,980.00,970.00,980.00,40100,980.00
2016-12-13,955.00,980.00,940.00,980.00,57700,980.00
2016-12-12,955.00,955.00,955.00,955.00,000,955.00
2016-12-09,955.00,955.00,950.00,955.00,18100,955.00
2016-12-08,955.00,960.00,940.00,955.00,45800,955.00
2016-12-07,960.00,960.00,950.00,955.00,22900,955.00
2016-12-06,950.00,950.00,950.00,950.00,22900,950.00
2016-12-05,940.00,950.00,940.00,945.00,3700,945.00
2016-12-02,925.00,940.00,925.00,940.00,29100,940.00
2016-12-01,930.00,935.00,925.00,930.00,66800,930.00
2016-11-30,925.00,945.00,925.00,930.00,19400,930.00
2016-11-29,925.00,930.00,925.00,925.00,45100,925.00
2016-11-28,925.00,925.00,900.00,925.00,35500,925.00
2016-11-25,925.00,925.00,895.00,925.00,23300,925.00
2016-11-24,935.00,935.00,900.00,925.00,41600,925.00
2016-11-23,925.00,950.00,925.00,950.00,9900,950.00
2016-11-22,925.00,925.00,890.00,925.00,253200,925.00
2016-11-21,930.00,930.00,885.00,925.00,79100,925.00
2016-11-18,915.00,930.00,905.00,930.00,20800,930.00
2016-11-17,925.00,925.00,900.00,925.00,120400,925.00
2016-11-16,940.00,950.00,915.00,925.00,23200,925.00
2016-11-15,955.00,955.00,905.00,940.00,70400,940.00
2016-11-14,940.00,960.00,900.00,940.00,41100,940.00
2016-11-11,950.00,950.00,920.00,940.00,94200,940.00
2016-11-10,955.00,955.00,935.00,950.00,34300,950.00
2016-11-09,955.00,955.00,925.00,935.00,148900,935.00
2016-11-08,1010.00,1035.00,925.00,925.00,1219500,925.00
2016-11-07,970.00,1025.00,960.00,1010.00,29000,1010.00
2016-11-04,955.00,970.00,940.00,970.00,68800,970.00
2016-11-03,970.00,970.00,955.00,955.00,64600,955.00
2016-11-02,995.00,995.00,965.00,970.00,4400,970.00
2016-11-01,995.00,1000.00,975.00,995.00,154700,995.00
2016-10-31,1015.00,1015.00,990.00,995.00,67600,995.00
2016-10-28,1010.00,1010.00,1010.00,1010.00,20000,1010.00
2016-10-27,1005.00,1025.00,1005.00,1010.00,197700,1010.00
2016-10-26,1015.00,1015.00,1000.00,1005.00,26200,1005.00
2016-10-25,1020.00,1020.00,1005.00,1015.00,55900,1015.00
2016-10-24,1025.00,1075.00,1005.00,1020.00,37300,1020.00
2016-10-21,1030.00,1035.00,1015.00,1025.00,88200,1025.00
2016-10-20,1080.00,1080.00,1020.00,1025.00,176000,1025.00
2016-10-19,975.00,1080.00,975.00,1080.00,667100,1080.00
2016-10-18,965.00,975.00,965.00,975.00,21300,975.00
2016-10-17,950.00,985.00,950.00,965.00,75600,965.00
2016-10-14,945.00,965.00,945.00,950.00,26700,950.00
2016-10-13,945.00,950.00,940.00,945.00,37900,945.00
2016-10-12,950.00,970.00,930.00,945.00,92900,945.00
2016-10-11,950.00,955.00,950.00,950.00,33000,950.00
2016-10-10,960.00,960.00,945.00,950.00,47800,950.00
2016-10-07,940.00,975.00,930.00,960.00,68700,960.00
2016-10-06,965.00,965.00,940.00,940.00,36800,940.00
2016-10-05,955.00,955.00,940.00,945.00,20900,945.00
2016-10-04,955.00,970.00,955.00,955.00,17500,955.00
2016-10-03,955.00,955.00,945.00,955.00,52700,955.00
2016-09-30,965.00,965.00,950.00,955.00,34200,955.00
2016-09-29,960.00,995.00,955.00,965.00,65900,965.00
2016-09-28,965.00,965.00,950.00,960.00,17400,960.00
2016-09-27,945.00,970.00,875.00,965.00,201900,965.00
2016-09-26,955.00,955.00,935.00,945.00,37900,945.00
2016-09-23,935.00,985.00,920.00,935.00,406300,935.00
2016-09-22,965.00,970.00,945.00,955.00,49700,955.00
2016-09-21,955.00,965.00,940.00,965.00,61200,965.00
2016-09-20,935.00,975.00,900.00,955.00,87600,955.00
2016-09-19,925.00,930.00,920.00,930.00,52400,930.00
2016-09-16,910.00,945.00,910.00,915.00,40800,915.00
2016-09-15,895.00,910.00,860.00,910.00,15300,910.00
2016-09-14,855.00,900.00,850.00,895.00,58100,895.00
