Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,8400.00,8500.00,8400.00,8425.00,3966000,8425.00
2017-01-31,8400.00,8525.00,8400.00,8400.00,2976900,8400.00
2017-01-30,8550.00,8550.00,8425.00,8475.00,1782100,8475.00
2017-01-27,8500.00,8650.00,8450.00,8550.00,923300,8550.00
2017-01-26,8650.00,8700.00,8475.00,8550.00,2818800,8550.00
2017-01-25,8450.00,8600.00,8450.00,8600.00,1916400,8600.00
2017-01-24,8425.00,8550.00,8425.00,8475.00,3841900,8475.00
2017-01-23,8500.00,8550.00,8350.00,8450.00,1040900,8450.00
2017-01-20,8600.00,8600.00,8425.00,8500.00,2326100,8500.00
2017-01-19,8600.00,8650.00,8575.00,8600.00,4785000,8600.00
2017-01-18,8375.00,8600.00,8375.00,8575.00,4515000,8575.00
2017-01-17,8450.00,8525.00,8425.00,8425.00,2273700,8425.00
2017-01-16,8400.00,8550.00,8375.00,8450.00,3834200,8450.00
2017-01-13,8500.00,8600.00,8450.00,8525.00,4278600,8525.00
2017-01-12,8525.00,8625.00,8525.00,8550.00,1985700,8550.00
2017-01-11,8700.00,8725.00,8575.00,8575.00,2354800,8575.00
2017-01-10,8800.00,8825.00,8600.00,8775.00,1942400,8775.00
2017-01-09,8525.00,8800.00,8525.00,8800.00,5899200,8800.00
2017-01-06,8650.00,8650.00,8525.00,8525.00,1497300,8525.00
2017-01-05,8600.00,8700.00,8550.00,8575.00,3970900,8575.00
2017-01-04,8575.00,8750.00,8575.00,8600.00,4027100,8600.00
2017-01-03,8500.00,8625.00,8400.00,8600.00,2040600,8600.00
2017-01-02,8575.00,8575.00,8575.00,8575.00,000,8575.00
2016-12-30,8600.00,8675.00,8425.00,8575.00,6203000,8575.00
2016-12-29,8350.00,8650.00,8275.00,8625.00,4821800,8625.00
2016-12-28,8000.00,8375.00,8000.00,8325.00,5231800,8325.00
2016-12-27,7600.00,8075.00,7600.00,7950.00,2735300,7950.00
2016-12-26,7550.00,7550.00,7550.00,7550.00,000,7550.00
2016-12-23,7675.00,7900.00,7550.00,7550.00,6383800,7550.00
2016-12-22,7925.00,8050.00,7700.00,7775.00,5362800,7775.00
2016-12-21,8200.00,8300.00,7925.00,7925.00,4791800,7925.00
2016-12-20,8350.00,8425.00,8100.00,8175.00,3391800,8175.00
