Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,206.00,216.00,206.00,210.00,13376500,210.00
2017-01-31,206.00,212.00,202.00,206.00,7314600,206.00
2017-01-30,208.00,212.00,204.00,206.00,6000200,206.00
2017-01-27,208.00,222.00,204.00,208.00,10970100,208.00
2017-01-26,204.00,210.00,202.00,206.00,6129400,206.00
2017-01-25,214.00,216.00,202.00,204.00,12299700,204.00
2017-01-24,218.00,220.00,212.00,214.00,7899100,214.00
2017-01-23,226.00,230.00,210.00,218.00,26712200,218.00
2017-01-20,197.00,228.00,197.00,226.00,73837100,226.00
2017-01-19,200.00,206.00,192.00,197.00,10292300,197.00
2017-01-18,210.00,212.00,200.00,200.00,18922900,200.00
2017-01-17,206.00,222.00,202.00,210.00,31727300,210.00
2017-01-16,208.00,218.00,200.00,206.00,45890000,206.00
2017-01-13,220.00,244.00,204.00,208.00,192096000,208.00
2017-01-12,147.00,198.00,146.00,198.00,132085100,198.00
2017-01-11,150.00,153.00,146.00,147.00,4051500,147.00
2017-01-10,147.00,154.00,145.00,150.00,7962500,150.00
2017-01-09,151.00,153.00,146.00,147.00,7698500,147.00
2017-01-06,145.00,156.00,143.00,151.00,15446200,151.00
2017-01-05,141.00,146.00,140.00,145.00,3126400,145.00
2017-01-04,140.00,142.00,140.00,141.00,976500,141.00
2017-01-03,140.00,143.00,140.00,140.00,2362400,140.00
2017-01-02,140.00,140.00,140.00,140.00,000,140.00
2016-12-30,141.00,141.00,139.00,140.00,1730400,140.00
2016-12-29,139.00,141.00,139.00,141.00,3823100,141.00
2016-12-28,141.00,142.00,139.00,139.00,2236500,139.00
2016-12-27,138.00,141.00,138.00,139.00,1987100,139.00
2016-12-26,137.00,137.00,137.00,137.00,000,137.00
2016-12-23,140.00,144.00,137.00,137.00,3782000,137.00
2016-12-22,142.00,145.00,141.00,141.00,4138600,141.00
2016-12-21,144.00,146.00,142.00,142.00,3974500,142.00
2016-12-20,141.00,151.00,141.00,144.00,15931500,144.00
2016-12-19,144.00,146.00,141.00,141.00,2563200,141.00
2016-12-16,144.00,146.00,142.00,143.00,2218900,143.00
2016-12-15,142.00,147.00,142.00,144.00,5939300,144.00
2016-12-14,144.00,148.00,143.00,144.00,2939500,144.00
2016-12-13,146.00,147.00,144.00,145.00,2993100,145.00
2016-12-12,146.00,146.00,146.00,146.00,000,146.00
2016-12-09,146.00,149.00,145.00,146.00,3178100,146.00
2016-12-08,151.00,154.00,146.00,146.00,7541700,146.00
2016-12-07,144.00,152.00,144.00,150.00,14430900,150.00
2016-12-06,142.00,148.00,142.00,144.00,5256500,144.00
2016-12-05,144.00,144.00,141.00,142.00,2023100,142.00
2016-12-02,144.00,147.00,141.00,142.00,4257500,142.00
2016-12-01,144.00,148.00,142.00,143.00,7621800,143.00
2016-11-30,145.00,153.00,143.00,144.00,14643400,144.00
2016-11-29,142.00,154.00,139.00,145.00,25737800,145.00
2016-11-28,144.00,149.00,138.00,142.00,13967100,142.00
2016-11-25,159.00,161.00,144.00,144.00,32690600,144.00
2016-11-24,138.00,181.00,138.00,159.00,149933100,159.00
2016-11-23,135.00,141.00,134.00,137.00,5538700,137.00
2016-11-22,133.00,135.00,133.00,135.00,1581900,135.00
2016-11-21,131.00,136.00,130.00,134.00,1934300,134.00
2016-11-18,133.00,135.00,131.00,131.00,1558500,131.00
2016-11-17,133.00,137.00,133.00,133.00,3138000,133.00
2016-11-16,130.00,136.00,125.00,133.00,4360500,133.00
2016-11-15,135.00,138.00,130.00,130.00,6125800,130.00
2016-11-14,142.00,142.00,130.00,135.00,4691600,135.00
2016-11-11,148.00,148.00,141.00,142.00,5456900,142.00
2016-11-10,147.00,154.00,146.00,148.00,13763600,148.00
2016-11-09,151.00,154.00,143.00,147.00,6621000,147.00
2016-11-08,149.00,154.00,149.00,151.00,9049900,151.00
2016-11-07,149.00,150.00,147.00,149.00,4190100,149.00
2016-11-04,147.00,150.00,147.00,149.00,3040100,149.00
2016-11-03,151.00,155.00,146.00,147.00,11091200,147.00
2016-11-02,154.00,156.00,150.00,150.00,11304900,150.00
2016-11-01,157.00,160.00,153.00,154.00,8031300,154.00
2016-10-31,153.00,163.00,153.00,157.00,17930900,157.00
2016-10-28,152.00,154.00,149.00,153.00,5057900,153.00
2016-10-27,156.00,158.00,150.00,150.00,17586100,150.00
2016-10-26,161.00,166.00,156.00,156.00,14482700,156.00
2016-10-25,174.00,177.00,160.00,160.00,40840000,160.00
2016-10-24,146.00,172.00,146.00,171.00,57797700,171.00
2016-10-21,147.00,150.00,146.00,146.00,6274500,146.00
2016-10-20,147.00,149.00,146.00,147.00,2205600,147.00
2016-10-19,148.00,150.00,147.00,147.00,2881600,147.00
2016-10-18,148.00,152.00,147.00,147.00,4625600,147.00
2016-10-17,149.00,150.00,147.00,148.00,1616500,148.00
2016-10-14,146.00,149.00,144.00,147.00,3216000,147.00
2016-10-13,147.00,148.00,145.00,146.00,3263300,146.00
2016-10-12,149.00,150.00,147.00,147.00,3095400,147.00
2016-10-11,150.00,153.00,147.00,149.00,4657000,149.00
2016-10-10,148.00,154.00,147.00,150.00,4927300,150.00
2016-10-07,150.00,150.00,147.00,148.00,2586200,148.00
2016-10-06,153.00,154.00,149.00,149.00,6814500,149.00
2016-10-05,154.00,156.00,152.00,152.00,3520000,152.00
2016-10-04,155.00,163.00,153.00,153.00,18491100,153.00
2016-10-03,153.00,157.00,152.00,155.00,4909700,155.00
2016-09-30,154.00,159.00,152.00,152.00,7497700,152.00
2016-09-29,161.00,164.00,150.00,154.00,29146400,154.00
