Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,99.00,99.00,92.00,94.00,42029000,94.00
2017-01-31,99.00,102.00,87.00,99.00,45666400,99.00
2017-01-30,88.00,95.00,84.00,87.00,9618400,87.00
2017-01-27,90.00,104.00,83.00,88.00,38826500,88.00
2017-01-26,96.00,98.00,85.00,89.00,11960200,89.00
2017-01-25,100.00,100.00,83.00,96.00,20523800,96.00
2017-01-24,88.00,110.00,87.00,98.00,197537700,98.00
2017-01-23,62.00,83.00,62.00,83.00,94592300,83.00
2017-01-20,68.00,84.00,60.00,62.00,81915100,62.00
2017-01-19,50.00,67.00,50.00,67.00,56572600,67.00
2017-01-18,50.00,51.00,50.00,50.00,781800,50.00
2017-01-17,51.00,51.00,50.00,50.00,1465600,50.00
2017-01-16,50.00,51.00,50.00,51.00,360200,51.00
2017-01-13,51.00,51.00,50.00,50.00,229400,50.00
2017-01-12,50.00,55.00,50.00,51.00,5147900,51.00
2017-01-11,50.00,51.00,50.00,50.00,910000,50.00
2017-01-10,51.00,52.00,50.00,50.00,305400,50.00
2017-01-09,50.00,53.00,50.00,51.00,546800,51.00
2017-01-06,51.00,52.00,50.00,50.00,457000,50.00
2017-01-05,51.00,51.00,50.00,50.00,407100,50.00
2017-01-04,50.00,50.00,50.00,50.00,14200,50.00
2017-01-03,50.00,52.00,50.00,50.00,1486400,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,51.00,50.00,50.00,1565000,50.00
2016-12-29,50.00,52.00,50.00,51.00,509300,51.00
2016-12-28,50.00,51.00,50.00,50.00,88300,50.00
2016-12-27,50.00,51.00,50.00,50.00,137800,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,126300,50.00
2016-12-22,50.00,50.00,50.00,50.00,47200,50.00
2016-12-21,51.00,51.00,50.00,50.00,193700,50.00
2016-12-20,50.00,51.00,50.00,51.00,372400,51.00
2016-12-19,51.00,51.00,50.00,50.00,415500,50.00
2016-12-16,50.00,51.00,50.00,50.00,849800,50.00
2016-12-15,50.00,51.00,50.00,50.00,1242900,50.00
2016-12-14,51.00,51.00,50.00,50.00,2539800,50.00
2016-12-13,53.00,54.00,50.00,51.00,2438100,51.00
2016-12-12,53.00,53.00,53.00,53.00,000,53.00
2016-12-09,53.00,55.00,52.00,53.00,1048400,53.00
2016-12-08,54.00,55.00,53.00,53.00,3902500,53.00
2016-12-07,58.00,64.00,58.00,58.00,3460800,58.00
2016-12-06,50.00,66.00,50.00,64.00,21702200,64.00
2016-12-05,50.00,50.00,50.00,50.00,44600,50.00
2016-12-02,50.00,50.00,50.00,50.00,46400,50.00
2016-12-01,50.00,51.00,50.00,50.00,544600,50.00
2016-11-30,50.00,51.00,50.00,50.00,856300,50.00
2016-11-29,50.00,51.00,50.00,50.00,260900,50.00
2016-11-28,50.00,51.00,50.00,50.00,530100,50.00
2016-11-25,50.00,50.00,50.00,50.00,200,50.00
2016-11-24,50.00,50.00,50.00,50.00,000,50.00
2016-11-23,50.00,50.00,50.00,50.00,5200,50.00
2016-11-22,50.00,50.00,50.00,50.00,10100,50.00
2016-11-21,50.00,50.00,50.00,50.00,5000,50.00
2016-11-18,50.00,50.00,50.00,50.00,2500,50.00
2016-11-17,50.00,50.00,50.00,50.00,100,50.00
